Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-01-02,23.19,23.51,22.65,23.33,13767900,0.0,0
2013-01-03,23.25,23.25,22.69,23.13,16739300,0.0,0
2013-01-04,22.99,23.17,22.75,22.84,21372100,0.0,0
2013-01-07,22.68,23.54,22.68,22.89,17897100,0.0,0
2013-01-08,22.77,23.01,22.16,22.39,17863300,0.0,0
2013-01-09,22.32,22.55,22.32,22.52,18800400,0.0,0
2013-01-10,22.36,22.58,22.14,22.58,15658100,0.0,0
2013-01-11,22.57,22.78,22.41,22.75,11191500,0.4,0
2013-01-14,22.86,23.02,22.72,22.91,11584900,0.0,0
2013-01-15,22.66,23.33,22.66,23.25,13040200,0.0,0
2013-01-16,23.17,23.89,23.15,23.89,16512700,0.0,0
2013-01-17,24.03,24.67,24.03,24.48,14424800,0.0,0
2013-01-18,24.48,25.08,24.22,25.08,17842200,0.0,0
2013-01-22,24.85,25.03,24.15,24.48,15809700,0.0,0
2013-01-23,24.81,25.43,24.53,25.4,10981600,0.0,0
2013-01-24,25.4,25.89,25.02,25.18,11327100,0.0,0
2013-01-25,25.22,25.43,24.62,25.27,8934600,0.0,0
2013-01-28,25.3,25.45,24.67,24.79,7140100,0.0,0
2013-01-29,24.67,25.18,24.36,25.08,8838500,0.0,0
2013-01-30,24.74,25.22,24.74,24.82,10841800,0.0,0
2013-01-31,24.76,24.82,24.38,24.66,10720700,0.0,0
2013-02-01,24.76,25.0,24.54,24.99,9527500,0.0,0
2013-02-04,24.62,25.07,24.56,25.05,6348000,0.0,0
2013-02-05,25.15,25.36,24.99,25.0,7284400,0.0,0
2013-02-06,24.84,25.05,24.77,24.96,5738900,0.0,0
2013-02-07,25.25,25.25,24.06,24.48,9872500,0.0,0
2013-02-08,24.44,24.48,24.08,24.36,13858700,0.0,0
2013-02-11,24.28,24.32,24.03,24.09,6032100,0.0,0
2013-02-12,24.04,24.13,23.66,23.8,7473800,0.0,0
2013-02-13,23.8,23.91,23.62,23.7,4859800,0.0,0
2013-02-14,23.56,24.69,23.53,24.58,7570100,0.0,0
2013-02-15,24.82,25.41,24.82,25.26,13296300,0.0,0
2013-02-19,25.23,25.76,24.94,25.67,8292700,0.0,0
2013-02-20,25.65,26.3,25.28,25.95,8096400,0.0,0
2013-02-21,25.87,26.23,25.67,26.06,7260900,0.0,0
2013-02-22,26.07,26.11,25.63,25.85,4490400,0.0,0
2013-02-25,25.9,25.95,25.12,25.12,4665600,0.0,0
2013-02-26,25.27,25.27,24.84,24.93,4463000,0.0,0
2013-02-27,24.85,24.85,24.46,24.69,12238400,0.0,0
2013-02-28,24.64,24.96,24.53,24.81,10321000,0.0,0
2013-03-01,24.73,25.59,24.56,25.41,8929400,0.0,0
2013-03-04,25.22,25.71,25.22,25.7,5420800,0.0,0
2013-03-05,25.84,25.92,25.06,25.21,6650400,0.0,0
2013-03-06,25.24,25.44,25.12,25.36,5489500,0.0,0
2013-03-07,25.3,25.55,25.16,25.2,4442500,0.0,0
2013-03-08,25.3,25.3,24.97,25.1,4114500,0.0,0
2013-03-11,25.03,25.64,24.92,25.32,4614400,0.0,0
2013-03-12,25.34,25.74,24.9,24.98,6523900,0.0,0
2013-03-13,25.0,25.26,24.89,24.98,3710600,0.0,0
2013-03-14,25.16,25.26,24.77,25.24,9859700,0.0,0
2013-03-15,25.16,25.9,25.05,25.87,12208300,0.0,0
2013-03-18,25.57,25.87,25.53,25.65,5178700,0.0,0
2013-03-19,25.71,25.81,25.43,25.78,5108400,0.0,0
2013-03-20,25.87,26.34,25.81,26.25,7072900,0.0,0
2013-03-21,26.09,26.19,25.86,25.87,4736100,0.0,0
2013-03-22,25.92,26.19,25.74,26.19,3323400,0.0,0
2013-03-25,26.29,26.56,26.16,26.43,6065000,0.0,0
2013-03-26,26.59,27.23,26.59,27.02,7249500,0.0,0
2013-03-27,27.03,27.08,26.65,26.98,4274800,0.0,0
2013-03-28,27.06,27.42,26.74,27.41,7263400,0.0,0
2013-04-01,26.86,27.65,26.86,27.64,5740000,0.0,0
2013-04-02,27.7,27.7,27.23,27.36,5510700,0.0,0
2013-04-03,27.39,27.86,27.12,27.27,4122100,0.0,0
2013-04-04,27.4,28.08,27.3,27.96,20687600,0.0,0
2013-04-05,27.76,27.89,27.62,27.76,14089800,0.0,0
2013-04-08,27.74,28.14,27.6,28.07,16449200,0.0,0
2013-04-09,28.2,29.28,28.09,28.6,8673900,0.0,0
2013-04-10,28.66,29.42,28.56,29.32,7809200,0.0,0
2013-04-11,29.45,29.65,29.24,29.3,6494100,0.4,0
2013-04-12,29.15,29.36,28.91,29.23,4199800,0.0,0
2013-04-15,29.08,29.19,28.09,28.11,7152500,0.0,0
2013-04-16,28.26,28.85,27.9,28.79,6998000,0.0,0
2013-04-17,28.58,28.78,28.09,28.65,5046200,0.0,0
2013-04-18,28.74,28.92,28.41,28.71,5009000,0.0,0
2013-04-19,28.83,28.88,28.62,28.75,6493200,0.0,0
2013-04-22,29.17,30.41,29.09,29.98,8531300,0.0,0
2013-04-23,30.26,31.42,30.12,30.62,9378100,0.0,0
2013-04-24,30.62,30.75,29.8,30.06,5541300,0.0,0
2013-04-25,30.35,30.38,29.68,30.01,5236900,0.0,0
2013-04-26,30.49,31.41,30.35,31.09,10096800,0.0,0
2013-04-29,31.09,31.15,30.56,30.68,6024700,0.0,0
2013-04-30,30.56,31.36,30.53,31.24,6798600,0.0,0
2013-05-01,31.03,31.26,30.9,30.9,6398100,0.0,0
2013-05-02,30.98,30.98,29.75,29.84,9649400,0.0,0
2013-05-03,30.06,30.37,29.73,30.31,4641200,0.0,0
2013-05-06,30.49,30.49,29.95,30.25,4085700,0.0,0
2013-05-07,30.18,30.52,30.13,30.46,3745600,0.0,0
2013-05-08,30.53,30.56,29.43,29.5,6973200,0.0,0
2013-05-09,29.4,30.15,29.34,30.01,5046900,0.0,0
2013-05-10,29.99,30.53,29.98,30.53,4455800,0.0,0
2013-05-13,30.38,30.38,29.96,30.21,3738400,0.0,0
2013-05-14,29.91,30.88,29.91,30.76,5760300,0.0,0
2013-05-15,31.01,31.83,30.85,31.22,6702500,0.0,0
2013-05-16,31.24,31.81,31.21,31.34,4605300,0.0,0
2013-05-17,31.22,32.11,31.1,32.0,5244800,0.0,0
2013-05-20,31.96,31.97,31.25,31.38,3537800,0.0,0
2013-05-21,31.33,31.85,31.32,31.57,4708800,0.0,0
2013-05-22,31.51,32.56,31.1,31.72,5203500,0.0,0
2013-05-23,31.28,31.85,31.22,31.6,3306200,0.0,0
2013-05-24,31.37,31.53,30.73,30.82,4511700,0.0,0
2013-05-28,31.13,31.23,30.32,30.79,6181800,0.0,0
2013-05-29,30.45,30.65,29.7,29.76,6908400,0.0,0
2013-05-30,29.89,30.6,29.89,30.22,4852200,0.0,0
2013-05-31,30.03,30.31,28.95,28.96,9308800,0.0,0
2013-06-03,29.09,29.56,29.0,29.41,7176800,0.0,0
2013-06-04,29.45,30.16,29.42,29.59,4528400,0.0,0
2013-06-05,29.5,29.78,28.96,29.19,4801300,0.0,0
2013-06-06,29.32,29.55,28.93,29.51,4261300,0.0,0
2013-06-07,29.66,30.03,29.51,29.84,5463200,0.0,0
2013-06-10,30.07,30.07,29.32,29.79,4702700,0.0,0
2013-06-11,29.38,29.88,29.2,29.57,3574800,0.0,0
2013-06-12,29.78,29.84,28.98,29.01,3742600,0.0,0
2013-06-13,28.77,29.3,27.2,29.27,6096500,0.0,0
2013-06-14,29.15,29.51,28.83,29.31,4078500,0.0,0
2013-06-17,29.44,29.51,28.95,29.17,3457700,0.0,0
2013-06-18,29.15,29.55,28.92,29.53,3644900,0.0,0
2013-06-19,29.55,29.73,29.17,29.19,3663300,0.0,0
2013-06-20,28.93,29.02,27.75,27.85,7474900,0.0,0
2013-06-21,28.26,28.97,27.95,28.91,9825700,0.0,0
2013-06-24,28.54,28.76,28.03,28.41,6042400,0.0,0
