Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.21,0.2,0.21,7513463,0.0,0.0
1980-03-18,0.0,0.21,0.2,0.21,5303621,0.0,0.0
1980-03-19,0.0,0.21,0.21,0.21,2523497,0.0,0.0
1980-03-20,0.0,0.21,0.21,0.21,4654925,0.0,0.0
1980-03-21,0.0,0.21,0.21,0.21,1333034,0.0,0.0
1980-03-24,0.0,0.2,0.2,0.2,4106029,0.0,0.0
1980-03-25,0.0,0.21,0.2,0.2,8575613,0.0,0.0
1980-03-26,0.0,0.2,0.2,0.2,3728217,0.0,0.0
1980-03-27,0.0,0.2,0.2,0.2,4277113,0.0,0.0
1980-03-28,0.0,0.21,0.2,0.21,2644682,0.0,0.0
1980-03-31,0.0,0.21,0.21,0.21,4056129,0.0,0.0
1980-04-01,0.0,0.21,0.21,0.21,7584748,0.0,0.0
1980-04-02,0.0,0.21,0.21,0.21,4932938,0.0,0.0
1980-04-03,0.0,0.21,0.21,0.21,3279120,0.0,0.0
1980-04-07,0.0,0.21,0.21,0.21,2701710,0.0,0.0
1980-04-08,0.0,0.21,0.21,0.21,5004223,0.0,0.0
1980-04-09,0.0,0.22,0.21,0.22,1632432,0.0,0.0
1980-04-10,0.0,0.22,0.22,0.22,3079522,0.0,0.0
1980-04-11,0.0,0.23,0.23,0.23,4220085,0.0,0.0
1980-04-14,0.0,0.22,0.22,0.22,4597897,0.0,0.0
1980-04-15,0.0,0.22,0.22,0.22,2423698,0.0,0.0
1980-04-16,0.0,0.23,0.22,0.22,4904423,0.0,0.0
1980-04-17,0.0,0.22,0.22,0.22,2644682,0.0,0.0
1980-04-18,0.0,0.22,0.22,0.22,2388055,0.0,0.0
1980-04-21,0.0,0.22,0.22,0.22,2530625,0.0,0.0
1980-04-22,0.0,0.23,0.22,0.23,2067272,0.0,0.0
1980-04-23,0.0,0.23,0.22,0.23,4776110,0.0,0.0
1980-04-24,0.0,0.23,0.23,0.23,2587654,0.0,0.0
1980-04-25,0.0,0.23,0.22,0.23,6465570,0.0,0.0
1980-04-28,0.0,0.23,0.23,0.23,3100907,0.0,0.0
1980-04-29,0.0,0.23,0.23,0.23,1525504,0.0,0.0
1980-04-30,0.0,0.23,0.23,0.23,4298499,0.0,0.0
1980-05-01,0.0,0.23,0.23,0.23,5339263,0.0,0.0
1980-05-02,0.0,0.23,0.23,0.23,3464462,0.0,0.0
1980-05-05,0.0,0.23,0.23,0.23,1860544,0.0,0.0
1980-05-06,0.0,0.24,0.23,0.23,3243478,0.0,0.0
1980-05-07,0.0,0.24,0.23,0.24,3264863,0.0,0.0
1980-05-08,0.0,0.24,0.23,0.23,3892173,0.0,0.0
1980-05-09,0.0,0.23,0.23,0.23,1055021,0.0,0.0
1980-05-12,0.0,0.23,0.23,0.23,1055021,0.0,0.0
1980-05-13,0.0,0.23,0.23,0.23,1603918,0.0,0.0
1980-05-14,0.0,0.23,0.23,0.23,3550004,0.0,0.0
1980-05-15,0.0,0.24,0.23,0.24,4391170,0.0,0.0
1980-05-16,0.0,0.24,0.23,0.23,3386048,0.0,0.0
1980-05-19,0.0,0.23,0.23,0.23,2708839,0.0,0.0
1980-05-20,0.0,0.23,0.23,0.23,1632432,0.0,0.0
1980-05-21,0.0,0.23,0.23,0.23,2395184,0.0,0.0
1980-05-22,0.0,0.24,0.23,0.24,3236349,0.0,0.0
1980-05-23,0.0,0.25,0.24,0.24,5353520,0.0,0.0
1980-05-27,0.0,0.25,0.24,0.24,1917573,0.0,0.0
1980-05-28,0.0,0.25,0.24,0.25,3628418,0.0,0.0
1980-05-29,0.0,0.25,0.24,0.25,3535747,0.0,0.0
1980-05-30,0.0,0.25,0.24,0.25,3393177,0.0,0.0
1980-06-02,0.0,0.25,0.24,0.24,1261748,0.0,0.0
1980-06-03,0.0,0.25,0.24,0.25,3364663,0.0,0.0
1980-06-04,0.0,0.25,0.24,0.25,3571390,0.0,0.0
1980-06-05,0.0,0.25,0.24,0.24,7000209,0.0,0.0
1980-06-06,0.0,0.25,0.24,0.25,3492976,0.0,0.0
1980-06-09,0.0,0.25,0.25,0.25,1653817,0.0,0.0
1980-06-10,0.0,0.26,0.25,0.26,5225207,0.0,0.0
1980-06-11,0.0,0.27,0.26,0.26,8247700,0.0,0.0
1980-06-12,0.0,0.26,0.26,0.26,2986851,0.0,0.0
1980-06-13,0.0,0.26,0.26,0.26,2509240,0.0,0.0
1980-06-16,0.0,0.26,0.26,0.26,1418576,0.0,0.0
1980-06-17,0.0,0.26,0.26,0.26,1047893,0.0,0.0
1980-06-18,0.0,0.26,0.26,0.26,1561146,0.0,0.0
1980-06-19,0.0,0.26,0.26,0.26,2644682,0.0,0.0
1980-06-20,0.0,0.26,0.26,0.26,6764968,0.0,0.0
1980-06-23,0.0,0.26,0.25,0.25,4127414,0.0,0.0
1980-06-24,0.0,0.26,0.25,0.26,4861652,0.0,0.0
1980-06-25,0.0,0.26,0.26,0.26,3157935,0.0,0.0
1980-06-26,0.0,0.26,0.25,0.25,1375805,0.0,0.0
1980-06-27,0.0,0.26,0.25,0.25,2138557,0.0,0.0
1980-06-30,0.0,0.25,0.24,0.24,3492976,0.0,0.0
1980-07-01,0.0,0.25,0.24,0.25,4818881,0.0,0.0
1980-07-02,0.0,0.26,0.25,0.25,4441069,0.0,0.0
1980-07-03,0.0,0.26,0.25,0.25,14107346,0.0,0.0
1980-07-07,0.0,0.26,0.25,0.25,3749603,0.0,0.0
1980-07-08,0.0,0.25,0.25,0.25,1803516,0.0,0.0
1980-07-09,0.0,0.25,0.25,0.25,6950309,0.0,0.0
1980-07-10,0.0,0.25,0.24,0.24,5104022,0.0,0.0
1980-07-11,0.0,0.25,0.24,0.24,7021595,0.0,0.0
1980-07-14,0.0,0.24,0.24,0.24,6116272,0.0,0.0
1980-07-15,0.0,0.25,0.24,0.25,15582950,0.0,0.0
1980-07-16,0.0,0.25,0.24,0.24,2929823,0.0,0.0
1980-07-17,0.0,0.25,0.24,0.25,5431934,0.0,0.0
1980-07-18,0.0,0.25,0.25,0.25,13529936,0.0,0.0
1980-07-21,0.0,0.26,0.25,0.26,3856531,0.0,0.0
1980-07-22,0.0,0.26,0.26,0.26,5004223,0.0,0.0
1980-07-23,0.0,0.26,0.26,0.26,3300506,0.0,0.0
1980-07-24,0.0,0.26,0.26,0.26,2302513,0.0,0.0
1980-07-25,0.0,0.26,0.26,0.26,2487854,0.0,0.0
1980-07-28,0.0,0.26,0.26,0.26,2309641,0.0,0.0
1980-07-29,0.0,0.27,0.26,0.27,2224099,0.0,0.0
1980-07-30,0.0,0.28,0.27,0.28,4875909,0.0,0.0
1980-07-31,0.0,0.28,0.27,0.28,3329020,0.0,0.0
1980-08-01,0.0,0.28,0.28,0.28,5339263,0.0,0.0
1980-08-04,0.0,0.28,0.27,0.28,2744481,0.0,0.0
1980-08-05,0.0,0.28,0.28,0.28,2167071,0.0,0.0
1980-08-06,0.0,0.28,0.28,0.28,1611046,0.0,0.0
1980-08-07,0.0,0.28,0.28,0.28,4997094,0.0,0.0
1980-08-08,0.0,0.29,0.28,0.28,3022494,0.0,0.0
1980-08-11,0.0,0.29,0.28,0.29,6586755,0.0,0.0
1980-08-12,0.0,0.3,0.29,0.29,4141672,0.0,0.0
1980-08-13,0.0,0.29,0.29,0.29,7185551,0.0,0.0
1980-08-14,0.0,0.29,0.28,0.28,1568275,0.0,0.0
1980-08-15,0.0,0.28,0.28,0.28,2609039,0.0,0.0
1980-08-18,0.0,0.28,0.28,0.28,13586964,0.0,0.0
1980-08-19,0.0,0.28,0.28,0.28,6665168,0.0,0.0
1980-08-20,0.0,0.28,0.27,0.28,2031629,0.0,0.0
1980-08-21,0.0,0.28,0.28,0.28,1988858,0.0,0.0
1980-08-22,0.0,0.29,0.28,0.29,5182436,0.0,0.0
1980-08-25,0.0,0.29,0.28,0.29,2045886,0.0,0.0
1980-08-26,0.0,0.29,0.29,0.29,1290263,0.0,0.0
1980-08-27,0.0,0.29,0.28,0.28,2409441,0.0,0.0
1980-08-28,0.0,0.28,0.28,0.28,1924701,0.0,0.0
1980-08-29,0.0,0.28,0.28,0.28,1539761,0.0,0.0
1980-09-02,0.0,0.28,0.28,0.28,1539761,0.0,0.0
1980-09-03,0.0,0.29,0.28,0.29,1554018,0.0,0.0
1980-09-04,0.0,0.29,0.28,0.28,5446191,0.0,0.0
1980-09-05,0.0,0.28,0.28,0.28,4141672,0.0,0.0
1980-09-08,0.0,0.28,0.28,0.28,1133435,0.0,0.0
1980-09-09,0.0,0.29,0.28,0.28,1290263,0.0,0.0
1980-09-10,0.0,0.29,0.28,0.29,3400305,0.0,0.0
1980-09-11,0.0,0.29,0.29,0.29,2074400,0.0,0.0
1980-09-12,0.0,0.29,0.28,0.29,1518375,0.0,0.0
1980-09-15,0.0,0.29,0.28,0.28,1254620,0.0,0.0
1980-09-16,0.0,0.3,0.29,0.29,5161050,0.0,0.0
1980-09-17,0.0,0.31,0.3,0.31,12382243,0.0,0.0
1980-09-18,0.0,0.31,0.31,0.31,5702818,0.0,0.0
1980-09-19,0.0,0.32,0.31,0.32,4854524,0.0,0.0
1980-09-22,0.0,0.32,0.31,0.32,2530625,0.0,0.0
1980-09-23,0.0,0.32,0.31,0.31,7770089,0.0,0.0
1980-09-24,0.0,0.31,0.3,0.31,4269985,0.0,0.0
1980-09-25,0.0,0.31,0.3,0.3,4220085,0.0,0.0
1980-09-26,0.0,0.3,0.3,0.3,2815766,0.0,0.0
1980-09-29,0.0,0.3,0.3,0.3,3264863,0.0,0.0
1980-09-30,0.0,0.3,0.29,0.3,2067272,0.0,0.0
1980-10-01,0.0,0.3,0.3,0.3,3500105,0.0,0.0
1980-10-02,0.0,0.3,0.3,0.3,2302513,0.0,0.0
1980-10-03,0.0,0.31,0.3,0.31,1710845,0.0,0.0
1980-10-06,0.0,0.31,0.3,0.31,1325905,0.0,0.0
1980-10-07,0.0,0.31,0.31,0.31,3008236,0.0,0.0
1980-10-08,0.0,0.31,0.31,0.31,2723096,0.0,0.0
1980-10-09,0.0,0.32,0.31,0.31,969479,0.0,0.0
1980-10-10,0.0,0.31,0.3,0.3,2081529,0.0,0.0
1980-10-13,0.0,0.3,0.3,0.3,1226106,0.0,0.0
1980-10-14,0.0,0.31,0.3,0.3,4113157,0.0,0.0
1980-10-15,0.0,0.3,0.3,0.3,4505226,0.0,0.0
1980-10-16,0.0,0.3,0.29,0.29,4426812,0.0,0.0
1980-10-17,0.0,0.3,0.29,0.29,1796388,0.0,0.0
1980-10-20,0.0,0.3,0.29,0.3,2038757,0.0,0.0
1980-10-21,0.0,0.3,0.29,0.29,2644682,0.0,0.0
1980-10-22,0.0,0.3,0.29,0.29,1853416,0.0,0.0
1980-10-23,0.0,0.3,0.29,0.29,1290263,0.0,0.0
1980-10-24,0.0,0.3,0.29,0.29,1817773,0.0,0.0
1980-10-27,0.0,0.29,0.29,0.29,2081529,0.0,0.0
1980-10-28,0.0,0.29,0.28,0.28,2730224,0.0,0.0
1980-10-29,0.0,0.29,0.29,0.29,1340162,0.0,0.0
1980-10-30,0.0,0.28,0.27,0.27,5617276,0.0,0.0
1980-10-31,0.0,0.29,0.28,0.29,4327013,0.0,0.0
1980-11-03,0.0,0.29,0.29,0.29,1475604,0.0,0.0
1980-11-05,0.0,0.3,0.29,0.29,10642884,0.0,0.0
1980-11-06,0.0,0.29,0.28,0.28,4376913,0.0,0.0
1980-11-07,0.0,0.29,0.28,0.28,5524605,0.0,0.0
1980-11-10,0.0,0.28,0.28,0.28,4227214,0.0,0.0
1980-11-11,0.0,0.28,0.28,0.28,2587654,0.0,0.0
1980-11-12,0.0,0.28,0.27,0.28,6529727,0.0,0.0
1980-11-13,0.0,0.29,0.29,0.29,11983046,0.0,0.0
1980-11-14,0.0,0.29,0.29,0.29,6258843,0.0,0.0
1980-11-17,0.0,0.3,0.29,0.29,4034744,0.0,0.0
1980-11-18,0.0,0.3,0.29,0.29,4469584,0.0,0.0
1980-11-19,0.0,0.3,0.29,0.3,5973702,0.0,0.0
1980-11-20,0.0,0.3,0.29,0.29,4319885,0.0,0.0
1980-11-21,0.0,0.3,0.29,0.29,5317878,0.0,0.0
1980-11-24,0.0,0.3,0.29,0.29,2865666,0.0,0.0
1980-11-25,0.0,0.31,0.29,0.31,6151915,0.0,0.0
1980-11-26,0.0,0.31,0.31,0.31,3492976,0.0,0.0
1980-11-28,0.0,0.31,0.31,0.31,1347291,0.0,0.0
1980-12-01,0.0,0.31,0.3,0.3,2131428,0.0,0.0
1980-12-02,0.0,0.3,0.3,0.3,1981729,0.0,0.0
1980-12-03,0.0,0.3,0.3,0.3,1247491,0.0,0.0
1980-12-04,0.0,0.31,0.3,0.31,2666067,0.0,0.0
1980-12-05,0.0,0.31,0.3,0.31,2851409,0.0,0.0
1980-12-08,0.0,0.3,0.3,0.3,4512355,0.0,0.0
1980-12-09,0.0,0.3,0.29,0.3,2708839,0.0,0.0
1980-12-10,0.0,0.3,0.28,0.28,4633540,0.0,0.0
1980-12-11,0.0,0.28,0.28,0.28,5011351,0.0,0.0
1980-12-12,0.0,0.29,0.28,0.29,7762961,0.0,0.0
1980-12-15,0.0,0.29,0.29,0.29,1917573,0.0,0.0
1980-12-16,0.0,0.3,0.29,0.29,2559140,0.0,0.0
1980-12-17,0.0,0.29,0.29,0.29,3649803,0.0,0.0
1980-12-18,0.0,0.29,0.29,0.29,4391170,0.0,0.0
1980-12-19,0.0,0.29,0.29,0.29,1746488,0.0,0.0
1980-12-22,0.0,0.3,0.29,0.3,5374906,0.0,0.0
1980-12-23,0.0,0.31,0.3,0.31,3300506,0.0,0.0
1980-12-24,0.0,0.31,0.31,0.31,1311648,0.0,0.0
1980-12-26,0.0,0.31,0.31,0.31,377812,0.0,0.0
1980-12-29,0.0,0.32,0.31,0.32,1917573,0.0,0.0
1980-12-30,0.0,0.32,0.31,0.32,2402312,0.0,0.0
1980-12-31,0.0,0.33,0.31,0.33,2616168,0.0,0.0
1981-01-02,0.0,0.33,0.32,0.33,1603918,0.0,0.0
1981-01-05,0.0,0.33,0.33,0.33,2844280,0.0,0.0
1981-01-06,0.0,0.34,0.33,0.34,8618384,0.0,0.0
1981-01-07,0.0,0.34,0.33,0.34,12175516,0.0,0.0
1981-01-08,0.0,0.35,0.34,0.34,18584058,0.0,0.0
1981-01-09,0.0,0.35,0.33,0.34,4041872,0.0,0.0
1981-01-12,0.0,0.34,0.33,0.33,3599904,0.0,0.0
1981-01-13,0.0,0.33,0.33,0.33,1575403,0.0,0.0
1981-01-14,0.0,0.33,0.33,0.33,1796388,0.0,0.0
1981-01-15,0.0,0.33,0.32,0.32,6565369,0.0,0.0
1981-01-16,0.0,0.33,0.32,0.32,2965465,0.0,0.0
1981-01-19,0.0,0.33,0.32,0.33,3229221,0.0,0.0
1981-01-20,0.0,0.33,0.32,0.32,1454219,0.0,0.0
1981-01-21,0.0,0.32,0.32,0.32,1104921,0.0,0.0
1981-01-22,0.0,0.33,0.31,0.32,3920687,0.0,0.0
1981-01-23,0.0,0.31,0.31,0.31,14592085,0.0,0.0
1981-01-26,0.0,0.31,0.31,0.31,1539761,0.0,0.0
1981-01-27,0.0,0.32,0.31,0.31,4989966,0.0,0.0
1981-01-28,0.0,0.32,0.31,0.31,1803516,0.0,0.0
1981-01-29,0.0,0.32,0.32,0.32,2145685,0.0,0.0
1981-01-30,0.0,0.32,0.32,0.32,1268877,0.0,0.0
1981-02-02,0.0,0.32,0.31,0.31,5139665,0.0,0.0
1981-02-03,0.0,0.32,0.31,0.32,2801509,0.0,0.0
1981-02-04,0.0,0.32,0.32,0.32,2915566,0.0,0.0
1981-02-05,0.0,0.33,0.32,0.33,2537754,0.0,0.0
1981-02-06,0.0,0.33,0.33,0.33,6102015,0.0,0.0
1981-02-09,0.0,0.33,0.33,0.33,3607032,0.0,0.0
