Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.06,0.98,0.98,1377249,0.0,0.0
1980-03-18,0.0,1.01,0.97,1.01,2353171,0.0,0.0
1980-03-19,0.0,1.07,1.02,1.02,2341324,0.0,0.0
1980-03-20,0.0,1.06,1.03,1.05,1187692,0.0,0.0
1980-03-21,0.0,1.05,1.02,1.02,294702,0.0,0.0
1980-03-24,0.0,1.03,0.98,0.99,975922,0.0,0.0
1980-03-25,0.0,1.0,0.94,0.95,1677875,0.0,0.0
1980-03-26,0.0,0.96,0.91,0.91,3360192,0.0,0.0
1980-03-27,0.0,0.92,0.8,0.89,3671184,0.0,0.0
1980-03-28,0.0,0.98,0.88,0.98,2955903,0.0,0.0
1980-03-31,0.0,1.04,0.99,1.02,669373,0.0,0.0
1980-04-01,0.0,1.06,1.03,1.06,1218792,0.0,0.0
1980-04-02,0.0,1.06,1.03,1.03,1378730,0.0,0.0
1980-04-03,0.0,1.03,1.01,1.02,903357,0.0,0.0
1980-04-07,0.0,1.02,0.98,0.99,980365,0.0,0.0
1980-04-08,0.0,1.0,0.98,1.0,494625,0.0,0.0
1980-04-09,0.0,1.0,0.99,0.99,716762,0.0,0.0
1980-04-10,0.0,1.03,1.0,1.03,1473509,0.0,0.0
1980-04-11,0.0,1.04,1.03,1.04,1329860,0.0,0.0
1980-04-14,0.0,1.03,1.02,1.03,580518,0.0,0.0
1980-04-15,0.0,1.03,1.02,1.02,174748,0.0,0.0
1980-04-16,0.0,1.05,0.98,0.98,1069219,0.0,0.0
1980-04-17,0.0,0.99,0.96,0.96,1138822,0.0,0.0
1980-04-18,0.0,0.98,0.95,0.96,808579,0.0,0.0
1980-04-21,0.0,0.95,0.92,0.93,527205,0.0,0.0
1980-04-22,0.0,1.04,0.97,1.03,1386135,0.0,0.0
1980-04-23,0.0,1.06,0.98,0.98,2695262,0.0,0.0
1980-04-24,0.0,1.02,0.96,1.01,1052929,0.0,0.0
1980-04-25,0.0,1.03,0.98,1.03,567190,0.0,0.0
1980-04-28,0.0,1.09,1.04,1.08,783403,0.0,0.0
1980-04-29,0.0,1.1,1.07,1.08,284335,0.0,0.0
1980-04-30,0.0,1.13,1.09,1.12,1135860,0.0,0.0
1980-05-01,0.0,1.13,1.09,1.1,546457,0.0,0.0
1980-05-02,0.0,1.12,1.09,1.11,414656,0.0,0.0
1980-05-05,0.0,1.16,1.1,1.16,894472,0.0,0.0
1980-05-06,0.0,1.22,1.15,1.19,1706012,0.0,0.0
1980-05-07,0.0,1.23,1.19,1.22,527205,0.0,0.0
1980-05-08,0.0,1.23,1.19,1.2,1273585,0.0,0.0
1980-05-09,0.0,1.2,1.18,1.19,730090,0.0,0.0
1980-05-12,0.0,1.23,1.18,1.23,789327,0.0,0.0
1980-05-13,0.0,1.24,1.21,1.23,601251,0.0,0.0
1980-05-14,0.0,1.24,1.21,1.22,322839,0.0,0.0
1980-05-15,0.0,1.22,1.19,1.19,1269143,0.0,0.0
1980-05-16,0.0,1.19,1.17,1.17,450198,0.0,0.0
1980-05-19,0.0,1.19,1.15,1.19,401327,0.0,0.0
1980-05-20,0.0,1.2,1.17,1.18,583480,0.0,0.0
1980-05-21,0.0,1.19,1.16,1.18,904838,0.0,0.0
1980-05-22,0.0,1.23,1.19,1.22,641235,0.0,0.0
1980-05-23,0.0,1.26,1.23,1.23,778960,0.0,0.0
1980-05-27,0.0,1.27,1.22,1.27,938899,0.0,0.0
1980-05-28,0.0,1.29,1.26,1.29,1023311,0.0,0.0
1980-05-29,0.0,1.29,1.22,1.22,688625,0.0,0.0
1980-05-30,0.0,1.22,1.19,1.21,1994790,0.0,0.0
1980-06-02,0.0,1.26,1.21,1.24,513877,0.0,0.0
1980-06-03,0.0,1.25,1.22,1.24,533129,0.0,0.0
1980-06-04,0.0,1.3,1.23,1.27,1039601,0.0,0.0
1980-06-05,0.0,1.28,1.22,1.22,544976,0.0,0.0
1980-06-06,0.0,1.25,1.22,1.24,620503,0.0,0.0
1980-06-09,0.0,1.26,1.23,1.24,1067738,0.0,0.0
1980-06-10,0.0,1.25,1.23,1.24,624945,0.0,0.0
1980-06-11,0.0,1.25,1.23,1.24,1075143,0.0,0.0
1980-06-12,0.0,1.25,1.22,1.22,581999,0.0,0.0
