Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-02-22,4.59,4.59,4.51,4.51,20800,0.0,0.0
1994-02-23,4.43,4.43,4.2,4.32,31600,0.0,0.0
1994-02-24,4.32,4.32,4.24,4.24,32000,0.0,0.0
1994-02-25,4.16,4.16,3.89,4.01,49800,0.0,0.0
1994-02-28,4.05,4.2,4.01,4.12,170400,0.0,0.0
1994-03-01,4.12,4.12,4.05,4.08,41600,0.0,0.0
1994-03-02,4.01,4.08,4.01,4.08,67000,0.0,0.0
1994-03-03,4.12,4.12,4.05,4.05,27800,0.0,0.0
1994-03-04,4.05,4.2,4.01,4.2,358200,0.0,0.0
1994-03-07,4.01,4.24,4.01,4.2,690800,0.0,0.0
1994-03-08,4.2,4.24,4.2,4.24,515200,0.0,0.0
1994-03-09,4.24,4.28,4.24,4.28,540400,0.0,0.0
1994-03-10,4.28,4.28,4.24,4.28,1832200,0.0,0.0
1994-03-11,4.32,4.47,4.32,4.47,1895400,0.0,0.0
1994-03-14,4.47,4.75,4.47,4.71,1413800,0.0,0.0
1994-03-15,4.71,4.78,4.63,4.63,1665200,0.0,0.0
1994-03-16,4.63,4.63,4.55,4.63,717000,0.0,0.0
1994-03-17,4.64,4.8,4.64,4.72,971200,0.02,0.0
1994-03-18,4.76,4.8,4.76,4.76,1178000,0.0,0.0
1994-03-21,4.76,4.8,4.76,4.8,659400,0.0,0.0
1994-03-22,4.8,4.92,4.8,4.88,374000,0.0,0.0
1994-03-23,4.88,4.96,4.84,4.92,430200,0.0,0.0
1994-03-24,4.88,4.92,4.84,4.84,747000,0.0,0.0
1994-03-25,4.88,4.88,4.76,4.8,370000,0.0,0.0
1994-03-28,4.8,4.8,4.76,4.76,1116200,0.0,0.0
1994-03-29,4.76,4.8,4.68,4.68,595800,0.0,0.0
1994-03-30,4.68,4.68,4.57,4.61,653000,0.0,0.0
1994-03-31,4.61,4.64,4.53,4.61,448400,0.0,0.0
1994-04-04,4.45,4.61,4.45,4.61,386600,0.0,0.0
1994-04-05,4.57,4.8,4.57,4.76,361600,0.0,0.0
1994-04-06,4.76,4.8,4.61,4.61,551400,0.0,0.0
1994-04-07,4.68,4.68,4.61,4.64,338400,0.0,0.0
1994-04-08,4.57,4.68,4.57,4.68,166000,0.0,0.0
1994-04-11,4.68,4.76,4.53,4.53,424800,0.0,0.0
1994-04-12,4.45,4.53,4.45,4.45,602800,0.0,0.0
1994-04-13,4.45,4.57,4.37,4.37,504600,0.0,0.0
1994-04-14,4.41,4.41,4.33,4.33,378200,0.0,0.0
1994-04-15,4.29,4.41,4.29,4.29,197600,0.0,0.0
1994-04-18,4.37,4.53,4.37,4.53,184800,0.0,0.0
1994-04-19,4.49,4.57,4.49,4.53,122200,0.0,0.0
1994-04-20,4.57,4.57,4.45,4.45,201400,0.0,0.0
1994-04-21,4.45,4.57,4.29,4.29,858200,0.0,0.0
1994-04-22,4.37,4.53,4.37,4.53,411400,0.0,0.0
1994-04-25,4.49,4.76,4.49,4.76,330600,0.0,0.0
1994-04-26,4.72,4.72,4.53,4.61,313400,0.0,0.0
1994-04-28,4.57,4.57,4.45,4.57,161600,0.0,0.0
1994-04-29,4.53,4.57,4.49,4.53,344600,0.0,0.0
1994-05-02,4.49,4.57,4.41,4.49,135800,0.0,0.0
1994-05-03,4.53,4.64,4.45,4.49,375200,0.0,0.0
1994-05-04,4.45,4.61,4.45,4.57,491800,0.0,0.0
1994-05-05,4.57,4.57,4.49,4.53,152800,0.0,0.0
1994-05-06,4.53,4.57,4.53,4.53,272800,0.0,0.0
1994-05-09,4.53,4.57,4.53,4.53,161600,0.0,0.0
1994-05-10,4.53,4.68,4.53,4.68,308200,0.0,0.0
1994-05-11,4.68,4.8,4.68,4.72,388600,0.0,0.0
1994-05-12,4.68,4.84,4.68,4.84,155000,0.0,0.0
1994-05-13,4.8,4.84,4.61,4.61,105200,0.0,0.0
1994-05-16,4.61,4.72,4.61,4.64,206800,0.0,0.0
1994-05-17,4.68,4.72,4.64,4.68,422600,0.0,0.0
1994-05-18,4.68,4.68,4.64,4.68,130800,0.0,0.0
1994-05-19,4.64,4.76,4.61,4.72,199400,0.0,0.0
1994-05-20,4.68,4.72,4.61,4.61,119600,0.0,0.0
1994-05-23,4.57,4.61,4.53,4.53,195600,0.0,0.0
1994-05-24,4.64,4.72,4.61,4.72,158200,0.0,0.0
1994-05-25,4.68,4.84,4.68,4.8,104800,0.0,0.0
1994-05-26,4.84,4.84,4.72,4.84,345800,0.0,0.0
1994-05-27,4.8,4.88,4.76,4.88,298000,0.0,0.0
1994-05-31,4.96,5.15,4.92,5.03,456400,0.0,0.0
1994-06-01,5.03,5.03,4.92,4.92,268200,0.0,0.0
1994-06-02,5.0,5.03,4.88,4.92,81000,0.0,0.0
1994-06-03,4.88,4.96,4.76,4.84,397400,0.0,0.0
1994-06-06,4.92,4.96,4.88,4.92,75600,0.0,0.0
1994-06-07,4.84,4.96,4.84,4.96,92800,0.0,0.0
1994-06-08,4.96,4.96,4.92,4.92,107600,0.0,0.0
1994-06-09,4.89,4.95,4.89,4.93,187800,0.02,0.0
1994-06-10,4.93,4.93,4.82,4.82,280600,0.0,0.0
1994-06-13,4.85,4.93,4.74,4.93,97600,0.0,0.0
1994-06-14,4.93,5.05,4.89,5.05,339800,0.0,0.0
1994-06-15,5.01,5.13,5.01,5.13,305200,0.0,0.0
1994-06-16,5.09,5.32,5.05,5.32,393800,0.0,0.0
1994-06-17,5.32,5.32,5.17,5.17,407200,0.0,0.0
1994-06-20,5.09,5.17,5.05,5.09,47800,0.0,0.0
1994-06-21,5.09,5.32,5.09,5.32,556200,0.0,0.0
1994-06-22,5.25,5.4,5.25,5.32,759200,0.0,0.0
1994-06-23,5.29,5.32,5.29,5.32,553200,0.0,0.0
1994-06-24,5.29,5.32,5.25,5.25,1003800,0.0,0.0
1994-06-27,5.25,5.25,5.09,5.17,295200,0.0,0.0
1994-06-28,5.13,5.17,5.09,5.09,165800,0.0,0.0
1994-06-29,5.09,5.09,5.01,5.01,396200,0.0,0.0
1994-06-30,5.01,5.13,5.01,5.13,453200,0.0,0.0
1994-07-01,5.13,5.17,5.05,5.09,870200,0.0,0.0
1994-07-05,5.05,5.17,5.05,5.13,685600,0.0,0.0
1994-07-06,5.13,5.17,5.09,5.09,163800,0.0,0.0
