Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-09-30,0.0,0.47,0.45,0.45,18000,0.0,0.0
1983-10-03,0.0,0.46,0.45,0.45,18000,0.0,0.0
1983-10-04,0.0,0.45,0.45,0.45,21600,0.0,0.0
1983-10-05,0.0,0.44,0.39,0.39,127800,0.0,0.0
1983-10-06,0.0,0.4,0.39,0.4,118800,0.0,0.0
1983-10-07,0.0,0.4,0.4,0.4,37800,0.0,0.0
1983-10-10,0.0,0.43,0.39,0.43,104400,0.0,0.0
1983-10-11,0.0,0.44,0.42,0.42,75600,0.0,0.0
1983-10-12,0.0,0.41,0.39,0.39,84600,0.0,0.0
1983-10-13,0.0,0.4,0.4,0.4,14400,0.0,0.0
1983-10-14,0.0,0.39,0.39,0.39,50400,0.0,0.0
1983-10-17,0.0,0.4,0.39,0.39,54000,0.0,0.0
1983-10-18,0.0,0.39,0.39,0.39,7200,0.0,0.0
1983-10-19,0.0,0.39,0.39,0.39,28800,0.0,0.0
1983-10-20,0.0,0.39,0.39,0.39,5400,0.0,0.0
1983-10-21,0.0,0.39,0.39,0.39,1800,0.0,0.0
1983-10-24,0.0,0.38,0.35,0.35,54000,0.0,0.0
1983-10-25,0.0,0.35,0.34,0.35,30600,0.0,0.0
1983-10-26,0.0,0.35,0.32,0.32,169200,0.0,0.0
1983-10-27,0.0,0.32,0.3,0.32,117000,0.0,0.0
1983-10-28,0.0,0.35,0.32,0.35,153000,0.0,0.0
1983-10-31,0.0,0.36,0.35,0.35,45000,0.0,0.0
1983-11-01,0.0,0.35,0.35,0.35,23400,0.0,0.0
1983-11-02,0.0,0.36,0.36,0.36,3600,0.0,0.0
1983-11-03,0.0,0.36,0.35,0.35,12600,0.0,0.0
1983-11-04,0.0,0.35,0.34,0.34,16200,0.0,0.0
1983-11-07,0.0,0.34,0.33,0.33,9000,0.0,0.0
1983-11-08,0.0,0.34,0.33,0.34,9000,0.0,0.0
1983-11-09,0.0,0.34,0.33,0.34,12600,0.0,0.0
