Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.65,1.62,1.63,271547,0.0,0.0
1980-03-18,0.0,1.64,1.62,1.63,376188,0.0,0.0
1980-03-19,0.0,1.68,1.65,1.66,858746,0.0,0.0
1980-03-20,0.0,1.66,1.65,1.65,144422,0.0,0.0
1980-03-21,0.0,1.65,1.63,1.65,106370,0.0,0.0
1980-03-24,0.0,1.64,1.59,1.59,744593,0.0,0.0
1980-03-25,0.0,1.6,1.57,1.58,112424,0.0,0.0
1980-03-26,0.0,1.6,1.57,1.58,94263,0.0,0.0
1980-03-27,0.0,1.58,1.56,1.57,133179,0.0,0.0
1980-03-28,0.0,1.66,1.58,1.64,152205,0.0,0.0
1980-03-31,0.0,1.65,1.63,1.65,181608,0.0,0.0
1980-04-01,0.0,1.65,1.61,1.62,336407,0.0,0.0
1980-04-02,0.0,1.61,1.56,1.6,1004898,0.0,0.0
1980-04-03,0.0,1.56,1.53,1.55,418563,0.0,0.0
1980-04-07,0.0,1.56,1.53,1.55,635628,0.0,0.0
1980-04-08,0.0,1.58,1.53,1.56,486882,0.0,0.0
1980-04-09,0.0,1.62,1.59,1.62,211876,0.0,0.0
1980-04-10,0.0,1.66,1.63,1.66,40646,0.0,0.0
1980-04-11,0.0,1.73,1.68,1.73,82156,0.0,0.0
1980-04-14,0.0,1.73,1.72,1.72,133179,0.0,0.0
1980-04-15,0.0,1.72,1.69,1.71,142692,0.0,0.0
1980-04-16,0.0,1.69,1.66,1.67,457479,0.0,0.0
1980-04-17,0.0,1.67,1.61,1.61,449696,0.0,0.0
1980-04-18,0.0,1.62,1.56,1.58,270682,0.0,0.0
1980-04-21,0.0,1.56,1.55,1.55,140098,0.0,0.0
1980-04-22,0.0,1.67,1.56,1.67,378782,0.0,0.0
1980-04-23,0.0,1.71,1.65,1.68,315652,0.0,0.0
1980-04-24,0.0,1.73,1.67,1.72,84750,0.0,0.0
1980-04-25,0.0,1.76,1.71,1.75,35457,0.0,0.0
1980-04-28,0.0,1.76,1.73,1.75,110694,0.0,0.0
1980-04-29,0.0,1.78,1.74,1.77,255981,0.0,0.0
1980-04-30,0.0,1.8,1.76,1.8,267223,0.0,0.0
1980-05-01,0.0,1.84,1.79,1.79,677138,0.0,0.0
1980-05-02,0.0,1.79,1.77,1.78,364081,0.0,0.0
1980-05-05,0.0,1.8,1.79,1.79,681462,0.0,0.0
1980-05-06,0.0,1.81,1.77,1.79,608819,0.0,0.0
1980-05-07,0.0,1.79,1.75,1.75,327759,0.0,0.0
1980-05-08,0.0,1.75,1.71,1.71,134044,0.0,0.0
1980-05-09,0.0,1.71,1.65,1.66,79562,0.0,0.0
1980-05-12,0.0,1.65,1.59,1.61,614008,0.0,0.0
1980-05-13,0.0,1.62,1.59,1.62,604495,0.0,0.0
1980-05-14,0.0,1.65,1.61,1.64,443642,0.0,0.0
1980-05-15,0.0,1.64,1.62,1.62,678003,0.0,0.0
1980-05-16,0.0,1.63,1.6,1.62,126261,0.0,0.0
1980-05-19,0.0,1.63,1.62,1.62,402997,0.0,0.0
1980-05-20,0.0,1.63,1.61,1.63,83886,0.0,0.0
1980-05-21,0.0,1.63,1.6,1.63,269818,0.0,0.0
1980-05-22,0.0,1.79,1.62,1.72,1090513,0.0,0.0
1980-05-23,0.0,1.78,1.74,1.78,1250501,0.0,0.0
1980-05-27,0.0,1.79,1.78,1.79,104641,0.0,0.0
1980-05-28,0.0,1.79,1.76,1.78,63130,0.0,0.0
1980-05-29,0.0,1.78,1.73,1.75,704812,0.0,0.0
1980-05-30,0.0,1.78,1.72,1.78,71778,0.0,0.0
1980-06-02,0.0,1.78,1.75,1.76,31998,0.0,0.0
1980-06-03,0.0,1.78,1.73,1.78,316517,0.0,0.0
1980-06-04,0.0,1.82,1.77,1.82,223983,0.0,0.0
1980-06-05,0.0,1.88,1.82,1.82,204093,0.0,0.0
1980-06-06,0.0,1.82,1.79,1.79,180743,0.0,0.0
