Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-12-28,1.36,1.4,1.36,1.36,19200,0.0,0.0
1983-12-29,1.35,1.4,1.35,1.35,93900,0.0,0.0
1983-12-30,1.35,1.4,1.35,1.35,79800,0.0,0.0
1984-01-03,1.35,1.38,1.34,1.34,33000,0.0,0.0
1984-01-04,1.34,1.35,1.32,1.32,51600,0.0,0.0
1984-01-05,1.32,1.35,1.32,1.32,35100,0.0,0.0
1984-01-06,1.34,1.38,1.34,1.34,60600,0.0,0.0
1984-01-09,1.35,1.4,1.35,1.35,40200,0.0,0.0
1984-01-10,1.35,1.38,1.35,1.35,44400,0.0,0.0
1984-01-11,1.35,1.38,1.34,1.34,60000,0.0,0.0
1984-01-12,1.34,1.38,1.34,1.34,27900,0.0,0.0
1984-01-13,1.34,1.38,1.34,1.34,32700,0.0,0.0
1984-01-16,1.35,1.38,1.35,1.35,31800,0.0,0.0
1984-01-17,1.35,1.38,1.34,1.34,75600,0.0,0.0
1984-01-18,1.34,1.35,1.34,1.34,54600,0.0,0.0
1984-01-19,1.34,1.38,1.34,1.34,65700,0.0,0.0
1984-01-20,1.34,1.35,1.34,1.34,46500,0.0,0.0
1984-01-23,1.34,1.38,1.34,1.34,84900,0.0,0.0
1984-01-24,1.34,1.38,1.34,1.34,27600,0.0,0.0
1984-01-25,1.34,1.38,1.34,1.34,28200,0.0,0.0
1984-01-26,1.34,1.38,1.34,1.34,16500,0.0,0.0
1984-01-27,1.38,1.44,1.38,1.38,21900,0.0,0.0
1984-01-30,1.38,1.41,1.38,1.38,47400,0.0,0.0
1984-01-31,1.38,1.41,1.35,1.35,28800,0.0,0.0
1984-02-01,1.38,1.41,1.38,1.38,20700,0.0,0.0
1984-02-02,1.4,1.44,1.4,1.4,28500,0.0,0.0
1984-02-03,1.44,1.48,1.44,1.44,14100,0.0,0.0
1984-02-06,1.44,1.47,1.41,1.41,39900,0.0,0.0
1984-02-07,1.41,1.47,1.41,1.41,23100,0.0,0.0
1984-02-08,1.47,1.51,1.47,1.47,33300,0.0,0.0
1984-02-09,1.47,1.51,1.47,1.47,14100,0.0,0.0
1984-02-10,1.48,1.51,1.48,1.48,43500,0.0,0.0
1984-02-13,1.47,1.47,1.41,1.41,31800,0.0,0.0
1984-02-14,1.41,1.47,1.41,1.41,14400,0.0,0.0
1984-02-15,1.41,1.47,1.41,1.41,8400,0.0,0.0
1984-02-16,1.41,1.44,1.41,1.41,11100,0.0,0.0
