Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-08-06,12.26,12.56,11.56,12.02,24197800,0.0,0
2009-08-07,12.0,12.45,11.91,12.21,2454300,0.0,0
2009-08-10,12.35,12.35,11.6,11.86,2421000,0.0,0
2009-08-11,11.87,11.89,11.52,11.64,2305400,0.0,0
2009-08-12,12.0,12.04,11.63,11.89,1451300,0.0,0
2009-08-13,11.89,12.42,11.89,12.3,1150600,0.0,0
2009-08-14,12.26,12.63,12.07,12.33,637800,0.0,0
2009-08-17,12.09,12.16,12.04,12.05,254400,0.0,0
2009-08-18,12.24,12.78,12.15,12.68,1446700,0.0,0
2009-08-19,12.51,13.33,12.48,13.29,2070800,0.0,0
2009-08-20,13.34,13.34,12.85,13.19,1882100,0.0,0
2009-08-21,13.22,13.35,13.06,13.24,863600,0.0,0
2009-08-24,13.02,13.26,12.85,13.0,1021600,0.0,0
2009-08-25,13.11,13.3,13.04,13.26,530800,0.0,0
2009-08-26,13.14,13.26,12.74,13.26,708600,0.0,0
2009-08-27,13.26,13.53,13.04,13.49,1161100,0.0,0
2009-08-28,13.45,14.12,13.37,13.72,1295000,0.0,0
2009-08-31,13.63,13.67,13.23,13.52,1004800,0.0,0
2009-09-01,13.56,13.7,12.59,13.26,1383500,0.0,0
2009-09-02,13.19,13.56,12.99,13.13,1293400,0.0,0
2009-09-03,13.35,13.35,12.63,12.96,3657700,0.0,0
2009-09-04,13.19,13.37,12.99,13.19,1158600,0.0,0
2009-09-08,13.19,13.32,12.96,13.15,574900,0.0,0
2009-09-09,13.26,13.26,12.79,12.82,551200,0.0,0
2009-09-10,12.64,12.97,12.59,12.67,415200,0.0,0
2009-09-11,12.63,12.87,12.29,12.54,620300,0.0,0
2009-09-14,12.36,12.56,12.12,12.37,1614500,0.0,0
2009-09-15,12.82,12.89,12.35,12.76,1986900,0.0,0
2009-09-16,12.93,13.19,12.71,13.06,2021100,0.0,0
2009-09-17,13.12,13.3,12.28,12.36,1446400,0.0,0
2009-09-18,12.31,12.64,12.02,12.04,899900,0.0,0
2009-09-21,12.09,12.35,11.79,12.34,553000,0.0,0
2009-09-22,12.6,12.9,12.5,12.82,1114100,0.0,0
2009-09-23,13.09,13.22,12.85,12.93,530300,0.0,0
2009-09-24,12.87,13.26,12.44,12.99,778800,0.0,0
2009-09-25,12.99,12.99,12.7,12.73,468500,0.0,0
2009-09-28,12.87,13.26,12.65,13.11,233600,0.0,0
2009-09-29,13.04,13.25,12.59,12.65,356700,0.0,0
2009-09-30,12.63,12.87,12.6,12.68,512600,0.0,0
2009-10-01,12.63,12.7,12.04,12.12,660500,0.0,0
2009-10-02,12.04,12.15,11.81,11.95,629600,0.0,0
2009-10-05,11.96,12.28,11.89,12.25,188900,0.0,0
2009-10-06,12.44,12.78,12.21,12.24,469400,0.0,0
2009-10-07,12.31,12.34,11.83,11.98,291700,0.0,0
2009-10-08,11.97,12.02,11.84,11.89,557300,0.0,0
2009-10-09,11.87,12.22,11.84,12.07,870500,0.0,0
2009-10-12,12.05,12.22,11.92,12.14,1288800,0.0,0
2009-10-13,12.03,12.38,12.0,12.28,557300,0.0,0
2009-10-14,12.51,12.63,12.29,12.53,695500,0.0,0
2009-10-15,12.93,13.34,12.7,12.75,2092000,0.0,0
2009-10-16,12.8,12.8,12.04,12.21,1263800,0.0,0
2009-10-19,12.23,12.36,11.93,12.06,2142900,0.0,0
2009-10-20,12.14,12.43,12.09,12.28,489000,0.0,0
2009-10-21,12.16,12.56,11.97,12.25,233800,0.0,0
2009-10-22,12.13,12.13,11.6,12.09,983400,0.0,0
2009-10-23,11.98,12.19,11.83,11.92,1134100,0.0,0
2009-10-26,11.82,11.98,11.75,11.77,162400,0.0,0
2009-10-27,11.85,11.88,11.34,11.48,328800,0.0,0
2009-10-28,11.52,11.52,11.06,11.09,622000,0.0,0
2009-10-29,11.11,11.29,10.94,11.17,1183300,0.0,0
2009-10-30,11.22,11.28,11.05,11.14,278100,0.0,0
2009-11-02,11.22,11.22,10.94,11.05,276600,0.0,0
2009-11-03,10.91,11.01,10.73,10.76,363700,0.0,0
2009-11-04,10.85,11.33,10.65,10.98,805300,0.0,0
2009-11-05,11.16,11.69,11.03,11.38,274100,0.0,0
2009-11-06,11.38,11.66,11.05,11.36,257500,0.0,0
2009-11-09,11.34,11.69,11.21,11.63,252900,0.0,0
2009-11-10,11.66,11.66,11.28,11.48,146800,0.0,0
2009-11-11,11.54,11.54,11.23,11.41,153500,0.0,0
2009-11-12,11.44,11.85,11.44,11.59,130000,0.0,0
2009-11-13,11.6,11.7,11.45,11.57,62100,0.0,0
2009-11-16,11.61,12.04,11.54,11.89,155600,0.0,0
2009-11-17,11.76,12.03,11.57,11.94,98500,0.0,0
2009-11-18,12.0,12.0,11.75,11.91,115500,0.0,0
2009-11-19,11.77,11.8,11.33,11.57,116600,0.0,0
2009-11-20,11.56,11.63,11.37,11.47,423700,0.0,0
2009-11-23,11.54,11.6,11.26,11.28,465300,0.0,0
2009-11-24,11.22,11.39,11.15,11.34,522800,0.0,0
2009-11-25,11.43,11.87,11.41,11.52,135300,0.0,0
2009-11-27,11.24,11.8,11.19,11.78,61600,0.0,0
2009-11-30,11.79,11.88,11.33,11.78,276500,0.0,0
2009-12-01,11.81,12.14,11.81,11.86,417800,0.0,0
2009-12-02,11.91,11.97,11.43,11.6,846500,0.0,0
2009-12-03,11.57,11.84,11.57,11.83,507900,0.0,0
2009-12-04,12.18,12.41,11.59,12.27,946800,0.0,0
2009-12-07,12.26,12.58,12.26,12.53,308400,0.0,0
2009-12-08,12.34,12.61,12.3,12.44,249500,0.0,0
2009-12-09,12.34,12.49,12.14,12.49,96700,0.0,0
2009-12-10,12.48,12.62,12.44,12.46,255500,0.0,0
2009-12-11,12.4,12.41,12.23,12.32,77400,0.0,0
2009-12-14,12.44,12.56,12.4,12.52,224800,0.0,0
2009-12-15,12.52,12.56,12.41,12.44,140400,0.0,0
2009-12-16,12.54,12.73,12.44,12.63,315700,0.0,0
2009-12-17,12.56,12.61,11.99,12.12,149000,0.0,0
2009-12-18,12.11,12.48,12.06,12.18,417800,0.0,0
2009-12-21,12.47,12.52,12.15,12.25,144300,0.0,0
2009-12-22,12.26,12.43,12.06,12.43,312700,0.0,0
2009-12-23,12.44,12.51,12.37,12.47,223500,0.0,0
2009-12-24,12.42,12.63,12.42,12.47,30800,0.0,0
2009-12-28,12.44,13.22,12.44,12.91,795400,0.0,0
2009-12-29,13.02,13.13,12.93,13.02,227600,0.0,0
2009-12-30,12.86,13.21,12.86,13.14,302500,0.0,0
2009-12-31,13.08,13.59,13.08,13.59,555800,0.0,0
2010-01-04,13.6,14.04,13.38,14.01,538700,0.0,0
2010-01-05,14.08,14.29,13.45,14.12,301100,0.0,0
2010-01-06,14.08,14.34,13.81,14.23,533100,0.0,0
2010-01-07,14.15,14.24,13.86,14.14,271800,0.0,0
2010-01-08,14.04,14.34,14.0,14.24,289900,0.0,0
2010-01-11,14.26,14.52,14.14,14.33,512700,0.0,0
2010-01-12,14.22,14.22,13.92,14.12,916700,0.0,0
2010-01-13,14.09,14.09,13.56,13.68,943900,0.0,0
2010-01-14,13.73,14.02,13.48,13.69,1065400,0.0,0
2010-01-15,13.79,13.79,13.48,13.55,158700,0.0,0
2010-01-19,13.3,13.48,12.85,13.23,381300,0.0,0
2010-01-20,13.16,13.38,12.96,13.34,193800,0.0,0
2010-01-21,13.28,13.74,13.22,13.37,338600,0.0,0
2010-01-22,13.28,13.42,12.91,13.05,923500,0.0,0
2010-01-25,13.13,13.22,12.97,13.11,261400,0.0,0
2010-01-26,12.65,13.37,12.51,13.19,765400,0.0,0
2010-01-27,13.11,13.34,12.82,12.93,696300,0.0,0
2010-01-28,13.04,13.18,12.82,13.16,14457600,0.0,0
2010-01-29,13.16,13.27,12.82,12.91,3357000,0.0,0
2010-02-01,12.91,13.14,12.85,13.0,509500,0.0,0
2010-02-02,13.01,13.22,12.89,13.15,1772900,0.0,0
2010-02-03,13.03,13.14,12.99,13.09,1285700,0.0,0
2010-02-04,12.91,13.06,12.67,12.79,1376700,0.0,0
2010-02-05,12.82,12.87,12.33,12.78,538700,0.0,0
2010-02-08,12.69,12.85,12.53,12.64,498300,0.0,0
2010-02-09,12.66,12.91,12.5,12.62,189600,0.0,0
2010-02-10,12.53,12.59,12.27,12.48,578000,0.0,0
2010-02-11,12.45,12.82,12.26,12.73,370000,0.0,0
2010-02-12,12.61,12.92,12.47,12.9,163200,0.0,0
2010-02-16,12.93,13.01,12.83,12.99,422700,0.0,0
2010-02-17,13.08,13.08,12.76,12.93,507700,0.0,0
2010-02-18,12.98,13.0,12.85,12.96,461900,0.0,0
2010-02-19,13.0,13.09,12.9,13.02,374600,0.0,0
2010-02-22,13.0,13.07,12.8,12.89,846500,0.0,0
2010-02-23,12.89,12.99,12.73,12.91,1820200,0.0,0
2010-02-24,13.0,13.28,12.93,13.18,852300,0.0,0
2010-02-25,13.37,13.66,13.14,13.44,2319700,0.0,0
2010-02-26,13.41,13.51,13.34,13.48,280700,0.0,0
2010-03-01,13.89,13.97,13.46,13.6,872200,0.0,0
2010-03-02,13.51,13.92,13.51,13.91,981000,0.0,0
2010-03-03,13.93,14.81,13.93,14.05,1063400,0.0,0
2010-03-04,14.12,14.29,13.74,14.16,396600,0.0,0
2010-03-05,14.15,14.61,14.15,14.38,376700,0.0,0
2010-03-08,14.47,14.5,14.18,14.35,222000,0.0,0
2010-03-09,14.44,14.86,14.23,14.38,922700,0.0,0
2010-03-10,14.46,14.84,14.38,14.67,544900,0.0,0
2010-03-11,14.7,14.84,14.7,14.75,394700,0.0,0
2010-03-12,14.78,14.86,14.44,14.6,498400,0.0,0
2010-03-15,14.53,14.53,14.14,14.43,179200,0.0,0
2010-03-16,14.43,14.62,14.23,14.49,162300,0.0,0
2010-03-17,14.55,14.85,14.53,14.78,309400,0.0,0
2010-03-18,14.81,14.86,14.47,14.84,211200,0.0,0
2010-03-19,14.94,15.07,14.63,14.94,636500,0.0,0
2010-03-22,14.76,14.97,14.64,14.81,473400,0.0,0
2010-03-23,14.84,15.08,14.82,15.02,281900,0.0,0
2010-03-24,15.01,15.01,14.54,14.58,153500,0.0,0
2010-03-25,14.67,14.67,14.35,14.6,583500,0.0,0
2010-03-26,14.61,15.01,14.61,14.79,525000,0.0,0
2010-03-29,14.93,15.16,14.81,15.02,296100,0.0,0
2010-03-30,15.07,15.24,14.83,15.14,353900,0.0,0
2010-03-31,15.15,15.36,14.98,15.27,662000,0.0,0
2010-04-01,15.37,15.45,14.93,15.23,324600,0.0,0
2010-04-05,15.37,15.38,14.7,15.05,612000,0.0,0
2010-04-06,14.9,15.47,14.86,15.36,235800,0.0,0
2010-04-07,15.29,15.41,15.16,15.21,144600,0.0,0
2010-04-08,15.21,15.21,14.92,14.93,140200,0.0,0
2010-04-09,14.93,14.96,14.73,14.87,198300,0.0,0
2010-04-12,14.8,14.97,14.61,14.87,286700,0.0,0
2010-04-13,14.75,15.04,14.67,14.97,236700,0.0,0
2010-04-14,15.33,16.02,15.23,16.01,478300,0.0,0
2010-04-15,16.05,16.34,16.05,16.31,614800,0.0,0
2010-04-16,16.32,16.33,16.1,16.26,343900,0.0,0
2010-04-19,16.11,16.37,15.82,16.27,486700,0.0,0
2010-04-20,16.69,17.0,16.48,16.62,850600,0.0,0
2010-04-21,16.72,16.96,15.94,16.23,540200,0.0,0
2010-04-22,16.23,16.24,15.58,15.99,644100,0.0,0
2010-04-23,15.92,16.06,15.66,15.97,188600,0.0,0
2010-04-26,15.86,16.37,15.82,16.19,255000,0.0,0
2010-04-27,16.24,16.24,15.47,15.6,250600,0.0,0
2010-04-28,15.73,15.82,15.36,15.61,313900,0.0,0
2010-04-29,15.85,16.2,15.85,15.9,318500,0.0,0
2010-04-30,16.02,16.11,15.22,15.24,360300,0.0,0
2010-05-03,15.34,15.95,15.15,15.69,423900,0.0,0
2010-05-04,15.58,15.58,14.8,14.9,554000,0.0,0
2010-05-05,14.81,14.9,14.26,14.55,626600,0.0,0
2010-05-06,14.54,14.55,13.78,14.26,915500,0.0,0
2010-05-07,14.29,14.49,13.65,14.33,602500,0.0,0
2010-05-10,14.86,15.53,14.86,15.41,894400,0.0,0
2010-05-11,15.1,15.45,14.98,15.35,217400,0.0,0
2010-05-12,15.27,15.54,15.23,15.39,353300,0.0,0
2010-05-13,15.47,15.47,15.1,15.2,291900,0.0,0
2010-05-14,15.16,15.22,14.65,15.03,504900,0.0,0
2010-05-17,15.04,15.24,14.8,15.24,292900,0.0,0
2010-05-18,15.3,15.51,14.81,14.92,338400,0.0,0
2010-05-19,14.74,15.07,14.06,14.87,579000,0.0,0
2010-05-20,14.69,15.08,14.44,14.93,1112300,0.0,0
2010-05-21,14.78,15.04,14.52,14.72,823300,0.0,0
2010-05-24,14.67,14.86,14.35,14.41,480200,0.0,0
2010-05-25,14.12,14.37,13.76,14.29,680400,0.0,0
2010-05-26,14.53,15.17,14.47,14.87,946200,0.0,0
2010-05-27,15.13,16.01,15.07,15.85,1065700,0.0,0
2010-05-28,15.92,15.97,15.08,15.34,795500,0.0,0
2010-06-01,15.35,15.59,15.11,15.15,456100,0.0,0
