Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,1.64,1.64,1.64,1.64,99200,0.0,0.0
1973-02-22,1.65,1.65,1.65,1.65,47200,0.0,0.0
1973-02-23,1.64,1.64,1.64,1.64,133600,0.0,0.0
1973-02-26,1.64,1.64,1.64,1.64,24000,0.0,0.0
1973-02-27,1.64,1.64,1.64,1.64,41600,0.0,0.0
1973-02-28,1.64,1.64,1.64,1.64,66400,0.0,0.0
1973-03-01,1.65,1.65,1.65,1.65,93600,0.0,0.0
1973-03-02,1.66,1.66,1.66,1.66,26400,0.0,0.0
1973-03-05,1.68,1.68,1.68,1.68,68000,0.0,0.0
1973-03-06,1.73,1.73,1.73,1.73,76800,0.0,0.0
1973-03-07,1.73,1.73,1.73,1.73,51200,0.0,0.0
1973-03-08,1.74,1.74,1.74,1.74,84800,0.0,0.0
1973-03-09,1.74,1.74,1.74,1.74,78400,0.0,0.0
1973-03-12,1.73,1.73,1.73,1.73,73600,0.0,0.0
1973-03-13,1.74,1.74,1.74,1.74,47200,0.0,0.0
1973-03-14,1.75,1.75,1.75,1.75,50400,0.0,0.0
1973-03-15,1.74,1.74,1.74,1.74,70400,0.0,0.0
1973-03-16,1.73,1.73,1.73,1.73,44800,0.0,0.0
1973-03-19,1.72,1.72,1.72,1.72,28000,0.0,0.0
1973-03-20,1.68,1.68,1.68,1.68,68800,0.0,0.0
1973-03-21,1.66,1.66,1.66,1.66,94400,0.0,0.0
1973-03-22,1.64,1.64,1.64,1.64,55200,0.0,0.0
1973-03-23,1.64,1.64,1.64,1.64,117600,0.0,0.0
1973-03-26,1.63,1.63,1.63,1.63,9600,0.0,0.0
1973-03-27,1.63,1.63,1.63,1.63,15200,0.0,0.0
1973-03-28,1.65,1.65,1.65,1.65,141600,0.0,0.0
1973-03-29,1.67,1.67,1.67,1.67,120000,0.0,0.0
1973-03-30,1.67,1.67,1.67,1.67,85600,0.0,0.0
1973-04-02,1.66,1.66,1.66,1.66,52800,0.0,0.0
1973-04-03,1.65,1.65,1.65,1.65,23200,0.0,0.0
1973-04-04,1.64,1.64,1.64,1.64,78400,0.0,0.0
1973-04-05,1.64,1.64,1.64,1.64,78400,0.0,0.0
1973-04-06,1.64,1.64,1.64,1.64,36000,0.0,0.0
1973-04-09,1.64,1.64,1.64,1.64,28000,0.0,0.0
1973-04-10,1.67,1.67,1.67,1.67,88800,0.0,0.0
1973-04-11,1.68,1.68,1.68,1.68,144000,0.0,0.0
1973-04-12,1.71,1.71,1.71,1.71,140800,0.0,0.0
1973-04-13,1.71,1.71,1.71,1.71,13600,0.0,0.0
1973-04-16,1.71,1.71,1.71,1.71,40000,0.0,0.0
1973-04-17,1.66,1.66,1.66,1.66,92800,0.0,0.0
1973-04-18,1.66,1.66,1.66,1.66,25600,0.0,0.0
1973-04-19,1.66,1.66,1.66,1.66,39200,0.0,0.0
1973-04-23,1.64,1.64,1.64,1.64,48000,0.0,0.0
1973-04-24,1.63,1.63,1.63,1.63,134400,0.0,0.0
1973-04-25,1.62,1.62,1.62,1.62,59200,0.0,0.0
1973-04-26,1.62,1.62,1.62,1.62,33600,0.0,0.0
1973-04-27,1.61,1.61,1.61,1.61,36800,0.0,0.0
1973-04-30,1.59,1.59,1.59,1.59,91200,0.0,0.0
1973-05-01,1.57,1.57,1.57,1.57,295200,0.0,0.0
1973-05-02,1.58,1.58,1.58,1.58,61600,0.0,0.0
1973-05-03,0.0,1.6,1.57,1.57,56000,0.0,0.0
1973-05-04,0.0,1.61,1.59,1.59,43200,0.0,0.0
1973-05-07,0.0,1.62,1.6,1.6,42400,0.0,0.0
1973-05-08,0.0,1.62,1.6,1.6,28800,0.0,0.0
