Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.0,1.22,1.19,1.19,756040,0.0,0.0
1973-02-22,0.0,1.23,1.2,1.2,180400,0.0,0.0
1973-02-23,0.0,1.23,1.21,1.22,186960,0.0,0.0
1973-02-26,0.0,1.24,1.22,1.23,280440,0.0,0.0
1973-02-27,0.0,1.24,1.18,1.18,490360,0.0,0.0
1973-02-28,0.0,1.23,1.19,1.22,303400,0.02,0.0
1973-03-01,0.0,1.23,1.2,1.2,164000,0.0,0.0
1973-03-02,0.0,1.24,1.17,1.24,359160,0.0,0.0
1973-03-05,0.0,1.24,1.23,1.24,62320,0.0,0.0
1973-03-06,0.0,1.26,1.24,1.25,190240,0.0,0.0
1973-03-07,0.0,1.26,1.24,1.26,375560,0.0,0.0
1973-03-08,0.0,1.29,1.27,1.27,552680,0.0,0.0
1973-03-09,0.0,1.27,1.26,1.26,98400,0.0,0.0
1973-03-12,0.0,1.26,1.25,1.26,65600,0.0,0.0
1973-03-13,0.0,1.26,1.25,1.26,285360,0.0,0.0
1973-03-14,0.0,1.28,1.26,1.27,126280,0.0,0.0
1973-03-15,0.0,1.28,1.27,1.27,103320,0.0,0.0
1973-03-16,0.0,1.27,1.23,1.23,352600,0.0,0.0
1973-03-19,0.0,1.24,1.21,1.21,106600,0.0,0.0
1973-03-20,0.0,1.22,1.21,1.21,91840,0.0,0.0
1973-03-21,0.0,1.24,1.2,1.2,147600,0.0,0.0
1973-03-22,0.0,1.18,1.17,1.17,226320,0.0,0.0
1973-03-23,0.0,1.18,1.17,1.18,136120,0.0,0.0
1973-03-26,0.0,1.19,1.17,1.18,195160,0.0,0.0
1973-03-27,0.0,1.21,1.2,1.2,85280,0.0,0.0
1973-03-28,0.0,1.22,1.2,1.21,93480,0.0,0.0
1973-03-29,0.0,1.21,1.19,1.21,159080,0.0,0.0
1973-03-30,0.0,1.22,1.2,1.2,59040,0.0,0.0
1973-04-02,0.0,1.21,1.19,1.19,114800,0.0,0.0
1973-04-03,0.0,1.2,1.18,1.18,164000,0.0,0.0
1973-04-04,0.0,1.2,1.19,1.19,83640,0.0,0.0
1973-04-05,0.0,1.2,1.17,1.17,136120,0.0,0.0
1973-04-06,0.0,1.2,1.17,1.18,275520,0.0,0.0
1973-04-09,0.0,1.2,1.16,1.2,147600,0.0,0.0
1973-04-10,0.0,1.22,1.2,1.22,451000,0.0,0.0
1973-04-11,0.0,1.24,1.21,1.22,252560,0.0,0.0
1973-04-12,0.0,1.26,1.24,1.24,237800,0.0,0.0
1973-04-13,0.0,1.26,1.24,1.25,241080,0.0,0.0
1973-04-16,0.0,1.24,1.24,1.24,47560,0.0,0.0
1973-04-17,0.0,1.25,1.23,1.25,124640,0.0,0.0
1973-04-18,0.0,1.25,1.24,1.24,78720,0.0,0.0
1973-04-19,0.0,1.26,1.24,1.26,282080,0.0,0.0
1973-04-23,0.0,1.27,1.25,1.26,109880,0.0,0.0
1973-04-24,0.0,1.27,1.18,1.2,378840,0.0,0.0
1973-04-25,0.0,1.2,1.15,1.15,213200,0.0,0.0
1973-04-26,0.0,1.2,1.15,1.2,264040,0.0,0.0
1973-04-27,0.0,1.2,1.16,1.17,168920,0.0,0.0
1973-04-30,0.0,1.18,1.15,1.18,160720,0.0,0.0
1973-05-01,0.0,1.19,1.16,1.18,142680,0.0,0.0
1973-05-02,0.0,1.23,1.2,1.22,239440,0.0,0.0
1973-05-03,0.0,1.21,1.19,1.2,350960,0.0,0.0
1973-05-04,0.0,1.23,1.2,1.23,459200,0.0,0.0
1973-05-07,0.0,1.25,1.23,1.25,195160,0.0,0.0
1973-05-08,0.0,1.26,1.24,1.26,129560,0.0,0.0
1973-05-09,0.0,1.27,1.25,1.27,142680,0.0,0.0
1973-05-10,0.0,1.28,1.24,1.26,295200,0.0,0.0
1973-05-11,0.0,1.25,1.22,1.22,242720,0.0,0.0
1973-05-14,0.0,1.22,1.17,1.17,209920,0.0,0.0
1973-05-15,0.0,1.19,1.15,1.18,309960,0.0,0.0
1973-05-16,0.0,1.19,1.17,1.19,106600,0.0,0.0
1973-05-17,0.0,1.2,1.17,1.18,86920,0.0,0.0
1973-05-18,0.0,1.19,1.16,1.17,152520,0.0,0.0
1973-05-21,0.0,1.16,1.15,1.16,277160,0.0,0.0
1973-05-22,0.0,1.19,1.15,1.15,159080,0.0,0.0
1973-05-23,0.0,1.2,1.17,1.2,111520,0.0,0.0
1973-05-24,0.0,1.26,1.19,1.26,175480,0.0,0.0
1973-05-25,0.0,1.29,1.25,1.28,273880,0.0,0.0
1973-05-29,0.0,1.28,1.24,1.24,104960,0.0,0.0
1973-05-30,0.0,1.23,1.19,1.2,182040,0.0,0.0
1973-05-31,0.0,1.2,1.19,1.19,570720,0.0,0.0
1973-06-01,0.0,1.19,1.16,1.17,583840,0.0,0.0
1973-06-04,0.0,1.16,1.14,1.14,305040,0.0,0.0
1973-06-05,0.0,1.15,1.13,1.13,242720,0.0,0.0
1973-06-06,0.0,1.16,1.12,1.12,137760,0.0,0.0
1973-06-07,0.0,1.13,1.1,1.1,155800,0.0,0.0
1973-06-08,0.0,1.13,1.11,1.13,111520,0.0,0.0
1973-06-11,0.0,1.17,1.13,1.15,239440,0.0,0.0
1973-06-12,0.0,1.19,1.17,1.18,62320,0.0,0.0
1973-06-13,0.0,1.21,1.18,1.2,244360,0.0,0.0
1973-06-14,0.0,1.19,1.18,1.18,47560,0.0,0.0
1973-06-15,0.0,1.18,1.17,1.17,67240,0.0,0.0
1973-06-18,0.0,1.17,1.16,1.16,121360,0.0,0.0
1973-06-19,0.0,1.16,1.1,1.1,287000,0.0,0.0
1973-06-20,0.0,1.12,1.11,1.12,111520,0.0,0.0
1973-06-21,0.0,1.12,1.08,1.09,154160,0.0,0.0
1973-06-22,0.0,1.13,1.09,1.09,195160,0.0,0.0
1973-06-25,0.0,1.09,1.07,1.07,247640,0.0,0.0
1973-06-26,0.0,1.09,1.07,1.09,86920,0.0,0.0
1973-06-27,0.0,1.1,1.09,1.09,57400,0.0,0.0
1973-06-28,0.0,1.12,1.1,1.1,111520,0.0,0.0
1973-06-29,0.0,1.11,1.09,1.11,101680,0.0,0.0
