Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,1.53,1.53,1.53,1.53,16800,0.0,0.0
1973-02-22,1.53,1.53,1.53,1.53,12600,0.0,0.0
1973-02-23,1.52,1.52,1.52,1.52,53400,0.0,0.0
1973-02-26,1.48,1.48,1.48,1.48,9600,0.0,0.0
1973-02-27,1.33,1.33,1.33,1.33,28200,0.0,0.0
1973-02-28,1.36,1.36,1.36,1.36,16200,0.0,0.0
1973-03-01,1.34,1.34,1.34,1.34,25200,0.0,0.0
1973-03-02,1.36,1.36,1.36,1.36,6600,0.0,0.0
1973-03-05,1.4,1.4,1.4,1.4,5400,0.0,0.0
1973-03-06,1.38,1.38,1.38,1.38,6600,0.0,0.0
1973-03-07,1.33,1.33,1.33,1.33,10200,0.0,0.0
1973-03-08,1.34,1.34,1.34,1.34,2400,0.0,0.0
1973-03-09,1.36,1.36,1.36,1.36,4800,0.0,0.0
1973-03-12,1.43,1.43,1.43,1.43,5400,0.0,0.0
1973-03-13,1.5,1.5,1.5,1.5,6600,0.0,0.0
1973-03-14,1.53,1.53,1.53,1.53,5400,0.0,0.0
1973-03-15,1.57,1.57,1.57,1.57,4800,0.0,0.0
1973-03-16,1.52,1.52,1.52,1.52,4800,0.0,0.0
1973-03-19,1.43,1.43,1.43,1.43,7200,0.0,0.0
1973-03-20,1.38,1.38,1.38,1.38,2400,0.0,0.0
1973-03-21,1.41,1.41,1.41,1.41,25800,0.0,0.0
1973-03-22,1.4,1.4,1.4,1.4,9600,0.0,0.0
1973-03-23,1.41,1.41,1.41,1.41,9000,0.0,0.0
1973-03-26,1.41,1.41,1.41,1.41,3000,0.0,0.0
1973-03-27,1.46,1.46,1.46,1.46,7800,0.0,0.0
1973-03-28,1.45,1.45,1.45,1.45,2400,0.0,0.0
1973-03-29,1.46,1.46,1.46,1.46,1200,0.0,0.0
1973-03-30,1.45,1.45,1.45,1.45,9000,0.0,0.0
1973-04-02,1.48,1.48,1.48,1.48,1800,0.0,0.0
1973-04-03,1.48,1.48,1.48,1.48,2400,0.0,0.0
1973-04-04,1.55,1.55,1.55,1.55,14400,0.0,0.0
1973-04-05,1.52,1.52,1.52,1.52,1800,0.0,0.0
1973-04-06,1.52,1.52,1.52,1.52,3000,0.0,0.0
1973-04-09,1.6,1.6,1.6,1.6,19800,0.0,0.0
1973-04-10,1.55,1.55,1.55,1.55,3600,0.0,0.0
1973-04-11,1.55,1.55,1.55,1.55,10200,0.0,0.0
1973-04-12,1.55,1.55,1.55,1.55,3600,0.0,0.0
1973-04-13,1.52,1.52,1.52,1.52,2400,0.0,0.0
1973-04-16,1.52,1.52,1.52,1.52,7800,0.0,0.0
1973-04-17,1.52,1.52,1.52,1.52,6600,0.0,0.0
1973-04-18,1.5,1.5,1.5,1.5,3600,0.0,0.0
1973-04-19,1.5,1.5,1.5,1.5,3000,0.0,0.0
1973-04-23,1.52,1.52,1.52,1.52,3600,0.0,0.0
1973-04-24,1.46,1.46,1.46,1.46,6600,0.0,0.0
1973-04-25,1.46,1.46,1.46,1.46,4800,0.0,0.0
1973-04-26,1.4,1.4,1.4,1.4,4200,0.0,0.0
1973-04-27,1.38,1.38,1.38,1.38,13200,0.0,0.0
1973-04-30,1.38,1.38,1.38,1.38,3600,0.0,0.0
1973-05-01,1.38,1.38,1.38,1.38,6000,0.0,0.0
1973-05-02,1.41,1.41,1.41,1.41,6600,0.0,0.0
1973-05-03,0.0,1.43,1.4,1.41,3600,0.0,0.0
1973-05-04,0.0,1.43,1.4,1.43,2400,0.0,0.0
1973-05-07,0.0,1.45,1.38,1.38,3600,0.0,0.0
1973-05-08,0.0,1.38,1.38,1.38,600,0.0,0.0
1973-05-09,0.0,1.45,1.38,1.45,13800,0.0,0.0
1973-05-10,0.0,1.41,1.33,1.36,17400,0.0,0.0
1973-05-11,0.0,1.41,1.34,1.41,8400,0.0,0.0
1973-05-14,1.41,1.41,1.41,1.41,0,0.0,0.0
1973-05-15,0.0,1.38,1.38,1.38,1800,0.0,0.0
1973-05-16,0.0,1.45,1.38,1.45,8400,0.0,0.0
1973-05-17,0.0,1.45,1.4,1.4,4200,0.0,0.0
1973-05-18,0.0,1.41,1.4,1.41,6600,0.0,0.0
1973-05-21,0.0,1.36,1.33,1.34,18600,0.0,0.0
1973-05-22,0.0,1.34,1.28,1.29,37800,0.0,0.0
1973-05-23,0.0,1.26,1.21,1.24,18600,0.0,0.0
1973-05-24,0.0,1.24,1.22,1.24,7800,0.0,0.0
1973-05-25,0.0,1.28,1.26,1.28,3600,0.0,0.0
1973-05-29,0.0,1.31,1.28,1.28,4800,0.0,0.0
1973-05-30,0.0,1.26,1.26,1.26,2400,0.0,0.0
1973-05-31,0.0,1.24,1.17,1.24,10800,0.0,0.0
1973-06-01,0.0,1.24,1.22,1.24,1200,0.0,0.0
1973-06-04,0.0,1.21,1.19,1.19,3000,0.0,0.0
1973-06-05,0.0,1.21,1.17,1.21,10800,0.0,0.0
1973-06-06,0.0,1.26,1.24,1.26,3000,0.0,0.0
1973-06-07,0.0,1.29,1.28,1.28,3600,0.0,0.0
1973-06-08,0.0,1.28,1.22,1.24,6600,0.0,0.0
1973-06-11,0.0,1.22,1.21,1.22,5400,0.0,0.0
1973-06-12,0.0,1.22,1.15,1.19,17400,0.0,0.0
1973-06-13,0.0,1.19,1.17,1.19,2400,0.0,0.0
1973-06-14,0.0,1.22,1.17,1.17,13200,0.0,0.0
1973-06-15,0.0,1.21,1.19,1.21,3000,0.0,0.0
1973-06-18,0.0,1.19,1.17,1.19,3600,0.0,0.0
1973-06-19,0.0,1.17,1.15,1.17,2400,0.0,0.0
1973-06-20,0.0,1.19,1.15,1.19,10200,0.0,0.0
1973-06-21,0.0,1.17,1.14,1.15,3000,0.0,0.0
1973-06-22,0.0,1.17,1.03,1.14,25200,0.0,0.0
1973-06-25,0.0,1.12,1.09,1.12,6600,0.0,0.0
1973-06-26,0.0,1.12,1.12,1.12,3000,0.0,0.0
1973-06-27,0.0,1.12,1.1,1.12,3000,0.0,0.0
1973-06-28,0.0,1.15,1.12,1.15,1200,0.0,0.0
1973-06-29,0.0,1.17,1.12,1.17,3600,0.0,0.0
1973-07-02,1.17,1.17,1.17,1.17,0,0.0,0.0
1973-07-03,0.0,1.15,1.12,1.15,3000,0.0,0.0
1973-07-05,0.0,1.12,1.07,1.12,12000,0.0,0.0
1973-07-06,0.0,1.12,1.12,1.12,600,0.0,0.0
1973-07-09,0.0,1.15,1.1,1.14,10200,0.0,0.0
1973-07-10,0.0,1.15,1.1,1.15,4200,0.0,0.0
1973-07-11,0.0,1.19,1.14,1.19,5400,0.0,0.0
1973-07-12,0.0,1.17,1.15,1.17,7200,0.0,0.0
1973-07-13,0.0,1.28,1.19,1.28,19800,0.0,0.0
1973-07-16,0.0,1.34,1.31,1.31,20400,0.0,0.0
1973-07-17,0.0,1.31,1.17,1.21,19800,0.0,0.0
