Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-02-11,0.0,0.11,0.1,0.1,47250,0.0,0.0
1981-02-12,0.1,0.1,0.1,0.1,0,0.0,0.0
1981-02-13,0.1,0.1,0.1,0.1,0,0.0,0.0
1981-02-17,0.1,0.1,0.1,0.1,0,0.0,0.0
1981-02-18,0.0,0.11,0.1,0.1,6750,0.0,0.0
1981-02-19,0.1,0.1,0.1,0.1,0,0.0,0.0
1981-02-20,0.0,0.11,0.1,0.1,337500,0.0,0.0
1981-02-23,0.1,0.1,0.1,0.1,0,0.0,0.0
1981-02-24,0.1,0.1,0.1,0.1,0,0.0,0.0
1981-02-25,0.1,0.1,0.1,0.1,0,0.0,0.0
1981-02-26,0.1,0.1,0.1,0.1,0,0.0,0.0
1981-02-27,0.1,0.1,0.1,0.1,0,0.0,0.0
1981-03-02,0.0,0.11,0.09,0.09,101250,0.0,0.0
1981-03-03,0.0,0.11,0.09,0.09,13500,0.0,0.0
1981-03-04,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-03-05,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-03-06,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-03-09,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-03-10,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-03-11,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-03-12,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-03-13,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-03-16,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-03-17,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-03-18,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-03-19,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-03-20,0.0,0.11,0.09,0.09,6750,0.0,0.0
1981-03-23,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-03-24,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-03-25,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-03-26,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-03-27,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-03-30,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-03-31,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-04-01,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-04-02,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-04-03,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-04-06,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-04-07,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-04-08,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-04-09,0.0,0.11,0.09,0.09,6750,0.0,0.0
1981-04-10,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-04-13,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-04-14,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-04-15,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-04-16,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-04-20,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-04-21,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-04-22,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-04-23,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-04-24,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-04-27,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-04-28,0.0,0.11,0.09,0.09,6750,0.0,0.0
1981-04-29,0.0,0.11,0.09,0.09,33750,0.0,0.0
1981-04-30,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-05-01,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-05-04,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-05-05,0.0,0.1,0.09,0.09,20250,0.0,0.0
1981-05-06,0.0,0.1,0.09,0.09,13500,0.0,0.0
1981-05-07,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-05-08,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-05-11,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-05-12,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-05-13,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-05-14,0.0,0.1,0.09,0.09,13500,0.0,0.0
1981-05-15,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-05-18,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-05-19,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-05-20,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-05-21,0.0,0.1,0.09,0.09,40500,0.0,0.0
1981-05-22,0.0,0.09,0.09,0.09,13500,0.0,0.0
1981-05-26,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-05-27,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-05-28,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-05-29,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-06-01,0.0,0.09,0.09,0.09,27000,0.0,0.0
1981-06-02,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-06-03,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-06-04,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-06-05,0.0,0.09,0.09,0.09,101250,0.0,0.0
1981-06-08,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-06-09,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-06-10,0.09,0.09,0.09,0.09,0,0.0,0.0
1981-06-11,0.09,0.09,0.09,0.09,0,0.0,0.0
