Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1977-01-03,7.41,7.46,7.41,7.46,47952,0.0,0.0
1977-01-04,7.46,7.48,7.43,7.48,34217,0.0,0.0
1977-01-05,7.48,7.48,7.41,7.43,15422,0.0,0.0
1977-01-06,7.41,7.41,7.32,7.39,39036,0.0,0.0
1977-01-07,7.39,7.41,7.32,7.41,20482,0.0,0.0
1977-01-10,7.41,7.51,7.41,7.48,42892,0.0,0.0
1977-01-11,7.48,7.53,7.48,7.51,22169,0.0,0.0
1977-01-12,7.51,7.51,7.41,7.51,34940,0.0,0.0
1977-01-13,7.51,7.6,7.51,7.55,34458,0.0,0.0
1977-01-14,7.55,7.6,7.53,7.58,20723,0.0,0.0
1977-01-17,7.48,7.48,7.36,7.41,33735,0.0,0.0
1977-01-18,7.41,7.43,7.36,7.43,34217,0.0,0.0
1977-01-19,7.43,7.46,7.39,7.46,19759,0.0,0.0
1977-01-20,7.46,7.51,7.32,7.41,79518,0.0,0.0
1977-01-21,7.41,7.43,7.34,7.41,19277,0.0,0.0
1977-01-24,7.41,7.43,7.36,7.43,24096,0.0,0.0
1977-01-25,7.43,7.51,7.43,7.48,25060,0.0,0.0
1977-01-26,7.46,7.46,7.39,7.41,22892,0.0,0.0
1977-01-27,7.41,7.43,7.34,7.43,26506,0.0,0.0
1977-01-28,7.41,7.43,7.34,7.43,26506,0.0,0.0
1977-01-31,7.41,7.41,7.34,7.36,18072,0.0,0.0
1977-02-01,7.36,7.41,7.36,7.41,20241,0.0,0.0
1977-02-02,7.41,7.43,7.36,7.36,72048,0.0,0.0
1977-02-03,7.36,7.43,7.29,7.36,186988,0.0,0.0
1977-02-04,7.36,7.43,7.34,7.39,35663,0.0,0.0
1977-02-07,7.39,7.43,7.36,7.41,20723,0.0,0.0
1977-02-08,7.41,7.46,7.39,7.43,23614,0.0,0.0
1977-02-09,7.43,7.43,7.36,7.39,17349,0.0,0.0
1977-02-10,7.39,7.48,7.39,7.48,16386,0.0,0.0
1977-02-11,7.48,7.48,7.41,7.46,24819,0.0,0.0
1977-02-14,7.46,7.46,7.41,7.43,17349,0.0,0.0
1977-02-15,7.43,7.43,7.39,7.43,16867,0.0,0.0
1977-02-16,7.43,7.46,7.39,7.43,25301,0.0,0.0
