Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-08-04,0.0,0.65,0.64,0.64,2552344,0.0,0.0
1983-08-05,0.0,0.65,0.64,0.64,770688,0.0,0.0
1983-08-08,0.0,0.64,0.62,0.62,498505,0.0,0.0
1983-08-09,0.0,0.65,0.62,0.62,204387,0.0,0.0
1983-08-10,0.0,0.65,0.62,0.62,134596,0.0,0.0
1983-08-11,0.0,0.66,0.64,0.64,125623,0.0,0.0
1983-08-12,0.0,0.66,0.64,0.64,111665,0.0,0.0
1983-08-15,0.0,0.7,0.68,0.68,225324,0.0,0.0
1983-08-16,0.0,0.79,0.75,0.75,296112,0.0,0.0
1983-08-17,0.0,0.77,0.75,0.75,164507,0.0,0.0
1983-08-18,0.0,0.76,0.75,0.75,137587,0.0,0.0
1983-08-19,0.0,0.76,0.75,0.75,97707,0.0,0.0
1983-08-22,0.0,0.75,0.73,0.73,213360,0.0,0.0
1983-08-23,0.0,0.75,0.73,0.73,610170,0.0,0.0
1983-08-24,0.0,0.74,0.72,0.72,260219,0.0,0.0
1983-08-25,0.0,0.74,0.72,0.72,72782,0.0,0.0
1983-08-26,0.0,0.74,0.72,0.72,109671,0.0,0.0
1983-08-29,0.0,0.74,0.72,0.72,236291,0.0,0.0
1983-08-30,0.0,0.74,0.72,0.72,131605,0.0,0.0
1983-08-31,0.0,0.74,0.72,0.72,41874,0.0,0.0
1983-09-01,0.0,0.74,0.69,0.69,38883,0.0,0.0
1983-09-02,0.0,0.73,0.69,0.69,17946,0.0,0.0
1983-09-06,0.0,0.74,0.7,0.7,103689,0.0,0.0
1983-09-07,0.0,0.74,0.72,0.72,38883,0.0,0.0
1983-09-08,0.0,0.74,0.73,0.73,33898,0.0,0.0
1983-09-09,0.0,0.74,0.73,0.73,29910,0.0,0.0
1983-09-12,0.0,0.74,0.73,0.73,12961,0.0,0.0
1983-09-13,0.0,0.76,0.74,0.74,49850,0.0,0.0
1983-09-14,0.0,0.76,0.75,0.75,106680,0.0,0.0
1983-09-15,0.0,0.8,0.76,0.76,125623,0.0,0.0
1983-09-16,0.0,0.82,0.8,0.8,166501,0.0,0.0
1983-09-19,0.0,0.86,0.81,0.81,53839,0.0,0.0
1983-09-20,0.0,0.86,0.82,0.82,37886,0.0,0.0
1983-09-21,0.0,0.86,0.82,0.82,19940,0.0,0.0
1983-09-22,0.0,0.87,0.82,0.82,74776,0.0,0.0
1983-09-23,0.0,0.87,0.82,0.82,49850,0.0,0.0
1983-09-26,0.0,0.87,0.83,0.83,47856,0.0,0.0
1983-09-27,0.0,0.88,0.84,0.84,10967,0.0,0.0
1983-09-28,0.0,0.88,0.84,0.84,50847,0.0,0.0
1983-09-29,0.0,0.88,0.86,0.86,78764,0.0,0.0
1983-09-30,0.0,0.88,0.86,0.86,13958,0.0,0.0
1983-10-03,0.0,0.88,0.86,0.86,235294,0.0,0.0
1983-10-04,0.0,0.88,0.86,0.86,10967,0.0,0.0
1983-10-05,0.0,0.88,0.86,0.86,15952,0.0,0.0
1983-10-06,0.0,0.88,0.86,0.86,25922,0.0,0.0
1983-10-07,0.0,0.88,0.84,0.84,41874,0.0,0.0
1983-10-10,0.0,0.88,0.84,0.84,6979,0.0,0.0
1983-10-11,0.0,0.88,0.84,0.84,51844,0.0,0.0
1983-10-12,0.0,0.88,0.83,0.83,12961,0.0,0.0
1983-10-13,0.0,0.88,0.83,0.83,5982,0.0,0.0
1983-10-14,0.0,0.88,0.83,0.83,4985,0.0,0.0
1983-10-17,0.0,0.86,0.82,0.82,20937,0.0,0.0
1983-10-18,0.0,0.83,0.8,0.8,40877,0.0,0.0
1983-10-19,0.0,0.81,0.77,0.77,40877,0.0,0.0
1983-10-20,0.0,0.81,0.78,0.78,40877,0.0,0.0
1983-10-21,0.0,0.81,0.77,0.77,7976,0.0,0.0
1983-10-24,0.0,0.81,0.77,0.77,11964,0.0,0.0
1983-10-25,0.77,0.77,0.77,0.77,0,0.0,0.0
1983-10-26,0.0,0.8,0.76,0.76,9970,0.0,0.0
1983-10-27,0.0,0.8,0.77,0.77,997,0.0,0.0
1983-10-28,0.0,0.8,0.76,0.76,997,0.0,0.0
1983-10-31,0.0,0.79,0.76,0.76,8973,0.0,0.0
1983-11-01,0.0,0.77,0.74,0.74,9970,0.0,0.0
1983-11-02,0.0,0.79,0.76,0.76,22931,0.0,0.0
1983-11-03,0.0,0.79,0.76,0.76,7976,0.0,0.0
1983-11-04,0.0,0.79,0.75,0.75,2991,0.0,0.0
1983-11-07,0.0,0.77,0.75,0.75,7976,0.0,0.0
1983-11-08,0.0,0.77,0.74,0.74,10967,0.0,0.0
1983-11-09,0.0,0.76,0.74,0.74,3988,0.0,0.0
1983-11-10,0.0,0.76,0.74,0.74,58824,0.0,0.0
1983-11-11,0.0,0.76,0.75,0.75,22931,0.0,0.0
1983-11-14,0.0,0.77,0.75,0.75,13958,0.0,0.0
1983-11-15,0.0,0.77,0.75,0.75,20937,0.0,0.0
1983-11-16,0.0,0.8,0.76,0.76,41874,0.0,0.0
1983-11-17,0.0,0.8,0.76,0.76,1994,0.0,0.0
1983-11-18,0.0,0.81,0.76,0.76,86740,0.0,0.0
1983-11-21,0.0,0.82,0.8,0.8,29910,0.0,0.0
1983-11-22,0.0,0.84,0.8,0.8,8973,0.0,0.0
1983-11-23,0.0,0.84,0.8,0.8,49850,0.0,0.0
1983-11-25,0.8,0.8,0.8,0.8,0,0.0,0.0
1983-11-28,0.0,0.84,0.8,0.8,26919,0.0,0.0
1983-11-29,0.0,0.84,0.8,0.8,997,0.0,0.0
1983-11-30,0.0,0.89,0.85,0.85,116650,0.0,0.0
1983-12-01,0.0,0.91,0.87,0.87,102692,0.0,0.0
1983-12-02,0.0,0.91,0.88,0.88,13958,0.0,0.0
1983-12-05,0.0,0.91,0.89,0.89,2991,0.0,0.0
1983-12-06,0.0,0.91,0.88,0.88,54836,0.0,0.0
1983-12-07,0.0,0.91,0.87,0.87,1994,0.0,0.0
1983-12-08,0.0,0.91,0.87,0.87,2991,0.0,0.0
1983-12-09,0.0,0.91,0.87,0.87,1994,0.0,0.0
1983-12-12,0.0,0.9,0.87,0.87,2991,0.0,0.0
1983-12-13,0.0,0.9,0.87,0.87,997,0.0,0.0
1983-12-14,0.0,0.9,0.87,0.87,997,0.0,0.0
1983-12-15,0.0,0.9,0.87,0.87,1994,0.0,0.0
1983-12-16,0.0,0.9,0.87,0.87,38883,0.0,0.0
1983-12-19,0.0,0.87,0.83,0.83,20937,0.0,0.0
1983-12-20,0.0,0.86,0.82,0.82,346959,0.0,0.0
1983-12-21,0.0,0.84,0.82,0.82,29910,0.0,0.0
1983-12-22,0.0,0.84,0.82,0.82,91725,0.0,0.0
1983-12-23,0.0,0.84,0.82,0.82,11964,0.0,0.0
1983-12-27,0.0,0.84,0.82,0.82,19940,0.0,0.0
1983-12-28,0.0,0.84,0.81,0.81,9970,0.0,0.0
1983-12-29,0.0,0.84,0.81,0.81,10967,0.0,0.0
1983-12-30,0.0,0.84,0.81,0.81,9970,0.0,0.0
1984-01-03,0.81,0.81,0.81,0.81,0,0.0,0.0
1984-01-04,0.0,0.84,0.82,0.82,1994,0.0,0.0
1984-01-05,0.0,0.88,0.85,0.85,47856,0.0,0.0
1984-01-06,0.0,0.88,0.85,0.85,5982,0.0,0.0
1984-01-09,0.85,0.85,0.85,0.85,0,0.0,0.0
1984-01-10,0.0,0.88,0.86,0.86,4985,0.0,0.0
1984-01-11,0.0,0.88,0.86,0.86,25922,0.0,0.0
1984-01-12,0.0,0.88,0.86,0.86,24925,0.0,0.0
1984-01-13,0.0,0.88,0.86,0.86,9970,0.0,0.0
1984-01-16,0.0,0.88,0.86,0.86,4985,0.0,0.0
1984-01-17,0.0,0.88,0.86,0.86,7976,0.0,0.0
1984-01-18,0.0,0.88,0.86,0.86,9970,0.0,0.0
1984-01-19,0.0,0.88,0.86,0.86,13958,0.0,0.0
1984-01-20,0.0,0.86,0.82,0.82,25922,0.0,0.0
1984-01-23,0.0,0.85,0.81,0.81,1994,0.0,0.0
1984-01-24,0.0,0.84,0.81,0.81,24925,0.0,0.0
1984-01-25,0.0,0.84,0.81,0.81,0,0.0,0.0
1984-01-26,0.0,0.84,0.81,0.81,2991,0.0,0.0
1984-01-27,0.0,0.84,0.81,0.81,1994,0.0,0.0
1984-01-30,0.0,0.84,0.81,0.81,4985,0.0,0.0
1984-01-31,0.0,0.83,0.81,0.81,6979,0.0,0.0
1984-02-01,0.0,0.83,0.81,0.81,997,0.0,0.0
1984-02-02,0.0,0.83,0.81,0.81,28913,0.0,0.0
1984-02-03,0.0,0.83,0.81,0.81,1994,0.0,0.0
1984-02-06,0.0,0.8,0.76,0.76,34895,0.0,0.0
1984-02-07,0.0,0.81,0.76,0.76,16949,0.0,0.0
1984-02-08,0.0,0.81,0.76,0.76,3988,0.0,0.0
1984-02-09,0.0,0.79,0.75,0.75,22931,0.0,0.0
1984-02-10,0.0,0.79,0.75,0.75,3988,0.0,0.0
1984-02-13,0.0,0.76,0.74,0.74,1994,0.0,0.0
1984-02-14,0.0,0.76,0.74,0.74,13958,0.0,0.0
1984-02-15,0.0,0.77,0.74,0.74,19940,0.0,0.0
1984-02-16,0.0,0.77,0.74,0.74,11964,0.0,0.0
1984-02-17,0.0,0.76,0.73,0.73,1994,0.0,0.0
1984-02-21,0.0,0.75,0.72,0.72,10967,0.0,0.0
1984-02-22,0.0,0.75,0.72,0.72,1994,0.0,0.0
1984-02-23,0.72,0.72,0.72,0.72,0,0.0,0.0
1984-02-24,0.0,0.74,0.72,0.72,0,0.0,0.0
1984-02-27,0.0,0.74,0.73,0.73,9970,0.0,0.0
1984-02-28,0.0,0.74,0.7,0.7,11964,0.0,0.0
1984-02-29,0.0,0.72,0.68,0.68,10967,0.0,0.0
1984-03-01,0.0,0.72,0.68,0.68,997,0.0,0.0
1984-03-02,0.0,0.72,0.69,0.69,18943,0.0,0.0
1984-03-05,0.0,0.72,0.69,0.69,2991,0.0,0.0
1984-03-06,0.0,0.72,0.69,0.69,74776,0.0,0.0
1984-03-07,0.0,0.73,0.69,0.69,63809,0.0,0.0
1984-03-08,0.0,0.73,0.69,0.69,18943,0.0,0.0
1984-03-09,0.0,0.73,0.69,0.69,21934,0.0,0.0
1984-03-12,0.0,0.73,0.69,0.69,1994,0.0,0.0
1984-03-13,0.0,0.73,0.69,0.69,1994,0.0,0.0
1984-03-14,0.0,0.73,0.7,0.7,1994,0.0,0.0
1984-03-15,0.0,0.73,0.7,0.7,28913,0.0,0.0
1984-03-16,0.0,0.73,0.7,0.7,4985,0.0,0.0
1984-03-19,0.7,0.7,0.7,0.7,0,0.0,0.0
1984-03-20,0.0,0.73,0.7,0.7,9970,0.0,0.0
1984-03-21,0.0,0.73,0.7,0.7,15952,0.0,0.0
1984-03-22,0.0,0.73,0.7,0.7,3988,0.0,0.0
1984-03-23,0.0,0.73,0.72,0.72,10967,0.0,0.0
1984-03-26,0.0,0.73,0.7,0.7,19940,0.0,0.0
1984-03-27,0.0,0.72,0.7,0.7,20937,0.0,0.0
1984-03-28,0.0,0.74,0.7,0.7,3988,0.0,0.0
1984-03-29,0.0,0.72,0.7,0.7,79761,0.0,0.0
1984-03-30,0.7,0.7,0.7,0.7,0,0.0,0.0
1984-04-02,0.7,0.7,0.7,0.7,0,0.0,0.0
1984-04-03,0.0,0.72,0.69,0.69,32901,0.0,0.0
1984-04-04,0.0,0.72,0.69,0.69,1994,0.0,0.0
1984-04-05,0.0,0.72,0.68,0.68,3988,0.0,0.0
1984-04-06,0.0,0.72,0.68,0.68,5982,0.0,0.0
1984-04-09,0.0,0.72,0.69,0.69,22931,0.0,0.0
1984-04-10,0.69,0.69,0.69,0.69,0,0.0,0.0
1984-04-11,0.69,0.69,0.69,0.69,0,0.0,0.0
1984-04-12,0.0,0.72,0.68,0.68,49850,0.0,0.0
1984-04-13,0.0,0.72,0.68,0.68,4985,0.0,0.0
1984-04-16,0.0,0.72,0.68,0.68,93719,0.0,0.0
1984-04-17,0.0,0.7,0.68,0.68,9970,0.0,0.0
1984-04-18,0.0,0.7,0.68,0.68,32901,0.0,0.0
1984-04-19,0.0,0.69,0.66,0.66,10967,0.0,0.0
1984-04-23,0.0,0.69,0.65,0.65,15952,0.0,0.0
1984-04-24,0.0,0.68,0.65,0.65,997,0.0,0.0
1984-04-25,0.0,0.68,0.65,0.65,997,0.0,0.0
1984-04-26,0.0,0.68,0.65,0.65,4985,0.0,0.0
1984-04-27,0.0,0.68,0.65,0.65,9970,0.0,0.0
1984-04-30,0.65,0.65,0.65,0.65,0,0.0,0.0
1984-05-01,0.0,0.68,0.65,0.65,2991,0.0,0.0
1984-05-02,0.0,0.68,0.65,0.65,997,0.0,0.0
1984-05-03,0.65,0.65,0.65,0.65,0,0.0,0.0
1984-05-04,0.65,0.65,0.65,0.65,0,0.0,0.0
1984-05-07,0.0,0.68,0.65,0.65,1994,0.0,0.0
1984-05-08,0.0,0.68,0.65,0.65,457627,0.0,0.0
1984-05-09,0.0,0.68,0.66,0.66,51844,0.0,0.0
1984-05-10,0.0,0.69,0.67,0.67,6979,0.0,0.0
1984-05-11,0.0,0.72,0.69,0.69,39880,0.0,0.0
1984-05-14,0.0,0.72,0.69,0.69,51844,0.0,0.0
1984-05-15,0.0,0.72,0.69,0.69,24925,0.0,0.0
1984-05-16,0.0,0.72,0.69,0.69,9970,0.0,0.0
1984-05-17,0.0,0.7,0.69,0.69,1994,0.0,0.0
