Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.49,0.49,0.48,0.49,163200,0.0,0.0
1962-01-03,0.49,0.49,0.48,0.49,156000,0.0,0.0
1962-01-04,0.5,0.52,0.5,0.51,355200,0.0,0.0
1962-01-05,0.51,0.52,0.5,0.51,163200,0.0,0.0
1962-01-08,0.51,0.52,0.51,0.51,204000,0.0,0.0
1962-01-09,0.51,0.52,0.51,0.52,290400,0.0,0.0
1962-01-10,0.52,0.52,0.51,0.51,182400,0.0,0.0
1962-01-11,0.51,0.52,0.51,0.52,384000,0.0,0.0
1962-01-12,0.52,0.53,0.51,0.52,352800,0.0,0.0
1962-01-15,0.52,0.53,0.51,0.52,280800,0.0,0.0
1962-01-16,0.52,0.52,0.51,0.52,163200,0.01,0.0
1962-01-17,0.52,0.52,0.51,0.52,160800,0.0,0.0
1962-01-18,0.52,0.53,0.52,0.53,261600,0.0,0.0
1962-01-19,0.53,0.54,0.52,0.54,357600,0.0,0.0
1962-01-22,0.54,0.54,0.53,0.53,261600,0.0,0.0
1962-01-23,0.53,0.54,0.52,0.52,223200,0.0,0.0
1962-01-24,0.52,0.52,0.51,0.52,120000,0.0,0.0
1962-01-25,0.52,0.53,0.52,0.52,151200,0.0,0.0
1962-01-26,0.52,0.53,0.52,0.52,108000,0.0,0.0
1962-01-29,0.52,0.53,0.52,0.53,122400,0.0,0.0
1962-01-30,0.53,0.53,0.52,0.52,120000,0.0,0.0
1962-01-31,0.52,0.53,0.52,0.52,189600,0.0,0.0
1962-02-01,0.52,0.54,0.52,0.53,112800,0.0,0.0
1962-02-02,0.53,0.53,0.53,0.53,199200,0.0,0.0
1962-02-05,0.53,0.53,0.53,0.53,96000,0.0,0.0
1962-02-06,0.53,0.53,0.53,0.53,105600,0.0,0.0
1962-02-07,0.53,0.53,0.53,0.53,122400,0.0,0.0
1962-02-08,0.53,0.53,0.53,0.53,141600,0.0,0.0
1962-02-09,0.53,0.53,0.52,0.52,115200,0.0,0.0
1962-02-12,0.52,0.52,0.51,0.52,98400,0.0,0.0
1962-02-13,0.52,0.52,0.52,0.52,86400,0.0,0.0
1962-02-14,0.52,0.52,0.51,0.51,177600,0.0,0.0
1962-02-15,0.51,0.51,0.5,0.51,60000,0.0,0.0
1962-02-16,0.51,0.52,0.5,0.51,88800,0.0,0.0
1962-02-19,0.51,0.52,0.51,0.51,170400,0.0,0.0
1962-02-20,0.51,0.52,0.51,0.51,67200,0.0,0.0
1962-02-21,0.51,0.51,0.5,0.5,98400,0.0,0.0
1962-02-23,0.5,0.51,0.5,0.5,96000,0.0,0.0
1962-02-26,0.51,0.52,0.51,0.52,158400,0.0,0.0
1962-02-27,0.52,0.52,0.51,0.52,117600,0.0,0.0
1962-02-28,0.52,0.52,0.51,0.52,139200,0.0,0.0
1962-03-01,0.52,0.52,0.52,0.52,74400,0.0,0.0
1962-03-02,0.52,0.52,0.51,0.52,105600,0.0,0.0
1962-03-05,0.52,0.52,0.51,0.52,79200,0.0,0.0
1962-03-06,0.52,0.52,0.51,0.51,98400,0.0,0.0
1962-03-07,0.51,0.51,0.5,0.51,172800,0.0,0.0
1962-03-08,0.51,0.51,0.5,0.5,98400,0.0,0.0
