Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-03-25,5.37,5.4,5.26,5.3,20047500,0.0,0.0
1993-03-26,5.3,5.4,5.28,5.33,5826000,0.0,0.0
1993-03-29,5.28,5.33,5.24,5.26,2249400,0.0,0.0
1993-03-30,5.24,5.26,5.19,5.26,2520900,0.0,0.0
1993-03-31,5.24,5.4,5.24,5.37,2130900,0.0,0.0
1993-04-01,5.35,5.37,5.3,5.3,1686300,0.0,0.0
1993-04-02,5.3,5.3,5.28,5.28,1596000,0.0,0.0
1993-04-05,5.26,5.26,5.21,5.21,1044300,0.0,0.0
1993-04-06,5.24,5.28,5.24,5.28,458100,0.0,0.0
1993-04-07,5.28,5.49,5.28,5.4,632100,0.0,0.0
1993-04-08,5.37,5.42,5.35,5.35,1555500,0.0,0.0
1993-04-12,5.35,5.37,5.28,5.3,980100,0.0,0.0
1993-04-13,5.28,5.33,5.28,5.33,4521000,0.0,0.0
1993-04-14,5.33,5.35,5.3,5.3,385200,0.0,0.0
1993-04-15,5.33,5.4,5.3,5.37,479100,0.0,0.0
1993-04-16,5.37,5.42,5.37,5.4,317400,0.0,0.0
1993-04-19,5.35,5.4,5.33,5.37,189900,0.0,0.0
1993-04-20,5.37,5.37,5.24,5.24,1680000,0.0,0.0
1993-04-21,5.24,5.26,5.24,5.26,440400,0.0,0.0
1993-04-22,5.24,5.26,5.21,5.24,390900,0.0,0.0
1993-04-23,5.26,5.26,5.19,5.26,700800,0.0,0.0
1993-04-26,5.24,5.24,5.1,5.1,1038300,0.0,0.0
1993-04-27,5.1,5.12,5.1,5.12,604200,0.0,0.0
1993-04-28,5.12,5.12,5.1,5.1,815700,0.0,0.0
1993-04-29,5.12,5.14,5.1,5.1,477600,0.0,0.0
1993-04-30,5.12,5.3,5.12,5.3,1086600,0.0,0.0
1993-05-03,5.28,5.37,5.28,5.37,654600,0.0,0.0
1993-05-04,5.51,5.56,5.49,5.51,1054200,0.0,0.0
1993-05-05,5.7,5.88,5.68,5.88,1123500,0.0,0.0
