Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.46,0.45,0.45,45946,0.0,0.0
1980-03-18,0.0,0.46,0.45,0.45,32819,0.0,0.0
1980-03-19,0.0,0.46,0.45,0.45,13127,0.0,0.0
1980-03-20,0.0,0.46,0.45,0.45,17503,0.0,0.0
1980-03-21,0.0,0.46,0.45,0.45,6564,0.0,0.0
1980-03-24,0.0,0.44,0.43,0.43,131275,0.0,0.0
1980-03-25,0.0,0.43,0.42,0.42,35007,0.0,0.0
1980-03-26,0.0,0.43,0.42,0.42,6564,0.0,0.0
1980-03-27,0.0,0.42,0.4,0.4,61262,0.0,0.0
1980-03-28,0.0,0.38,0.36,0.36,124711,0.0,0.0
1980-03-31,0.0,0.38,0.36,0.36,10940,0.0,0.0
1980-04-01,0.0,0.38,0.37,0.37,45946,0.0,0.0
1980-04-02,0.0,0.39,0.37,0.37,26255,0.0,0.0
1980-04-03,0.0,0.39,0.37,0.37,37194,0.0,0.0
1980-04-07,0.0,0.39,0.37,0.37,13127,0.0,0.0
1980-04-08,0.0,0.39,0.38,0.38,41570,0.0,0.0
1980-04-09,0.0,0.39,0.38,0.38,39382,0.0,0.0
1980-04-10,0.0,0.4,0.38,0.38,41570,0.0,0.0
1980-04-11,0.0,0.4,0.38,0.38,10940,0.0,0.0
1980-04-14,0.0,0.39,0.38,0.38,102832,0.0,0.0
1980-04-15,0.0,0.39,0.38,0.38,15315,0.0,0.0
1980-04-16,0.0,0.4,0.38,0.38,56886,0.0,0.0
1980-04-17,0.0,0.4,0.38,0.38,19691,0.0,0.0
1980-04-18,0.0,0.4,0.38,0.38,8752,0.0,0.0
1980-04-21,0.38,0.38,0.38,0.38,0,0.0,0.0
1980-04-22,0.0,0.4,0.38,0.38,28443,0.0,0.0
1980-04-23,0.0,0.4,0.38,0.38,37194,0.0,0.0
1980-04-24,0.0,0.4,0.38,0.38,37194,0.0,0.0
1980-04-25,0.0,0.4,0.38,0.38,15315,0.0,0.0
