Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-05-02,0.0,0.47,0.46,0.47,672000,0.0,0.0
1973-05-03,0.0,0.47,0.46,0.47,739200,0.0,0.0
1973-05-04,0.0,0.47,0.46,0.47,1339200,0.0,0.0
1973-05-07,0.0,0.47,0.46,0.46,316800,0.0,0.0
1973-05-08,0.0,0.46,0.46,0.46,619200,0.0,0.0
1973-05-09,0.0,0.47,0.46,0.46,508800,0.0,0.0
1973-05-10,0.0,0.46,0.46,0.46,307200,0.0,0.0
1973-05-11,0.0,0.46,0.46,0.46,451200,0.0,0.0
1973-05-14,0.0,0.46,0.46,0.46,657600,0.0,0.0
1973-05-15,0.0,0.46,0.45,0.46,830400,0.0,0.0
1973-05-16,0.0,0.46,0.45,0.46,331200,0.0,0.0
1973-05-17,0.0,0.46,0.45,0.45,619200,0.0,0.0
1973-05-18,0.0,0.45,0.45,0.45,604800,0.0,0.0
1973-05-21,0.0,0.44,0.44,0.44,1022400,0.0,0.0
1973-05-22,0.0,0.45,0.44,0.44,1099200,0.0,0.0
1973-05-23,0.0,0.44,0.44,0.44,768000,0.0,0.0
1973-05-24,0.0,0.43,0.42,0.43,1483200,0.0,0.0
1973-05-25,0.0,0.43,0.41,0.43,3124800,0.0,0.0
1973-05-29,0.0,0.43,0.43,0.43,1756800,0.0,0.0
1973-05-30,0.0,0.43,0.42,0.43,2478400,0.0,3.0
1973-05-31,0.0,0.43,0.42,0.42,3008000,0.0,0.0
1973-06-01,0.0,0.41,0.4,0.41,800000,0.0,0.0
1973-06-04,0.0,0.4,0.39,0.39,531200,0.0,0.0
1973-06-05,0.0,0.4,0.37,0.38,1417600,0.0,0.0
1973-06-06,0.0,0.38,0.34,0.36,2070400,0.0,0.0
1973-06-07,0.0,0.4,0.36,0.37,2363200,0.0,0.0
1973-06-08,0.0,0.41,0.38,0.4,1230400,0.0,0.0
1973-06-11,0.0,0.41,0.4,0.4,576000,0.0,0.0
1973-06-12,0.0,0.42,0.41,0.42,857600,0.0,0.0
1973-06-13,0.0,0.43,0.41,0.41,876800,0.0,0.0
1973-06-14,0.0,0.41,0.4,0.41,1216000,0.0,0.0
1973-06-15,0.0,0.4,0.38,0.38,465600,0.0,0.0
1973-06-18,0.0,0.39,0.38,0.38,457600,0.0,0.0
1973-06-19,0.0,0.41,0.39,0.41,566400,0.0,0.0
1973-06-20,0.0,0.42,0.41,0.42,944000,0.0,0.0
1973-06-21,0.0,0.42,0.41,0.41,681600,0.0,0.0
1973-06-22,0.0,0.44,0.41,0.41,926400,0.0,0.0
1973-06-25,0.0,0.41,0.39,0.39,523200,0.0,0.0
1973-06-26,0.0,0.39,0.38,0.39,380800,0.0,0.0
1973-06-27,0.0,0.4,0.39,0.4,316800,0.0,0.0
1973-06-28,0.0,0.41,0.4,0.4,380800,0.0,0.0
1973-06-29,0.0,0.41,0.4,0.41,524800,0.0,0.0
1973-07-02,0.0,0.41,0.4,0.4,360000,0.0,0.0
1973-07-03,0.0,0.4,0.39,0.39,699200,0.0,0.0
1973-07-05,0.0,0.4,0.39,0.39,345600,0.0,0.0
1973-07-06,0.0,0.4,0.39,0.39,244800,0.0,0.0
1973-07-09,0.0,0.4,0.39,0.4,313600,0.0,0.0
1973-07-10,0.0,0.41,0.4,0.41,660800,0.0,0.0
1973-07-11,0.0,0.43,0.41,0.43,689600,0.0,0.0
1973-07-12,0.0,0.46,0.43,0.46,1675200,0.0,0.0
1973-07-13,0.0,0.45,0.44,0.45,936000,0.0,0.0
1973-07-16,0.0,0.46,0.43,0.46,1004800,0.0,0.0
1973-07-17,0.0,0.47,0.46,0.47,961600,0.0,0.0
1973-07-18,0.0,0.47,0.46,0.47,1099200,0.0,0.0
1973-07-19,0.0,0.48,0.47,0.47,1190400,0.01,0.0
1973-07-20,0.0,0.48,0.47,0.48,2331200,0.0,0.0
1973-07-23,0.0,0.49,0.48,0.49,1499200,0.0,0.0
1973-07-24,0.0,0.49,0.48,0.49,1316800,0.0,0.0
1973-07-25,0.0,0.5,0.49,0.5,835200,0.0,0.0
1973-07-26,0.0,0.5,0.5,0.5,896000,0.0,0.0
1973-07-27,0.0,0.51,0.5,0.5,913600,0.0,0.0
1973-07-30,0.0,0.51,0.5,0.51,500800,0.0,0.0
1973-07-31,0.0,0.51,0.51,0.51,675200,0.0,0.0
1973-08-01,0.0,0.51,0.49,0.5,392000,0.0,0.0
1973-08-02,0.0,0.5,0.49,0.5,408000,0.0,0.0
1973-08-03,0.0,0.49,0.47,0.47,297600,0.0,0.0
1973-08-06,0.0,0.49,0.47,0.48,520000,0.0,0.0
1973-08-07,0.0,0.48,0.47,0.48,622400,0.0,0.0
1973-08-08,0.0,0.48,0.47,0.47,1009600,0.0,0.0
1973-08-09,0.0,0.48,0.47,0.48,1174400,0.0,0.0
1973-08-10,0.0,0.48,0.47,0.47,1310400,0.0,0.0
1973-08-13,0.0,0.47,0.47,0.47,971200,0.0,0.0
1973-08-14,0.0,0.47,0.46,0.46,752000,0.0,0.0
1973-08-15,0.0,0.47,0.46,0.47,318400,0.0,0.0
1973-08-16,0.0,0.48,0.47,0.47,507200,0.0,0.0
1973-08-17,0.0,0.47,0.45,0.47,2259200,0.0,0.0
1973-08-20,0.0,0.46,0.45,0.45,668800,0.0,0.0
1973-08-21,0.0,0.45,0.44,0.44,288000,0.0,0.0
1973-08-22,0.0,0.45,0.44,0.45,704000,0.0,0.0
1973-08-23,0.0,0.46,0.44,0.45,504000,0.0,0.0
1973-08-24,0.0,0.45,0.43,0.44,665600,0.0,0.0
1973-08-27,0.0,0.46,0.44,0.45,481600,0.0,0.0
1973-08-28,0.0,0.47,0.46,0.47,1643200,0.0,0.0
1973-08-29,0.0,0.49,0.47,0.49,507200,0.0,0.0
1973-08-30,0.0,0.48,0.48,0.48,228800,0.0,0.0
1973-08-31,0.0,0.49,0.48,0.48,600000,0.0,0.0
1973-09-04,0.0,0.49,0.48,0.49,542400,0.0,0.0
1973-09-05,0.0,0.48,0.47,0.47,705600,0.0,0.0
1973-09-06,0.0,0.47,0.46,0.46,705600,0.0,0.0
1973-09-07,0.0,0.48,0.46,0.47,353600,0.0,0.0
1973-09-10,0.0,0.47,0.47,0.47,894400,0.0,0.0
1973-09-11,0.0,0.47,0.46,0.47,968000,0.0,0.0
1973-09-12,0.0,0.48,0.47,0.47,715200,0.0,0.0
1973-09-13,0.0,0.48,0.47,0.48,536000,0.0,0.0
1973-09-14,0.0,0.49,0.47,0.49,417600,0.0,0.0
1973-09-17,0.0,0.5,0.48,0.49,659200,0.0,0.0
1973-09-18,0.0,0.49,0.48,0.48,689600,0.0,0.0
1973-09-19,0.0,0.48,0.46,0.48,2430400,0.0,0.0
1973-09-20,0.0,0.48,0.47,0.48,1644800,0.0,0.0
1973-09-21,0.0,0.49,0.48,0.48,1299200,0.0,0.0
1973-09-24,0.0,0.5,0.48,0.49,916800,0.0,0.0
1973-09-25,0.0,0.5,0.49,0.5,1020800,0.0,0.0
1973-09-26,0.0,0.5,0.49,0.49,593600,0.0,0.0
1973-09-27,0.0,0.5,0.49,0.49,1040000,0.0,0.0
1973-09-28,0.0,0.49,0.47,0.48,417600,0.0,0.0
1973-10-01,0.0,0.48,0.46,0.46,971200,0.0,0.0
1973-10-02,0.0,0.47,0.46,0.47,339200,0.0,0.0
1973-10-03,0.0,0.47,0.46,0.47,596800,0.0,0.0
1973-10-04,0.0,0.47,0.46,0.47,942400,0.0,0.0
1973-10-05,0.0,0.48,0.47,0.48,508800,0.0,0.0
1973-10-08,0.0,0.49,0.47,0.49,342400,0.0,0.0
1973-10-09,0.0,0.5,0.49,0.49,384000,0.0,0.0
1973-10-10,0.0,0.49,0.47,0.48,422400,0.0,0.0
1973-10-11,0.0,0.51,0.48,0.51,705600,0.0,0.0
1973-10-12,0.0,0.51,0.5,0.51,1032000,0.0,0.0
1973-10-15,0.0,0.51,0.5,0.5,388800,0.0,0.0
1973-10-16,0.0,0.5,0.49,0.5,400000,0.0,0.0
1973-10-17,0.0,0.5,0.49,0.49,294400,0.0,0.0
1973-10-18,0.0,0.49,0.48,0.49,761600,0.01,0.0
1973-10-19,0.0,0.51,0.5,0.51,456000,0.0,0.0
1973-10-22,0.0,0.51,0.49,0.49,278400,0.0,0.0
1973-10-23,0.0,0.5,0.49,0.49,224000,0.0,0.0
1973-10-24,0.0,0.51,0.49,0.5,584000,0.0,0.0
1973-10-25,0.0,0.49,0.49,0.49,265600,0.0,0.0
1973-10-26,0.0,0.49,0.49,0.49,1860800,0.0,0.0
1973-10-29,0.0,0.49,0.47,0.47,822400,0.0,0.0
1973-10-30,0.0,0.48,0.45,0.46,1134400,0.0,0.0
1973-10-31,0.0,0.46,0.45,0.45,683200,0.0,0.0
1973-11-01,0.0,0.46,0.44,0.46,460800,0.0,0.0
1973-11-02,0.0,0.46,0.44,0.45,574400,0.0,0.0
1973-11-05,0.0,0.46,0.44,0.45,340800,0.0,0.0
1973-11-06,0.0,0.47,0.45,0.45,296000,0.0,0.0
1973-11-07,0.0,0.47,0.45,0.47,489600,0.0,0.0
1973-11-08,0.0,0.49,0.47,0.48,601600,0.0,0.0
1973-11-09,0.0,0.47,0.46,0.46,398400,0.0,0.0
1973-11-12,0.0,0.46,0.45,0.45,502400,0.0,0.0
1973-11-13,0.0,0.45,0.44,0.45,812800,0.0,0.0
1973-11-14,0.0,0.46,0.45,0.45,627200,0.0,0.0
1973-11-15,0.0,0.46,0.45,0.45,481600,0.0,0.0
1973-11-16,0.0,0.48,0.46,0.48,854400,0.0,0.0
1973-11-19,0.0,0.47,0.45,0.45,505600,0.0,0.0
1973-11-20,0.0,0.45,0.44,0.45,608000,0.0,0.0
1973-11-21,0.0,0.46,0.45,0.46,686400,0.0,0.0
1973-11-23,0.0,0.46,0.45,0.45,1409600,0.0,0.0
1973-11-26,0.0,0.45,0.41,0.42,622400,0.0,0.0
1973-11-27,0.0,0.43,0.41,0.43,620800,0.0,0.0
1973-11-28,0.0,0.43,0.42,0.43,436800,0.0,0.0
1973-11-29,0.0,0.43,0.41,0.41,873600,0.0,0.0
1973-11-30,0.0,0.41,0.4,0.4,641600,0.0,0.0
1973-12-03,0.0,0.4,0.38,0.39,584000,0.0,0.0
1973-12-04,0.0,0.4,0.38,0.39,632000,0.0,0.0
1973-12-05,0.0,0.4,0.39,0.39,593600,0.0,0.0
1973-12-06,0.0,0.43,0.39,0.43,1030400,0.0,0.0
1973-12-07,0.0,0.43,0.42,0.42,846400,0.0,0.0
1973-12-10,0.0,0.43,0.42,0.43,592000,0.0,0.0
1973-12-11,0.0,0.43,0.42,0.42,601600,0.0,0.0
1973-12-12,0.0,0.4,0.38,0.38,1464000,0.0,0.0
1973-12-13,0.0,0.39,0.38,0.38,472000,0.0,0.0
1973-12-14,0.0,0.39,0.37,0.38,995200,0.0,0.0
1973-12-17,0.0,0.39,0.37,0.38,849600,0.0,0.0
1973-12-18,0.0,0.4,0.38,0.4,409600,0.0,0.0
1973-12-19,0.0,0.41,0.39,0.39,499200,0.0,0.0
1973-12-20,0.0,0.4,0.38,0.38,768000,0.0,0.0
1973-12-21,0.0,0.38,0.36,0.36,644800,0.0,0.0
1973-12-24,0.0,0.36,0.31,0.32,1169600,0.0,0.0
1973-12-26,0.0,0.36,0.33,0.36,820800,0.0,0.0
1973-12-27,0.0,0.37,0.36,0.37,582400,0.0,0.0
1973-12-28,0.0,0.37,0.36,0.37,323200,0.0,0.0
1973-12-31,0.0,0.37,0.36,0.37,336000,0.0,0.0
1974-01-02,0.0,0.37,0.36,0.37,344000,0.0,0.0
1974-01-03,0.0,0.39,0.37,0.38,1124800,0.0,0.0
1974-01-04,0.0,0.38,0.36,0.36,430400,0.0,0.0
1974-01-07,0.0,0.36,0.35,0.36,793600,0.0,0.0
1974-01-08,0.0,0.35,0.34,0.34,852800,0.0,0.0
1974-01-09,0.0,0.33,0.33,0.33,779200,0.0,0.0
1974-01-10,0.0,0.34,0.33,0.33,748800,0.0,0.0
1974-01-11,0.0,0.35,0.31,0.32,1310400,0.0,0.0
1974-01-14,0.0,0.33,0.3,0.31,646400,0.0,0.0
1974-01-15,0.0,0.32,0.31,0.31,569600,0.0,0.0
1974-01-16,0.0,0.32,0.31,0.32,300800,0.0,0.0
1974-01-17,0.0,0.35,0.33,0.35,561600,0.0,0.0
1974-01-18,0.0,0.36,0.33,0.33,768000,0.0,0.0
1974-01-21,0.0,0.35,0.32,0.35,315200,0.01,0.0
1974-01-22,0.0,0.36,0.34,0.35,672000,0.0,0.0
1974-01-23,0.0,0.36,0.34,0.35,763200,0.0,0.0
1974-01-24,0.0,0.37,0.36,0.37,1326400,0.0,0.0
1974-01-25,0.0,0.39,0.37,0.37,643200,0.0,0.0
1974-01-28,0.0,0.37,0.36,0.37,329600,0.0,0.0
1974-01-29,0.0,0.37,0.35,0.36,406400,0.0,0.0
1974-01-30,0.0,0.38,0.36,0.37,276800,0.0,0.0
1974-01-31,0.0,0.38,0.37,0.37,440000,0.0,0.0
1974-02-01,0.0,0.38,0.37,0.37,505600,0.0,0.0
1974-02-04,0.0,0.37,0.35,0.36,1708800,0.0,0.0
1974-02-05,0.0,0.37,0.34,0.36,563200,0.0,0.0
1974-02-06,0.0,0.38,0.35,0.37,880000,0.0,0.0
1974-02-07,0.0,0.38,0.36,0.37,1176000,0.0,0.0
1974-02-08,0.0,0.38,0.36,0.36,315200,0.0,0.0
1974-02-11,0.0,0.36,0.36,0.36,497600,0.0,0.0
1974-02-12,0.0,0.36,0.35,0.36,324800,0.0,0.0
1974-02-13,0.0,0.37,0.36,0.36,428800,0.0,0.0
1974-02-14,0.0,0.36,0.35,0.36,329600,0.0,0.0
1974-02-15,0.0,0.36,0.36,0.36,332800,0.0,0.0
1974-02-19,0.0,0.36,0.36,0.36,484800,0.0,0.0
1974-02-20,0.0,0.36,0.36,0.36,680000,0.0,0.0
1974-02-21,0.0,0.36,0.35,0.35,334400,0.0,0.0
1974-02-22,0.0,0.36,0.35,0.36,353600,0.0,0.0
1974-02-25,0.0,0.36,0.35,0.35,353600,0.0,0.0
1974-02-26,0.0,0.36,0.35,0.36,345600,0.0,0.0
1974-02-27,0.0,0.36,0.36,0.36,430400,0.0,0.0
1974-02-28,0.0,0.36,0.35,0.36,700800,0.0,0.0
1974-03-01,0.0,0.37,0.36,0.37,174400,0.0,0.0
1974-03-04,0.0,0.38,0.36,0.38,377600,0.0,0.0
1974-03-05,0.0,0.4,0.38,0.39,916800,0.0,0.0
1974-03-06,0.0,0.39,0.38,0.39,779200,0.0,0.0
1974-03-07,0.0,0.39,0.38,0.38,243200,0.0,0.0
1974-03-08,0.0,0.39,0.38,0.39,451200,0.0,0.0
1974-03-11,0.0,0.4,0.38,0.39,432000,0.0,0.0
1974-03-12,0.0,0.43,0.39,0.42,529600,0.0,0.0
1974-03-13,0.0,0.43,0.43,0.43,537600,0.0,0.0
1974-03-14,0.0,0.44,0.42,0.42,592000,0.0,0.0
1974-03-15,0.0,0.41,0.41,0.41,388800,0.0,0.0
1974-03-18,0.0,0.42,0.41,0.41,172800,0.0,0.0
1974-03-19,0.0,0.41,0.4,0.4,395200,0.0,0.0
1974-03-20,0.0,0.41,0.39,0.4,230400,0.0,0.0
1974-03-21,0.0,0.4,0.39,0.4,593600,0.0,0.0
1974-03-22,0.0,0.4,0.39,0.39,617600,0.0,0.0
1974-03-25,0.0,0.4,0.39,0.4,318400,0.0,0.0
1974-03-26,0.0,0.41,0.4,0.41,484800,0.0,0.0
1974-03-27,0.0,0.41,0.41,0.41,270400,0.0,0.0
1974-03-28,0.0,0.41,0.39,0.39,499200,0.0,0.0
1974-03-29,0.0,0.39,0.37,0.37,688000,0.0,0.0
1974-04-01,0.0,0.38,0.37,0.37,187200,0.0,0.0
1974-04-02,0.0,0.38,0.37,0.38,203200,0.0,0.0
1974-04-03,0.0,0.39,0.37,0.39,244800,0.0,0.0
1974-04-04,0.0,0.4,0.38,0.39,812800,0.0,0.0
1974-04-05,0.0,0.39,0.38,0.38,248000,0.0,0.0
1974-04-08,0.0,0.38,0.37,0.38,160000,0.0,0.0
1974-04-09,0.0,0.4,0.37,0.4,508800,0.0,0.0
1974-04-10,0.0,0.4,0.39,0.39,168000,0.0,0.0
1974-04-11,0.0,0.39,0.39,0.39,291200,0.0,0.0
1974-04-15,0.0,0.4,0.38,0.4,400000,0.0,0.0
1974-04-16,0.0,0.41,0.39,0.41,630400,0.0,0.0
1974-04-17,0.0,0.41,0.41,0.41,337600,0.0,0.0
1974-04-18,0.0,0.41,0.4,0.41,310400,0.0,0.0
1974-04-19,0.0,0.41,0.39,0.4,148800,0.01,0.0
1974-04-22,0.0,0.4,0.39,0.39,267200,0.0,0.0
1974-04-23,0.0,0.39,0.38,0.38,310400,0.0,0.0
1974-04-24,0.0,0.38,0.37,0.37,364800,0.0,0.0
1974-04-25,0.0,0.39,0.37,0.38,451200,0.0,0.0
1974-04-26,0.0,0.39,0.38,0.39,388800,0.0,0.0
1974-04-29,0.0,0.39,0.38,0.39,345600,0.0,0.0
1974-04-30,0.0,0.39,0.38,0.39,577600,0.0,0.0
1974-05-01,0.0,0.4,0.38,0.4,430400,0.0,0.0
1974-05-02,0.0,0.4,0.39,0.39,172800,0.0,0.0
1974-05-03,0.0,0.39,0.38,0.39,217600,0.0,0.0
1974-05-06,0.0,0.39,0.38,0.39,196800,0.0,0.0
1974-05-07,0.0,0.39,0.38,0.39,358400,0.0,0.0
1974-05-08,0.0,0.39,0.38,0.39,334400,0.0,0.0
1974-05-09,0.0,0.4,0.38,0.4,496000,0.0,0.0
1974-05-10,0.0,0.41,0.4,0.4,489600,0.0,0.0
1974-05-13,0.0,0.4,0.39,0.39,171200,0.0,0.0
