Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-07-09,7.44,7.7,7.35,7.66,1116800,0.0,0.0
1986-07-10,7.7,7.74,7.44,7.61,595600,0.0,0.0
1986-07-11,7.57,7.61,7.35,7.35,800400,0.0,0.0
1986-07-14,7.4,7.4,7.05,7.13,738000,0.0,0.0
1986-07-15,7.09,7.09,6.48,6.92,2059200,0.0,0.0
1986-07-16,6.92,7.31,6.92,7.05,1160400,0.0,0.0
1986-07-17,7.05,7.13,6.96,7.09,1046000,0.0,0.0
1986-07-18,7.09,7.2,6.96,7.13,1420000,0.0,0.0
1986-07-21,7.13,7.18,7.09,7.13,322800,0.0,0.0
1986-07-22,7.13,7.16,7.09,7.09,390800,0.0,0.0
1986-07-23,7.13,7.13,6.96,7.0,1004000,0.0,0.0
1986-07-24,7.0,7.05,6.83,6.92,1071600,0.0,0.0
1986-07-25,6.92,7.05,6.87,7.0,688400,0.0,0.0
1986-07-28,7.0,7.13,6.94,7.05,414800,0.0,0.0
1986-07-29,6.96,7.09,6.96,7.09,278400,0.0,0.0
1986-07-30,7.0,7.05,6.87,7.05,459200,0.0,0.0
1986-07-31,7.05,7.13,6.96,7.0,1213600,0.0,0.0
1986-08-01,6.96,7.05,6.79,6.79,1118000,0.0,0.0
1986-08-04,6.83,6.83,6.63,6.79,892400,0.0,0.0
1986-08-05,6.79,6.79,6.61,6.66,868800,0.0,0.0
1986-08-06,6.66,6.7,6.35,6.35,550400,0.0,0.0
1986-08-07,6.26,6.31,5.66,5.83,7560000,0.0,0.0
1986-08-08,5.87,6.22,5.83,6.18,2802000,0.0,0.0
1986-08-11,6.26,6.35,6.18,6.35,1428000,0.0,0.0
1986-08-12,6.35,6.57,6.35,6.53,1155200,0.0,0.0
1986-08-13,6.57,7.03,6.53,6.74,865600,0.0,0.0
1986-08-14,6.79,6.83,6.53,6.61,762000,0.0,0.0
1986-08-15,6.61,6.61,6.4,6.53,654400,0.0,0.0
1986-08-18,6.57,6.87,6.44,6.74,606800,0.0,0.0
1986-08-19,6.79,6.79,6.61,6.66,2744000,0.0,0.0
1986-08-20,6.66,6.66,6.53,6.61,500000,0.0,0.0
1986-08-21,6.61,6.66,6.57,6.57,353200,0.0,0.0
1986-08-22,6.61,6.66,6.53,6.53,286000,0.0,0.0
1986-08-25,6.61,6.61,6.35,6.44,766400,0.0,0.0
1986-08-26,6.4,6.53,6.4,6.53,408800,0.0,0.0
1986-08-27,6.53,6.53,6.4,6.48,686400,0.0,0.0
1986-08-28,6.48,6.48,6.35,6.4,286000,0.0,0.0
1986-08-29,6.35,6.44,6.31,6.35,1128800,0.0,0.0
1986-09-02,6.4,6.4,6.05,6.09,916800,0.0,0.0
1986-09-03,6.09,6.22,6.05,6.22,684400,0.0,0.0
1986-09-04,6.26,6.48,6.18,6.48,576800,0.0,0.0
1986-09-05,6.48,6.57,6.26,6.26,961600,0.0,0.0
1986-09-08,6.35,6.35,6.0,6.09,1793200,0.0,0.0
1986-09-09,6.05,6.09,5.92,6.0,388000,0.0,0.0
1986-09-10,6.0,6.0,5.92,5.92,802400,0.0,0.0
1986-09-11,5.96,5.96,5.39,5.53,6240000,0.0,0.0
1986-09-12,5.48,5.53,5.26,5.31,2066800,0.0,0.0
1986-09-15,5.31,5.39,5.18,5.31,1746800,0.0,0.0
1986-09-16,5.26,5.31,5.09,5.18,1547200,0.0,0.0
1986-09-17,5.22,5.22,4.92,5.13,997600,0.0,0.0
1986-09-18,5.13,6.09,5.13,6.09,833200,0.0,0.0
1986-09-19,6.09,6.09,5.7,5.96,928000,0.0,0.0
1986-09-22,5.96,6.05,5.83,5.92,464000,0.0,0.0
1986-09-23,5.96,5.96,5.61,5.74,436400,0.0,0.0
1986-09-24,5.74,5.96,5.66,5.92,649600,0.0,0.0
1986-09-25,5.92,5.92,5.79,5.79,305600,0.0,0.0
1986-09-26,5.79,5.87,5.74,5.79,278400,0.0,0.0
1986-09-29,5.83,5.83,5.61,5.74,724800,0.0,0.0
1986-09-30,5.7,6.09,5.7,5.96,773200,0.0,0.0
1986-10-01,6.05,6.09,5.96,5.96,668400,0.0,0.0
1986-10-02,5.96,6.0,5.96,5.96,592000,0.0,0.0
1986-10-03,6.0,6.0,5.74,5.83,228000,0.0,0.0
1986-10-06,5.92,5.92,5.79,5.87,467600,0.0,0.0
1986-10-07,5.83,5.92,5.83,5.87,176000,0.0,0.0
1986-10-08,5.92,6.0,5.87,6.0,558800,0.0,0.0
1986-10-09,6.0,6.0,5.83,5.87,243200,0.0,0.0
1986-10-10,5.87,5.87,5.74,5.79,238400,0.0,0.0
1986-10-13,5.83,5.83,5.61,5.61,362800,0.0,0.0
1986-10-14,5.61,6.0,5.61,5.92,612000,0.0,0.0
1986-10-15,5.96,6.13,5.92,6.09,606800,0.0,0.0
1986-10-16,6.09,6.13,6.05,6.05,269200,0.0,0.0
1986-10-17,6.09,6.09,5.87,5.92,216000,0.0,0.0
1986-10-20,5.87,5.92,5.61,5.79,595200,0.0,0.0
1986-10-21,5.79,5.79,5.7,5.7,327200,0.0,0.0
1986-10-22,5.79,5.79,5.7,5.74,396000,0.0,0.0
1986-10-23,5.79,5.79,5.74,5.76,1358400,0.0,0.0
1986-10-24,5.79,5.83,5.74,5.79,809600,0.0,0.0
1986-10-27,5.83,5.83,5.74,5.79,305200,0.0,0.0
1986-10-28,5.74,5.92,5.74,5.92,329200,0.0,0.0
1986-10-29,5.92,6.26,5.92,6.18,835600,0.0,0.0
1986-10-30,6.18,6.4,6.13,6.31,973200,0.0,0.0
1986-10-31,6.31,6.31,6.18,6.26,632400,0.0,0.0
1986-11-03,6.18,6.31,6.18,6.26,408800,0.0,0.0
1986-11-04,6.22,6.31,6.22,6.22,283200,0.0,0.0
1986-11-05,6.26,6.26,6.18,6.18,231200,0.0,0.0
1986-11-06,6.18,6.22,5.96,6.13,434000,0.0,0.0
1986-11-07,6.13,6.22,6.09,6.11,517200,0.0,0.0
1986-11-10,6.13,6.13,6.0,6.09,503200,0.0,0.0
1986-11-11,6.13,6.22,6.05,6.22,142000,0.0,0.0
1986-11-12,6.22,6.29,6.18,6.24,669600,0.0,0.0
1986-11-13,6.22,6.26,5.83,5.83,578800,0.0,0.0
1986-11-14,5.79,5.87,5.7,5.83,806000,0.0,0.0
1986-11-17,5.83,5.87,5.74,5.83,734400,0.0,0.0
1986-11-18,5.87,5.87,5.7,5.74,605600,0.0,0.0
1986-11-19,5.79,5.83,5.7,5.79,495600,0.0,0.0
1986-11-20,5.79,5.92,5.79,5.92,828400,0.0,0.0
1986-11-21,5.96,6.26,5.92,6.22,666800,0.0,0.0
1986-11-24,6.13,6.44,6.13,6.35,715600,0.0,0.0
1986-11-25,6.26,6.35,6.22,6.26,424000,0.0,0.0
1986-11-26,6.22,6.31,6.22,6.31,171600,0.0,0.0
1986-11-28,6.31,6.31,6.18,6.26,236000,0.0,0.0
1986-12-01,6.26,6.31,6.13,6.18,596000,0.0,0.0
1986-12-02,6.22,6.24,6.16,6.22,845600,0.0,0.0
1986-12-03,6.18,6.31,6.18,6.31,1016800,0.0,0.0
1986-12-04,6.26,6.4,6.13,6.22,643200,0.0,0.0
1986-12-05,6.18,6.22,5.92,5.96,636400,0.0,0.0
1986-12-08,5.92,6.0,5.79,5.92,712000,0.0,0.0
1986-12-09,5.87,5.96,5.87,5.87,302400,0.0,0.0
1986-12-10,5.92,5.92,5.79,5.83,341200,0.0,0.0
1986-12-11,5.87,5.87,5.53,5.61,1172000,0.0,0.0
1986-12-12,5.7,5.7,5.61,5.61,332000,0.0,0.0
1986-12-15,5.61,6.0,5.57,6.0,768400,0.0,0.0
1986-12-16,5.96,6.05,5.96,6.05,770000,0.0,0.0
1986-12-17,6.05,6.09,5.92,5.92,345200,0.0,0.0
1986-12-18,5.92,6.0,5.79,5.87,349200,0.0,0.0
1986-12-19,5.87,5.92,5.83,5.83,883600,0.0,0.0
1986-12-22,5.87,6.0,5.83,5.92,371600,0.0,0.0
1986-12-23,5.96,6.0,5.79,5.83,282800,0.0,0.0
1986-12-24,5.83,5.83,5.79,5.79,189200,0.0,0.0
1986-12-26,5.79,5.83,5.74,5.83,180000,0.0,0.0
1986-12-29,5.79,5.83,5.66,5.83,462000,0.0,0.0
1986-12-30,5.79,5.83,5.66,5.7,485200,0.0,0.0
1986-12-31,5.76,5.83,5.7,5.7,378400,0.0,0.0
1987-01-02,5.7,5.83,5.66,5.81,363600,0.0,0.0
1987-01-05,5.83,6.4,5.83,6.35,1222000,0.0,0.0
1987-01-06,6.35,6.35,6.13,6.18,1120000,0.0,0.0
1987-01-07,6.26,6.53,6.26,6.53,976800,0.0,0.0
1987-01-08,6.53,6.79,6.48,6.74,1178800,0.0,0.0
1987-01-09,6.74,6.87,6.7,6.79,659600,0.0,0.0
1987-01-12,6.74,6.79,6.57,6.57,1713600,0.0,0.0
1987-01-13,6.57,6.57,6.4,6.57,1000000,0.0,0.0
1987-01-14,6.57,6.61,6.44,6.53,1237600,0.0,0.0
1987-01-15,6.48,6.53,6.22,6.31,2141600,0.0,0.0
1987-01-16,6.31,6.31,6.13,6.18,722400,0.0,0.0
1987-01-19,6.18,6.4,6.18,6.35,1030000,0.0,0.0
1987-01-20,6.4,6.53,6.35,6.48,895200,0.0,0.0
1987-01-21,6.4,6.44,6.26,6.35,923200,0.0,0.0
1987-01-22,6.4,6.53,6.35,6.53,372800,0.0,0.0
1987-01-23,6.53,6.87,6.44,6.57,1741600,0.0,0.0
1987-01-26,6.61,6.61,6.4,6.44,456800,0.0,0.0
1987-01-27,6.44,6.74,6.44,6.74,666400,0.0,0.0
1987-01-28,6.74,6.92,6.66,6.92,937200,0.0,0.0
1987-01-29,6.96,7.0,6.7,6.74,712000,0.0,0.0
1987-01-30,6.79,6.79,6.57,6.77,445200,0.0,0.0
1987-02-02,6.79,6.83,6.7,6.74,483600,0.0,0.0
1987-02-03,6.74,6.74,6.57,6.57,739200,0.0,0.0
1987-02-04,6.61,6.83,6.57,6.79,1103600,0.0,0.0
1987-02-05,6.79,7.09,6.74,7.09,904000,0.0,0.0
1987-02-06,7.05,7.13,6.83,6.83,1008800,0.0,0.0
1987-02-09,6.87,6.87,6.61,6.66,663200,0.0,0.0
1987-02-10,6.74,6.74,6.61,6.66,423600,0.0,0.0
1987-02-11,6.7,6.92,6.7,6.83,394000,0.0,0.0
1987-02-12,6.87,7.4,6.83,7.05,1348800,0.0,0.0
1987-02-13,7.05,7.18,6.87,7.13,1257600,0.0,0.0
1987-02-17,7.18,7.4,7.13,7.35,1275200,0.0,0.0
1987-02-18,7.4,7.61,7.31,7.4,1346000,0.0,0.0
1987-02-19,7.4,7.57,7.4,7.57,432800,0.0,0.0
1987-02-20,7.48,7.61,7.48,7.53,350000,0.0,0.0
1987-02-23,7.53,7.57,7.44,7.46,479200,0.0,0.0
1987-02-24,7.44,7.48,7.4,7.48,934800,0.0,0.0
1987-02-25,7.48,7.66,7.44,7.64,831600,0.0,0.0
1987-02-26,7.66,7.87,7.66,7.79,720000,0.0,0.0
1987-02-27,7.72,7.79,7.61,7.7,314000,0.0,0.0
1987-03-02,7.7,7.7,7.48,7.57,560400,0.0,0.0
1987-03-03,7.53,7.57,7.44,7.53,411200,0.0,0.0
1987-03-04,7.44,7.74,7.44,7.72,508000,0.0,0.0
1987-03-05,7.74,7.87,7.7,7.79,684400,0.0,0.0
1987-03-06,7.79,7.96,7.74,7.79,741200,0.0,0.0
1987-03-09,7.79,7.83,7.68,7.74,481600,0.0,0.0
1987-03-10,7.74,7.87,7.74,7.83,206000,0.0,0.0
1987-03-11,7.83,8.0,7.83,7.96,837600,0.0,0.0
1987-03-12,7.96,7.96,7.83,7.92,597600,0.0,0.0
1987-03-13,7.92,8.79,7.92,8.44,3545200,0.0,0.0
1987-03-16,8.48,8.53,8.44,8.48,504000,0.0,0.0
1987-03-17,8.53,8.79,8.48,8.61,1909600,0.0,0.0
1987-03-18,8.61,8.74,8.61,8.61,1048000,0.0,0.0
1987-03-19,8.61,8.66,8.53,8.61,594800,0.0,0.0
1987-03-20,8.66,8.79,8.53,8.7,1144000,0.0,0.0
1987-03-23,8.7,8.74,8.66,8.66,636800,0.0,0.0
1987-03-24,8.66,8.7,8.61,8.66,490400,0.0,0.0
1987-03-25,8.7,8.7,8.61,8.66,939600,0.0,0.0
1987-03-26,8.7,9.01,8.66,8.88,2110800,0.0,0.0
1987-03-27,8.96,9.01,8.88,8.88,810400,0.0,0.0
1987-03-30,8.88,8.88,7.96,8.18,1305600,0.0,0.0
1987-03-31,8.14,8.44,8.09,8.35,876400,0.0,0.0
1987-04-01,8.18,8.31,8.18,8.27,830000,0.0,0.0
1987-04-02,8.35,8.48,8.22,8.27,566400,0.0,0.0
1987-04-03,8.31,8.4,8.22,8.4,264800,0.0,0.0
1987-04-06,8.4,8.53,8.4,8.53,297600,0.0,0.0
1987-04-07,8.53,8.61,8.27,8.27,304000,0.0,0.0
1987-04-08,8.27,8.4,8.27,8.35,507200,0.0,0.0
1987-04-09,8.35,8.4,8.27,8.35,310400,0.0,0.0
1987-04-10,8.31,8.31,8.27,8.27,442400,0.0,0.0
1987-04-13,8.22,8.27,8.0,8.0,524000,0.0,0.0
1987-04-14,8.0,8.0,7.35,7.4,1610000,0.0,0.0
1987-04-15,7.57,7.61,7.35,7.53,730400,0.0,0.0
1987-04-16,7.53,7.66,7.48,7.57,970800,0.0,0.0
1987-04-20,7.57,7.66,7.48,7.57,482800,0.0,0.0
1987-04-21,7.53,7.57,7.4,7.57,798800,0.0,0.0
1987-04-22,7.57,7.7,7.48,7.48,466800,0.0,0.0
1987-04-23,7.53,7.53,7.35,7.44,288400,0.0,0.0
1987-04-24,7.4,7.44,7.05,7.09,686000,0.0,0.0
1987-04-27,7.09,7.09,6.79,6.92,927200,0.0,0.0
1987-04-28,7.05,7.09,6.96,7.0,978800,0.0,0.0
1987-04-29,7.0,7.05,6.7,6.7,1031200,0.0,0.0
1987-04-30,6.74,7.53,6.61,7.4,1474800,0.0,0.0
1987-05-01,7.4,7.4,7.31,7.35,763600,0.0,0.0
