Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-08-19,0.0,0.69,0.68,0.68,1996200,0.0,0.0
1983-08-22,0.0,0.69,0.68,0.68,1621800,0.0,0.0
1983-08-23,0.0,0.69,0.68,0.68,1972800,0.0,0.0
1983-08-24,0.0,0.7,0.69,0.69,819000,0.0,0.0
1983-08-25,0.0,0.71,0.7,0.7,347400,0.0,0.0
1983-08-26,0.0,0.73,0.71,0.71,549000,0.0,0.0
1983-08-29,0.0,0.74,0.72,0.72,552600,0.0,0.0
1983-08-30,0.0,0.77,0.76,0.76,777600,0.0,0.0
1983-08-31,0.0,0.77,0.76,0.76,1432800,0.0,0.0
1983-09-01,0.0,0.76,0.75,0.75,271800,0.0,0.0
1983-09-02,0.0,0.76,0.75,0.75,120600,0.0,0.0
1983-09-06,0.0,0.76,0.75,0.75,165600,0.0,0.0
1983-09-07,0.0,0.76,0.75,0.75,1135800,0.0,0.0
1983-09-08,0.0,0.76,0.75,0.75,124200,0.0,0.0
1983-09-09,0.0,0.76,0.75,0.75,82800,0.0,0.0
1983-09-12,0.0,0.76,0.75,0.75,703800,0.0,0.0
1983-09-13,0.0,0.76,0.75,0.75,79200,0.0,0.0
1983-09-14,0.0,0.76,0.75,0.75,77400,0.0,0.0
1983-09-15,0.0,0.75,0.74,0.74,212400,0.0,0.0
1983-09-16,0.0,0.75,0.74,0.74,82800,0.0,0.0
1983-09-19,0.0,0.75,0.74,0.74,39600,0.0,0.0
1983-09-20,0.0,0.76,0.74,0.74,59400,0.0,0.0
1983-09-21,0.0,0.76,0.75,0.75,25200,0.0,0.0
1983-09-22,0.0,0.76,0.75,0.75,90000,0.0,0.0
1983-09-23,0.0,0.76,0.75,0.75,37800,0.0,0.0
1983-09-26,0.0,0.76,0.75,0.75,304200,0.0,0.0
1983-09-27,0.0,0.76,0.75,0.75,46800,0.0,0.0
1983-09-28,0.0,0.76,0.75,0.75,27000,0.0,0.0
1983-09-29,0.0,0.78,0.77,0.77,275400,0.0,0.0
1983-09-30,0.0,0.78,0.78,0.78,325800,0.0,0.0
1983-10-03,0.0,0.8,0.79,0.79,275400,0.0,0.0
1983-10-04,0.0,0.8,0.79,0.79,43200,0.0,0.0
1983-10-05,0.0,0.81,0.79,0.79,351000,0.0,0.0
1983-10-06,0.0,0.8,0.79,0.79,259200,0.0,0.0
1983-10-07,0.0,0.8,0.79,0.79,999000,0.0,0.0
1983-10-10,0.0,0.8,0.79,0.79,34200,0.0,0.0
1983-10-11,0.0,0.8,0.79,0.79,100800,0.0,0.0
1983-10-12,0.0,0.79,0.79,0.79,14400,0.0,0.0
1983-10-13,0.0,0.79,0.79,0.79,84600,0.0,0.0
1983-10-14,0.0,0.79,0.78,0.78,75600,0.0,0.0
1983-10-17,0.0,0.81,0.8,0.8,244800,0.0,0.0
1983-10-18,0.0,0.87,0.86,0.86,491400,0.0,0.0
1983-10-19,0.0,0.9,0.9,0.9,1146600,0.0,0.0
1983-10-20,0.0,0.91,0.9,0.9,950400,0.0,0.0
1983-10-21,0.0,0.9,0.89,0.89,684000,0.0,0.0
1983-10-24,0.0,0.89,0.87,0.87,91800,0.0,0.0
1983-10-25,0.0,0.89,0.88,0.88,316800,0.0,0.0
1983-10-26,0.0,0.87,0.86,0.86,270000,0.0,0.0
1983-10-27,0.0,0.82,0.81,0.81,207000,0.0,0.0
1983-10-28,0.0,0.81,0.8,0.8,203400,0.0,0.0
1983-10-31,0.0,0.81,0.8,0.8,50400,0.0,0.0
1983-11-01,0.0,0.81,0.8,0.8,880200,0.0,0.0
1983-11-02,0.0,0.81,0.8,0.8,88200,0.0,0.0
1983-11-03,0.0,0.81,0.8,0.8,46800,0.0,0.0
1983-11-04,0.0,0.81,0.8,0.8,18000,0.0,0.0
1983-11-07,0.0,0.81,0.8,0.8,109800,0.0,0.0
1983-11-08,0.0,0.82,0.8,0.8,138600,0.0,0.0
1983-11-09,0.0,0.82,0.8,0.8,19800,0.0,0.0
1983-11-10,0.0,0.84,0.83,0.83,144000,0.0,0.0
1983-11-11,0.0,0.84,0.83,0.83,75600,0.0,0.0
1983-11-14,0.0,0.84,0.83,0.83,358200,0.0,0.0
1983-11-15,0.0,0.84,0.83,0.83,271800,0.0,0.0
1983-11-16,0.0,0.86,0.84,0.84,219600,0.0,0.0
1983-11-17,0.0,0.86,0.85,0.85,658800,0.0,0.0
1983-11-18,0.0,0.87,0.85,0.85,198000,0.0,0.0
1983-11-21,0.0,0.87,0.86,0.86,41400,0.0,0.0
1983-11-22,0.0,0.87,0.86,0.86,81000,0.0,0.0
1983-11-23,0.0,0.87,0.86,0.86,108000,0.0,0.0
1983-11-25,0.0,0.88,0.87,0.87,19800,0.0,0.0
1983-11-28,0.0,0.88,0.87,0.87,90000,0.0,0.0
1983-11-29,0.0,0.92,0.91,0.91,869400,0.0,0.0
1983-11-30,0.0,0.93,0.92,0.92,367200,0.0,0.0
1983-12-01,0.0,0.93,0.92,0.92,1800,0.0,0.0
1983-12-02,0.0,0.93,0.92,0.92,9000,0.0,0.0
1983-12-05,0.0,0.93,0.91,0.91,120600,0.0,0.0
1983-12-06,0.0,0.92,0.91,0.91,30600,0.0,0.0
1983-12-07,0.0,0.92,0.91,0.91,108000,0.0,0.0
1983-12-08,0.0,0.9,0.89,0.89,95400,0.0,0.0
1983-12-09,0.0,0.9,0.89,0.89,37800,0.0,0.0
1983-12-12,0.0,0.9,0.89,0.89,63000,0.0,0.0
1983-12-13,0.0,0.9,0.89,0.89,86400,0.0,0.0
1983-12-14,0.0,0.9,0.88,0.88,55800,0.0,0.0
1983-12-15,0.0,0.9,0.88,0.88,48600,0.0,0.0
1983-12-16,0.0,0.9,0.88,0.88,72000,0.0,0.0
1983-12-19,0.0,0.89,0.88,0.88,61200,0.0,0.0
1983-12-20,0.0,0.89,0.88,0.88,185400,0.0,0.0
1983-12-21,0.0,0.89,0.88,0.88,39600,0.0,0.0
1983-12-22,0.0,0.89,0.88,0.88,19800,0.0,0.0
1983-12-23,0.0,0.89,0.88,0.88,3600,0.0,0.0
1983-12-27,0.0,0.89,0.87,0.87,5400,0.0,0.0
1983-12-28,0.0,0.87,0.86,0.86,81000,0.0,0.0
1983-12-29,0.0,0.86,0.84,0.84,41400,0.0,0.0
1983-12-30,0.0,0.86,0.84,0.84,106200,0.0,0.0
