Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.0,0.35,0.35,0.35,105840,0.0,0.0
1962-01-03,0.0,0.35,0.35,0.35,127680,0.0,0.0
1962-01-04,0.0,0.35,0.35,0.35,75600,0.0,0.0
1962-01-05,0.0,0.35,0.34,0.34,201600,0.0,0.0
1962-01-08,0.0,0.34,0.34,0.34,126000,0.0,0.0
1962-01-09,0.0,0.34,0.33,0.34,183120,0.0,0.0
1962-01-10,0.0,0.34,0.34,0.34,72240,0.0,0.0
1962-01-11,0.0,0.35,0.34,0.35,112560,0.0,0.0
1962-01-12,0.0,0.35,0.35,0.35,124320,0.0,0.0
1962-01-15,0.0,0.35,0.35,0.35,92400,0.0,0.0
1962-01-16,0.0,0.35,0.34,0.35,99120,0.0,0.0
1962-01-17,0.0,0.35,0.34,0.34,151200,0.0,0.0
1962-01-18,0.0,0.35,0.34,0.35,147840,0.0,0.0
1962-01-19,0.0,0.35,0.34,0.35,124320,0.0,0.0
1962-01-22,0.0,0.35,0.35,0.35,102480,0.0,0.0
1962-01-23,0.0,0.35,0.35,0.35,122640,0.0,0.0
1962-01-24,0.0,0.35,0.34,0.34,102480,0.0,0.0
1962-01-25,0.0,0.35,0.35,0.35,136080,0.0,0.0
1962-01-26,0.0,0.35,0.35,0.35,114240,0.0,0.0
1962-01-29,0.0,0.35,0.34,0.35,194880,0.0,0.0
1962-01-30,0.0,0.35,0.35,0.35,156240,0.0,0.0
1962-01-31,0.0,0.35,0.34,0.35,226800,0.03,0.0
1962-02-01,0.0,0.36,0.35,0.36,327600,0.0,0.0
1962-02-02,0.0,0.37,0.35,0.37,509040,0.0,0.0
1962-02-05,0.0,0.37,0.36,0.37,208320,0.0,0.0
1962-02-06,0.0,0.37,0.36,0.36,146160,0.0,0.0
1962-02-07,0.0,0.37,0.36,0.37,294000,0.0,0.0
1962-02-08,0.0,0.37,0.37,0.37,87360,0.0,0.0
1962-02-09,0.0,0.38,0.37,0.38,159600,0.0,0.0
1962-02-12,0.0,0.38,0.38,0.38,127680,0.0,0.0
1962-02-13,0.0,0.38,0.37,0.38,240240,0.0,0.0
1962-02-14,0.0,0.38,0.37,0.38,117600,0.0,0.0
1962-02-15,0.0,0.38,0.38,0.38,142800,0.0,0.0
1962-02-16,0.0,0.38,0.38,0.38,156240,0.0,0.0
1962-02-19,0.0,0.39,0.38,0.38,273840,0.0,0.0
1962-02-20,0.0,0.38,0.38,0.38,188160,0.0,0.0
1962-02-21,0.0,0.38,0.38,0.38,215040,0.0,0.0
1962-02-23,0.0,0.38,0.38,0.38,173040,0.0,0.0
1962-02-26,0.0,0.38,0.38,0.38,159600,0.0,0.0
1962-02-27,0.0,0.38,0.37,0.38,295680,0.0,0.0
1962-02-28,0.0,0.38,0.38,0.38,176400,0.0,0.0
1962-03-01,0.0,0.38,0.37,0.38,162960,0.0,0.0
1962-03-02,0.0,0.38,0.38,0.38,110880,0.0,0.0
1962-03-05,0.0,0.38,0.37,0.38,107520,0.0,0.0
1962-03-06,0.0,0.38,0.37,0.37,97440,0.0,0.0
1962-03-07,0.0,0.38,0.37,0.37,204960,0.0,0.0
1962-03-08,0.0,0.38,0.37,0.37,105840,0.0,0.0
1962-03-09,0.0,0.38,0.37,0.37,132720,0.0,0.0
1962-03-12,0.0,0.38,0.37,0.38,89040,0.0,0.0
1962-03-13,0.0,0.38,0.37,0.37,105840,0.0,0.0
1962-03-14,0.0,0.38,0.38,0.38,146160,0.0,0.0
1962-03-15,0.0,0.38,0.37,0.38,144480,0.0,0.0
1962-03-16,0.0,0.38,0.38,0.38,95760,0.0,0.0
1962-03-19,0.0,0.38,0.38,0.38,99120,0.0,0.0
1962-03-20,0.0,0.38,0.38,0.38,141120,0.0,0.0
