Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.7,0.69,0.69,4774,0.0,0.0
1980-03-18,0.0,0.69,0.68,0.68,938038,0.0,0.0
1980-03-19,0.0,0.68,0.67,0.67,202883,0.0,0.0
1980-03-20,0.0,0.68,0.67,0.67,40577,0.0,0.0
1980-03-21,0.0,0.67,0.67,0.67,83540,0.0,0.0
1980-03-24,0.0,0.68,0.66,0.67,398606,0.0,0.0
1980-03-25,0.0,0.67,0.66,0.67,167080,0.0,0.0
1980-03-26,0.0,0.68,0.66,0.66,625358,0.0,0.0
1980-03-27,0.0,0.66,0.65,0.65,143212,0.0,0.0
1980-03-28,0.0,0.66,0.66,0.66,451117,0.0,0.0
1980-03-31,0.0,0.68,0.67,0.68,1515659,0.0,0.0
1980-04-01,0.0,0.69,0.68,0.69,386672,0.0,0.0
1980-04-02,0.0,0.7,0.69,0.7,1885623,0.0,0.0
1980-04-03,0.0,0.71,0.7,0.71,69219,0.0,0.0
1980-04-07,0.0,0.71,0.71,0.71,50124,0.0,0.0
1980-04-08,0.0,0.71,0.69,0.7,303132,0.0,0.0
1980-04-09,0.0,0.72,0.69,0.69,293584,0.0,0.0
1980-04-10,0.0,0.72,0.7,0.7,195723,0.0,0.0
1980-04-11,0.0,0.71,0.71,0.71,644453,0.0,0.0
1980-04-14,0.0,0.7,0.7,0.7,179015,0.0,0.0
1980-04-15,0.0,0.71,0.7,0.7,880753,0.0,0.0
1980-04-16,0.0,0.71,0.7,0.71,214818,0.0,0.0
1980-04-17,0.0,0.7,0.7,0.7,310292,0.0,0.0
1980-04-18,0.0,0.69,0.69,0.69,35803,0.0,0.0
1980-04-21,0.0,0.69,0.67,0.68,436796,0.0,0.0
1980-04-22,0.0,0.7,0.68,0.7,747088,0.0,0.0
1980-04-23,0.0,0.71,0.7,0.7,1546688,0.0,0.0
1980-04-24,0.0,0.71,0.69,0.71,233913,0.0,0.0
1980-04-25,0.0,0.71,0.7,0.71,40577,0.0,0.0
1980-04-28,0.0,0.71,0.7,0.71,355643,0.0,0.0
1980-04-29,0.0,0.72,0.7,0.7,517949,0.0,0.0
1980-04-30,0.0,0.71,0.69,0.71,102635,0.0,0.0
1980-05-01,0.0,0.71,0.69,0.69,465438,0.0,0.0
1980-05-02,0.0,0.69,0.68,0.68,887913,0.0,0.0
1980-05-05,0.0,0.68,0.65,0.66,398606,0.0,0.0
1980-05-06,0.0,0.67,0.65,0.66,88314,0.0,0.0
1980-05-07,0.0,0.67,0.66,0.67,33416,0.0,0.0
1980-05-08,0.0,0.67,0.66,0.67,38190,0.0,0.0
1980-05-09,0.0,0.67,0.66,0.66,62058,0.0,0.0
1980-05-12,0.0,0.66,0.66,0.66,202883,0.0,0.0
1980-05-13,0.0,0.67,0.66,0.66,1613520,0.0,0.0
1980-05-14,0.0,0.68,0.65,0.67,298358,0.0,0.0
1980-05-15,0.0,0.67,0.67,0.67,221978,0.0,0.0
1980-05-16,0.0,0.67,0.67,0.67,31029,0.0,0.0
1980-05-19,0.0,0.67,0.66,0.66,537044,0.0,0.0
1980-05-20,0.0,0.68,0.67,0.68,2861850,0.0,0.0
1980-05-21,0.0,0.68,0.68,0.68,257781,0.0,0.0
1980-05-22,0.0,0.68,0.67,0.68,57285,0.0,0.0
1980-05-23,0.0,0.69,0.67,0.67,463052,0.0,0.0
1980-05-27,0.0,0.69,0.68,0.68,422475,0.0,0.0
1980-05-28,0.0,0.68,0.67,0.67,143212,0.0,0.0
1980-05-29,0.0,0.69,0.67,0.69,231526,0.0,0.0
1980-05-30,0.0,0.68,0.67,0.67,66832,0.0,0.0
1980-06-02,0.0,0.68,0.67,0.68,606263,0.0,0.0
1980-06-03,0.0,0.68,0.67,0.67,398606,0.0,0.0
1980-06-04,0.0,0.68,0.67,0.68,207657,0.0,0.0
1980-06-05,0.0,0.69,0.68,0.69,248234,0.0,0.0
1980-06-06,0.0,0.71,0.7,0.71,580008,0.0,0.0
1980-06-09,0.0,0.74,0.71,0.73,961906,0.0,0.0
1980-06-10,0.0,0.74,0.73,0.73,253008,0.0,0.0
1980-06-11,0.0,0.74,0.72,0.74,594329,0.0,0.0
1980-06-12,0.0,0.75,0.74,0.74,434409,0.0,0.0
1980-06-13,0.0,0.74,0.74,0.74,374738,0.0,0.0
1980-06-16,0.0,0.73,0.71,0.72,334161,0.0,0.0
1980-06-17,0.0,0.75,0.72,0.75,171854,0.0,0.0
1980-06-18,0.0,0.75,0.74,0.75,198110,0.0,0.0
1980-06-19,0.0,0.76,0.74,0.74,186175,0.0,0.0
1980-06-20,0.0,0.75,0.74,0.75,124117,0.0,0.0
1980-06-23,0.0,0.75,0.74,0.75,150372,0.0,0.0
1980-06-24,0.0,0.75,0.74,0.74,327000,0.0,0.0
1980-06-25,0.0,0.75,0.74,0.75,54898,0.0,0.0
1980-06-26,0.0,0.76,0.75,0.76,162307,0.0,0.0
1980-06-27,0.0,0.76,0.75,0.76,231526,0.0,0.0
1980-06-30,0.0,0.76,0.76,0.76,19095,0.0,0.0
1980-07-01,0.0,0.76,0.75,0.76,93088,0.0,0.0
1980-07-02,0.0,0.78,0.75,0.78,379511,0.0,0.0
1980-07-03,0.0,0.81,0.79,0.81,816307,0.0,0.0
1980-07-07,0.0,0.85,0.81,0.84,105022,0.0,0.0
1980-07-08,0.0,0.86,0.83,0.84,52511,0.0,0.0
1980-07-09,0.0,0.85,0.82,0.83,50124,0.0,0.0
1980-07-10,0.0,0.83,0.82,0.82,336548,0.0,0.0
1980-07-11,0.0,0.82,0.82,0.82,921330,0.0,0.0
1980-07-14,0.0,0.84,0.82,0.84,214818,0.0,0.0
1980-07-15,0.0,0.86,0.85,0.85,412927,0.0,0.0
1980-07-16,0.0,0.85,0.85,0.85,181402,0.0,0.0
1980-07-17,0.0,0.85,0.85,0.85,188562,0.0,0.0
1980-07-18,0.0,0.85,0.84,0.84,448730,0.0,0.0
1980-07-21,0.0,0.84,0.82,0.83,303132,0.0,0.0
1980-07-22,0.0,0.86,0.83,0.85,109796,0.0,0.0
1980-07-23,0.0,0.84,0.82,0.82,295971,0.0,0.0
1980-07-24,0.0,0.84,0.83,0.83,651614,0.0,0.0
1980-07-25,0.0,0.85,0.83,0.83,100248,0.0,0.0
1980-07-28,0.0,0.85,0.84,0.85,40577,0.0,0.0
1980-07-29,0.0,0.87,0.85,0.86,169467,0.0,0.0
1980-07-30,0.0,0.87,0.86,0.86,200497,0.0,0.0
1980-07-31,0.0,0.86,0.85,0.86,121730,0.0,0.0
1980-08-01,0.0,0.87,0.85,0.86,389059,0.0,0.0
1980-08-04,0.0,0.88,0.87,0.87,47737,0.0,0.0
1980-08-05,0.0,0.89,0.88,0.89,369964,0.0,0.0
1980-08-06,0.0,0.93,0.89,0.93,770957,0.0,0.0
1980-08-07,0.0,0.98,0.94,0.98,262555,0.0,0.0
1980-08-08,0.0,0.98,0.95,0.96,360416,0.0,0.0
1980-08-11,0.0,0.96,0.94,0.96,1198206,0.0,0.0
1980-08-12,0.0,0.96,0.95,0.95,272102,0.0,0.0
1980-08-13,0.0,0.94,0.93,0.93,112183,0.0,0.0
1980-08-14,0.0,0.93,0.93,0.93,83540,0.0,0.0
1980-08-15,0.0,0.94,0.93,0.93,126504,0.0,0.0
1980-08-18,0.0,0.93,0.9,0.9,40577,0.0,0.0
1980-08-19,0.0,0.89,0.88,0.88,162307,0.0,0.0
1980-08-20,0.0,0.88,0.86,0.86,1050220,0.0,0.0
1980-08-21,0.0,0.9,0.86,0.9,551366,0.0,0.0
1980-08-22,0.0,0.93,0.92,0.93,398606,0.0,0.0
1980-08-25,0.0,0.93,0.92,0.92,408154,0.0,0.0
1980-08-26,0.0,0.93,0.91,0.92,181402,0.0,0.0
1980-08-27,0.0,0.92,0.9,0.9,768570,0.0,0.0
1980-08-28,0.0,0.91,0.9,0.91,76380,0.0,0.0
1980-08-29,0.0,0.91,0.9,0.9,16708,0.0,0.0
1980-09-02,0.0,0.92,0.91,0.91,28642,0.0,0.0
1980-09-03,0.0,0.97,0.91,0.96,312679,0.0,0.0
1980-09-04,0.0,0.99,0.97,0.99,155146,0.0,0.0
1980-09-05,0.0,1.0,0.98,0.98,677869,0.0,0.0
1980-09-08,0.0,0.98,0.96,0.97,2200689,0.0,0.0
1980-09-09,0.0,0.97,0.95,0.97,42964,0.0,0.0
1980-09-10,0.0,0.98,0.96,0.97,152759,0.0,0.0
1980-09-11,0.0,1.0,0.97,1.0,105022,0.0,0.0
1980-09-12,0.0,1.0,0.99,1.0,205270,0.0,0.0
1980-09-15,0.0,1.0,0.99,1.0,85927,0.0,0.0
1980-09-16,0.0,1.03,1.0,1.03,136051,0.0,0.0
1980-09-17,0.0,1.02,1.01,1.01,138438,0.0,0.0
1980-09-18,0.0,1.03,1.01,1.01,200497,0.0,0.0
1980-09-19,0.0,1.03,1.01,1.02,2262747,0.0,0.0
1980-09-22,0.0,1.03,1.01,1.02,295971,0.0,0.0
1980-09-23,0.0,1.03,1.02,1.02,28642,0.0,0.0
1980-09-24,0.0,1.03,1.01,1.02,140825,0.0,0.0
1980-09-25,0.0,1.04,1.02,1.03,195723,0.0,0.0
1980-09-26,0.0,1.03,1.0,1.02,102635,0.0,0.0
1980-09-29,0.0,1.02,0.98,0.98,183789,0.0,0.0
1980-09-30,0.0,1.0,0.99,0.99,45350,0.0,0.0
1980-10-01,0.0,1.01,0.99,1.0,95475,0.0,0.0
1980-10-02,0.0,1.0,0.98,0.98,193336,0.0,0.0
1980-10-03,0.0,1.01,0.99,1.0,45350,0.0,0.0
1980-10-06,0.0,1.01,1.01,1.01,78767,0.0,0.0
1980-10-07,0.0,1.01,0.99,0.99,95475,0.0,0.0
