Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,1.47,1.47,1.47,1.47,54400,0.0,0.0
1973-02-22,1.47,1.47,1.47,1.47,56000,0.0,0.0
1973-02-23,1.45,1.45,1.45,1.45,113600,0.0,0.0
1973-02-26,1.46,1.46,1.46,1.46,280000,0.0,0.0
1973-02-27,1.45,1.45,1.45,1.45,387200,0.0,0.0
1973-02-28,1.46,1.46,1.46,1.46,144000,0.0,0.0
1973-03-01,1.44,1.44,1.44,1.44,80000,0.0,0.0
1973-03-02,1.45,1.45,1.45,1.45,422400,0.0,0.0
1973-03-05,1.44,1.44,1.44,1.44,281600,0.0,0.0
1973-03-06,1.44,1.44,1.44,1.44,184000,0.0,0.0
1973-03-07,1.42,1.42,1.42,1.42,91200,0.0,0.0
1973-03-08,1.42,1.42,1.42,1.42,38400,0.0,0.0
1973-03-09,1.42,1.42,1.42,1.42,140800,0.0,0.0
1973-03-12,1.41,1.41,1.41,1.41,432000,0.0,0.0
1973-03-13,1.42,1.42,1.42,1.42,88000,0.0,0.0
1973-03-14,1.42,1.42,1.42,1.42,48000,0.0,0.0
1973-03-15,1.42,1.42,1.42,1.42,40000,0.0,0.0
1973-03-16,1.43,1.43,1.43,1.43,137600,0.0,0.0
1973-03-19,1.42,1.42,1.42,1.42,155200,0.0,0.0
1973-03-20,1.42,1.42,1.42,1.42,441600,0.0,0.0
1973-03-21,1.42,1.42,1.42,1.42,384000,0.0,0.0
1973-03-22,1.38,1.38,1.38,1.38,225600,0.0,0.0
1973-03-23,1.35,1.35,1.35,1.35,192000,0.0,0.0
1973-03-26,1.31,1.31,1.31,1.31,384000,0.0,0.0
1973-03-27,1.35,1.35,1.35,1.35,304000,0.0,0.0
1973-03-28,1.36,1.36,1.36,1.36,326400,0.0,0.0
1973-03-29,1.39,1.39,1.39,1.39,329600,0.0,0.0
1973-03-30,1.38,1.38,1.38,1.38,102400,0.0,0.0
1973-04-02,1.36,1.36,1.36,1.36,195200,0.0,0.0
1973-04-03,1.35,1.35,1.35,1.35,73600,0.0,0.0
1973-04-04,1.33,1.33,1.33,1.33,110400,0.0,0.0
1973-04-05,1.33,1.33,1.33,1.33,112000,0.0,0.0
1973-04-06,1.34,1.34,1.34,1.34,136000,0.0,0.0
1973-04-09,1.34,1.34,1.34,1.34,120000,0.0,0.0
1973-04-10,1.39,1.39,1.39,1.39,196800,0.0,0.0
1973-04-11,1.43,1.43,1.43,1.43,270400,0.0,0.0
1973-04-12,1.43,1.43,1.43,1.43,267200,0.0,0.0
1973-04-13,1.41,1.41,1.41,1.41,112000,0.0,0.0
1973-04-16,1.39,1.39,1.39,1.39,155200,0.0,0.0
1973-04-17,1.39,1.39,1.39,1.39,30400,0.0,0.0
1973-04-18,1.39,1.39,1.39,1.39,59200,0.0,0.0
1973-04-19,1.39,1.39,1.39,1.39,134400,0.0,0.0
1973-04-23,1.36,1.36,1.36,1.36,193600,0.0,0.0
1973-04-24,1.34,1.34,1.34,1.34,462400,0.0,0.0
1973-04-25,1.29,1.29,1.29,1.29,504000,0.0,0.0
1973-04-26,1.29,1.29,1.29,1.29,144000,0.0,0.0
1973-04-27,1.25,1.25,1.25,1.25,230400,0.0,0.0
1973-04-30,1.25,1.25,1.25,1.25,97600,0.0,0.0
1973-05-01,1.27,1.27,1.27,1.27,393600,0.0,0.0
1973-05-02,1.3,1.3,1.3,1.3,200000,0.0,0.0
1973-05-03,0.0,1.38,1.36,1.36,176000,0.0,0.0
1973-05-04,0.0,1.41,1.39,1.39,246400,0.0,0.0
1973-05-07,0.0,1.41,1.39,1.39,110400,0.0,0.0
1973-05-08,0.0,1.42,1.4,1.4,134400,0.0,0.0
1973-05-09,0.0,1.41,1.39,1.39,75200,0.0,0.0
1973-05-10,0.0,1.4,1.38,1.38,80000,0.0,0.0
1973-05-11,0.0,1.37,1.35,1.35,91200,0.0,0.0
1973-05-14,0.0,1.32,1.3,1.3,52800,0.0,0.0
1973-05-15,0.0,1.32,1.3,1.3,225600,0.0,0.0
1973-05-16,0.0,1.31,1.29,1.29,211200,0.0,0.0
1973-05-17,0.0,1.29,1.27,1.27,46400,0.0,0.0
1973-05-18,0.0,1.25,1.23,1.23,251200,0.0,0.0
1973-05-21,0.0,1.24,1.22,1.22,107200,0.0,0.0
1973-05-22,0.0,1.25,1.23,1.23,108800,0.0,0.0
1973-05-23,0.0,1.28,1.26,1.26,176000,0.0,0.0
1973-05-24,0.0,1.34,1.32,1.32,68800,0.0,0.0
1973-05-25,0.0,1.35,1.33,1.33,132800,0.0,0.0
