Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.0,0.27,0.27,0.27,25600,0.0,0.0
1962-01-03,0.0,0.27,0.27,0.27,28800,0.0,0.0
1962-01-04,0.0,0.27,0.27,0.27,21600,0.0,0.0
1962-01-05,0.0,0.27,0.26,0.26,46400,0.0,0.0
1962-01-08,0.0,0.27,0.26,0.26,29600,0.0,0.0
1962-01-09,0.0,0.27,0.26,0.26,40000,0.0,0.0
1962-01-10,0.0,0.27,0.25,0.26,20800,0.0,0.0
1962-01-11,0.0,0.27,0.26,0.26,25600,0.0,0.0
1962-01-12,0.0,0.27,0.26,0.27,16000,0.0,0.0
1962-01-15,0.0,0.27,0.27,0.27,34400,0.0,0.0
1962-01-16,0.0,0.27,0.26,0.26,57600,0.0,0.0
1962-01-17,0.0,0.27,0.26,0.26,24800,0.0,0.0
1962-01-18,0.0,0.27,0.26,0.26,37600,0.0,0.0
1962-01-19,0.0,0.26,0.26,0.26,29600,0.0,0.0
1962-01-22,0.0,0.27,0.26,0.26,24800,0.0,0.0
1962-01-23,0.0,0.26,0.26,0.26,32000,0.0,0.0
1962-01-24,0.0,0.26,0.26,0.26,40000,0.0,0.0
1962-01-25,0.0,0.26,0.25,0.25,72000,0.0,0.0
1962-01-26,0.0,0.25,0.25,0.25,35200,0.0,0.0
1962-01-29,0.0,0.26,0.25,0.25,39200,0.0,0.0
1962-01-30,0.0,0.26,0.26,0.26,40800,0.09,0.0
1962-01-31,0.0,0.26,0.26,0.26,24000,0.0,0.0
1962-02-01,0.0,0.26,0.26,0.26,38400,0.0,0.0
1962-02-02,0.0,0.26,0.26,0.26,33600,0.0,0.0
1962-02-05,0.0,0.26,0.26,0.26,24000,0.0,0.0
1962-02-06,0.0,0.26,0.26,0.26,38400,0.0,0.0
1962-02-07,0.0,0.26,0.26,0.26,28000,0.0,0.0
1962-02-08,0.0,0.26,0.26,0.26,24000,0.0,0.0
1962-02-09,0.0,0.26,0.26,0.26,17600,0.0,0.0
1962-02-12,0.0,0.26,0.26,0.26,22400,0.0,0.0
1962-02-13,0.0,0.26,0.26,0.26,36000,0.0,0.0
1962-02-14,0.0,0.27,0.26,0.27,41600,0.0,0.0
1962-02-15,0.0,0.27,0.27,0.27,38400,0.0,0.0
1962-02-16,0.0,0.27,0.27,0.27,38400,0.0,0.0
1962-02-19,0.0,0.27,0.27,0.27,8800,0.0,0.0
1962-02-20,0.0,0.27,0.27,0.27,26400,0.0,0.0
1962-02-21,0.0,0.27,0.26,0.26,68000,0.0,0.0
1962-02-23,0.0,0.26,0.26,0.26,61600,0.0,0.0
