Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-06-01,0.0,0.83,0.82,0.82,314400,0.0,0.0
1972-06-02,0.82,0.82,0.82,0.82,1396800,0.0,0.0
1972-06-05,0.82,0.82,0.82,0.82,372000,0.0,0.0
1972-06-06,0.82,0.82,0.82,0.82,177600,0.0,0.0
1972-06-07,0.81,0.81,0.8,0.8,379200,0.0,0.0
1972-06-08,0.8,0.81,0.8,0.81,552000,0.0,0.0
1972-06-09,0.81,0.81,0.8,0.81,177600,0.0,0.0
1972-06-12,0.81,0.81,0.8,0.81,506400,0.0,0.0
1972-06-13,0.81,0.81,0.8,0.81,288000,0.0,0.0
1972-06-14,0.81,0.81,0.81,0.81,789600,0.0,0.0
1972-06-15,0.81,0.81,0.81,0.81,220800,0.0,0.0
1972-06-16,0.81,0.81,0.8,0.8,96000,0.0,0.0
1972-06-19,0.8,0.81,0.8,0.81,124800,0.0,0.0
1972-06-20,0.81,0.82,0.81,0.81,206400,0.0,0.0
1972-06-21,0.82,0.83,0.82,0.83,232800,0.0,0.0
1972-06-22,0.83,0.83,0.82,0.82,336000,0.0,0.0
1972-06-23,0.82,0.83,0.82,0.82,242400,0.0,0.0
1972-06-26,0.82,0.82,0.81,0.81,237600,0.0,0.0
1972-06-27,0.82,0.82,0.82,0.82,285600,0.0,0.0
1972-06-28,0.82,0.82,0.81,0.82,139200,0.0,0.0
1972-06-29,0.82,0.82,0.81,0.82,278400,0.0,0.0
1972-06-30,0.82,0.83,0.82,0.82,153600,0.0,0.0
1972-07-03,0.82,0.82,0.82,0.82,134400,0.0,0.0
1972-07-05,0.82,0.84,0.82,0.84,148800,0.0,0.0
1972-07-06,0.84,0.85,0.84,0.85,391200,0.0,0.0
1972-07-07,0.85,0.85,0.84,0.84,175200,0.0,0.0
1972-07-10,0.84,0.84,0.83,0.83,201600,0.0,0.0
1972-07-11,0.83,0.83,0.82,0.83,117600,0.0,0.0
1972-07-12,0.83,0.83,0.83,0.83,242400,0.0,0.0
1972-07-13,0.83,0.83,0.82,0.83,120000,0.0,0.0
1972-07-14,0.83,0.83,0.82,0.83,182400,0.0,0.0
1972-07-17,0.83,0.83,0.82,0.83,170400,0.0,0.0
1972-07-18,0.83,0.83,0.82,0.83,158400,0.0,0.0
1972-07-19,0.83,0.84,0.83,0.83,307200,0.0,0.0
1972-07-20,0.84,0.85,0.84,0.85,76800,0.0,0.0
1972-07-21,0.85,0.85,0.84,0.85,184800,0.0,0.0
1972-07-24,0.85,0.87,0.85,0.87,194400,0.0,0.0
1972-07-25,0.87,0.89,0.86,0.86,391200,0.0,0.0
1972-07-26,0.86,0.87,0.86,0.86,196800,0.0,0.0
1972-07-27,0.86,0.87,0.86,0.87,446400,0.0,0.0
1972-07-28,0.87,0.87,0.85,0.86,218400,0.0,0.0
1972-07-31,0.86,0.86,0.86,0.86,144000,0.0,0.0
1972-08-01,0.86,0.87,0.86,0.86,206400,0.0,0.0
1972-08-02,0.86,0.86,0.86,0.86,1514400,0.0,0.0
1972-08-03,0.86,0.86,0.86,0.86,350400,0.0,0.0
1972-08-04,0.86,0.86,0.86,0.86,148800,0.0,0.0
1972-08-07,0.86,0.86,0.86,0.86,216000,0.0,0.0
1972-08-08,0.86,0.86,0.86,0.86,100800,0.0,0.0
1972-08-09,0.86,0.87,0.86,0.87,741600,0.0,0.0
1972-08-10,0.87,0.88,0.87,0.87,302400,0.0,0.0
1972-08-11,0.88,0.88,0.88,0.88,91200,0.0,0.0
1972-08-14,0.88,0.88,0.88,0.88,667200,0.01,0.0
1972-08-15,0.88,0.88,0.88,0.88,268800,0.0,0.0
1972-08-16,0.88,0.88,0.88,0.88,420000,0.0,0.0
1972-08-17,0.88,0.88,0.86,0.86,379200,0.0,0.0
1972-08-18,0.86,0.87,0.86,0.87,232800,0.0,0.0
1972-08-21,0.87,0.87,0.86,0.87,244800,0.0,0.0
1972-08-22,0.87,0.87,0.86,0.87,364800,0.0,0.0
1972-08-23,0.87,0.87,0.85,0.86,314400,0.0,0.0
1972-08-24,0.86,0.86,0.85,0.85,105600,0.0,0.0
1972-08-25,0.85,0.86,0.85,0.85,81600,0.0,0.0
1972-08-28,0.85,0.85,0.85,0.85,177600,0.0,0.0
1972-08-29,0.85,0.85,0.85,0.85,343200,0.0,0.0
1972-08-30,0.85,0.86,0.85,0.85,127200,0.0,0.0
1972-08-31,0.85,0.87,0.85,0.87,278400,0.0,0.0
1972-09-01,0.87,0.87,0.86,0.86,196800,0.0,0.0
1972-09-05,0.86,0.86,0.86,0.86,117600,0.0,0.0
1972-09-06,0.86,0.87,0.86,0.86,115200,0.0,0.0
1972-09-07,0.86,0.86,0.86,0.86,93600,0.0,0.0
1972-09-08,0.86,0.86,0.86,0.86,62400,0.0,0.0
1972-09-11,0.86,0.86,0.84,0.84,136800,0.0,0.0
1972-09-12,0.84,0.84,0.84,0.84,280800,0.0,0.0
1972-09-13,0.84,0.85,0.84,0.85,156000,0.0,0.0
1972-09-14,0.85,0.85,0.84,0.85,163200,0.0,0.0
1972-09-15,0.84,0.84,0.83,0.83,427200,0.0,0.0
1972-09-18,0.83,0.83,0.82,0.83,211200,0.0,0.0
1972-09-19,0.83,0.83,0.82,0.83,141600,0.0,0.0
1972-09-20,0.82,0.82,0.81,0.82,276000,0.0,0.0
1972-09-21,0.82,0.82,0.81,0.82,240000,0.0,0.0
1972-09-22,0.82,0.83,0.82,0.82,314400,0.0,0.0
1972-09-25,0.82,0.82,0.82,0.82,271200,0.0,0.0
1972-09-26,0.82,0.82,0.82,0.82,523200,0.0,0.0
1972-09-27,0.82,0.83,0.82,0.83,297600,0.0,0.0
1972-09-28,0.83,0.86,0.83,0.86,357600,0.0,0.0
1972-09-29,0.86,0.87,0.86,0.87,199200,0.0,0.0
1972-10-02,0.86,0.86,0.85,0.85,264000,0.0,0.0
1972-10-03,0.85,0.85,0.85,0.85,93600,0.0,0.0
1972-10-04,0.85,0.85,0.85,0.85,112800,0.0,0.0
1972-10-05,0.85,0.85,0.84,0.85,938400,0.0,0.0
1972-10-06,0.85,0.87,0.84,0.86,657600,0.0,0.0
1972-10-09,0.86,0.86,0.86,0.86,151200,0.0,0.0
1972-10-10,0.86,0.86,0.85,0.85,156000,0.0,0.0
1972-10-11,0.85,0.86,0.85,0.85,206400,0.0,0.0
1972-10-12,0.85,0.85,0.84,0.84,194400,0.0,0.0
1972-10-13,0.84,0.84,0.83,0.84,235200,0.0,0.0
1972-10-16,0.84,0.84,0.83,0.84,91200,0.0,0.0
1972-10-17,0.84,0.85,0.84,0.85,192000,0.0,0.0
1972-10-18,0.85,0.86,0.84,0.86,196800,0.0,0.0
1972-10-19,0.86,0.86,0.85,0.86,134400,0.0,0.0
1972-10-20,0.86,0.86,0.86,0.86,91200,0.0,0.0
1972-10-23,0.86,0.86,0.85,0.86,321600,0.0,0.0
1972-10-24,0.86,0.86,0.85,0.86,600000,0.0,0.0
1972-10-25,0.86,0.86,0.86,0.86,86400,0.0,0.0
1972-10-26,0.87,0.88,0.87,0.87,268800,0.0,0.0
1972-10-27,0.87,0.87,0.86,0.87,578400,0.0,0.0
1972-10-30,0.87,0.87,0.86,0.86,340800,0.0,0.0
1972-10-31,0.86,0.87,0.86,0.87,290400,0.0,0.0
1972-11-01,0.87,0.87,0.87,0.87,316800,0.0,0.0
1972-11-02,0.88,0.89,0.88,0.88,789600,0.0,0.0
1972-11-03,0.88,0.89,0.88,0.89,230400,0.0,0.0
1972-11-06,0.89,0.89,0.88,0.89,211200,0.0,0.0
1972-11-08,0.89,0.9,0.89,0.9,376800,0.0,0.0
1972-11-09,0.9,0.91,0.9,0.91,220800,0.0,0.0
1972-11-10,0.91,0.93,0.91,0.92,372000,0.0,0.0
1972-11-13,0.92,0.92,0.91,0.91,148800,0.01,0.0
1972-11-14,0.91,0.92,0.91,0.91,468000,0.0,0.0
1972-11-15,0.91,0.92,0.9,0.91,259200,0.0,0.0
1972-11-16,0.91,0.91,0.9,0.91,192000,0.0,0.0
1972-11-17,0.91,0.91,0.9,0.91,180000,0.0,0.0
1972-11-20,0.91,0.91,0.9,0.9,141600,0.0,0.0
1972-11-21,0.9,0.91,0.9,0.9,91200,0.0,0.0
1972-11-22,0.9,0.9,0.89,0.89,139200,0.0,0.0
1972-11-24,0.89,0.89,0.88,0.88,98400,0.0,0.0
1972-11-27,0.88,0.88,0.88,0.88,120000,0.0,0.0
1972-11-28,0.88,0.88,0.87,0.88,489600,0.0,0.0
1972-11-29,0.88,0.88,0.86,0.86,132000,0.0,0.0
1972-11-30,0.86,0.86,0.86,0.86,124800,0.0,0.0
1972-12-01,0.86,0.87,0.86,0.87,295200,0.0,0.0
1972-12-04,0.86,0.86,0.86,0.86,146400,0.0,0.0
1972-12-05,0.86,0.86,0.85,0.86,362400,0.0,0.0
1972-12-06,0.86,0.87,0.86,0.87,489600,0.0,0.0
