Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-06-07,6.01,6.16,6.01,6.09,1595400,0.0,0
1994-06-08,6.09,6.09,6.01,6.05,162400,0.0,0
1994-06-09,6.05,6.05,6.01,6.05,76200,0.0,0
1994-06-10,6.05,6.05,5.97,6.01,110500,0.0,0
1994-06-13,6.01,6.01,5.97,6.01,51200,0.0,0
1994-06-14,6.01,6.05,6.01,6.05,28100,0.0,0
1994-06-15,6.05,6.12,6.01,6.05,96700,0.0,0
1994-06-16,6.05,6.05,6.01,6.01,19800,0.0,0
1994-06-17,6.01,6.05,5.97,5.97,56000,0.0,0
1994-06-20,5.97,6.01,5.97,6.01,43500,0.0,0
1994-06-21,6.01,6.01,5.97,5.97,34700,0.0,0
1994-06-22,5.97,6.01,5.97,5.97,29500,0.0,0
1994-06-23,5.97,6.01,5.89,5.89,67900,0.0,0
1994-06-24,5.85,5.85,5.69,5.77,72500,0.0,0
1994-06-27,5.77,5.77,5.42,5.61,70100,0.0,0
1994-06-28,5.61,5.69,5.5,5.54,64700,0.0,0
1994-06-29,5.57,5.69,5.57,5.61,25100,0.0,0
1994-06-30,5.61,5.65,5.54,5.54,26100,0.0,0
1994-07-01,5.54,5.57,5.46,5.57,25500,0.0,0
1994-07-05,5.57,5.61,5.57,5.61,2900,0.0,0
1994-07-06,5.61,5.61,5.5,5.54,33600,0.0,0
1994-07-07,5.54,5.61,5.54,5.54,30500,0.0,0
1994-07-08,5.54,5.61,5.54,5.54,30200,0.0,0
1994-07-11,5.54,5.61,5.5,5.57,29300,0.0,0
1994-07-12,5.57,5.61,5.54,5.57,11700,0.0,0
1994-07-13,5.57,5.61,5.54,5.57,37800,0.0,0
1994-07-14,5.57,5.61,5.54,5.61,24600,0.0,0
1994-07-15,5.61,5.65,5.61,5.65,15000,0.0,0
1994-07-18,5.65,5.65,5.61,5.65,22900,0.0,0
1994-07-19,5.65,5.81,5.65,5.81,25700,0.0,0
1994-07-20,5.81,5.81,5.69,5.73,15900,0.0,0
1994-07-21,5.73,5.73,5.65,5.73,16000,0.0,0
1994-07-22,5.73,5.81,5.73,5.77,18800,0.0,0
1994-07-25,5.77,5.81,5.73,5.81,20100,0.0,0
1994-07-26,5.81,5.85,5.77,5.81,14200,0.0,0
1994-07-27,5.77,5.77,5.69,5.73,10100,0.0,0
1994-07-28,5.69,5.69,5.61,5.61,9200,0.0,0
1994-07-29,5.61,5.61,5.54,5.57,71400,0.0,0
1994-08-01,5.57,5.57,5.54,5.54,23500,0.0,0
1994-08-02,5.54,5.69,5.54,5.69,36700,0.0,0
1994-08-03,5.69,5.77,5.61,5.77,16300,0.0,0
1994-08-04,5.77,5.77,5.61,5.65,19800,0.0,0
1994-08-05,5.65,5.65,5.61,5.65,9100,0.0,0
1994-08-08,5.65,5.69,5.61,5.65,20100,0.0,0
1994-08-09,5.61,5.61,5.57,5.57,26700,0.0,0
1994-08-10,5.57,5.69,5.57,5.69,52600,0.0,0
1994-08-11,5.69,5.73,5.61,5.61,15800,0.0,0
1994-08-12,5.61,5.69,5.61,5.65,6100,0.0,0
1994-08-15,5.65,5.65,5.61,5.61,14400,0.0,0
1994-08-16,5.61,5.69,5.61,5.69,16800,0.0,0
1994-08-17,5.69,5.69,5.65,5.69,14500,0.0,0
1994-08-18,5.65,5.65,5.61,5.65,11500,0.0,0
1994-08-19,5.65,5.69,5.61,5.65,10300,0.0,0
1994-08-22,5.65,5.69,5.65,5.69,6500,0.0,0
1994-08-23,5.69,5.69,5.65,5.69,9600,0.0,0
1994-08-24,5.69,5.69,5.65,5.69,18300,0.0,0
1994-08-25,5.69,5.69,5.57,5.57,12800,0.0,0
1994-08-26,5.57,5.65,5.57,5.65,13400,0.0,0
1994-08-29,5.65,5.69,5.61,5.69,11900,0.0,0
1994-08-30,5.69,5.73,5.65,5.73,39400,0.0,0
1994-08-31,5.73,5.81,5.73,5.77,23900,0.0,0
1994-09-01,5.77,5.81,5.73,5.81,31400,0.0,0
1994-09-02,5.81,5.97,5.77,5.97,27800,0.0,0
1994-09-06,5.93,5.93,5.85,5.89,8800,0.0,0
1994-09-07,5.89,5.93,5.85,5.89,10800,0.0,0
1994-09-08,5.89,5.93,5.85,5.85,7100,0.0,0
1994-09-09,5.85,5.89,5.73,5.85,17800,0.0,0
1994-09-12,5.85,5.89,5.85,5.89,9300,0.0,0
1994-09-13,5.89,5.89,5.81,5.81,11400,0.0,0
1994-09-14,5.81,5.85,5.77,5.77,7800,0.0,0
1994-09-15,5.77,5.85,5.73,5.85,8700,0.0,0
1994-09-16,5.85,5.85,5.73,5.73,10700,0.0,0
1994-09-19,5.73,5.81,5.69,5.81,7200,0.0,0
1994-09-20,5.81,5.89,5.81,5.85,11700,0.0,0
1994-09-21,5.85,5.85,5.69,5.77,12800,0.0,0
1994-09-22,5.77,5.77,5.61,5.65,20400,0.0,0
1994-09-23,5.65,5.65,5.54,5.61,5500,0.0,0
1994-09-26,5.61,5.65,5.38,5.65,18000,0.0,0
1994-09-27,5.65,5.69,5.61,5.65,5300,0.0,0
1994-09-28,5.65,5.65,5.46,5.46,9200,0.0,0
1994-09-29,5.5,5.61,5.5,5.61,6300,0.0,0
1994-09-30,5.61,5.65,5.57,5.65,6400,0.0,0
1994-10-03,5.65,5.65,5.57,5.57,5900,0.0,0
1994-10-04,5.57,5.65,5.57,5.57,5500,0.0,0
1994-10-05,5.57,5.57,5.3,5.34,15300,0.0,0
1994-10-06,5.34,5.38,5.26,5.26,35900,0.0,0
1994-10-07,5.3,5.34,5.3,5.34,36500,0.0,0
1994-10-10,5.34,5.46,5.34,5.34,23700,0.0,0
1994-10-11,5.34,5.34,5.18,5.26,32900,0.0,0
1994-10-12,5.26,5.34,5.26,5.34,12700,0.0,0
1994-10-13,5.34,5.34,5.26,5.26,6400,0.0,0
1994-10-14,5.26,5.26,5.18,5.22,10200,0.0,0
1994-10-17,5.26,5.3,5.26,5.3,8100,0.0,0
1994-10-18,5.3,5.42,5.3,5.3,24700,0.0,0
1994-10-19,5.3,5.3,5.22,5.26,9200,0.0,0
1994-10-20,5.26,5.34,5.18,5.3,20700,0.0,0
1994-10-21,5.3,5.38,5.3,5.38,5000,0.0,0
1994-10-24,5.38,5.42,5.38,5.38,4900,0.0,0
1994-10-25,5.38,5.38,5.22,5.3,12000,0.0,0
1994-10-26,5.3,5.3,5.18,5.22,9600,0.0,0
1994-10-27,5.22,5.22,5.18,5.22,43100,0.0,0
1994-10-28,5.26,5.42,5.26,5.42,7600,0.0,0
1994-10-31,5.42,5.54,5.38,5.54,18400,0.0,0
1994-11-01,5.5,5.5,5.34,5.42,11200,0.0,0
1994-11-02,5.42,5.5,5.42,5.5,12900,0.0,0
1994-11-03,5.5,5.5,5.46,5.46,16800,0.0,0
1994-11-04,5.42,5.46,5.42,5.46,56300,0.0,0
1994-11-07,5.42,5.42,5.38,5.42,3300,0.0,0
1994-11-08,5.38,5.46,5.34,5.38,16900,0.0,0
1994-11-09,5.42,5.46,5.34,5.38,12200,0.0,0
1994-11-10,5.42,5.42,5.26,5.3,5600,0.0,0
1994-11-11,5.26,5.26,5.18,5.22,8900,0.0,0
1994-11-14,5.26,5.3,5.22,5.22,10800,0.0,0
1994-11-15,5.3,5.3,5.18,5.18,10800,0.0,0
1994-11-16,5.18,5.18,4.95,4.99,14500,0.0,0
1994-11-17,5.03,5.14,5.03,5.1,17400,0.0,0
1994-11-18,5.14,5.22,5.1,5.22,10900,0.0,0
1994-11-21,5.18,5.22,5.14,5.14,5800,0.0,0
1994-11-22,5.18,5.22,5.14,5.18,2300,0.0,0
1994-11-23,5.14,5.42,5.14,5.34,17100,0.0,0
1994-11-25,5.3,5.34,5.26,5.3,3600,0.0,0
1994-11-28,5.34,5.34,5.26,5.34,8300,0.0,0
1994-11-29,5.42,5.42,5.3,5.3,6900,0.0,0
1994-11-30,5.3,5.34,5.3,5.34,5600,0.0,0
1994-12-01,5.34,5.38,5.22,5.22,13800,0.0,0
1994-12-02,5.18,5.18,5.14,5.18,4200,0.0,0
1994-12-05,5.14,5.14,5.1,5.1,5800,0.0,0
1994-12-06,5.1,5.18,5.03,5.06,8100,0.0,0
1994-12-07,5.1,5.18,5.06,5.06,11900,0.0,0
1994-12-08,5.03,5.03,4.83,4.91,17300,0.0,0
1994-12-09,4.91,4.95,4.87,4.95,8400,0.0,0
1994-12-12,4.91,5.03,4.91,4.95,5800,0.0,0
