Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-06-01,0.0,0.27,0.27,0.27,1091238,0.0,0.0
1972-06-02,0.27,0.27,0.27,0.27,1174468,0.0,0.0
1972-06-05,0.27,0.27,0.27,0.27,5209582,0.0,0.0
1972-06-06,0.27,0.27,0.26,0.26,1424158,0.0,0.0
1972-06-07,0.26,0.27,0.26,0.26,675088,0.0,0.0
1972-06-08,0.26,0.26,0.26,0.26,1038834,0.0,0.0
1972-06-09,0.26,0.26,0.25,0.26,6590583,0.0,0.0
1972-06-12,0.26,0.26,0.26,0.26,1430323,0.0,0.0
1972-06-13,0.26,0.26,0.26,0.26,934026,0.0,0.0
1972-06-14,0.26,0.27,0.26,0.26,2940794,0.0,0.0
1972-06-15,0.26,0.27,0.26,0.26,1464232,0.0,0.0
1972-06-16,0.26,0.26,0.26,0.26,752153,0.0,0.0
1972-06-19,0.26,0.27,0.26,0.26,530206,0.0,0.0
1972-06-20,0.26,0.27,0.26,0.26,897034,0.0,0.0
1972-06-21,0.26,0.26,0.26,0.26,1612196,0.0,0.0
1972-06-22,0.26,0.26,0.26,0.26,1282359,0.0,0.0
1972-06-23,0.26,0.26,0.26,0.26,1276193,0.0,0.0
1972-06-26,0.26,0.26,0.26,0.26,622684,0.0,0.0
1972-06-27,0.26,0.26,0.26,0.26,878539,0.0,0.0
1972-06-28,0.26,0.26,0.26,0.26,906282,0.0,0.0
1972-06-29,0.26,0.26,0.26,0.26,450059,0.0,0.0
1972-06-30,0.26,0.26,0.25,0.26,826135,0.0,0.0
1972-07-03,0.26,0.26,0.25,0.26,440811,0.0,0.0
1972-07-05,0.26,0.26,0.25,0.25,1396415,0.0,0.0
1972-07-06,0.26,0.26,0.26,0.26,1174468,0.0,0.0
1972-07-07,0.26,0.26,0.25,0.26,1353258,0.0,0.0
1972-07-10,0.26,0.26,0.25,0.25,527123,0.0,0.0
1972-07-11,0.25,0.26,0.25,0.25,548702,0.0,0.0
1972-07-12,0.25,0.26,0.25,0.25,1803317,0.0,0.0
1972-07-13,0.25,0.25,0.25,0.25,681253,0.0,0.0
1972-07-14,0.25,0.25,0.25,0.25,943273,0.0,0.0
1972-07-17,0.25,0.25,0.25,0.25,585693,0.0,0.0
1972-07-18,0.25,0.25,0.25,0.25,1340928,0.0,0.0
1972-07-19,0.25,0.26,0.25,0.25,1710839,0.0,0.0
1972-07-20,0.25,0.25,0.25,0.25,493215,0.0,0.0
1972-07-21,0.25,0.25,0.25,0.25,604188,0.0,0.0
1972-07-24,0.26,0.26,0.26,0.26,1458066,0.0,0.0
1972-07-25,0.26,0.26,0.26,0.26,1553627,0.02,0.0
1972-07-26,0.26,0.26,0.26,0.26,431563,0.0,0.0
1972-07-27,0.26,0.26,0.26,0.26,1109733,0.0,0.0
1972-07-28,0.26,0.27,0.26,0.26,1815647,0.0,0.0
1972-07-31,0.26,0.27,0.26,0.26,1260780,0.0,0.0
1972-08-01,0.26,0.26,0.26,0.26,1427240,0.0,0.0
1972-08-02,0.26,0.27,0.26,0.27,2142402,0.0,0.0
1972-08-03,0.27,0.27,0.27,0.27,4334125,0.0,0.0
1972-08-04,0.27,0.27,0.27,0.27,1189881,0.0,0.0
1972-08-07,0.27,0.27,0.27,0.27,1932786,0.0,0.0
1972-08-08,0.27,0.27,0.27,0.27,949439,0.0,0.0
1972-08-09,0.27,0.27,0.27,0.27,2823655,0.0,0.0
1972-08-10,0.27,0.27,0.27,0.27,1205294,0.0,0.0
1972-08-11,0.27,0.27,0.27,0.27,1285441,0.0,0.0
1972-08-14,0.27,0.27,0.27,0.27,1889629,0.0,0.0
1972-08-15,0.27,0.27,0.27,0.27,1128229,0.0,0.0
1972-08-16,0.27,0.27,0.26,0.26,1140559,0.0,0.0
1972-08-17,0.26,0.27,0.26,0.27,2133154,0.0,0.0
1972-08-18,0.27,0.27,0.27,0.27,974099,0.0,0.0
1972-08-21,0.27,0.27,0.27,0.27,1008008,0.0,0.0
1972-08-22,0.27,0.27,0.27,0.27,1704674,0.0,0.0
1972-08-23,0.27,0.28,0.27,0.28,3171988,0.0,0.0
1972-08-24,0.28,0.28,0.28,0.28,2450661,0.0,0.0
1972-08-25,0.28,0.28,0.28,0.28,1587535,0.0,0.0
1972-08-28,0.28,0.28,0.28,0.28,585693,0.0,0.0
1972-08-29,0.27,0.27,0.27,0.27,1957446,0.0,0.0
1972-08-30,0.27,0.27,0.27,0.27,906282,0.0,0.0
1972-08-31,0.27,0.27,0.27,0.27,782979,0.0,0.0
1972-09-01,0.27,0.28,0.27,0.27,696666,0.0,0.0
1972-09-05,0.27,0.28,0.27,0.27,391489,0.0,0.0
1972-09-06,0.27,0.27,0.27,0.27,662757,0.0,0.0
1972-09-07,0.27,0.27,0.27,0.27,739822,0.0,0.0
1972-09-08,0.27,0.27,0.27,0.27,742905,0.0,0.0
1972-09-11,0.27,0.27,0.27,0.27,576445,0.0,0.0
1972-09-12,0.27,0.27,0.27,0.27,1233037,0.0,0.0
1972-09-13,0.27,0.27,0.26,0.27,776813,0.0,0.0
1972-09-14,0.27,0.27,0.27,0.27,487050,0.0,0.0
1972-09-15,0.27,0.27,0.27,0.27,496297,0.0,0.0
1972-09-18,0.27,0.27,0.27,0.27,299011,0.0,0.0
1972-09-19,0.27,0.27,0.27,0.27,853878,0.0,0.0
1972-09-20,0.27,0.27,0.26,0.26,1646105,0.0,0.0
1972-09-21,0.26,0.26,0.26,0.26,1593700,0.0,0.0
1972-09-22,0.26,0.26,0.26,0.26,829217,0.0,0.0
1972-09-25,0.26,0.26,0.26,0.26,675088,0.0,0.0
1972-09-26,0.26,0.26,0.26,0.26,635014,0.0,0.0
1972-09-27,0.26,0.27,0.26,0.27,1963612,0.0,0.0
1972-09-28,0.27,0.27,0.26,0.27,2105411,0.0,0.0
1972-09-29,0.27,0.27,0.27,0.27,1618361,0.0,0.0
1972-10-02,0.27,0.27,0.27,0.27,712079,0.0,0.0
1972-10-03,0.27,0.27,0.27,0.27,835383,0.0,0.0
1972-10-04,0.27,0.27,0.27,0.27,795309,0.0,0.0
1972-10-05,0.27,0.27,0.26,0.27,650427,0.0,0.0
1972-10-06,0.27,0.27,0.26,0.27,1103568,0.0,0.0
1972-10-09,0.27,0.27,0.27,0.27,672005,0.0,0.0
1972-10-10,0.27,0.27,0.27,0.27,844630,0.0,0.0
1972-10-11,0.27,0.27,0.27,0.27,394572,0.0,0.0
1972-10-12,0.27,0.27,0.27,0.27,403820,0.0,0.0
1972-10-13,0.27,0.27,0.26,0.26,2530809,0.0,0.0
1972-10-16,0.26,0.26,0.26,0.26,379159,0.0,0.0
1972-10-17,0.26,0.26,0.26,0.26,1692343,0.0,0.0
1972-10-18,0.26,0.26,0.26,0.26,601106,0.0,0.0
1972-10-19,0.26,0.26,0.26,0.26,1208376,0.0,0.0
1972-10-20,0.26,0.26,0.26,0.26,1797152,0.0,0.0
1972-10-23,0.26,0.27,0.26,0.26,2509231,0.0,0.0
1972-10-24,0.26,0.27,0.26,0.27,1211459,0.0,0.0
1972-10-25,0.27,0.27,0.27,0.27,1072742,0.02,0.0
1972-10-26,0.27,0.27,0.27,0.27,1356341,0.0,0.0
1972-10-27,0.27,0.27,0.27,0.27,1655352,0.0,0.0
1972-10-30,0.27,0.27,0.27,0.27,1353258,0.0,0.0
1972-10-31,0.27,0.27,0.27,0.27,1565957,0.0,0.0
1972-11-01,0.27,0.28,0.27,0.28,2308862,0.0,0.0
1972-11-02,0.28,0.29,0.28,0.29,4608476,0.0,0.0
1972-11-03,0.29,0.3,0.29,0.3,6266911,0.0,0.0
1972-11-06,0.3,0.3,0.3,0.3,3689864,0.0,0.0
1972-11-08,0.3,0.3,0.3,0.3,4451264,0.0,0.0
1972-11-09,0.3,0.3,0.29,0.3,3307622,0.0,0.0
1972-11-10,0.3,0.31,0.3,0.31,8326083,0.0,0.0
1972-11-13,0.31,0.31,0.3,0.3,3113419,0.0,0.0
1972-11-14,0.3,0.31,0.3,0.31,2515396,0.0,0.0
1972-11-15,0.31,0.31,0.31,0.31,2694186,0.0,0.0
1972-11-16,0.31,0.31,0.3,0.31,2863729,0.0,0.0
1972-11-17,0.31,0.32,0.31,0.32,7296497,0.0,0.0
1972-11-20,0.32,0.32,0.32,0.32,4953727,0.0,0.0
