Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-05-03,0.56,0.58,0.56,0.56,300,0.0,0.0
1973-05-04,0.56,0.59,0.56,0.56,600,0.0,0.0
1973-05-07,0.56,0.59,0.56,0.56,1500,0.0,0.0
1973-05-08,0.57,0.6,0.57,0.57,300,0.0,0.0
1973-05-09,0.57,0.6,0.57,0.57,9300,0.0,0.0
1973-05-10,0.57,0.6,0.57,0.57,600,0.0,0.0
1973-05-11,0.57,0.59,0.56,0.56,300,0.0,0.0
1973-05-14,0.56,0.58,0.55,0.55,600,0.0,0.0
1973-05-15,0.55,0.58,0.55,0.55,300,0.0,0.0
1973-05-16,0.56,0.58,0.56,0.56,300,0.0,0.0
1973-05-17,0.56,0.59,0.56,0.56,600,0.0,0.0
1973-05-18,0.56,0.59,0.56,0.56,1500,0.0,0.0
1973-05-21,0.56,0.59,0.56,0.56,300,0.0,0.0
1973-05-22,0.56,0.59,0.56,0.56,3300,0.0,0.0
1973-05-23,0.56,0.59,0.56,0.56,7500,0.0,0.0
1973-05-24,0.56,0.59,0.56,0.56,300,0.0,0.0
1973-05-25,0.56,0.59,0.56,0.56,2400,0.0,0.0
1973-05-29,0.56,0.59,0.56,0.56,300,0.0,0.0
1973-05-30,0.57,0.6,0.57,0.57,300,0.0,0.0
1973-05-31,0.57,0.6,0.57,0.57,300,0.0,0.0
1973-06-01,0.57,0.6,0.57,0.57,3000,0.0,0.0
1973-06-04,0.57,0.59,0.56,0.56,300,0.0,0.0
1973-06-05,0.56,0.59,0.56,0.56,300,0.0,0.0
1973-06-06,0.56,0.59,0.56,0.56,1500,0.0,0.0
1973-06-07,0.56,0.59,0.56,0.56,300,0.0,0.0
1973-06-08,0.57,0.6,0.57,0.57,300,0.0,0.0
1973-06-11,0.57,0.6,0.57,0.57,300,0.0,0.0
1973-06-12,0.57,0.6,0.57,0.57,300,0.0,0.0
1973-06-13,0.57,0.6,0.57,0.57,900,0.0,0.0
1973-06-14,0.57,0.6,0.57,0.57,1500,0.0,0.0
1973-06-15,0.58,0.61,0.58,0.58,3300,0.0,0.0
1973-06-18,0.58,0.6,0.57,0.57,600,0.0,0.0
1973-06-19,0.57,0.59,0.56,0.56,300,0.0,0.0
1973-06-20,0.56,0.58,0.56,0.56,3600,0.0,0.0
1973-06-21,0.56,0.58,0.56,0.56,300,0.0,0.0
1973-06-22,0.56,0.58,0.55,0.55,3300,0.0,0.0
1973-06-25,0.56,0.58,0.56,0.56,4800,0.0,0.0
1973-06-26,0.56,0.59,0.56,0.56,300,0.0,0.0
1973-06-27,0.56,0.59,0.56,0.56,600,0.0,0.0
1973-06-28,0.57,0.6,0.57,0.57,300,0.0,0.0
1973-06-29,0.57,0.6,0.57,0.57,2100,0.0,0.0
1973-07-02,0.57,0.6,0.57,0.57,900,0.0,0.0
1973-07-03,0.57,0.6,0.57,0.57,300,0.0,0.0
1973-07-05,0.57,0.6,0.57,0.57,300,0.0,0.0
1973-07-06,0.58,0.61,0.58,0.58,3900,0.0,0.0
1973-07-09,0.58,0.61,0.58,0.58,300,0.0,0.0
1973-07-10,0.58,0.58,0.56,0.56,6300,0.0,0.0
1973-07-11,0.57,0.6,0.57,0.57,2100,0.0,0.0
1973-07-12,0.57,0.59,0.56,0.56,3000,0.0,0.0
1973-07-13,0.56,0.59,0.56,0.56,300,0.0,0.0
1973-07-16,0.56,0.59,0.56,0.56,300,0.0,0.0
1973-07-17,0.56,0.58,0.56,0.56,300,0.0,0.0
1973-07-18,0.56,0.58,0.56,0.56,300,0.0,0.0
1973-07-19,0.56,0.59,0.56,0.56,1200,0.0,0.0
1973-07-20,0.56,0.59,0.56,0.56,300,0.0,0.0
1973-07-23,0.56,0.58,0.56,0.56,1800,0.0,0.0
1973-07-24,0.56,0.58,0.56,0.56,300,0.0,0.0
1973-07-25,0.56,0.58,0.56,0.56,2100,0.0,0.0
1973-07-26,0.56,0.58,0.56,0.56,300,0.0,0.0
1973-07-27,0.56,0.58,0.55,0.55,1500,0.0,0.0
1973-07-30,0.55,0.58,0.55,0.55,300,0.0,0.0
1973-07-31,0.55,0.58,0.55,0.55,300,0.0,0.0
1973-08-01,0.55,0.58,0.55,0.55,300,0.0,0.0
1973-08-02,0.55,0.58,0.54,0.54,2700,0.0,0.0
