Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.0,0.18,0.18,0.18,2648000,0.0,0.0
1962-01-03,0.0,0.19,0.18,0.19,2092000,0.0,0.0
1962-01-04,0.0,0.2,0.19,0.19,2884000,0.0,0.0
1962-01-05,0.0,0.19,0.19,0.19,1532000,0.0,0.0
1962-01-08,0.0,0.19,0.19,0.19,1676000,0.0,0.0
1962-01-09,0.0,0.2,0.19,0.19,1604000,0.0,0.0
1962-01-10,0.0,0.2,0.19,0.19,2020000,0.0,0.0
1962-01-11,0.0,0.2,0.19,0.2,2324000,0.0,0.0
1962-01-12,0.0,0.21,0.2,0.21,2660000,0.0,0.0
1962-01-15,0.0,0.21,0.2,0.2,1468000,0.0,0.0
1962-01-16,0.0,0.2,0.19,0.2,1724000,0.0,0.0
1962-01-17,0.0,0.2,0.19,0.19,1200000,0.0,0.0
1962-01-18,0.0,0.2,0.19,0.2,1016000,0.0,0.0
1962-01-19,0.0,0.2,0.19,0.2,1140000,0.0,0.0
1962-01-22,0.0,0.2,0.2,0.2,696000,0.0,0.0
1962-01-23,0.0,0.2,0.2,0.2,324000,0.0,0.0
1962-01-24,0.0,0.2,0.19,0.2,512000,0.0,0.0
1962-01-25,0.0,0.2,0.2,0.2,780000,0.0,0.0
1962-01-26,0.0,0.21,0.2,0.2,1492000,0.0,0.0
1962-01-29,0.0,0.21,0.2,0.2,560000,0.0,0.0
1962-01-30,0.0,0.21,0.2,0.2,572000,0.0,0.0
1962-01-31,0.0,0.22,0.2,0.22,3516000,0.0,0.0
1962-02-01,0.0,0.22,0.22,0.22,2516000,0.0,0.0
1962-02-02,0.0,0.22,0.21,0.22,1716000,0.0,0.0
1962-02-05,0.0,0.22,0.22,0.22,912000,0.0,0.0
1962-02-06,0.0,0.22,0.21,0.22,444000,0.0,0.0
1962-02-07,0.0,0.22,0.21,0.21,1020000,0.0,0.0
1962-02-08,0.0,0.21,0.2,0.2,812000,0.0,0.0
1962-02-09,0.0,0.21,0.2,0.21,688000,0.0,0.0
1962-02-12,0.0,0.21,0.2,0.2,384000,0.0,0.0
1962-02-13,0.0,0.21,0.2,0.21,476000,0.0,0.0
1962-02-14,0.0,0.21,0.2,0.2,292000,0.0,0.0
1962-02-15,0.0,0.21,0.2,0.2,376000,0.0,0.0
1962-02-16,0.0,0.2,0.2,0.2,688000,0.0,0.0
1962-02-19,0.0,0.2,0.2,0.2,416000,0.0,0.0
1962-02-20,0.0,0.22,0.21,0.21,1884000,0.0,0.0
1962-02-21,0.0,0.21,0.2,0.21,1224000,0.0,0.0
1962-02-23,0.0,0.21,0.2,0.2,436000,0.0,0.0
1962-02-26,0.0,0.2,0.19,0.2,1548000,0.0,0.0
1962-02-27,0.0,0.2,0.19,0.19,704000,0.0,0.0
1962-02-28,0.0,0.19,0.19,0.19,660000,0.0,0.0
1962-03-01,0.0,0.2,0.19,0.19,544000,0.0,0.0
1962-03-02,0.0,0.2,0.19,0.2,616000,0.0,0.0
1962-03-05,0.0,0.2,0.19,0.2,256000,0.0,0.0
1962-03-06,0.0,0.2,0.19,0.19,528000,0.0,0.0
1962-03-07,0.0,0.19,0.19,0.19,240000,0.0,0.0
1962-03-08,0.0,0.19,0.19,0.19,336000,0.0,0.0
1962-03-09,0.0,0.19,0.19,0.19,348000,0.0,0.0
1962-03-12,0.0,0.19,0.19,0.19,528000,0.0,0.0
1962-03-13,0.0,0.19,0.18,0.19,520000,0.0,0.0
1962-03-14,0.0,0.19,0.18,0.19,396000,0.0,0.0
1962-03-15,0.0,0.19,0.19,0.19,192000,0.0,0.0
1962-03-16,0.0,0.19,0.18,0.19,252000,0.0,0.0
1962-03-19,0.0,0.19,0.18,0.18,276000,0.0,0.0
1962-03-20,0.0,0.18,0.18,0.18,788000,0.0,0.0
1962-03-21,0.0,0.2,0.18,0.19,1216000,0.0,0.0
1962-03-22,0.0,0.2,0.19,0.19,508000,0.0,0.0
1962-03-23,0.0,0.19,0.19,0.19,300000,0.0,0.0
1962-03-26,0.0,0.19,0.19,0.19,324000,0.0,0.0
1962-03-27,0.0,0.19,0.18,0.19,1068000,0.0,0.0
1962-03-28,0.0,0.19,0.19,0.19,532000,0.0,0.0
1962-03-29,0.0,0.19,0.19,0.19,260000,0.0,0.0
1962-03-30,0.0,0.19,0.19,0.19,384000,0.0,0.0
1962-04-02,0.0,0.19,0.18,0.18,384000,0.0,0.0
1962-04-03,0.0,0.19,0.18,0.19,368000,0.0,0.0
1962-04-04,0.0,0.19,0.18,0.18,432000,0.0,0.0
