Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,1.01,1.03,1.0,1.01,269568,0.0,0.0
1962-01-03,1.0,1.0,0.99,1.0,184704,0.0,0.0
1962-01-04,1.0,1.01,0.98,0.99,229632,0.0,0.0
1962-01-05,0.99,0.99,0.94,0.96,340704,0.0,0.0
1962-01-08,0.96,0.96,0.93,0.96,386880,0.0,0.0
1962-01-09,0.96,0.97,0.95,0.96,290784,0.0,0.0
1962-01-10,0.96,0.97,0.96,0.97,244608,0.0,0.0
1962-01-11,0.97,0.97,0.95,0.97,203424,0.0,0.0
1962-01-12,0.97,0.97,0.95,0.96,210912,0.0,0.0
1962-01-15,0.96,0.97,0.96,0.97,264576,0.0,0.0
1962-01-16,0.97,0.98,0.96,0.98,173472,0.0,0.0
1962-01-17,0.97,0.97,0.95,0.95,267072,0.0,0.0
1962-01-18,0.95,0.96,0.95,0.96,184704,0.0,0.0
1962-01-19,0.96,0.97,0.96,0.97,165984,0.0,0.0
1962-01-22,0.97,0.99,0.97,0.98,177216,0.0,0.0
1962-01-23,0.97,0.97,0.95,0.96,284544,0.0,0.0
1962-01-24,0.96,0.98,0.95,0.98,199680,0.0,0.0
1962-01-25,0.98,0.98,0.96,0.97,198432,0.0,0.0
1962-01-26,0.97,0.97,0.96,0.96,126048,0.0,0.0
1962-01-29,0.96,0.97,0.96,0.96,127296,0.0,0.0
1962-01-30,0.98,0.99,0.98,0.98,222144,0.0,0.0
1962-01-31,0.98,1.01,0.98,1.01,234624,0.0,0.0
1962-02-01,1.01,1.02,0.99,1.01,320736,0.0,0.0
1962-02-02,1.01,1.01,1.0,1.01,184704,0.0,0.0
1962-02-05,1.01,1.01,0.99,0.99,175968,0.0,0.0
1962-02-06,0.99,1.01,0.99,1.0,129792,0.0,0.0
1962-02-07,1.0,1.01,1.0,1.01,210912,0.0,0.0
1962-02-08,1.01,1.02,1.01,1.02,219648,0.0,0.0
1962-02-09,1.02,1.02,1.0,1.01,188448,0.0,0.0
1962-02-12,1.01,1.02,1.01,1.01,102336,0.0,0.0
