Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-11-18,26.99,27.75,26.13,26.37,457044300,0.0,0
2010-11-19,26.33,26.6,25.53,26.42,107842000,0.0,0
2010-11-22,26.37,26.59,26.07,26.28,36650600,0.0,0
2010-11-23,26.18,26.21,25.59,25.64,31170200,0.0,0
2010-11-24,26.01,26.06,25.62,25.82,26138000,0.0,0
2010-11-26,25.76,26.07,25.61,26.06,12301200,0.0,0
2010-11-29,26.06,26.07,25.5,26.06,27776900,0.0,0
2010-11-30,25.86,26.41,25.73,26.37,57476900,0.0,0
2010-12-01,26.72,26.95,26.54,26.82,34633200,0.0,0
2010-12-02,26.93,26.97,26.61,26.74,23196100,0.0,0
2010-12-03,26.64,26.68,26.2,26.64,19395200,0.0,0
2010-12-06,26.59,26.82,26.53,26.59,11676500,0.0,0
2010-12-07,26.8,26.9,26.57,26.74,20823000,0.0,0
2010-12-08,26.69,26.78,26.47,26.57,12603900,0.0,0
2010-12-09,26.5,26.55,25.93,26.02,18402200,0.0,0
2010-12-10,26.1,26.21,25.86,26.07,11741700,0.0,0
2010-12-13,26.19,26.26,25.99,26.06,11029300,0.0,0
2010-12-14,26.01,26.16,25.79,26.13,15165600,0.0,0
2010-12-15,26.07,26.23,25.92,25.92,10182700,0.0,0
2010-12-16,25.89,26.11,25.88,25.92,9885700,0.0,0
2010-12-17,25.86,26.22,25.59,26.22,35681600,0.0,0
2010-12-20,26.15,26.26,26.02,26.03,12476400,0.0,0
2010-12-21,26.11,26.17,26.0,26.1,9012400,0.0,0
2010-12-22,26.0,26.95,25.86,26.93,20935100,0.0,0
2010-12-23,26.74,27.39,26.7,26.84,20529200,0.0,0
2010-12-27,26.53,26.9,26.37,26.68,7368300,0.0,0
2010-12-28,27.28,27.51,27.04,27.24,23489000,0.0,0
2010-12-29,27.35,27.99,27.18,27.78,20960800,0.0,0
2010-12-30,27.84,28.52,27.78,28.39,16980800,0.0,0
2010-12-31,28.41,28.5,28.2,28.42,6163900,0.0,0
2011-01-03,28.78,29.3,28.56,28.58,24874900,0.0,0
2011-01-04,28.61,29.3,28.29,29.23,32363400,0.0,0
2011-01-05,28.89,29.53,28.89,29.36,22503900,0.0,0
2011-01-06,29.49,30.44,29.36,30.0,38556900,0.0,0
2011-01-07,29.95,30.33,29.7,30.06,19901100,0.0,0
2011-01-10,30.34,30.35,29.64,29.73,18341600,0.0,0
2011-01-11,29.81,30.41,29.7,29.88,14856500,0.0,0
2011-01-12,30.04,30.36,29.59,29.78,16773900,0.0,0
2011-01-13,29.81,29.85,29.39,29.51,11358300,0.0,0
2011-01-14,29.44,29.67,29.33,29.46,5894200,0.0,0
2011-01-18,29.34,29.56,28.78,29.33,8918200,0.0,0
2011-01-19,29.13,29.25,28.73,28.84,12667700,0.0,0
2011-01-20,28.62,28.76,27.97,28.67,15844900,0.0,0
2011-01-21,28.79,29.19,28.39,28.72,9548500,0.0,0
2011-01-24,29.08,29.2,28.56,29.03,12202800,0.0,0
2011-01-25,29.19,29.68,29.08,29.61,12318700,0.0,0
2011-01-26,29.88,30.0,29.2,29.22,11534600,0.0,0
2011-01-27,29.46,30.04,29.33,29.82,13950000,0.0,0
2011-01-28,29.3,29.32,27.77,28.22,37134600,0.0,0
2011-01-31,28.45,28.57,27.68,28.14,13954800,0.0,0
2011-02-01,28.48,28.71,27.86,28.11,28091600,0.0,0
2011-02-02,28.12,28.19,27.44,27.51,17434700,0.0,0
2011-02-03,27.74,27.81,27.09,27.81,19350000,0.0,0
2011-02-04,27.95,28.32,27.68,28.22,11115000,0.0,0
2011-02-07,28.49,28.6,28.23,28.3,7328800,0.0,0
2011-02-08,28.51,28.57,28.07,28.45,6243000,0.0,0
2011-02-09,28.39,28.46,27.98,28.08,6399300,0.0,0
2011-02-10,27.89,28.25,27.39,27.67,11542400,0.0,0
2011-02-11,27.58,28.2,27.41,28.11,13508300,0.0,0
2011-02-14,28.18,28.19,27.35,27.98,7121200,0.0,0
2011-02-15,27.91,28.08,27.61,27.85,10336500,0.0,0
2011-02-16,27.85,28.41,27.78,28.34,8680900,0.0,0
2011-02-17,28.18,28.3,27.99,28.05,7463000,0.0,0
2011-02-18,28.08,28.35,28.05,28.15,6815800,0.0,0
2011-02-22,27.65,27.88,27.34,27.58,13937400,0.0,0
2011-02-23,27.65,27.71,26.06,26.67,28192500,0.0,0
2011-02-24,26.91,26.99,24.71,25.46,63562800,0.0,0
2011-02-25,25.96,26.37,25.49,25.64,29017800,0.0,0
2011-02-28,25.83,26.02,25.34,25.86,15886400,0.0,0
2011-03-01,25.98,26.03,25.01,25.41,27321600,0.0,0
