Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.18,1.16,1.18,111881,0.0,0.0
1980-03-18,0.0,1.22,1.16,1.22,88594,0.0,0.0
1980-03-19,0.0,1.24,1.22,1.24,69356,0.0,0.0
1980-03-20,0.0,1.26,1.25,1.25,36450,0.0,0.0
1980-03-21,0.0,1.25,1.22,1.22,53663,0.0,0.0
1980-03-24,0.0,1.22,1.18,1.19,247556,0.0,0.0
1980-03-25,0.0,1.2,1.18,1.18,21769,0.0,0.0
1980-03-26,0.0,1.25,1.18,1.25,187819,0.0,0.0
1980-03-27,0.0,1.22,1.19,1.22,248569,0.0,0.0
1980-03-28,0.0,1.27,1.21,1.26,174150,0.0,0.0
1980-03-31,0.0,1.27,1.24,1.27,74419,0.0,0.0
1980-04-01,0.0,1.27,1.26,1.27,43031,0.0,0.0
1980-04-02,0.0,1.27,1.25,1.25,63281,0.0,0.0
1980-04-03,0.0,1.27,1.27,1.27,28350,0.0,0.0
1980-04-07,0.0,1.27,1.23,1.25,90113,0.0,0.0
1980-04-08,0.0,1.27,1.25,1.27,15694,0.0,0.0
1980-04-09,0.0,1.27,1.27,1.27,115425,0.0,0.0
1980-04-10,0.0,1.27,1.27,1.27,90619,0.0,0.0
1980-04-11,0.0,1.26,1.22,1.23,135675,0.0,0.0
1980-04-14,0.0,1.23,1.13,1.14,41006,0.0,0.0
1980-04-15,0.0,1.15,1.14,1.15,245025,0.0,0.0
1980-04-16,0.0,1.15,1.13,1.13,91125,0.0,0.0
1980-04-17,0.0,1.13,1.13,1.13,34931,0.0,0.0
1980-04-18,0.0,1.14,1.13,1.13,24300,0.0,0.0
1980-04-21,0.0,1.13,1.12,1.13,101250,0.0,0.0
1980-04-22,0.0,1.15,1.13,1.13,245025,0.0,0.0
1980-04-23,0.0,1.13,1.11,1.11,144281,0.0,0.0
1980-04-24,0.0,1.14,1.11,1.11,102769,0.0,0.0
1980-04-25,0.0,1.13,1.11,1.11,95681,0.0,0.0
1980-04-28,0.0,1.15,1.11,1.13,173644,0.0,0.0
1980-04-29,0.0,1.16,1.13,1.16,349819,0.0,0.0
1980-04-30,0.0,1.15,1.12,1.14,96188,0.0,0.0
1980-05-01,0.0,1.14,1.12,1.12,68850,0.0,0.0
1980-05-02,0.0,1.12,1.11,1.11,47588,0.0,0.0
1980-05-05,0.0,1.12,1.11,1.12,59738,0.0,0.0
1980-05-06,0.0,1.13,1.1,1.13,169594,0.0,0.0
1980-05-07,0.0,1.13,1.11,1.11,91631,0.0,0.0
1980-05-08,0.0,1.13,1.1,1.12,144788,0.0,0.0
1980-05-09,0.0,1.12,1.11,1.11,82519,0.0,0.0
1980-05-12,0.0,1.11,1.1,1.11,12150,0.0,0.0
1980-05-13,0.0,1.16,1.11,1.16,127575,0.0,0.0
1980-05-14,0.0,1.21,1.17,1.2,124031,0.0,0.0
1980-05-15,0.0,1.27,1.22,1.27,64294,0.0,0.0
