Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,2.44,2.44,2.44,2.44,20000,0.0,0.0
1973-02-22,2.46,2.46,2.46,2.46,6400,0.0,0.0
1973-02-23,2.54,2.54,2.54,2.54,43200,0.0,0.0
1973-02-26,2.54,2.54,2.54,2.54,4800,0.0,0.0
1973-02-27,2.51,2.51,2.51,2.51,1600,0.0,0.0
1973-02-28,2.49,2.49,2.49,2.49,65600,0.0,0.0
1973-03-01,2.49,2.49,2.49,2.49,3200,0.0,0.0
1973-03-02,2.49,2.49,2.49,2.49,1600,0.0,0.0
1973-03-05,2.47,2.47,2.47,2.47,14400,0.0,0.0
1973-03-06,2.48,2.48,2.48,2.48,108000,0.0,0.0
1973-03-07,2.42,2.42,2.42,2.42,36000,0.0,0.0
1973-03-08,2.42,2.42,2.42,2.42,8000,0.0,0.0
1973-03-09,2.35,2.35,2.35,2.35,16800,0.0,0.0
1973-03-12,2.28,2.28,2.28,2.28,17600,0.0,0.0
1973-03-13,2.32,2.32,2.32,2.32,14400,0.0,0.0
1973-03-14,2.29,2.29,2.29,2.29,13600,0.0,0.0
1973-03-15,2.28,2.28,2.28,2.28,28000,0.0,0.0
1973-03-16,2.28,2.28,2.28,2.28,121600,0.0,0.0
1973-03-19,2.29,2.29,2.29,2.29,16800,0.0,0.0
1973-03-20,2.27,2.27,2.27,2.27,20000,0.0,0.0
1973-03-21,2.23,2.23,2.23,2.23,16800,0.0,0.0
1973-03-22,2.09,2.09,2.09,2.09,16000,0.0,0.0
1973-03-23,2.05,2.05,2.05,2.05,44000,0.0,0.0
1973-03-26,2.03,2.03,2.03,2.03,25600,0.0,0.0
1973-03-27,2.15,2.15,2.15,2.15,25600,0.0,0.0
1973-03-28,2.28,2.28,2.28,2.28,12800,0.0,0.0
1973-03-29,2.35,2.35,2.35,2.35,25600,0.0,0.0
1973-03-30,2.35,2.35,2.35,2.35,35200,0.0,0.0
1973-04-02,2.33,2.33,2.33,2.33,16000,0.0,0.0
1973-04-03,2.26,2.26,2.26,2.26,127200,0.0,0.0
1973-04-04,2.2,2.2,2.2,2.2,32800,0.0,0.0
1973-04-05,2.15,2.15,2.15,2.15,29600,0.0,0.0
1973-04-06,2.1,2.1,2.1,2.1,55200,0.0,0.0
1973-04-09,2.17,2.17,2.17,2.17,36000,0.0,0.0
1973-04-10,2.22,2.22,2.22,2.22,12000,0.0,0.0
1973-04-11,2.22,2.22,2.22,2.22,53600,0.0,0.0
1973-04-12,2.22,2.22,2.22,2.22,16000,0.0,0.0
1973-04-13,2.2,2.2,2.2,2.2,12000,0.0,0.0
1973-04-16,2.13,2.13,2.13,2.13,24000,0.0,0.0
1973-04-17,2.17,2.17,2.17,2.17,12800,0.0,0.0
1973-04-18,2.17,2.17,2.17,2.17,2400,0.0,0.0
1973-04-19,2.18,2.18,2.18,2.18,25600,0.0,0.0
1973-04-23,2.22,2.22,2.22,2.22,10400,0.0,0.0
1973-04-24,2.18,2.18,2.18,2.18,3200,0.0,0.0
1973-04-25,2.18,2.18,2.18,2.18,12800,0.0,0.0
1973-04-26,2.2,2.2,2.2,2.2,25600,0.0,0.0
1973-04-27,2.19,2.19,2.19,2.19,4000,0.0,0.0
1973-04-30,2.16,2.16,2.16,2.16,20000,0.0,0.0
1973-05-01,2.05,2.05,2.05,2.05,41600,0.0,0.0
1973-05-02,2.08,2.08,2.08,2.08,38400,0.0,0.0
1973-05-03,0.0,2.15,2.1,2.15,13600,0.0,0.0
1973-05-04,0.0,2.24,2.17,2.22,13600,0.0,0.0
1973-05-07,0.0,2.2,2.18,2.18,4800,0.0,0.0
1973-05-08,0.0,2.2,2.13,2.15,7200,0.0,0.0
1973-05-09,0.0,2.13,2.08,2.11,283200,0.0,0.0
1973-05-10,0.0,2.14,2.11,2.14,4000,0.0,0.0
1973-05-11,0.0,2.14,2.12,2.12,24800,0.0,0.0
1973-05-14,0.0,2.11,2.08,2.08,10400,0.0,0.0
1973-05-15,0.0,2.08,2.07,2.07,57600,0.0,0.0
1973-05-16,0.0,2.05,2.04,2.04,121600,0.0,0.0
1973-05-17,0.0,2.05,2.01,2.01,23200,0.0,0.0
1973-05-18,0.0,2.01,1.86,1.86,49600,0.0,0.0
1973-05-21,0.0,1.86,1.81,1.83,60000,0.0,0.0
1973-05-22,0.0,1.88,1.83,1.87,39200,0.0,0.0
1973-05-23,0.0,1.95,1.88,1.95,9600,0.0,0.0
1973-05-24,0.0,1.99,1.95,1.99,9600,0.0,0.0
1973-05-25,0.0,2.11,2.05,2.06,50400,0.0,0.0
1973-05-29,0.0,2.09,2.05,2.05,35200,0.0,0.0
1973-05-30,0.0,2.03,1.96,1.96,18400,0.0,0.0
1973-05-31,0.0,1.95,1.91,1.91,10400,0.0,0.0
1973-06-01,0.0,1.9,1.88,1.9,38400,0.0,0.0
1973-06-04,0.0,1.9,1.86,1.88,30400,0.0,0.0
1973-06-05,0.0,1.98,1.88,1.95,22400,0.0,0.0
1973-06-06,0.0,1.93,1.88,1.89,16800,0.0,0.0
1973-06-07,0.0,1.91,1.88,1.91,11200,0.0,0.0
1973-06-08,0.0,1.94,1.92,1.92,11200,0.0,0.0
1973-06-11,0.0,1.96,1.94,1.95,4800,0.0,0.0
1973-06-12,0.0,2.01,1.97,2.01,4000,0.0,0.0
1973-06-13,0.0,2.03,2.02,2.02,15200,0.0,0.0
1973-06-14,0.0,2.09,1.99,2.08,19200,0.0,0.0
1973-06-15,0.0,2.07,2.02,2.02,70400,0.0,0.0
1973-06-18,0.0,2.0,1.98,1.98,27200,0.0,0.0
1973-06-19,0.0,2.02,2.0,2.02,1600,0.0,0.0
1973-06-20,0.0,2.0,1.98,1.98,47200,0.0,0.0
1973-06-21,0.0,1.97,1.88,1.88,392000,0.0,0.0
1973-06-22,0.0,1.88,1.88,1.88,14400,0.0,0.0
1973-06-25,0.0,1.86,1.86,1.86,6400,0.0,0.0
1973-06-26,0.0,1.9,1.85,1.88,11200,0.0,0.0
1973-06-27,0.0,1.9,1.9,1.9,800,0.0,0.0
1973-06-28,0.0,1.95,1.89,1.95,8000,0.0,0.0
1973-06-29,0.0,1.93,1.91,1.91,3200,0.0,0.0
1973-07-02,0.0,1.9,1.88,1.88,40800,0.0,0.0
1973-07-03,0.0,1.91,1.89,1.91,9600,0.0,0.0
1973-07-05,0.0,1.9,1.89,1.9,3200,0.0,0.0
1973-07-06,0.0,1.9,1.87,1.87,176800,0.0,0.0
1973-07-09,0.0,1.91,1.88,1.91,16000,0.0,0.0
1973-07-10,0.0,1.95,1.91,1.95,10400,0.0,0.0
1973-07-11,0.0,1.97,1.96,1.96,13600,0.0,0.0
1973-07-12,0.0,2.02,1.98,2.02,10400,0.0,0.0
1973-07-13,0.0,2.02,2.0,2.0,11200,0.0,0.0
1973-07-16,0.0,2.0,2.0,2.0,7200,0.0,0.0
1973-07-17,0.0,2.08,2.02,2.08,9600,0.0,0.0
1973-07-18,2.08,2.08,2.08,2.08,0,0.0,0.0
1973-07-19,0.0,2.17,2.1,2.17,8000,0.0,0.0
1973-07-20,0.0,2.2,2.18,2.2,4000,0.0,0.0
1973-07-23,0.0,2.41,2.3,2.41,36800,0.0,0.0
1973-07-24,0.0,2.43,2.41,2.41,20800,0.0,0.0
1973-07-25,0.0,2.45,2.42,2.45,9600,0.0,0.0
1973-07-26,0.0,2.52,2.45,2.52,28000,0.0,0.0
1973-07-27,0.0,2.55,2.54,2.55,47200,0.0,0.0
1973-07-30,0.0,2.55,2.51,2.55,17600,0.0,0.0
1973-07-31,0.0,2.54,2.54,2.54,800,0.0,0.0
1973-08-01,0.0,2.52,2.42,2.42,24000,0.0,0.0
1973-08-02,0.0,2.4,2.37,2.37,16800,0.0,0.0
1973-08-03,2.37,2.37,2.37,2.37,0,0.0,0.0
1973-08-06,0.0,2.41,2.37,2.41,16000,0.0,0.0
1973-08-07,0.0,2.45,2.42,2.45,10400,0.0,0.0
1973-08-08,0.0,2.45,2.44,2.44,15200,0.0,0.0
1973-08-09,0.0,2.44,2.42,2.44,212800,0.0,0.0
1973-08-10,0.0,2.44,2.42,2.42,24000,0.0,0.0
1973-08-13,0.0,2.41,2.4,2.4,12800,0.0,0.0
1973-08-14,0.0,2.42,2.39,2.39,13600,0.0,0.0
1973-08-15,0.0,2.41,2.37,2.37,20000,0.0,0.0
1973-08-16,0.0,2.4,2.38,2.4,8800,0.0,0.0
1973-08-17,2.4,2.4,2.4,2.4,0,0.0,0.0
1973-08-20,0.0,2.42,2.4,2.4,10400,0.0,0.0
1973-08-21,0.0,2.4,2.33,2.33,28000,0.0,0.0
1973-08-22,0.0,2.35,2.32,2.32,27200,0.0,0.0
1973-08-23,0.0,2.35,2.34,2.35,70400,0.0,0.0
1973-08-24,0.0,2.35,2.35,2.35,164000,0.0,0.0
1973-08-27,0.0,2.37,2.35,2.37,7200,0.0,0.0
1973-08-28,0.0,2.37,2.35,2.35,16800,0.0,0.0
1973-08-29,0.0,2.38,2.35,2.38,35200,0.0,0.0
1973-08-30,0.0,2.38,2.35,2.38,26400,0.0,0.0
1973-08-31,0.0,2.38,2.38,2.38,800,0.0,0.0
1973-09-04,0.0,2.4,2.38,2.4,10400,0.0,0.0
1973-09-05,0.0,2.42,2.41,2.42,15200,0.0,0.0
1973-09-06,0.0,2.44,2.41,2.44,40000,0.0,0.0
1973-09-07,0.0,2.49,2.44,2.49,6400,0.0,0.0
1973-09-10,0.0,2.52,2.5,2.52,3200,0.0,0.0
1973-09-11,0.0,2.5,2.49,2.49,41600,0.0,0.0
1973-09-12,0.0,2.49,2.43,2.43,15200,0.0,0.0
1973-09-13,0.0,2.42,2.42,2.42,8000,0.0,0.0
1973-09-14,0.0,2.43,2.42,2.42,9600,0.0,0.0
1973-09-17,0.0,2.42,2.4,2.41,10400,0.0,0.0
1973-09-18,0.0,2.43,2.43,2.43,8800,0.0,0.0
1973-09-19,0.0,2.45,2.42,2.43,8800,0.0,0.0
1973-09-20,0.0,2.54,2.49,2.54,20000,0.0,0.0
1973-09-21,0.0,2.59,2.55,2.58,68800,0.0,0.0
1973-09-24,0.0,2.65,2.58,2.65,88800,0.0,0.0
1973-09-25,0.0,2.64,2.59,2.59,78400,0.0,0.0
1973-09-26,0.0,2.57,2.54,2.55,16800,0.0,0.0
1973-09-27,0.0,2.55,2.54,2.55,10400,0.0,0.0
1973-09-28,0.0,2.54,2.53,2.53,7200,0.0,0.0
1973-10-01,0.0,2.57,2.52,2.57,56800,0.0,0.0
1973-10-02,0.0,2.58,2.56,2.56,8000,0.0,0.0
1973-10-03,0.0,2.59,2.55,2.59,48800,0.0,0.0
1973-10-04,0.0,2.61,2.6,2.61,8800,0.0,0.0
1973-10-05,0.0,2.69,2.61,2.69,78400,0.0,0.0
1973-10-08,0.0,2.68,2.64,2.64,7200,0.0,0.0
1973-10-09,0.0,2.69,2.63,2.67,20800,0.0,0.0
1973-10-10,0.0,2.67,2.62,2.67,11200,0.0,0.0
1973-10-11,0.0,2.72,2.69,2.72,32800,0.0,0.0
1973-10-12,0.0,2.75,2.69,2.69,13600,0.0,0.0
1973-10-15,0.0,2.69,2.67,2.67,20800,0.0,0.0
1973-10-16,0.0,2.65,2.62,2.62,13600,0.0,0.0
1973-10-17,0.0,2.64,2.62,2.62,1600,0.0,0.0
1973-10-18,0.0,2.69,2.64,2.69,10400,0.0,0.0
1973-10-19,0.0,2.75,2.67,2.75,23200,0.0,0.0
1973-10-22,0.0,2.7,2.7,2.7,9600,0.0,0.0
1973-10-23,0.0,2.72,2.67,2.69,50400,0.0,0.0
1973-10-24,0.0,2.69,2.67,2.67,24000,0.0,0.0
1973-10-25,0.0,2.72,2.65,2.72,13600,0.0,0.0
1973-10-26,0.0,2.77,2.7,2.77,8800,0.0,0.0
1973-10-29,0.0,2.83,2.77,2.8,36800,0.0,0.0
1973-10-30,0.0,2.8,2.79,2.79,10400,0.0,0.0
1973-10-31,0.0,2.91,2.85,2.91,23200,0.0,0.0
1973-11-01,0.0,3.01,2.94,3.01,28000,0.0,0.0
1973-11-02,0.0,3.02,2.99,3.01,47200,0.0,0.0
1973-11-05,0.0,3.01,2.91,2.91,136800,0.0,0.0
1973-11-06,0.0,2.87,2.8,2.8,27200,0.0,0.0
1973-11-07,0.0,2.84,2.8,2.84,4800,0.0,0.0
1973-11-08,0.0,2.89,2.85,2.89,16000,0.0,0.0
1973-11-09,0.0,2.92,2.91,2.91,10400,0.0,0.0
1973-11-12,0.0,2.91,2.82,2.82,24800,0.0,0.0
1973-11-13,0.0,2.82,2.8,2.8,24000,0.0,0.0
1973-11-14,0.0,2.82,2.8,2.8,88800,0.0,0.0
1973-11-15,0.0,2.8,2.77,2.77,26400,0.0,0.0
1973-11-16,0.0,2.75,2.67,2.7,21600,0.0,0.0
1973-11-19,0.0,2.72,2.64,2.64,45600,0.0,0.0
1973-11-20,0.0,2.62,2.45,2.45,66400,0.0,0.0
1973-11-21,0.0,2.5,2.47,2.48,37600,0.0,0.0
1973-11-23,0.0,2.46,2.46,2.46,800,0.0,0.0
1973-11-26,0.0,2.44,2.38,2.38,31200,0.0,0.0
