Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-09-22,0.02,0.02,0.02,0.02,7449469,0.0,0.0
1981-09-23,0.02,0.02,0.02,0.02,7381125,0.0,0.0
1981-09-24,0.02,0.02,0.02,0.02,5091609,0.0,0.0
1981-09-25,0.02,0.02,0.02,0.02,7312781,0.0,0.0
1981-09-28,0.02,0.02,0.02,0.02,5809219,0.0,0.0
1981-09-29,0.02,0.02,0.02,0.02,3963938,0.0,0.0
1981-09-30,0.02,0.02,0.02,0.02,5262469,0.0,0.0
1981-10-01,0.02,0.02,0.02,0.02,4374000,0.0,0.0
1981-10-02,0.02,0.02,0.02,0.02,3485531,0.0,0.0
1981-10-05,0.02,0.02,0.02,0.02,1776938,0.0,0.0
1981-10-06,0.02,0.02,0.02,0.02,2528719,0.0,0.0
1981-10-07,0.02,0.02,0.02,0.02,4203141,0.0,0.0
1981-10-08,0.02,0.02,0.02,0.02,136688,0.0,0.0
1981-10-09,0.02,0.02,0.02,0.02,5638359,0.0,0.0
1981-10-12,0.02,0.02,0.02,0.02,375891,0.0,0.0
1981-10-13,0.02,0.02,0.02,0.02,1161844,0.0,0.0
1981-10-14,0.02,0.02,0.02,0.02,375891,0.0,0.0
1981-10-15,0.02,0.02,0.02,0.02,3109641,0.0,0.0
1981-10-16,0.02,0.02,0.02,0.02,307547,0.0,0.0
1981-10-19,0.02,0.02,0.02,0.02,1230188,0.0,0.0
1981-10-20,0.02,0.02,0.02,0.02,1503563,0.0,0.0
1981-10-21,0.02,0.02,0.02,0.02,7107750,0.0,0.0
1981-10-22,0.02,0.02,0.02,0.02,6390141,0.0,0.0
1981-10-23,0.02,0.03,0.02,0.02,3929766,0.0,0.0
1981-10-26,0.02,0.03,0.02,0.02,4305656,0.0,0.0
1981-10-27,0.02,0.03,0.02,0.02,1264359,0.0,0.0
1981-10-28,0.02,0.03,0.02,0.02,3451359,0.0,0.0
1981-10-29,0.02,0.03,0.02,0.02,615094,0.0,0.0
1981-10-30,0.02,0.03,0.02,0.02,444234,0.0,0.0
1981-11-02,0.03,0.03,0.03,0.03,854297,0.0,0.0
1981-11-03,0.03,0.03,0.03,0.03,1093500,0.0,0.0
1981-11-04,0.03,0.03,0.03,0.03,1127672,0.0,0.0
1981-11-05,0.03,0.03,0.03,0.03,4271484,0.0,0.0
1981-11-06,0.03,0.03,0.03,0.03,136688,0.0,0.0
1981-11-09,0.03,0.03,0.02,0.02,4442344,0.0,0.0
1981-11-10,0.02,0.03,0.02,0.02,2802094,0.0,0.0
1981-11-11,0.02,0.03,0.02,0.02,375891,0.0,0.0
1981-11-12,0.02,0.03,0.02,0.02,683438,0.0,0.0
1981-11-13,0.02,0.03,0.02,0.02,307547,0.0,0.0
1981-11-16,0.02,0.03,0.02,0.02,2870438,0.0,0.0
1981-11-17,0.03,0.03,0.03,0.03,170859,0.0,0.0
1981-11-18,0.03,0.03,0.03,0.03,375891,0.0,0.0
1981-11-19,0.03,0.03,0.03,0.03,170859,0.0,0.0
1981-11-20,0.03,0.03,0.03,0.03,2665406,0.0,0.0
1981-11-23,0.03,0.03,0.03,0.03,922641,0.0,0.0
1981-11-24,0.03,0.03,0.03,0.03,341719,0.0,0.0
1981-11-25,0.03,0.03,0.03,0.03,205031,0.0,0.0
1981-11-27,0.03,0.03,0.03,0.03,170859,0.0,0.0
1981-11-30,0.03,0.03,0.03,0.03,102516,0.0,0.0
1981-12-01,0.03,0.03,0.03,0.03,170859,0.0,0.0
1981-12-02,0.03,0.03,0.03,0.03,375891,0.0,0.0
1981-12-03,0.03,0.03,0.03,0.03,1708594,0.0,0.0
1981-12-04,0.03,0.04,0.03,0.03,4784063,0.0,0.0
1981-12-07,0.04,0.04,0.04,0.04,3963938,0.0,0.0
1981-12-08,0.04,0.04,0.04,0.04,2870438,0.0,0.0
1981-12-09,0.04,0.04,0.04,0.04,1230188,0.0,0.0
1981-12-10,0.04,0.04,0.04,0.04,751781,0.0,0.0
1981-12-11,0.04,0.04,0.04,0.04,273375,0.0,0.0
1981-12-14,0.04,0.04,0.03,0.03,1674422,0.0,0.0
1981-12-15,0.03,0.03,0.03,0.03,2870438,0.0,0.0
1981-12-16,0.03,0.03,0.03,0.03,170859,0.0,0.0
1981-12-17,0.03,0.03,0.03,0.03,1913625,0.0,0.0
1981-12-18,0.03,0.03,0.03,0.03,546750,0.0,0.0
1981-12-21,0.03,0.03,0.03,0.03,854297,0.0,0.0
