Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.14,0.13,0.13,620800,0.0,0.0
1980-03-18,0.0,0.13,0.13,0.13,390400,0.0,0.0
1980-03-19,0.0,0.13,0.13,0.13,70400,0.0,0.0
1980-03-20,0.0,0.13,0.13,0.13,51200,0.0,0.0
1980-03-21,0.0,0.13,0.13,0.13,38400,0.0,0.0
1980-03-24,0.0,0.13,0.13,0.13,6400,0.0,0.0
1980-03-25,0.0,0.13,0.13,0.13,19200,0.0,0.0
1980-03-26,0.0,0.13,0.13,0.13,102400,0.0,0.0
1980-03-27,0.0,0.13,0.12,0.12,256000,0.0,0.0
1980-03-28,0.0,0.13,0.12,0.13,57600,0.0,0.0
1980-03-31,0.0,0.13,0.13,0.13,96000,0.0,0.0
1980-04-01,0.0,0.13,0.13,0.13,460800,0.0,0.0
1980-04-02,0.0,0.13,0.13,0.13,51200,0.0,0.0
1980-04-03,0.0,0.13,0.13,0.13,729600,0.0,0.0
1980-04-07,0.0,0.13,0.13,0.13,160000,0.0,0.0
1980-04-08,0.0,0.13,0.13,0.13,19200,0.0,0.0
1980-04-09,0.0,0.13,0.13,0.13,268800,0.0,0.0
1980-04-10,0.0,0.13,0.13,0.13,32000,0.0,0.0
1980-04-11,0.0,0.13,0.12,0.12,96000,0.0,0.0
1980-04-14,0.0,0.12,0.12,0.12,153600,0.0,0.0
1980-04-15,0.0,0.12,0.12,0.12,198400,0.0,0.0
1980-04-16,0.0,0.13,0.12,0.12,153600,0.0,0.0
1980-04-17,0.0,0.12,0.11,0.12,76800,0.0,0.0
1980-04-18,0.0,0.12,0.11,0.11,51200,0.0,0.0
1980-04-21,0.0,0.11,0.11,0.11,51200,0.0,0.0
1980-04-22,0.0,0.11,0.11,0.11,115200,0.0,0.0
1980-04-23,0.0,0.12,0.11,0.12,160000,0.0,0.0
1980-04-24,0.0,0.12,0.11,0.12,25600,0.0,0.0
1980-04-25,0.0,0.12,0.11,0.12,140800,0.0,0.0
1980-04-28,0.0,0.12,0.12,0.12,230400,0.0,0.0
1980-04-29,0.0,0.12,0.12,0.12,102400,0.0,0.0
1980-04-30,0.0,0.12,0.12,0.12,38400,0.0,0.0
1980-05-01,0.0,0.12,0.12,0.12,44800,0.0,0.0
1980-05-02,0.0,0.12,0.12,0.12,83200,0.0,0.0
1980-05-05,0.0,0.12,0.12,0.12,25600,0.0,0.0
1980-05-06,0.0,0.13,0.12,0.13,198400,0.0,0.0
1980-05-07,0.0,0.13,0.12,0.13,38400,0.0,0.0
1980-05-08,0.0,0.12,0.12,0.12,12800,0.0,0.0
1980-05-09,0.0,0.13,0.12,0.12,76800,0.0,0.0
1980-05-12,0.0,0.13,0.13,0.13,160000,0.0,0.0
1980-05-13,0.0,0.12,0.12,0.12,32000,0.0,0.0
1980-05-14,0.0,0.12,0.12,0.12,140800,0.0,0.0
1980-05-15,0.0,0.12,0.12,0.12,121600,0.0,0.0
1980-05-16,0.0,0.12,0.12,0.12,25600,0.0,0.0
1980-05-19,0.0,0.12,0.12,0.12,179200,0.0,0.0
