Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,1.65,1.65,1.63,1.63,407940,0.0,0.0
1962-01-03,1.63,1.65,1.63,1.65,305955,0.0,0.0
1962-01-04,1.65,1.65,1.63,1.63,274575,0.0,0.0
1962-01-05,1.63,1.63,1.6,1.6,384405,0.0,0.0
1962-01-08,1.6,1.6,1.56,1.57,572685,0.0,0.0
1962-01-09,1.58,1.61,1.58,1.59,517770,0.0,0.0
1962-01-10,1.59,1.6,1.59,1.59,313800,0.0,0.0
1962-01-11,1.59,1.61,1.59,1.61,337335,0.0,0.0
1962-01-12,1.61,1.62,1.61,1.61,462855,0.0,0.0
1962-01-15,1.62,1.62,1.62,1.62,266730,0.0,0.0
1962-01-16,1.62,1.62,1.6,1.6,266730,0.0,0.0
1962-01-17,1.59,1.59,1.57,1.57,439320,0.0,0.0
1962-01-18,1.58,1.59,1.58,1.58,392250,0.0,0.0
1962-01-19,1.58,1.58,1.56,1.58,423630,0.0,0.0
1962-01-22,1.58,1.6,1.58,1.58,290265,0.0,0.0
1962-01-23,1.58,1.58,1.56,1.56,392250,0.0,0.0
1962-01-24,1.56,1.57,1.55,1.57,431475,0.0,0.0
1962-01-25,1.57,1.58,1.55,1.55,337335,0.0,0.0
1962-01-26,1.55,1.56,1.54,1.55,258885,0.0,0.0
1962-01-29,1.55,1.56,1.52,1.52,611910,0.0,0.0
1962-01-30,1.52,1.53,1.5,1.5,776655,0.0,0.0
1962-01-31,1.51,1.55,1.51,1.55,800190,0.0,0.0
1962-02-01,1.56,1.59,1.56,1.58,674670,0.0,0.0
1962-02-02,1.58,1.59,1.58,1.59,533460,0.0,0.0
1962-02-05,1.59,1.59,1.56,1.57,329490,0.0,0.0
1962-02-06,1.57,1.58,1.57,1.57,274575,0.0,0.0
1962-02-07,1.58,1.58,1.58,1.58,266730,0.0,0.0
1962-02-08,1.58,1.58,1.58,1.58,23535,0.0,0.0
1962-02-09,1.58,1.59,1.57,1.59,455010,0.0,0.0
1962-02-12,1.59,1.6,1.59,1.59,298110,0.0,0.0
1962-02-13,1.59,1.59,1.56,1.56,274575,0.0,0.0
1962-02-14,1.56,1.57,1.56,1.56,219660,0.0,0.0
1962-02-15,1.56,1.56,1.55,1.56,243195,0.0,0.0
1962-02-16,1.56,1.56,1.55,1.55,235350,0.0,0.0
1962-02-19,1.55,1.56,1.54,1.54,298110,0.0,0.0
1962-02-20,1.54,1.55,1.54,1.54,305955,0.0,0.0
1962-02-21,1.54,1.55,1.53,1.53,384405,0.0,0.0
1962-02-23,1.53,1.54,1.53,1.53,305955,0.0,0.0
1962-02-26,1.53,1.53,1.52,1.53,313800,0.0,0.0
1962-02-27,1.53,1.54,1.52,1.53,368715,0.0,0.0
1962-02-28,1.53,1.53,1.52,1.53,282420,0.0,0.0
1962-03-01,1.54,1.55,1.54,1.55,298110,0.0,0.0
1962-03-02,1.56,1.57,1.56,1.56,258885,0.0,0.0
1962-03-05,1.56,1.56,1.55,1.56,376560,0.0,0.0
1962-03-06,1.56,1.57,1.56,1.56,196125,0.0,0.0
1962-03-07,1.56,1.57,1.56,1.57,133365,0.0,0.0
1962-03-08,1.57,1.57,1.56,1.57,196125,0.0,0.0
1962-03-09,1.57,1.58,1.57,1.58,305955,0.0,0.0
1962-03-12,1.58,1.58,1.57,1.58,298110,0.0,0.0
1962-03-13,1.58,1.58,1.57,1.58,133365,0.0,0.0
1962-03-14,1.58,1.58,1.57,1.57,211815,0.0,0.0
1962-03-15,1.57,1.58,1.57,1.57,258885,0.0,0.0
1962-03-16,1.57,1.58,1.57,1.58,172590,0.0,0.0
1962-03-19,1.58,1.59,1.58,1.58,392250,0.0,0.0
1962-03-20,1.58,1.58,1.57,1.57,172590,0.0,0.0
1962-03-21,1.57,1.58,1.57,1.57,274575,0.0,0.0
1962-03-22,1.57,1.57,1.56,1.56,251040,0.0,0.0
1962-03-23,1.56,1.56,1.56,1.56,196125,0.0,0.0
1962-03-26,1.56,1.57,1.56,1.56,141210,0.0,0.0
1962-03-27,1.56,1.56,1.53,1.53,368715,0.0,0.0
1962-03-28,1.53,1.54,1.53,1.54,345180,0.0,0.0
1962-03-29,1.54,1.55,1.54,1.54,243195,0.0,0.0
1962-03-30,1.53,1.53,1.51,1.52,462855,0.0,0.0
1962-04-02,1.52,1.52,1.5,1.5,392250,0.0,0.0
1962-04-03,1.5,1.5,1.45,1.46,957090,0.0,0.0
1962-04-04,1.46,1.48,1.46,1.46,682515,0.0,0.0
1962-04-05,1.46,1.49,1.46,1.49,957090,0.0,0.0
1962-04-06,1.49,1.5,1.48,1.49,455010,0.0,0.0
1962-04-09,1.49,1.49,1.48,1.49,23535,0.0,0.0
1962-04-10,1.49,1.49,1.48,1.49,274575,0.0,0.0
1962-04-11,1.49,1.5,1.47,1.47,556995,0.0,0.0
1962-04-12,1.47,1.48,1.46,1.46,423630,0.0,0.0
1962-04-13,1.46,1.48,1.46,1.48,658980,0.0,0.0
1962-04-16,1.48,1.49,1.46,1.48,533460,0.0,0.0
1962-04-17,1.48,1.48,1.47,1.48,313800,0.0,0.0
1962-04-18,1.48,1.5,1.48,1.48,447165,0.0,0.0
1962-04-19,1.48,1.49,1.48,1.48,407940,0.0,0.0
1962-04-23,1.48,1.48,1.47,1.48,329490,0.0,0.0
1962-04-24,1.48,1.49,1.48,1.48,478545,0.0,0.0
1962-04-25,1.48,1.48,1.46,1.46,486390,0.0,0.0
1962-04-26,1.46,1.46,1.43,1.43,972780,0.0,0.0
1962-04-27,1.43,1.44,1.37,1.39,1710210,0.0,0.0
1962-04-30,1.39,1.4,1.28,1.3,2455485,0.0,0.0
1962-05-01,1.3,1.33,1.23,1.32,5562105,0.0,0.0
1962-05-02,1.34,1.38,1.34,1.35,2675145,0.0,0.0
1962-05-03,1.35,1.38,1.34,1.38,1427790,0.0,0.0
1962-05-04,1.38,1.39,1.36,1.39,815880,0.0,0.0
1962-05-07,1.39,1.4,1.36,1.36,870795,0.0,0.0
1962-05-08,1.36,1.36,1.31,1.31,1082610,0.0,0.0
1962-05-09,1.31,1.32,1.29,1.29,1678830,0.0,0.0
1962-05-10,1.29,1.31,1.28,1.29,2000475,0.0,0.0
1962-05-11,1.29,1.31,1.27,1.27,1984785,0.0,0.0
1962-05-14,1.27,1.3,1.25,1.3,2855580,0.0,0.0
1962-05-15,1.3,1.32,1.29,1.29,1765125,0.0,0.0
1962-05-16,1.29,1.31,1.29,1.31,925710,0.0,0.0
1962-05-17,1.31,1.31,1.28,1.28,1019850,0.0,0.0
1962-05-18,1.28,1.29,1.27,1.29,768810,0.0,0.0
1962-05-21,1.29,1.29,1.27,1.29,415785,0.0,0.0
1962-05-22,1.28,1.28,1.24,1.24,1051230,0.0,0.0
1962-05-23,1.24,1.25,1.19,1.19,3028170,0.0,0.0
1962-05-24,1.19,1.22,1.14,1.14,4346130,0.0,0.0
1962-05-25,1.14,1.16,1.11,1.14,4503030,0.0,0.0
1962-05-28,1.13,1.13,1.01,1.03,4518720,0.0,0.0
1962-05-29,1.04,1.11,1.04,1.09,4040175,0.0,0.0
1962-05-31,1.11,1.14,1.11,1.12,4322595,0.0,0.0
1962-06-01,1.12,1.12,1.09,1.1,2526090,0.0,0.0
1962-06-04,1.09,1.09,1.03,1.03,1898490,0.0,0.0
1962-06-05,1.03,1.07,1.01,1.04,3310590,0.0,0.0
1962-06-06,1.04,1.07,1.03,1.04,3012480,0.0,0.0
1962-06-07,1.05,1.07,1.05,1.06,1286580,0.0,0.0
