Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.14,1.12,1.12,62775,0.0,0.0
1980-03-18,0.0,1.14,1.12,1.13,64125,0.0,0.0
1980-03-19,0.0,1.15,1.14,1.15,40500,0.0,0.0
1980-03-20,0.0,1.15,1.14,1.14,18900,0.0,0.0
1980-03-21,0.0,1.16,1.14,1.16,97200,0.0,0.0
1980-03-24,0.0,1.16,1.14,1.14,90450,0.0,0.0
1980-03-25,0.0,1.14,1.13,1.13,72225,0.0,0.0
1980-03-26,0.0,1.15,1.12,1.14,31725,0.0,0.0
1980-03-27,0.0,1.14,1.1,1.13,62100,0.0,0.0
1980-03-28,0.0,1.13,1.1,1.12,84375,0.0,0.0
1980-03-31,0.0,1.16,1.13,1.15,55350,0.0,0.0
1980-04-01,0.0,1.17,1.13,1.14,126225,0.0,0.0
1980-04-02,0.0,1.18,1.15,1.18,58725,0.0,0.0
1980-04-03,0.0,1.24,1.21,1.23,311175,0.0,0.0
1980-04-07,0.0,1.26,1.22,1.23,115425,0.0,0.0
1980-04-08,0.0,1.23,1.21,1.21,218025,0.0,0.0
1980-04-09,0.0,1.21,1.17,1.2,181575,0.0,0.0
1980-04-10,0.0,1.23,1.2,1.22,191700,0.0,0.0
1980-04-11,0.0,1.25,1.22,1.22,112050,0.0,0.0
1980-04-14,0.0,1.22,1.21,1.22,18900,0.0,0.0
1980-04-15,0.0,1.21,1.19,1.19,63450,0.0,0.0
1980-04-16,0.0,1.21,1.2,1.21,30375,0.0,0.0
1980-04-17,0.0,1.2,1.18,1.19,43875,0.0,0.0
1980-04-18,0.0,1.2,1.18,1.18,27675,0.0,0.0
1980-04-21,0.0,1.18,1.14,1.15,83700,0.0,0.0
1980-04-22,0.0,1.19,1.14,1.19,122850,0.0,0.0
1980-04-23,0.0,1.19,1.16,1.19,132300,0.0,0.0
1980-04-24,0.0,1.19,1.16,1.18,209250,0.0,0.0
1980-04-25,0.0,1.18,1.16,1.16,21600,0.0,0.0
1980-04-28,0.0,1.2,1.18,1.19,141750,0.0,0.0
1980-04-29,0.0,1.2,1.18,1.19,45225,0.0,0.0
1980-04-30,0.0,1.21,1.18,1.21,85050,0.0,0.0
1980-05-01,0.0,1.23,1.21,1.23,48600,0.0,0.0
1980-05-02,0.0,1.25,1.22,1.24,49950,0.0,0.0
1980-05-05,0.0,1.3,1.26,1.3,621675,0.0,0.0
1980-05-06,0.0,1.33,1.28,1.28,143775,0.0,0.0
1980-05-07,0.0,1.32,1.28,1.3,483975,0.0,0.0
1980-05-08,0.0,1.32,1.29,1.3,36450,0.0,0.0
1980-05-09,0.0,1.29,1.28,1.29,24975,0.0,0.0
1980-05-12,0.0,1.29,1.26,1.29,27000,0.0,0.0
1980-05-13,0.0,1.3,1.28,1.28,40500,0.0,0.0
1980-05-14,0.0,1.3,1.29,1.29,61425,0.0,0.0
1980-05-15,0.0,1.3,1.28,1.28,37125,0.0,0.0
1980-05-16,0.0,1.28,1.27,1.28,11475,0.0,0.0
1980-05-19,0.0,1.32,1.28,1.31,51300,0.0,0.0
1980-05-20,0.0,1.31,1.28,1.28,85725,0.0,0.0
1980-05-21,0.0,1.29,1.27,1.28,40500,0.0,0.0
