Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.79,0.78,0.78,685877,0.0,0.0
1980-03-18,0.0,0.77,0.77,0.77,383824,0.0,0.0
1980-03-19,0.0,0.77,0.76,0.76,470602,0.0,0.0
1980-03-20,0.0,0.76,0.74,0.74,522334,0.0,0.0
1980-03-21,0.0,0.75,0.74,0.74,420538,0.0,0.0
1980-03-24,0.0,0.74,0.74,0.74,400512,0.0,0.0
1980-03-25,0.0,0.75,0.74,0.74,145186,0.0,0.0
1980-03-26,0.0,0.76,0.74,0.75,423875,0.0,0.0
1980-03-27,0.0,0.75,0.74,0.75,275352,0.0,0.0
1980-03-28,0.0,0.75,0.74,0.75,317072,0.0,0.0
1980-03-31,0.0,0.75,0.74,0.75,91784,0.0,0.0
1980-04-01,0.0,0.76,0.75,0.76,290371,0.0,0.0
1980-04-02,0.0,0.76,0.75,0.75,540691,0.0,0.0
1980-04-03,0.0,0.75,0.75,0.75,215275,0.0,0.0
1980-04-07,0.0,0.75,0.73,0.73,659176,0.0,0.0
1980-04-08,0.0,0.74,0.73,0.74,116816,0.0,0.0
1980-04-09,0.0,0.74,0.72,0.72,136842,0.0,0.0
1980-04-10,0.0,0.73,0.73,0.73,525672,0.0,0.0
1980-04-11,0.0,0.73,0.7,0.7,380486,0.0,0.0
1980-04-14,0.0,0.71,0.7,0.71,664182,0.0,0.0
1980-04-15,0.0,0.72,0.71,0.71,343773,0.0,0.0
1980-04-16,0.0,0.72,0.71,0.72,365467,0.0,0.0
1980-04-17,0.0,0.73,0.72,0.72,488958,0.0,0.0
1980-04-18,0.0,0.73,0.72,0.72,392168,0.0,0.0
1980-04-21,0.0,0.72,0.71,0.71,979586,0.0,0.0
1980-04-22,0.0,0.72,0.71,0.72,669189,0.0,0.0
1980-04-23,0.0,0.72,0.7,0.71,1425155,0.0,0.0
1980-04-24,0.0,0.73,0.7,0.73,942872,0.0,0.0
1980-04-25,0.0,0.73,0.72,0.73,370474,0.0,0.0
1980-04-28,0.0,0.76,0.73,0.75,283696,0.0,0.0
1980-04-29,0.0,0.78,0.75,0.78,138510,0.0,0.0
1980-04-30,0.0,0.78,0.77,0.77,113478,0.0,0.0
1980-05-01,0.0,0.78,0.76,0.77,135173,0.0,0.0
1980-05-02,0.0,0.77,0.76,0.77,61746,0.0,0.0
1980-05-05,0.0,0.77,0.75,0.76,452245,0.0,0.0
1980-05-06,0.0,0.78,0.75,0.77,267008,0.0,0.0
1980-05-07,0.0,0.78,0.77,0.77,180230,0.0,0.0
1980-05-08,0.0,0.76,0.75,0.76,310397,0.0,0.0
1980-05-09,0.0,0.76,0.75,0.76,163542,0.0,0.0
1980-05-12,0.0,0.77,0.76,0.77,267008,0.0,0.0
1980-05-13,0.0,0.78,0.76,0.78,1017968,0.0,0.0
1980-05-14,0.0,0.81,0.78,0.81,325416,0.0,0.0
1980-05-15,0.0,0.84,0.82,0.83,348779,0.0,0.0
1980-05-16,0.0,0.83,0.82,0.83,166880,0.0,0.0
1980-05-19,0.0,0.83,0.82,0.82,714246,0.0,0.0
1980-05-20,0.0,0.83,0.82,0.82,171886,0.0,0.0
1980-05-21,0.0,0.83,0.82,0.83,46726,0.0,0.0
1980-05-22,0.0,0.83,0.83,0.83,213606,0.0,0.0
1980-05-23,0.0,0.83,0.83,0.83,160205,0.0,0.0
1980-05-27,0.0,0.84,0.83,0.83,282027,0.0,0.0
1980-05-28,0.0,0.83,0.82,0.83,73427,0.0,0.0
1980-05-29,0.0,0.83,0.82,0.82,98459,0.0,0.0
1980-05-30,0.0,0.82,0.81,0.82,255326,0.0,0.0
1980-06-02,0.0,0.83,0.82,0.83,981254,0.0,0.0
1980-06-03,0.0,0.83,0.82,0.83,170218,0.0,0.0
1980-06-04,0.0,0.84,0.83,0.83,632475,0.0,0.0
1980-06-05,0.0,0.83,0.83,0.83,350448,0.0,0.0
1980-06-06,0.0,0.84,0.83,0.84,231963,0.0,0.0
1980-06-09,0.0,0.82,0.81,0.81,186906,0.0,0.0
1980-06-10,0.0,0.82,0.81,0.82,267008,0.0,0.0
1980-06-11,0.0,0.82,0.81,0.82,1570341,0.0,0.0
1980-06-12,0.0,0.82,0.82,0.82,1516939,0.0,0.0
1980-06-13,0.0,0.82,0.82,0.82,83440,0.0,0.0
1980-06-16,0.0,0.84,0.82,0.84,382155,0.0,0.0
1980-06-17,0.0,0.85,0.84,0.85,275352,0.0,0.0
1980-06-18,0.0,0.85,0.84,0.85,113478,0.0,0.0
1980-06-19,0.0,0.85,0.85,0.85,83440,0.0,0.0
1980-06-20,0.0,0.85,0.85,0.85,208600,0.0,0.0
1980-06-23,0.0,0.85,0.85,0.85,58408,0.0,0.0
1980-06-24,0.0,0.86,0.84,0.85,358792,0.0,0.0
1980-06-25,0.0,0.87,0.86,0.86,116816,0.0,0.0
1980-06-26,0.0,0.87,0.86,0.87,811037,0.0,0.0
1980-06-27,0.0,0.87,0.86,0.87,101797,0.0,0.0
1980-06-30,0.0,0.87,0.85,0.85,524003,0.0,0.0
1980-07-01,0.0,0.87,0.85,0.87,148523,0.0,0.0
1980-07-02,0.0,0.87,0.85,0.87,1266619,0.0,0.0
1980-07-03,0.0,0.89,0.86,0.89,226957,0.0,0.0
1980-07-07,0.0,0.9,0.9,0.9,248651,0.0,0.0
1980-07-08,0.0,0.91,0.9,0.91,602437,0.0,0.0
