Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-06-17,5.06,5.21,4.62,4.73,902000,0.0,0.0
1992-06-18,4.73,4.73,4.47,4.65,421400,0.0,0.0
1992-06-19,4.65,4.73,4.62,4.69,453400,0.0,0.0
1992-06-22,4.69,4.69,4.5,4.54,597200,0.0,0.0
1992-06-23,4.54,4.62,4.54,4.58,853800,0.0,0.0
1992-06-24,4.58,4.62,4.47,4.5,357600,0.0,0.0
1992-06-25,4.58,4.65,4.58,4.58,785000,0.0,0.0
1992-06-26,4.58,4.62,4.54,4.62,435000,0.0,0.0
1992-06-29,4.58,4.65,4.54,4.65,386600,0.0,0.0
1992-06-30,4.65,4.8,4.65,4.8,884400,0.0,0.0
1992-07-01,4.69,4.73,4.65,4.69,552600,0.0,0.0
1992-07-02,4.73,4.8,4.58,4.8,1788200,0.0,0.0
1992-07-06,4.73,4.73,4.58,4.62,580400,0.0,0.0
1992-07-07,4.65,4.65,4.28,4.36,1147000,0.0,0.0
1992-07-08,4.39,4.39,4.06,4.13,1192800,0.0,0.0
1992-07-09,4.13,4.36,4.13,4.36,2136600,0.0,0.0
1992-07-10,4.28,4.32,4.21,4.24,866200,0.0,0.0
1992-07-13,4.24,4.32,4.24,4.28,846600,0.0,0.0
1992-07-14,4.24,4.32,4.24,4.32,990000,0.0,0.0
1992-07-15,4.32,4.39,4.32,4.36,1080400,0.0,0.0
1992-07-16,4.32,4.36,4.24,4.28,2689000,0.0,0.0
1992-07-17,4.21,4.36,4.21,4.36,840400,0.0,0.0
1992-07-20,4.13,4.28,4.1,4.24,1228200,0.0,0.0
1992-07-21,4.17,4.32,4.17,4.24,1279600,0.0,0.0
1992-07-22,4.13,4.5,4.13,4.39,2743000,0.0,0.0
1992-07-23,4.36,4.47,4.36,4.36,2203800,0.0,0.0
1992-07-24,4.32,4.47,4.32,4.43,1404000,0.0,0.0
1992-07-27,4.43,4.5,4.36,4.47,1308000,0.0,0.0
1992-07-28,4.43,4.5,4.39,4.47,1134400,0.0,0.0
1992-07-29,4.47,4.5,4.32,4.39,1697600,0.0,0.0
1992-07-30,4.43,4.47,4.32,4.47,912800,0.0,0.0
1992-07-31,4.43,4.5,4.43,4.5,1303000,0.0,0.0
1992-08-03,4.47,4.58,4.43,4.58,1616800,0.0,0.0
1992-08-04,4.58,4.65,4.58,4.62,1457000,0.0,0.0
1992-08-05,4.62,4.65,4.62,4.62,492000,0.0,0.0
1992-08-06,4.58,4.62,4.47,4.54,1277800,0.0,0.0
1992-08-07,4.43,4.5,4.43,4.47,306200,0.0,0.0
1992-08-10,4.36,4.47,4.32,4.43,593000,0.0,0.0
1992-08-11,4.43,4.43,4.32,4.32,1804800,0.0,0.0
1992-08-12,4.43,4.47,4.24,4.32,1591600,0.0,0.0
1992-08-13,4.36,4.5,4.36,4.47,1100600,0.0,0.0
1992-08-14,4.47,4.73,4.47,4.69,1476600,0.0,0.0
1992-08-17,4.62,4.77,4.62,4.73,1461000,0.0,0.0
1992-08-18,4.77,4.88,4.73,4.77,1660200,0.0,0.0
1992-08-19,4.77,4.84,4.69,4.73,928000,0.0,0.0
1992-08-20,4.77,4.8,4.77,4.8,370400,0.0,0.0
1992-08-21,4.77,4.95,4.77,4.91,3771600,0.0,0.0
1992-08-24,4.73,4.88,4.73,4.8,2085000,0.0,0.0
1992-08-25,4.84,4.88,4.73,4.84,1168800,0.0,0.0
1992-08-26,4.8,4.88,4.77,4.88,1347000,0.0,0.0
1992-08-27,4.88,4.91,4.84,4.84,764400,0.0,0.0
1992-08-28,4.8,4.84,4.77,4.8,516800,0.0,0.0
1992-08-31,4.84,4.84,4.8,4.8,304000,0.0,0.0
1992-09-01,4.78,4.86,4.75,4.78,1067400,0.03,0.0
1992-09-02,4.75,4.78,4.67,4.71,1153600,0.0,0.0
1992-09-03,4.71,4.75,4.67,4.67,474800,0.0,0.0
1992-09-04,4.71,4.71,4.6,4.6,461600,0.0,0.0
1992-09-08,4.63,4.67,4.6,4.6,693800,0.0,0.0
1992-09-09,4.63,4.75,4.63,4.75,474200,0.0,0.0
1992-09-10,4.78,4.82,4.71,4.75,867200,0.0,0.0
1992-09-11,4.78,4.82,4.71,4.75,856600,0.0,0.0
1992-09-14,4.82,4.93,4.82,4.93,1092800,0.0,0.0
1992-09-15,4.82,4.9,4.82,4.82,1036400,0.0,0.0
1992-09-16,4.78,4.86,4.71,4.86,864000,0.0,0.0
1992-09-17,4.86,4.86,4.78,4.86,660000,0.0,0.0
1992-09-18,4.86,4.9,4.82,4.9,1351400,0.0,0.0
1992-09-21,4.86,4.9,4.82,4.86,491200,0.0,0.0
1992-09-22,4.86,4.9,4.82,4.82,1030000,0.0,0.0
1992-09-23,4.78,4.82,4.67,4.75,714800,0.0,0.0
1992-09-24,4.75,4.9,4.75,4.86,639400,0.0,0.0
1992-09-25,4.86,4.86,4.78,4.86,438800,0.0,0.0
1992-09-28,4.82,4.9,4.82,4.9,217600,0.0,0.0
1992-09-29,4.9,4.9,4.82,4.82,313000,0.0,0.0
1992-09-30,4.86,4.86,4.75,4.78,675200,0.0,0.0
1992-10-01,4.75,4.78,4.63,4.71,727800,0.0,0.0
1992-10-02,4.71,4.78,4.63,4.71,376000,0.0,0.0
1992-10-05,4.67,4.71,4.45,4.67,815800,0.0,0.0
1992-10-06,4.63,4.67,4.48,4.63,600800,0.0,0.0
1992-10-07,4.67,4.78,4.63,4.75,491400,0.0,0.0
1992-10-08,4.75,4.82,4.75,4.78,327400,0.0,0.0
1992-10-09,4.75,4.75,4.56,4.56,628200,0.0,0.0
1992-10-12,4.6,4.63,4.48,4.52,629600,0.0,0.0
1992-10-13,4.52,4.63,4.52,4.6,1432200,0.0,0.0
1992-10-14,4.56,4.67,4.52,4.6,941200,0.0,0.0
1992-10-15,4.56,4.63,4.52,4.52,944000,0.0,0.0
