Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-07-23,18.6,18.6,17.0,17.0,75800,0,0
2015-07-24,17.0,17.0,17.0,17.0,200,0,0
2015-07-27,20.95,21.2,20.05,20.85,2300,0,0
2015-07-28,21.0,21.0,19.36,21.0,1500,0,0
2015-07-29,20.95,21.0,19.26,21.0,1900,0,0
2015-07-30,21.0,21.0,21.0,21.0,800,0,0
2015-07-31,21.0,21.0,19.7,19.7,1600,0,0
2015-08-03,26.88,26.88,20.0,23.45,322800,0,0
2015-08-04,24.25,25.86,19.24,21.15,1516900,0,0
2015-08-05,21.0,21.36,20.13,20.56,692700,0,0
2015-08-06,20.5,20.65,17.28,18.6,326700,0,0
2015-08-07,18.34,19.58,17.67,19.3,598900,0,0
2015-08-10,19.43,19.69,18.82,19.01,259100,0,0
2015-08-11,18.79,19.94,18.79,19.56,741500,0,0
2015-08-12,19.47,19.5,18.69,19.37,452700,0,0
2015-08-13,19.8,20.78,19.38,20.6,491700,0,0
2015-08-14,19.95,20.89,19.22,20.33,526600,0,0
2015-08-17,19.93,21.7,19.93,21.07,562600,0,0
2015-08-18,21.28,21.58,21.1,21.44,380000,0,0
2015-08-19,21.08,21.81,20.31,21.39,299700,0,0
2015-08-20,21.14,21.9,20.43,21.2,716600,0,0
2015-08-21,20.95,21.36,20.61,21.25,384700,0,0
2015-08-24,19.99,21.01,19.75,21.01,407200,0,0
2015-08-25,21.01,21.36,19.77,20.4,534400,0,0
2015-08-26,20.0,20.94,20.0,20.41,376900,0,0
2015-08-27,20.26,20.86,20.26,20.4,269100,0,0
2015-08-28,20.2,20.25,18.82,19.92,202500,0,0
2015-08-31,19.52,19.95,19.44,19.74,164700,0,0
2015-09-01,19.22,19.71,18.87,19.08,201700,0,0
2015-09-02,18.98,20.18,18.13,18.71,485800,0,0
2015-09-03,18.49,19.47,18.3,19.31,305300,0,0
2015-09-04,19.07,19.44,18.65,19.07,359500,0,0
2015-09-08,18.96,19.5,17.21,17.77,559600,0,0
2015-09-09,17.5,18.99,17.39,18.79,468000,0,0
2015-09-10,18.53,18.78,18.16,18.35,176900,0,0
2015-09-11,17.9,18.59,17.66,17.71,597400,0,0
2015-09-14,17.72,17.82,17.35,17.57,392400,0,0
2015-09-15,17.66,17.83,17.33,17.38,433700,0,0
2015-09-16,17.32,17.51,16.95,16.97,325300,0,0
2015-09-17,16.97,17.5,16.97,17.25,348200,0,0
2015-09-18,17.14,17.17,16.95,17.08,360900,0,0
2015-09-21,17.08,17.2,16.96,17.05,329000,0,0
2015-09-22,16.89,16.99,16.74,16.81,241600,0,0
2015-09-23,16.77,16.94,16.66,16.78,338800,0,0
2015-09-24,16.95,17.01,16.78,16.94,353100,0,0
2015-09-25,16.89,17.12,16.76,16.98,482000,0,0
2015-09-28,16.87,17.01,16.66,16.92,386900,0,0
2015-09-29,16.83,16.99,16.66,16.84,117900,0,0
2015-09-30,16.82,17.0,16.75,16.95,345500,0,0
2015-10-01,16.88,16.98,16.54,16.54,265400,0,0
2015-10-02,16.48,16.65,15.59,15.76,378300,0,0
2015-10-05,15.68,15.96,15.49,15.59,268400,0,0
2015-10-06,15.51,15.55,15.27,15.28,429500,0,0
2015-10-07,15.4,15.56,15.16,15.23,438000,0,0
2015-10-08,15.36,15.82,15.0,15.18,695400,0,0
2015-10-09,14.91,15.39,14.85,15.14,419300,0,0
2015-10-12,15.16,15.36,14.71,14.75,120700,0,0
2015-10-13,14.65,14.93,14.65,14.69,173000,0,0
2015-10-14,14.76,14.83,14.4,14.45,150500,0,0
2015-10-15,14.44,14.78,14.4,14.75,165700,0,0
2015-10-16,14.78,14.8,14.39,14.47,183600,0,0
2015-10-19,14.41,14.41,13.97,14.12,582400,0,0
2015-10-20,14.17,14.6,13.99,14.28,854800,0,0
2015-10-21,14.21,14.69,14.17,14.5,526500,0,0
2015-10-22,14.7,15.03,14.37,14.6,715300,0,0
2015-10-23,14.66,14.99,14.66,14.87,178200,0,0
2015-10-26,14.79,15.02,14.72,14.83,603500,0,0
