Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.29,0.28,0.28,217600,0.0,0.0
1980-03-18,0.0,0.29,0.28,0.28,272000,0.0,0.0
1980-03-19,0.0,0.28,0.28,0.28,777600,0.0,0.0
1980-03-20,0.0,0.28,0.28,0.28,2105600,0.0,0.0
1980-03-21,0.0,0.28,0.27,0.27,348800,0.0,0.0
1980-03-24,0.0,0.27,0.26,0.26,252800,0.0,0.0
1980-03-25,0.0,0.26,0.26,0.26,252800,0.0,0.0
1980-03-26,0.0,0.27,0.26,0.26,396800,0.0,0.0
1980-03-27,0.0,0.26,0.26,0.26,112000,0.0,0.0
1980-03-28,0.0,0.26,0.26,0.26,1651200,0.0,0.0
1980-03-31,0.0,0.27,0.26,0.26,134400,0.0,0.0
1980-04-01,0.0,0.27,0.27,0.27,134400,0.0,0.0
1980-04-02,0.0,0.28,0.28,0.28,102400,0.0,0.0
1980-04-03,0.0,0.29,0.28,0.29,608000,0.0,0.0
1980-04-07,0.0,0.29,0.29,0.29,89600,0.0,0.0
1980-04-08,0.0,0.29,0.28,0.29,156800,0.0,0.0
1980-04-09,0.0,0.3,0.29,0.29,755200,0.0,0.0
1980-04-10,0.0,0.3,0.29,0.3,195200,0.0,0.0
1980-04-11,0.0,0.31,0.3,0.3,464000,0.0,0.0
1980-04-14,0.0,0.3,0.3,0.3,124800,0.0,0.0
1980-04-15,0.0,0.3,0.3,0.3,73600,0.0,0.0
1980-04-16,0.0,0.3,0.29,0.3,233600,0.0,0.0
1980-04-17,0.0,0.29,0.29,0.29,131200,0.0,0.0
1980-04-18,0.0,0.29,0.28,0.28,134400,0.0,0.0
1980-04-21,0.0,0.28,0.27,0.27,204800,0.0,0.0
1980-04-22,0.0,0.28,0.27,0.27,67200,0.0,0.0
1980-04-23,0.0,0.27,0.27,0.27,80000,0.0,0.0
1980-04-24,0.0,0.27,0.27,0.27,153600,0.0,0.0
1980-04-25,0.0,0.28,0.28,0.28,310400,0.0,0.0
1980-04-28,0.0,0.29,0.28,0.28,137600,0.0,0.0
1980-04-29,0.0,0.29,0.28,0.28,640000,0.0,0.0
1980-04-30,0.0,0.29,0.28,0.29,422400,0.0,0.0
1980-05-01,0.0,0.29,0.29,0.29,163200,0.0,0.0
1980-05-02,0.0,0.32,0.3,0.32,531200,0.0,0.0
1980-05-05,0.0,0.31,0.31,0.31,169600,0.0,0.0
1980-05-06,0.0,0.31,0.31,0.31,182400,0.0,0.0
1980-05-07,0.0,0.32,0.3,0.31,499200,0.0,0.0
1980-05-08,0.0,0.31,0.31,0.31,80000,0.0,0.0
1980-05-09,0.0,0.32,0.31,0.32,710400,0.0,0.0
1980-05-12,0.0,0.32,0.31,0.31,473600,0.0,0.0
1980-05-13,0.0,0.31,0.31,0.31,67200,0.0,0.0
1980-05-14,0.0,0.32,0.31,0.32,92800,0.0,0.0
1980-05-15,0.0,0.32,0.32,0.32,160000,0.0,0.0
1980-05-16,0.0,0.32,0.32,0.32,329600,0.0,0.0
1980-05-19,0.0,0.32,0.31,0.31,67200,0.0,0.0
1980-05-20,0.0,0.31,0.31,0.31,35200,0.0,0.0
1980-05-21,0.0,0.32,0.31,0.32,115200,0.0,0.0
1980-05-22,0.0,0.32,0.32,0.32,131200,0.0,0.0
1980-05-23,0.0,0.32,0.31,0.32,480000,0.0,0.0
1980-05-27,0.0,0.34,0.32,0.34,1168000,0.0,0.0
1980-05-28,0.0,0.34,0.33,0.33,1209600,0.0,0.0
1980-05-29,0.0,0.33,0.32,0.33,592000,0.0,0.0
1980-05-30,0.0,0.32,0.32,0.32,89600,0.0,0.0
1980-06-02,0.0,0.32,0.32,0.32,400000,0.0,0.0
1980-06-03,0.0,0.32,0.32,0.32,569600,0.0,0.0
1980-06-04,0.0,0.32,0.32,0.32,313600,0.0,0.0
1980-06-05,0.0,0.32,0.32,0.32,2284800,0.0,0.0
1980-06-06,0.0,0.33,0.32,0.33,297600,0.0,0.0
1980-06-09,0.0,0.33,0.32,0.32,179200,0.0,0.0
1980-06-10,0.0,0.33,0.32,0.33,163200,0.0,0.0
1980-06-11,0.0,0.33,0.32,0.33,54400,0.0,0.0
1980-06-12,0.0,0.33,0.32,0.32,137600,0.0,0.0
1980-06-13,0.0,0.32,0.32,0.32,57600,0.0,0.0
1980-06-16,0.0,0.32,0.32,0.32,76800,0.0,0.0
1980-06-17,0.0,0.32,0.32,0.32,44800,0.0,0.0
1980-06-18,0.0,0.34,0.32,0.34,1094400,0.0,0.0
1980-06-19,0.0,0.34,0.33,0.33,192000,0.0,0.0
1980-06-20,0.0,0.33,0.32,0.32,60800,0.0,0.0
1980-06-23,0.0,0.32,0.32,0.32,512000,0.0,0.0
1980-06-24,0.0,0.33,0.33,0.33,409600,0.0,0.0
1980-06-25,0.0,0.35,0.34,0.35,297600,0.0,0.0
1980-06-26,0.0,0.35,0.34,0.35,208000,0.0,0.0
1980-06-27,0.0,0.35,0.35,0.35,1369600,0.0,0.0
1980-06-30,0.0,0.35,0.34,0.34,678400,0.0,0.0
1980-07-01,0.0,0.35,0.34,0.35,505600,0.0,0.0
1980-07-02,0.0,0.35,0.34,0.35,86400,0.0,0.0
1980-07-03,0.0,0.34,0.34,0.34,454400,0.0,0.0
1980-07-07,0.0,0.35,0.34,0.35,144000,0.0,0.0
1980-07-08,0.0,0.35,0.35,0.35,678400,0.0,0.0
1980-07-09,0.0,0.38,0.35,0.38,691200,0.0,0.0
1980-07-10,0.0,0.38,0.38,0.38,1046400,0.0,0.0
1980-07-11,0.0,0.38,0.37,0.37,1065600,0.0,0.0
1980-07-14,0.0,0.39,0.37,0.39,809600,0.0,0.0
1980-07-15,0.0,0.4,0.38,0.38,406400,0.0,0.0
1980-07-16,0.0,0.39,0.38,0.39,166400,0.0,0.0
1980-07-17,0.0,0.4,0.39,0.4,1129600,0.0,0.0
1980-07-18,0.0,0.41,0.4,0.41,540800,0.0,0.0
1980-07-21,0.0,0.43,0.41,0.43,352000,0.0,0.0
1980-07-22,0.0,0.45,0.44,0.44,1638400,0.0,0.0
1980-07-23,0.0,0.45,0.44,0.45,233600,0.0,0.0
1980-07-24,0.0,0.45,0.44,0.44,764800,0.0,0.0
1980-07-25,0.0,0.45,0.44,0.44,1120000,0.0,0.0
1980-07-28,0.0,0.45,0.44,0.45,268800,0.0,0.0
1980-07-29,0.0,0.45,0.44,0.44,409600,0.0,0.0
1980-07-30,0.0,0.44,0.44,0.44,604800,0.0,0.0
1980-07-31,0.0,0.44,0.44,0.44,195200,0.0,0.0
1980-08-01,0.0,0.45,0.45,0.45,256000,0.0,0.0
1980-08-04,0.0,0.45,0.44,0.44,233600,0.0,0.0
1980-08-05,0.0,0.45,0.44,0.44,160000,0.0,0.0
