Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1966-07-05,0.0,0.12,0.12,0.12,388800,0.0,0.0
1966-07-06,0.0,0.13,0.12,0.13,692550,0.0,0.0
1966-07-07,0.0,0.13,0.12,0.12,1858950,0.0,0.0
1966-07-08,0.0,0.12,0.12,0.12,1239300,0.0,0.0
1966-07-11,0.0,0.13,0.12,0.12,656100,0.0,0.0
1966-07-12,0.0,0.12,0.12,0.12,303750,0.0,0.0
1966-07-13,0.0,0.12,0.12,0.12,291600,0.0,0.0
1966-07-14,0.0,0.12,0.12,0.12,328050,0.0,0.0
1966-07-15,0.0,0.12,0.12,0.12,376650,0.0,0.0
1966-07-18,0.0,0.12,0.12,0.12,607500,0.0,0.0
1966-07-19,0.0,0.12,0.12,0.12,413100,0.0,0.0
1966-07-20,0.0,0.12,0.11,0.12,230850,0.0,0.0
1966-07-21,0.0,0.12,0.11,0.11,230850,0.0,0.0
1966-07-22,0.0,0.11,0.11,0.11,303750,0.0,0.0
1966-07-25,0.0,0.11,0.11,0.11,510300,0.0,0.0
1966-07-26,0.0,0.11,0.11,0.11,328050,0.0,0.0
1966-07-27,0.0,0.11,0.11,0.11,157950,0.0,0.0
1966-07-28,0.0,0.11,0.11,0.11,97200,0.0,0.0
1966-07-29,0.0,0.11,0.11,0.11,157950,0.0,0.0
1966-08-01,0.0,0.11,0.11,0.11,182250,0.0,0.0
1966-08-02,0.0,0.11,0.11,0.11,85050,0.0,0.0
1966-08-03,0.0,0.11,0.1,0.1,267300,0.0,0.0
1966-08-04,0.0,0.11,0.11,0.11,60750,0.0,0.0
1966-08-05,0.0,0.11,0.11,0.11,157950,0.0,0.0
1966-08-08,0.0,0.11,0.11,0.11,48600,0.0,0.0
1966-08-09,0.0,0.11,0.11,0.11,133650,0.0,0.0
1966-08-10,0.0,0.11,0.11,0.11,170100,0.0,0.0
1966-08-11,0.0,0.11,0.11,0.11,133650,0.0,0.0
1966-08-12,0.0,0.11,0.11,0.11,206550,0.0,0.0
1966-08-15,0.0,0.11,0.11,0.11,741150,0.0,0.0
1966-08-16,0.0,0.11,0.11,0.11,668250,0.0,0.0
1966-08-17,0.0,0.11,0.1,0.1,473850,0.0,0.0
1966-08-18,0.0,0.1,0.1,0.1,109350,0.0,0.0
1966-08-19,0.0,0.1,0.09,0.09,315900,0.0,0.0
1966-08-22,0.0,0.1,0.09,0.09,680400,0.0,0.0
1966-08-23,0.0,0.09,0.09,0.09,291600,0.0,0.0
1966-08-24,0.0,0.09,0.09,0.09,243000,0.0,0.0
1966-08-25,0.0,0.09,0.09,0.09,279450,0.0,0.0
1966-08-26,0.0,0.09,0.09,0.09,413100,0.0,0.0
1966-08-29,0.0,0.09,0.08,0.08,400950,0.0,0.0
1966-08-30,0.0,0.09,0.08,0.08,789750,0.0,0.0
1966-08-31,0.0,0.09,0.08,0.09,595350,0.0,0.0
1966-09-01,0.0,0.09,0.09,0.09,303750,0.0,0.0
1966-09-02,0.0,0.09,0.09,0.09,133650,0.0,0.0
1966-09-06,0.0,0.09,0.09,0.09,157950,0.0,0.0
1966-09-07,0.0,0.09,0.08,0.08,243000,0.0,0.0
1966-09-08,0.0,0.08,0.08,0.08,376650,0.0,0.0
1966-09-09,0.0,0.08,0.08,0.08,206550,0.0,0.0
1966-09-12,0.0,0.09,0.08,0.09,413100,0.0,0.0
1966-09-13,0.0,0.09,0.09,0.09,267300,0.0,0.0
1966-09-14,0.0,0.09,0.09,0.09,243000,0.0,0.0
1966-09-15,0.0,0.09,0.09,0.09,145800,0.0,0.0
1966-09-16,0.0,0.09,0.08,0.09,145800,0.0,0.0
1966-09-19,0.0,0.09,0.09,0.09,255150,0.0,0.0
1966-09-20,0.0,0.09,0.09,0.09,72900,0.0,0.0
1966-09-21,0.0,0.08,0.08,0.08,182250,0.0,0.0
1966-09-22,0.0,0.08,0.08,0.08,121500,0.0,0.0
1966-09-23,0.0,0.08,0.08,0.08,230850,0.0,0.0
1966-09-26,0.0,0.08,0.08,0.08,157950,0.0,0.0
1966-09-27,0.0,0.08,0.08,0.08,230850,0.0,0.0
1966-09-28,0.0,0.08,0.08,0.08,206550,0.0,0.0
1966-09-29,0.0,0.08,0.08,0.08,109350,0.0,0.0
1966-09-30,0.0,0.08,0.08,0.08,182250,0.0,0.0
1966-10-03,0.0,0.08,0.07,0.07,546750,0.0,0.0
1966-10-04,0.0,0.07,0.07,0.07,522450,0.0,0.0
1966-10-05,0.0,0.07,0.07,0.07,194400,0.0,0.0
1966-10-06,0.0,0.07,0.07,0.07,425250,0.0,0.0
1966-10-07,0.0,0.07,0.07,0.07,352350,0.0,0.0
1966-10-10,0.0,0.07,0.07,0.07,789750,0.0,0.0
1966-10-11,0.0,0.08,0.07,0.08,571050,0.0,0.0
1966-10-12,0.0,0.08,0.08,0.08,230850,0.0,0.0
1966-10-13,0.0,0.08,0.08,0.08,315900,0.0,0.0
1966-10-14,0.0,0.08,0.08,0.08,157950,0.0,0.0
1966-10-17,0.0,0.08,0.08,0.08,121500,0.0,0.0
1966-10-18,0.0,0.08,0.08,0.08,315900,0.0,0.0
1966-10-19,0.0,0.08,0.08,0.08,376650,0.0,0.0
1966-10-20,0.0,0.08,0.08,0.08,303750,0.0,0.0
1966-10-21,0.0,0.08,0.08,0.08,157950,0.0,0.0
1966-10-24,0.0,0.08,0.08,0.08,206550,0.0,0.0
1966-10-25,0.0,0.08,0.08,0.08,315900,0.0,0.0
1966-10-26,0.0,0.08,0.08,0.08,352350,0.0,0.0
1966-10-27,0.0,0.08,0.08,0.08,218700,0.0,0.0
1966-10-28,0.0,0.08,0.07,0.07,558900,0.0,0.0
1966-10-31,0.0,0.08,0.07,0.07,425250,0.0,0.0
1966-11-01,0.0,0.08,0.07,0.07,388800,0.0,0.0
1966-11-02,0.0,0.08,0.07,0.07,243000,0.0,0.0
1966-11-03,0.0,0.07,0.07,0.07,388800,0.0,0.0
1966-11-04,0.0,0.07,0.07,0.07,218700,0.0,0.0
1966-11-07,0.0,0.07,0.07,0.07,243000,0.0,0.0
1966-11-09,0.0,0.08,0.07,0.07,449550,0.0,0.0
1966-11-10,0.0,0.08,0.07,0.07,279450,0.0,0.0
1966-11-11,0.0,0.08,0.07,0.07,461700,0.0,0.0
1966-11-14,0.0,0.08,0.07,0.08,291600,0.0,0.0
1966-11-15,0.0,0.08,0.08,0.08,789750,0.0,0.0
1966-11-16,0.0,0.09,0.08,0.09,656100,0.0,0.0
1966-11-17,0.0,0.09,0.09,0.09,425250,0.0,0.0
1966-11-18,0.0,0.09,0.08,0.08,1069200,0.0,0.0
1966-11-21,0.0,0.08,0.08,0.08,789750,0.0,0.0
1966-11-22,0.0,0.08,0.08,0.08,218700,0.0,0.0
1966-11-23,0.0,0.08,0.08,0.08,619650,0.0,0.0
1966-11-25,0.0,0.08,0.08,0.08,522450,0.0,0.0
1966-11-28,0.0,0.08,0.08,0.08,413100,0.0,0.0
1966-11-29,0.0,0.08,0.07,0.07,704700,0.0,0.0
1966-11-30,0.0,0.08,0.08,0.08,595350,0.0,0.0
1966-12-01,0.0,0.08,0.08,0.08,874800,0.0,0.0
1966-12-02,0.0,0.08,0.08,0.08,413100,0.0,0.0
1966-12-05,0.0,0.08,0.08,0.08,716850,0.0,0.0
1966-12-06,0.0,0.08,0.08,0.08,279450,0.0,0.0
1966-12-07,0.0,0.09,0.08,0.09,741150,0.0,0.0
1966-12-08,0.0,0.09,0.09,0.09,449550,0.0,0.0
1966-12-09,0.0,0.09,0.09,0.09,230850,0.0,0.0
1966-12-12,0.0,0.1,0.09,0.1,1773900,0.0,0.0
1966-12-13,0.0,0.1,0.1,0.1,534600,0.0,0.0
1966-12-14,0.0,0.11,0.1,0.1,1567350,0.0,0.0
1966-12-15,0.0,0.11,0.1,0.1,814050,0.0,0.0
1966-12-16,0.0,0.11,0.1,0.11,534600,0.0,0.0
