Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-05-02,0.0,0.2,0.2,0.2,947200,0.0,0.0
1973-05-03,0.0,0.2,0.2,0.2,1497600,0.0,0.0
1973-05-04,0.0,0.22,0.21,0.21,2316800,0.0,0.0
1973-05-07,0.0,0.21,0.21,0.21,793600,0.0,0.0
1973-05-08,0.0,0.22,0.21,0.21,1331200,0.0,0.0
1973-05-09,0.0,0.21,0.21,0.21,1049600,0.0,0.0
1973-05-10,0.0,0.21,0.21,0.21,1292800,0.0,0.0
1973-05-11,0.0,0.2,0.2,0.2,1100800,0.0,0.0
1973-05-14,0.0,0.19,0.18,0.18,2355200,0.0,0.0
1973-05-15,0.0,0.2,0.19,0.19,1395200,0.0,0.0
1973-05-16,0.0,0.21,0.2,0.2,1344000,0.0,0.0
1973-05-17,0.0,0.2,0.2,0.2,2726400,0.0,0.0
1973-05-18,0.0,0.19,0.19,0.19,1459200,0.0,0.0
1973-05-21,0.0,0.19,0.18,0.18,1766400,0.0,0.0
1973-05-22,0.0,0.19,0.19,0.19,1702400,0.0,0.0
1973-05-23,0.0,0.19,0.19,0.19,1472000,0.0,0.0
1973-05-24,0.0,0.2,0.2,0.2,1216000,0.0,0.0
1973-05-25,0.0,0.21,0.21,0.21,2009600,0.0,0.0
1973-05-29,0.0,0.21,0.21,0.21,844800,0.0,0.0
1973-05-30,0.0,0.2,0.2,0.2,1766400,0.0,0.0
1973-05-31,0.0,0.2,0.2,0.2,1331200,0.0,0.0
1973-06-01,0.0,0.2,0.2,0.2,1024000,0.0,0.0
1973-06-04,0.0,0.19,0.18,0.18,1676800,0.0,0.0
1973-06-05,0.0,0.2,0.2,0.2,2265600,0.0,0.0
1973-06-06,0.0,0.2,0.2,0.2,3340800,0.0,0.0
1973-06-07,0.0,0.21,0.2,0.2,1254400,0.0,0.0
1973-06-08,0.0,0.21,0.21,0.21,1497600,0.0,0.0
1973-06-11,0.0,0.21,0.2,0.2,729600,0.0,0.0
1973-06-12,0.0,0.22,0.21,0.21,793600,0.0,0.0
1973-06-13,0.0,0.22,0.21,0.21,755200,0.0,0.0
1973-06-14,0.0,0.22,0.22,0.22,1280000,0.0,0.0
1973-06-15,0.0,0.22,0.22,0.22,3020800,0.0,0.0
1973-06-18,0.0,0.22,0.21,0.21,896000,0.0,0.0
1973-06-19,0.0,0.21,0.21,0.21,2534400,0.0,0.0
1973-06-20,0.0,0.21,0.2,0.2,819200,0.0,0.0
1973-06-21,0.0,0.2,0.2,0.2,1536000,0.0,0.0
1973-06-22,0.0,0.21,0.2,0.2,1612800,0.0,0.0
1973-06-25,0.0,0.2,0.2,0.2,627200,0.0,0.0
1973-06-26,0.0,0.21,0.2,0.2,1702400,0.0,0.0
1973-06-27,0.0,0.21,0.21,0.21,294400,0.0,0.0
1973-06-28,0.0,0.21,0.21,0.21,204800,0.0,0.0
1973-06-29,0.0,0.21,0.21,0.21,832000,0.0,0.0
1973-07-02,0.0,0.19,0.19,0.19,1792000,0.0,0.0
1973-07-03,0.0,0.2,0.2,0.2,1408000,0.0,0.0
1973-07-05,0.0,0.21,0.2,0.2,1241600,0.0,0.0
1973-07-06,0.0,0.21,0.2,0.2,742400,0.0,0.0
1973-07-09,0.0,0.21,0.21,0.21,1523200,0.0,0.0
1973-07-10,0.0,0.22,0.21,0.21,2112000,0.0,0.0
1973-07-11,0.0,0.22,0.21,0.21,1395200,0.0,0.0
1973-07-12,0.0,0.22,0.21,0.21,320000,0.0,0.0
1973-07-13,0.0,0.22,0.21,0.21,716800,0.0,0.0
1973-07-16,0.0,0.22,0.21,0.21,652800,0.0,0.0
1973-07-17,0.0,0.22,0.21,0.21,844800,0.0,0.0
1973-07-18,0.0,0.22,0.22,0.22,1152000,0.0,0.0
1973-07-19,0.0,0.22,0.22,0.22,716800,0.0,0.0
1973-07-20,0.0,0.22,0.22,0.22,550400,0.0,0.0
1973-07-23,0.0,0.22,0.21,0.21,2508800,0.0,0.0
1973-07-24,0.0,0.22,0.21,0.21,1305600,0.0,0.0
1973-07-25,0.0,0.22,0.22,0.22,1395200,0.0,0.0
1973-07-26,0.0,0.22,0.22,0.22,409600,0.0,0.0
1973-07-27,0.0,0.24,0.24,0.24,972800,0.0,0.0
1973-07-30,0.0,0.25,0.24,0.24,1024000,0.0,0.0
1973-07-31,0.0,0.24,0.23,0.23,908800,0.0,0.0
1973-08-01,0.0,0.24,0.23,0.23,857600,0.0,0.0
1973-08-02,0.0,0.24,0.24,0.24,691200,0.0,0.0
1973-08-03,0.0,0.25,0.24,0.24,729600,0.0,0.0
1973-08-06,0.0,0.25,0.25,0.25,716800,0.0,0.0
1973-08-07,0.0,0.25,0.25,0.25,1945600,0.0,0.0
1973-08-08,0.0,0.24,0.23,0.23,1574400,0.0,0.0
1973-08-09,0.0,0.22,0.22,0.22,1548800,0.0,0.0
1973-08-10,0.0,0.22,0.21,0.21,3084800,0.0,0.0
1973-08-13,0.0,0.21,0.21,0.21,2457600,0.0,0.0
1973-08-14,0.0,0.21,0.21,0.21,1177600,0.0,0.0
1973-08-15,0.0,0.22,0.21,0.21,2022400,0.0,0.0
1973-08-16,0.0,0.22,0.21,0.21,1113600,0.0,0.0
1973-08-17,0.0,0.22,0.22,0.22,153600,0.0,0.0
1973-08-20,0.0,0.22,0.22,0.22,486400,0.0,0.0
1973-08-21,0.0,0.22,0.22,0.22,832000,0.0,0.0
1973-08-22,0.0,0.23,0.23,0.23,1971200,0.0,0.0
1973-08-23,0.0,0.24,0.23,0.23,1561600,0.0,0.0
1973-08-24,0.0,0.24,0.23,0.23,1152000,0.0,0.0
1973-08-27,0.0,0.24,0.23,0.23,332800,0.0,0.0
1973-08-28,0.0,0.25,0.25,0.25,1971200,0.0,0.0
1973-08-29,0.0,0.25,0.25,0.25,1190400,0.0,0.0
