Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.41,0.41,0.41,0.41,236800,0.0,0.0
1973-02-22,0.41,0.41,0.41,0.41,70400,0.0,0.0
1973-02-23,0.42,0.42,0.42,0.42,70400,0.0,0.0
1973-02-26,0.41,0.41,0.41,0.41,179200,0.0,0.0
1973-02-27,0.41,0.41,0.41,0.41,25600,0.0,0.0
1973-02-28,0.4,0.4,0.4,0.4,166400,0.0,0.0
1973-03-01,0.38,0.38,0.38,0.38,358400,0.0,0.0
1973-03-02,0.37,0.37,0.37,0.37,288000,0.0,0.0
1973-03-05,0.37,0.37,0.37,0.37,70400,0.0,0.0
1973-03-06,0.38,0.38,0.38,0.38,377600,0.0,0.0
1973-03-07,0.39,0.39,0.39,0.39,70400,0.0,0.0
1973-03-08,0.39,0.39,0.39,0.39,256000,0.0,0.0
1973-03-09,0.38,0.38,0.38,0.38,140800,0.0,0.0
1973-03-12,0.37,0.37,0.37,0.37,89600,0.0,0.0
1973-03-13,0.37,0.37,0.37,0.37,288000,0.0,0.0
1973-03-14,0.35,0.35,0.35,0.35,281600,0.0,0.0
1973-03-15,0.34,0.34,0.34,0.34,262400,0.0,0.0
1973-03-16,0.31,0.31,0.31,0.31,172800,0.0,0.0
1973-03-19,0.32,0.32,0.32,0.32,224000,0.0,0.0
1973-03-20,0.33,0.33,0.33,0.33,204800,0.0,0.0
1973-03-21,0.34,0.34,0.34,0.34,230400,0.0,0.0
1973-03-22,0.35,0.35,0.35,0.35,198400,0.0,0.0
1973-03-23,0.37,0.37,0.37,0.37,313600,0.0,0.0
1973-03-26,0.37,0.37,0.37,0.37,217600,0.0,0.0
1973-03-27,0.37,0.37,0.37,0.37,51200,0.0,0.0
1973-03-28,0.37,0.37,0.37,0.37,44800,0.0,0.0
1973-03-29,0.38,0.38,0.38,0.38,236800,0.0,0.0
1973-03-30,0.38,0.38,0.38,0.38,83200,0.0,0.0
1973-04-02,0.38,0.38,0.38,0.38,12800,0.0,0.0
1973-04-03,0.38,0.38,0.38,0.38,83200,0.0,0.0
1973-04-04,0.38,0.38,0.38,0.38,153600,0.0,0.0
1973-04-05,0.37,0.37,0.37,0.37,89600,0.0,0.0
1973-04-06,0.37,0.37,0.37,0.37,115200,0.0,0.0
1973-04-09,0.37,0.37,0.37,0.37,64000,0.0,0.0
1973-04-10,0.37,0.37,0.37,0.37,230400,0.0,0.0
1973-04-11,0.37,0.37,0.37,0.37,102400,0.0,0.0
1973-04-12,0.37,0.37,0.37,0.37,537600,0.0,0.0
1973-04-13,0.37,0.37,0.37,0.37,38400,0.0,0.0
1973-04-16,0.37,0.37,0.37,0.37,44800,0.0,0.0
1973-04-17,0.37,0.37,0.37,0.37,230400,0.0,0.0
1973-04-18,0.37,0.37,0.37,0.37,115200,0.0,0.0
1973-04-19,0.37,0.37,0.37,0.37,134400,0.0,0.0
1973-04-23,0.37,0.37,0.37,0.37,326400,0.0,0.0
1973-04-24,0.36,0.36,0.36,0.36,281600,0.0,0.0
1973-04-25,0.35,0.35,0.35,0.35,179200,0.0,0.0
1973-04-26,0.35,0.35,0.35,0.35,51200,0.0,0.0
1973-04-27,0.35,0.35,0.35,0.35,57600,0.0,0.0
1973-04-30,0.35,0.35,0.35,0.35,121600,0.0,0.0
1973-05-01,0.35,0.35,0.35,0.35,128000,0.0,0.0
1973-05-02,0.34,0.34,0.34,0.34,96000,0.0,0.0
1973-05-03,0.0,0.34,0.32,0.32,230400,0.0,0.0
1973-05-04,0.0,0.34,0.32,0.32,243200,0.0,0.0
1973-05-07,0.0,0.34,0.32,0.32,76800,0.0,0.0
1973-05-08,0.0,0.34,0.33,0.33,108800,0.0,0.0
1973-05-09,0.0,0.35,0.33,0.33,160000,0.0,0.0
1973-05-10,0.0,0.35,0.33,0.33,160000,0.0,0.0
1973-05-11,0.0,0.35,0.33,0.33,38400,0.0,0.0
1973-05-14,0.0,0.34,0.33,0.33,160000,0.0,0.0
1973-05-15,0.0,0.34,0.32,0.32,121600,0.0,0.0
1973-05-16,0.0,0.34,0.32,0.32,179200,0.0,0.0
1973-05-17,0.0,0.34,0.32,0.32,44800,0.0,0.0
1973-05-18,0.0,0.33,0.31,0.31,300800,0.0,0.0
1973-05-21,0.0,0.31,0.29,0.29,294400,0.0,0.0
1973-05-22,0.0,0.31,0.3,0.3,134400,0.0,0.0
1973-05-23,0.0,0.32,0.3,0.3,64000,0.0,0.0
1973-05-24,0.0,0.32,0.31,0.31,204800,0.0,0.0
1973-05-25,0.0,0.33,0.31,0.31,902400,0.0,0.0
1973-05-29,0.0,0.33,0.31,0.31,70400,0.0,0.0
1973-05-30,0.0,0.33,0.31,0.31,102400,0.0,0.0
1973-05-31,0.0,0.33,0.32,0.32,51200,0.0,0.0
1973-06-01,0.0,0.33,0.32,0.32,89600,0.0,0.0
1973-06-04,0.0,0.33,0.32,0.32,236800,0.0,0.0
1973-06-05,0.0,0.33,0.32,0.32,70400,0.0,0.0
1973-06-06,0.0,0.33,0.31,0.31,89600,0.0,0.0
1973-06-07,0.0,0.33,0.32,0.32,179200,0.0,0.0
1973-06-08,0.0,0.34,0.32,0.32,185600,0.0,0.0
1973-06-11,0.0,0.33,0.32,0.32,115200,0.0,0.0
1973-06-12,0.0,0.32,0.31,0.31,313600,0.0,0.0
1973-06-13,0.0,0.32,0.31,0.31,57600,0.0,0.0
1973-06-14,0.0,0.31,0.3,0.3,108800,0.0,0.0
1973-06-15,0.0,0.31,0.3,0.3,147200,0.0,0.0
1973-06-18,0.0,0.3,0.29,0.29,153600,0.0,0.0
1973-06-19,0.0,0.29,0.28,0.28,185600,0.0,0.0
1973-06-20,0.0,0.28,0.27,0.27,211200,0.0,0.0
1973-06-21,0.0,0.29,0.28,0.28,172800,0.0,0.0
1973-06-22,0.0,0.3,0.29,0.29,96000,0.0,0.0
1973-06-25,0.0,0.3,0.29,0.29,38400,0.0,0.0
1973-06-26,0.0,0.3,0.29,0.29,179200,0.0,0.0
1973-06-27,0.0,0.31,0.29,0.29,185600,0.0,0.0
1973-06-28,0.0,0.3,0.29,0.29,128000,0.0,0.0
1973-06-29,0.0,0.3,0.29,0.29,76800,0.0,0.0
1973-07-02,0.0,0.3,0.29,0.29,12800,0.0,0.0
1973-07-03,0.0,0.3,0.29,0.29,64000,0.0,0.0
1973-07-05,0.0,0.3,0.29,0.29,384000,0.0,0.0
1973-07-06,0.0,0.3,0.29,0.29,76800,0.0,0.0
