Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.0,0.39,0.38,0.38,92800,0.02,0.0
1973-02-22,0.0,0.39,0.38,0.39,35200,0.0,0.0
1973-02-23,0.0,0.4,0.39,0.4,92800,0.0,0.0
1973-02-26,0.0,0.41,0.39,0.39,284800,0.0,0.0
1973-02-27,0.0,0.4,0.39,0.4,280000,0.0,0.0
1973-02-28,0.0,0.4,0.4,0.4,113600,0.0,0.0
1973-03-01,0.0,0.41,0.4,0.41,144000,0.0,0.0
1973-03-02,0.0,0.41,0.4,0.41,124800,0.0,0.0
1973-03-05,0.0,0.41,0.41,0.41,129600,0.0,0.0
1973-03-06,0.0,0.41,0.41,0.41,132800,0.0,0.0
1973-03-07,0.0,0.42,0.41,0.41,169600,0.0,0.0
1973-03-08,0.0,0.41,0.41,0.41,92800,0.0,0.0
1973-03-09,0.0,0.41,0.41,0.41,211200,0.0,0.0
1973-03-12,0.0,0.41,0.41,0.41,89600,0.0,0.0
1973-03-13,0.0,0.42,0.41,0.42,176000,0.0,0.0
1973-03-14,0.0,0.42,0.41,0.41,176000,0.0,0.0
1973-03-15,0.0,0.42,0.41,0.41,115200,0.0,0.0
1973-03-16,0.0,0.41,0.39,0.39,438400,0.0,0.0
1973-03-19,0.0,0.39,0.38,0.39,312000,0.0,0.0
1973-03-20,0.0,0.39,0.38,0.39,870400,0.0,0.0
1973-03-21,0.0,0.39,0.38,0.38,270400,0.0,0.0
1973-03-22,0.0,0.38,0.38,0.38,158400,0.0,0.0
1973-03-23,0.0,0.38,0.37,0.38,761600,0.0,0.0
1973-03-26,0.0,0.37,0.36,0.36,257600,0.0,0.0
1973-03-27,0.0,0.37,0.36,0.37,273600,0.0,0.0
1973-03-28,0.0,0.38,0.37,0.37,473600,0.0,0.0
1973-03-29,0.0,0.37,0.36,0.36,108800,0.0,0.0
1973-03-30,0.0,0.36,0.36,0.36,75200,0.0,0.0
1973-04-02,0.0,0.36,0.35,0.36,166400,0.0,0.0
1973-04-03,0.0,0.36,0.35,0.35,126400,0.0,0.0
