Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.4,0.37,0.37,768000,0.0,0.0
1980-03-18,0.0,0.38,0.37,0.38,595200,0.0,0.0
1980-03-19,0.0,0.4,0.38,0.39,796800,0.0,0.0
1980-03-20,0.0,0.39,0.38,0.39,201600,0.0,0.0
1980-03-21,0.0,0.39,0.38,0.38,206400,0.0,0.0
1980-03-24,0.0,0.38,0.36,0.36,240000,0.0,0.0
1980-03-25,0.0,0.36,0.33,0.34,830400,0.0,0.0
1980-03-26,0.0,0.35,0.34,0.34,240000,0.0,0.0
1980-03-27,0.0,0.34,0.29,0.31,1684800,0.0,0.0
1980-03-28,0.0,0.35,0.33,0.35,1056000,0.0,0.0
1980-03-31,0.0,0.37,0.36,0.36,676800,0.0,0.0
1980-04-01,0.0,0.38,0.37,0.38,403200,0.0,0.0
1980-04-02,0.0,0.38,0.38,0.38,643200,0.0,0.0
1980-04-03,0.0,0.39,0.38,0.39,1934400,0.0,0.0
1980-04-07,0.0,0.39,0.38,0.38,643200,0.0,0.0
1980-04-08,0.0,0.37,0.36,0.36,432000,0.0,0.0
1980-04-09,0.0,0.37,0.36,0.36,331200,0.0,0.0
1980-04-10,0.0,0.37,0.36,0.36,652800,0.0,0.0
1980-04-11,0.0,0.37,0.36,0.37,369600,0.0,0.0
1980-04-14,0.0,0.37,0.36,0.36,451200,0.0,0.0
1980-04-15,0.0,0.36,0.36,0.36,52800,0.0,0.0
1980-04-16,0.0,0.36,0.36,0.36,384000,0.0,0.0
1980-04-17,0.0,0.35,0.35,0.35,403200,0.0,0.0
1980-04-18,0.0,0.35,0.35,0.35,110400,0.0,0.0
1980-04-21,0.0,0.35,0.33,0.33,758400,0.0,0.0
1980-04-22,0.0,0.34,0.33,0.34,1036800,0.0,0.0
1980-04-23,0.0,0.36,0.35,0.36,561600,0.0,0.0
1980-04-24,0.0,0.36,0.36,0.36,321600,0.0,0.0
1980-04-25,0.0,0.37,0.36,0.37,230400,0.0,0.0
1980-04-28,0.0,0.39,0.37,0.38,619200,0.0,0.0
1980-04-29,0.0,0.39,0.38,0.38,398400,0.0,0.0
1980-04-30,0.0,0.4,0.39,0.4,648000,0.0,0.0
1980-05-01,0.0,0.41,0.39,0.39,388800,0.0,0.0
1980-05-02,0.0,0.39,0.38,0.38,235200,0.0,0.0
1980-05-05,0.0,0.4,0.39,0.4,705600,0.0,0.0
1980-05-06,0.0,0.42,0.4,0.41,508800,0.0,0.0
1980-05-07,0.0,0.43,0.41,0.43,912000,0.0,0.0
1980-05-08,0.0,0.44,0.43,0.43,715200,0.0,0.0
1980-05-09,0.0,0.43,0.42,0.42,945600,0.0,0.0
1980-05-12,0.0,0.42,0.41,0.41,1358400,0.0,0.0
1980-05-13,0.0,0.43,0.42,0.43,446400,0.0,0.0
1980-05-14,0.0,0.45,0.44,0.44,696000,0.0,0.0
1980-05-15,0.0,0.47,0.44,0.46,1180800,0.0,0.0
1980-05-16,0.0,0.46,0.45,0.45,499200,0.0,0.0
1980-05-19,0.0,0.46,0.46,0.46,571200,0.0,0.0
1980-05-20,0.0,0.46,0.44,0.44,1632000,0.0,0.0
1980-05-21,0.0,0.44,0.43,0.44,609600,0.0,0.0
1980-05-22,0.0,0.45,0.43,0.44,566400,0.0,0.0
1980-05-23,0.0,0.46,0.44,0.46,513600,0.0,0.0
1980-05-27,0.0,0.46,0.45,0.45,408000,0.0,0.0
1980-05-28,0.0,0.45,0.45,0.45,571200,0.0,0.0
1980-05-29,0.0,0.46,0.45,0.45,345600,0.0,0.0
1980-05-30,0.0,0.45,0.44,0.44,840000,0.0,0.0
1980-06-02,0.0,0.45,0.44,0.45,211200,0.0,0.0
1980-06-03,0.0,0.45,0.44,0.45,422400,0.0,0.0
1980-06-04,0.0,0.45,0.45,0.45,643200,0.0,0.0
1980-06-05,0.0,0.46,0.45,0.46,307200,0.0,0.0
1980-06-06,0.0,0.45,0.45,0.45,2376000,0.0,0.0
1980-06-09,0.0,0.46,0.45,0.46,388800,0.0,0.0
1980-06-10,0.0,0.46,0.46,0.46,576000,0.0,0.0
1980-06-11,0.0,0.46,0.46,0.46,240000,0.0,0.0
1980-06-12,0.0,0.46,0.46,0.46,364800,0.0,0.0
1980-06-13,0.0,0.46,0.46,0.46,379200,0.0,0.0
1980-06-16,0.0,0.45,0.45,0.45,432000,0.0,0.0
1980-06-17,0.0,0.46,0.45,0.45,691200,0.0,0.0
1980-06-18,0.0,0.45,0.44,0.45,508800,0.0,0.0
1980-06-19,0.0,0.45,0.45,0.45,379200,0.0,0.0
1980-06-20,0.0,0.45,0.44,0.44,321600,0.0,0.0
1980-06-23,0.0,0.46,0.45,0.46,648000,0.0,0.0
1980-06-24,0.0,0.47,0.46,0.47,432000,0.0,0.0
1980-06-25,0.0,0.49,0.48,0.48,691200,0.0,0.0
1980-06-26,0.0,0.48,0.48,0.48,604800,0.0,0.0
1980-06-27,0.0,0.47,0.47,0.47,235200,0.0,0.0
1980-06-30,0.0,0.47,0.46,0.46,465600,0.0,0.0
1980-07-01,0.0,0.47,0.46,0.47,206400,0.0,0.0
1980-07-02,0.0,0.47,0.46,0.47,120000,0.0,0.0
1980-07-03,0.0,0.48,0.47,0.47,206400,0.0,0.0
1980-07-07,0.0,0.49,0.48,0.49,412800,0.0,0.0
1980-07-08,0.0,0.5,0.49,0.5,1070400,0.0,0.0
1980-07-09,0.0,0.51,0.5,0.51,513600,0.0,0.0
1980-07-10,0.0,0.52,0.51,0.51,604800,0.0,0.0
1980-07-11,0.0,0.54,0.52,0.54,470400,0.0,0.0
1980-07-14,0.0,0.57,0.54,0.56,624000,0.0,0.0
1980-07-15,0.0,0.58,0.55,0.55,1022400,0.0,0.0
1980-07-16,0.0,0.56,0.55,0.56,604800,0.0,0.0
1980-07-17,0.0,0.56,0.55,0.55,364800,0.0,0.0
1980-07-18,0.0,0.58,0.56,0.57,715200,0.0,0.0
1980-07-21,0.0,0.57,0.57,0.57,206400,0.0,0.0
1980-07-22,0.0,0.58,0.57,0.58,830400,0.0,0.0
1980-07-23,0.0,0.58,0.57,0.57,360000,0.0,0.0
1980-07-24,0.0,0.57,0.57,0.57,148800,0.0,0.0
1980-07-25,0.0,0.57,0.56,0.56,446400,0.0,0.0
1980-07-28,0.0,0.56,0.56,0.56,436800,0.0,0.0
1980-07-29,0.0,0.57,0.56,0.57,768000,0.0,0.0
1980-07-30,0.0,0.58,0.56,0.58,724800,0.0,0.0
1980-07-31,0.0,0.58,0.57,0.58,292800,0.0,0.0
1980-08-01,0.0,0.58,0.57,0.58,600000,0.0,0.0
1980-08-04,0.0,0.58,0.57,0.58,268800,0.0,0.0
1980-08-05,0.0,0.59,0.58,0.59,556800,0.0,0.0
1980-08-06,0.0,0.61,0.6,0.6,355200,0.0,0.0
1980-08-07,0.0,0.62,0.6,0.62,672000,0.0,0.0
1980-08-08,0.0,0.63,0.6,0.6,1003200,0.0,0.0
1980-08-11,0.0,0.61,0.6,0.61,364800,0.0,0.0
1980-08-12,0.0,0.62,0.6,0.61,336000,0.0,0.0
1980-08-13,0.0,0.62,0.61,0.61,139200,0.0,0.0
1980-08-14,0.0,0.62,0.61,0.61,278400,0.0,0.0
1980-08-15,0.0,0.61,0.61,0.61,134400,0.0,0.0
1980-08-18,0.0,0.61,0.6,0.6,259200,0.0,0.0
1980-08-19,0.0,0.6,0.59,0.59,508800,0.0,0.0
1980-08-20,0.0,0.59,0.56,0.57,1041600,0.0,0.0
1980-08-21,0.0,0.58,0.57,0.58,393600,0.0,0.0
1980-08-22,0.0,0.6,0.59,0.6,1507200,0.0,0.0
1980-08-25,0.0,0.6,0.59,0.59,369600,0.0,0.0
1980-08-26,0.0,0.59,0.58,0.58,710400,0.0,0.0
1980-08-27,0.0,0.58,0.55,0.56,720000,0.0,0.0
1980-08-28,0.0,0.56,0.54,0.54,931200,0.0,0.0
1980-08-29,0.0,0.55,0.53,0.54,585600,0.0,0.0
1980-09-02,0.0,0.56,0.54,0.56,312000,0.0,0.0
1980-09-03,0.0,0.6,0.57,0.59,580800,0.0,0.0
1980-09-04,0.0,0.61,0.59,0.59,979200,0.0,0.0
1980-09-05,0.0,0.6,0.59,0.59,547200,0.0,0.0
1980-09-08,0.0,0.59,0.57,0.57,470400,0.0,0.0
1980-09-09,0.0,0.57,0.56,0.57,115200,0.0,0.0
1980-09-10,0.0,0.58,0.57,0.58,350400,0.0,0.0
1980-09-11,0.0,0.59,0.58,0.59,216000,0.0,0.0
1980-09-12,0.0,0.58,0.58,0.58,1540800,0.0,0.0
1980-09-15,0.0,0.58,0.57,0.57,177600,0.0,0.0
1980-09-16,0.0,0.58,0.57,0.58,350400,0.0,0.0
1980-09-17,0.0,0.58,0.57,0.58,470400,0.0,0.0
1980-09-18,0.0,0.59,0.58,0.59,360000,0.0,0.0
1980-09-19,0.0,0.6,0.59,0.59,537600,0.0,0.0
1980-09-22,0.0,0.61,0.6,0.61,273600,0.0,0.0
1980-09-23,0.0,0.62,0.61,0.62,532800,0.0,0.0
1980-09-24,0.0,0.61,0.61,0.61,153600,0.0,0.0
1980-09-25,0.0,0.61,0.61,0.61,417600,0.0,0.0
1980-09-26,0.0,0.61,0.61,0.61,638400,0.0,0.0
1980-09-29,0.0,0.6,0.57,0.57,403200,0.0,0.0
1980-09-30,0.0,0.59,0.57,0.59,384000,0.0,0.0
1980-10-01,0.0,0.59,0.59,0.59,177600,0.0,0.0
1980-10-02,0.0,0.6,0.59,0.59,518400,0.0,0.0
1980-10-03,0.0,0.6,0.59,0.59,614400,0.0,0.0
1980-10-06,0.0,0.62,0.59,0.62,633600,0.0,0.0
1980-10-07,0.0,0.63,0.62,0.63,1108800,0.0,0.0
1980-10-08,0.0,0.63,0.62,0.62,576000,0.0,0.0
1980-10-09,0.0,0.62,0.61,0.61,552000,0.0,0.0
1980-10-10,0.0,0.61,0.6,0.6,52800,0.0,0.0
1980-10-13,0.0,0.61,0.6,0.61,172800,0.0,0.0
1980-10-14,0.0,0.62,0.61,0.62,302400,0.0,0.0
1980-10-15,0.0,0.62,0.61,0.61,57600,0.0,0.0
1980-10-16,0.0,0.62,0.59,0.59,302400,0.0,0.0
1980-10-17,0.0,0.6,0.59,0.59,499200,0.0,0.0
1980-10-20,0.0,0.59,0.59,0.59,408000,0.0,0.0
1980-10-21,0.0,0.59,0.59,0.59,470400,0.0,0.0
1980-10-22,0.0,0.59,0.58,0.59,700800,0.0,0.0
1980-10-23,0.0,0.58,0.58,0.58,576000,0.0,0.0
1980-10-24,0.0,0.58,0.58,0.58,57600,0.0,0.0
1980-10-27,0.0,0.58,0.58,0.58,206400,0.0,0.0
1980-10-28,0.0,0.58,0.57,0.58,91200,0.0,0.0
1980-10-29,0.0,0.59,0.58,0.59,388800,0.0,0.0
1980-10-30,0.0,0.6,0.59,0.59,537600,0.0,0.0
1980-10-31,0.0,0.59,0.59,0.59,144000,0.0,0.0
1980-11-03,0.0,0.59,0.59,0.59,134400,0.0,0.0
1980-11-05,0.0,0.63,0.62,0.63,1276800,0.0,0.0
1980-11-06,0.0,0.63,0.63,0.63,441600,0.0,0.0
1980-11-07,0.0,0.63,0.62,0.62,249600,0.0,0.0
1980-11-10,0.0,0.63,0.62,0.63,820800,0.0,0.0
1980-11-11,0.0,0.64,0.63,0.64,739200,0.0,0.0
1980-11-12,0.0,0.68,0.64,0.68,700800,0.0,0.0
1980-11-13,0.0,0.72,0.7,0.71,1550400,0.0,0.0
1980-11-14,0.0,0.71,0.7,0.71,264000,0.0,0.0
1980-11-17,0.0,0.71,0.69,0.69,364800,0.0,0.0
1980-11-18,0.0,0.71,0.68,0.71,835200,0.0,0.0
1980-11-19,0.0,0.73,0.7,0.7,652800,0.0,0.0
1980-11-20,0.0,0.71,0.7,0.7,182400,0.0,0.0
1980-11-21,0.0,0.7,0.68,0.69,355200,0.0,0.0
1980-11-24,0.0,0.68,0.67,0.68,288000,0.0,0.0
1980-11-25,0.0,0.69,0.68,0.69,235200,0.0,0.0
1980-11-26,0.0,0.69,0.68,0.68,235200,0.0,0.0
1980-11-28,0.0,0.67,0.67,0.67,91200,0.0,0.0
1980-12-01,0.0,0.67,0.66,0.66,230400,0.0,0.0
1980-12-02,0.0,0.66,0.65,0.65,268800,0.0,0.0
1980-12-03,0.0,0.65,0.65,0.65,292800,0.0,0.0
1980-12-04,0.0,0.65,0.65,0.65,384000,0.0,0.0
1980-12-05,0.0,0.65,0.64,0.64,187200,0.0,0.0
1980-12-08,0.0,0.63,0.61,0.61,508800,0.0,0.0
1980-12-09,0.0,0.62,0.6,0.61,436800,0.0,0.0
1980-12-10,0.0,0.63,0.61,0.63,729600,0.0,0.0
1980-12-11,0.0,0.62,0.62,0.62,969600,0.0,0.0
1980-12-12,0.0,0.62,0.62,0.62,460800,0.0,0.0
1980-12-15,0.0,0.64,0.62,0.64,667200,0.0,0.0
1980-12-16,0.0,0.64,0.64,0.64,120000,0.0,0.0
1980-12-17,0.0,0.64,0.63,0.63,100800,0.0,0.0
1980-12-18,0.0,0.64,0.64,0.64,499200,0.0,0.0
1980-12-19,0.0,0.65,0.64,0.65,139200,0.0,0.0
1980-12-22,0.0,0.65,0.65,0.65,844800,0.0,0.0
1980-12-23,0.0,0.68,0.66,0.67,542400,0.0,0.0
1980-12-24,0.0,0.68,0.67,0.68,120000,0.0,0.0
1980-12-26,0.0,0.69,0.68,0.68,129600,0.0,0.0
1980-12-29,0.0,0.69,0.68,0.68,264000,0.0,0.0
1980-12-30,0.0,0.68,0.68,0.68,192000,0.0,0.0
