Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-10-18,1.37,1.38,1.35,1.37,418166,0.0,0.0
1994-10-19,1.38,1.5,1.38,1.49,249950,0.0,0.0
1994-10-20,1.51,1.56,1.5,1.5,141590,0.0,0.0
1994-10-21,1.5,1.51,1.47,1.48,68731,0.0,0.0
1994-10-24,1.48,1.51,1.45,1.45,75749,0.0,0.0
1994-10-25,1.44,1.48,1.42,1.47,65222,0.0,0.0
1994-10-26,1.46,1.48,1.46,1.46,47678,0.07,0.0
1994-10-27,1.46,1.48,1.46,1.46,34882,0.0,0.0
1994-10-28,1.46,1.47,1.44,1.44,41280,0.0,0.0
1994-10-31,1.45,1.46,1.44,1.44,33850,0.0,0.0
1994-11-01,1.44,1.45,1.43,1.44,34056,0.0,0.0
1994-11-02,1.44,1.45,1.4,1.43,75542,0.0,0.0
1994-11-03,1.44,1.45,1.42,1.42,56554,0.0,0.0
1994-11-04,1.42,1.43,1.39,1.39,67699,0.0,0.0
1994-11-07,1.39,1.41,1.39,1.39,73478,0.0,0.0
1994-11-08,1.39,1.41,1.39,1.41,106296,0.0,0.0
1994-11-09,1.4,1.42,1.4,1.4,61920,0.0,0.0
1994-11-10,1.39,1.42,1.35,1.36,76574,0.0,0.0
1994-11-11,1.38,1.38,1.32,1.35,80909,0.0,0.0
1994-11-14,1.34,1.38,1.32,1.36,65842,0.0,0.0
1994-11-15,1.33,1.36,1.32,1.33,70382,0.0,0.0
1994-11-16,1.33,1.35,1.32,1.34,85862,0.0,0.0
1994-11-17,1.32,1.35,1.32,1.35,99485,0.0,0.0
1994-11-18,1.34,1.34,1.32,1.32,113933,0.0,0.0
1994-11-21,1.34,1.36,1.32,1.34,136843,0.0,0.0
1994-11-22,1.33,1.35,1.33,1.34,93086,0.0,0.0
1994-11-23,1.33,1.35,1.33,1.35,48504,0.0,0.0
1994-11-25,1.33,1.37,1.33,1.37,33850,0.07,0.0
1994-11-28,1.37,1.39,1.36,1.39,68525,0.0,0.0
1994-11-29,1.39,1.4,1.38,1.38,48091,0.0,0.0
1994-11-30,1.39,1.41,1.38,1.4,72653,0.0,0.0
1994-12-01,1.4,1.41,1.39,1.41,68731,0.0,0.0
1994-12-02,1.4,1.41,1.39,1.39,31579,0.0,0.0
1994-12-05,1.38,1.4,1.38,1.39,45614,0.0,0.0
1994-12-06,1.38,1.39,1.37,1.39,43344,0.0,0.0
1994-12-07,1.37,1.39,1.37,1.39,34056,0.0,0.0
1994-12-08,1.38,1.4,1.38,1.38,38597,0.0,0.0
1994-12-09,1.37,1.39,1.37,1.38,72653,0.0,0.0
1994-12-12,1.39,1.4,1.38,1.38,31992,0.0,0.0
1994-12-13,1.39,1.39,1.38,1.38,69350,0.0,0.0
1994-12-14,1.39,1.4,1.37,1.4,112901,0.0,0.0
1994-12-15,1.4,1.42,1.39,1.4,44170,0.0,0.0
1994-12-16,1.42,1.48,1.41,1.44,83386,0.0,0.0
1994-12-19,1.45,1.49,1.44,1.47,79051,0.0,0.0
1994-12-20,1.44,1.47,1.42,1.47,57586,0.0,0.0
1994-12-21,1.45,1.48,1.45,1.47,55109,0.0,0.0
1994-12-22,1.47,1.48,1.45,1.47,59443,0.0,0.0
1994-12-23,1.47,1.48,1.45,1.45,45408,0.0,0.0
1994-12-27,1.46,1.49,1.43,1.45,47059,0.07,0.0
1994-12-28,1.46,1.47,1.45,1.47,42106,0.0,0.0
1994-12-29,1.46,1.46,1.45,1.46,65222,0.0,0.0
1994-12-30,1.46,1.51,1.45,1.51,106296,0.0,0.0
1995-01-03,1.49,1.5,1.48,1.49,47266,0.0,0.0
1995-01-04,1.48,1.49,1.46,1.46,21878,0.0,0.0
1995-01-05,1.46,1.48,1.45,1.47,16099,0.0,0.0
1995-01-06,1.46,1.47,1.45,1.47,16512,0.0,0.0
1995-01-09,1.47,1.51,1.47,1.5,49536,0.0,0.0
1995-01-10,1.52,1.52,1.49,1.5,20640,0.0,0.0
1995-01-11,1.49,1.52,1.49,1.5,16718,0.0,0.0
1995-01-12,1.5,1.52,1.5,1.52,27038,0.0,0.0
1995-01-13,1.52,1.54,1.52,1.53,23736,0.0,0.0
1995-01-16,1.54,1.54,1.52,1.53,21053,0.0,0.0
1995-01-17,1.53,1.54,1.52,1.53,17338,0.0,0.0
1995-01-18,1.54,1.56,1.54,1.54,31579,0.0,0.0
1995-01-19,1.54,1.57,1.53,1.54,21878,0.0,0.0
1995-01-20,1.56,1.56,1.53,1.53,20227,0.0,0.0
1995-01-23,1.54,1.59,1.53,1.57,43757,0.0,0.0
1995-01-24,1.58,1.58,1.56,1.56,35088,0.0,0.0
1995-01-25,1.57,1.57,1.54,1.56,22704,0.0,0.0
1995-01-26,1.55,1.58,1.55,1.57,14448,0.07,0.0
1995-01-27,1.57,1.6,1.57,1.6,39010,0.0,0.0
1995-01-30,1.6,1.61,1.58,1.6,52838,0.0,0.0
1995-01-31,1.59,1.59,1.56,1.58,37978,0.0,0.0
1995-02-01,1.57,1.59,1.57,1.58,43757,0.0,0.0
1995-02-02,1.56,1.59,1.55,1.57,48504,0.0,0.0
1995-02-03,1.56,1.59,1.55,1.57,94531,0.0,0.0
1995-02-06,1.59,1.61,1.57,1.58,52838,0.0,0.0
1995-02-07,1.58,1.61,1.58,1.6,50362,0.0,0.0
1995-02-08,1.58,1.6,1.56,1.56,55315,0.0,0.0
1995-02-09,1.58,1.61,1.58,1.6,56966,0.0,0.0
1995-02-10,1.6,1.6,1.58,1.6,21259,0.0,0.0
1995-02-13,1.59,1.61,1.59,1.6,34469,0.0,0.0
1995-02-14,1.6,1.62,1.59,1.62,29515,0.0,0.0
1995-02-15,1.64,1.67,1.64,1.66,79877,0.0,0.0
1995-02-16,1.67,1.69,1.66,1.69,73685,0.0,0.0
1995-02-17,1.69,1.71,1.67,1.69,132096,0.0,0.0
1995-02-21,1.68,1.69,1.66,1.66,33437,0.0,0.0
1995-02-22,1.68,1.69,1.65,1.68,21878,0.0,0.0
1995-02-23,1.67,1.67,1.62,1.64,43138,0.07,0.0
1995-02-24,1.65,1.68,1.65,1.68,46234,0.0,0.0
1995-02-27,1.67,1.69,1.66,1.66,38597,0.0,0.0
1995-02-28,1.67,1.72,1.67,1.71,24768,0.0,0.0
1995-03-01,1.71,1.71,1.67,1.69,14861,0.0,0.0
1995-03-02,1.68,1.69,1.67,1.68,14861,0.0,0.0
1995-03-03,1.68,1.69,1.67,1.68,16099,0.0,0.0
1995-03-06,1.67,1.67,1.64,1.66,15686,0.0,0.0
1995-03-07,1.65,1.67,1.64,1.66,33024,0.0,0.0
1995-03-08,1.66,1.66,1.64,1.66,43344,0.0,0.0
1995-03-09,1.67,1.68,1.67,1.67,13003,0.0,0.0
1995-03-10,1.67,1.67,1.66,1.67,19402,0.0,0.0
1995-03-13,1.66,1.68,1.66,1.67,40661,0.0,0.0
1995-03-14,1.69,1.69,1.64,1.66,45821,0.0,0.0
1995-03-15,1.67,1.68,1.62,1.63,37152,0.0,0.0
1995-03-16,1.62,1.65,1.58,1.65,70589,0.0,0.0
1995-03-17,1.64,1.67,1.63,1.65,28277,0.0,0.0
1995-03-20,1.64,1.66,1.63,1.64,47678,0.0,0.0
1995-03-21,1.64,1.66,1.63,1.63,19195,0.0,0.0
1995-03-22,1.62,1.63,1.6,1.63,29722,0.0,0.0
1995-03-23,1.62,1.64,1.62,1.64,19402,0.0,0.0
1995-03-24,1.64,1.66,1.62,1.62,37565,0.0,0.0
1995-03-27,1.6,1.64,1.6,1.62,44995,0.0,0.0
1995-03-28,1.63,1.64,1.62,1.63,48091,0.07,0.0
1995-03-29,1.63,1.66,1.63,1.65,27038,0.0,0.0
1995-03-30,1.65,1.66,1.63,1.63,22498,0.0,0.0
1995-03-31,1.63,1.65,1.63,1.64,31579,0.0,0.0
1995-04-03,1.62,1.64,1.62,1.63,28896,0.0,0.0
1995-04-04,1.63,1.65,1.63,1.64,12384,0.0,0.0
1995-04-05,1.63,1.66,1.63,1.64,31373,0.0,0.0
1995-04-06,1.65,1.65,1.63,1.63,30341,0.0,0.0
1995-04-07,1.62,1.65,1.62,1.64,34262,0.0,0.0
1995-04-10,1.65,1.66,1.65,1.65,22498,0.0,0.0
1995-04-11,1.64,1.65,1.63,1.64,41899,0.0,0.0
1995-04-12,1.65,1.66,1.63,1.65,42106,0.0,0.0
1995-04-13,1.66,1.66,1.64,1.66,27658,0.0,0.0
1995-04-17,1.64,1.66,1.62,1.66,56554,0.0,0.0
1995-04-18,1.66,1.67,1.64,1.66,24562,0.0,0.0
1995-04-19,1.66,1.66,1.65,1.65,16925,0.0,0.0
1995-04-20,1.66,1.66,1.64,1.66,16925,0.0,0.0
1995-04-21,1.67,1.67,1.63,1.65,31786,0.0,0.0
1995-04-24,1.64,1.67,1.64,1.67,23323,0.0,0.0
1995-04-25,1.69,1.7,1.68,1.69,77400,0.07,0.0
1995-04-26,1.68,1.68,1.64,1.65,38597,0.0,0.0
1995-04-27,1.65,1.67,1.64,1.67,15480,0.0,0.0
1995-04-28,1.65,1.68,1.65,1.68,21878,0.0,0.0
1995-05-01,1.64,1.68,1.64,1.68,42725,0.0,0.0
1995-05-02,1.67,1.69,1.67,1.69,21878,0.0,0.0
1995-05-03,1.68,1.69,1.65,1.67,22498,0.0,0.0
1995-05-04,1.67,1.7,1.65,1.7,43963,0.0,0.0
1995-05-05,1.69,1.74,1.68,1.74,78638,0.0,0.0
1995-05-08,1.78,1.82,1.78,1.8,129826,0.0,0.0
1995-05-09,1.81,1.89,1.8,1.88,128587,0.0,0.0
1995-05-10,1.88,1.96,1.88,1.96,202891,0.0,0.0
1995-05-11,1.96,1.96,1.92,1.93,134779,0.0,0.0
1995-05-12,1.88,1.88,1.84,1.85,119918,0.0,0.0
1995-05-15,1.85,1.87,1.84,1.86,35914,0.0,0.0
1995-05-16,1.86,1.86,1.84,1.85,57173,0.0,0.0
1995-05-17,1.85,1.86,1.85,1.85,28483,0.0,0.0
1995-05-18,1.85,1.85,1.77,1.77,72034,0.0,0.0
1995-05-19,1.78,1.79,1.76,1.78,46440,0.0,0.0
1995-05-22,1.79,1.84,1.79,1.84,26832,0.0,0.0
1995-05-23,1.81,1.88,1.81,1.88,54490,0.0,0.0
1995-05-24,1.88,1.89,1.85,1.87,17131,0.0,0.0
1995-05-25,1.87,1.9,1.85,1.85,37771,0.07,0.0
1995-05-26,1.85,1.86,1.78,1.78,39835,0.0,0.0
1995-05-30,1.79,1.79,1.78,1.79,45614,0.0,0.0
1995-05-31,1.82,1.83,1.8,1.82,31992,0.0,0.0
1995-06-01,1.83,1.84,1.83,1.84,31786,0.0,0.0
1995-06-02,1.84,1.85,1.83,1.84,23323,0.0,0.0
1995-06-05,1.85,1.85,1.8,1.83,31579,0.0,0.0
1995-06-06,1.83,1.85,1.83,1.85,19402,0.0,0.0
1995-06-07,1.84,1.87,1.84,1.86,43550,0.0,0.0
1995-06-08,1.87,1.87,1.85,1.87,15480,0.0,0.0
1995-06-09,1.86,1.86,1.85,1.85,15686,0.0,0.0
1995-06-12,1.84,1.85,1.82,1.82,37771,0.0,0.0
1995-06-13,1.82,1.83,1.82,1.83,21878,0.0,0.0
1995-06-14,1.83,1.83,1.8,1.82,40867,0.0,0.0
1995-06-15,1.82,1.83,1.82,1.82,14448,0.0,0.0
1995-06-16,1.82,1.85,1.82,1.85,28690,0.0,0.0
1995-06-19,1.84,1.85,1.84,1.85,28070,0.0,0.0
1995-06-20,1.85,1.86,1.84,1.86,29309,0.0,0.0
1995-06-21,1.85,1.86,1.83,1.84,36739,0.0,0.0
1995-06-22,1.84,1.84,1.83,1.83,12797,0.0,0.0
1995-06-23,1.84,1.85,1.83,1.84,20434,0.0,0.0
1995-06-26,1.84,1.85,1.84,1.84,7018,0.0,0.0
1995-06-27,1.85,1.87,1.84,1.86,23117,0.0,0.0
1995-06-28,1.87,1.87,1.86,1.87,16099,0.0,0.0
1995-06-29,1.86,1.89,1.86,1.89,28070,0.07,0.0
1995-06-30,1.89,1.96,1.89,1.96,118680,0.0,0.0
1995-07-03,1.96,1.96,1.92,1.92,21259,0.0,0.0
1995-07-05,1.93,1.93,1.91,1.93,27451,0.0,0.0
1995-07-06,1.91,1.94,1.9,1.93,28483,0.0,0.0
1995-07-07,1.93,1.97,1.93,1.94,66254,0.0,0.0
1995-07-10,1.96,1.99,1.96,1.99,36739,0.0,0.0
1995-07-11,1.97,1.99,1.97,1.98,18782,0.0,0.0
1995-07-12,1.97,1.98,1.97,1.97,23530,0.0,0.0
