Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-06-01,0.0,0.42,0.42,0.42,318600,0.0,0.0
1972-06-02,0.42,0.42,0.42,0.42,140400,0.0,0.0
1972-06-05,0.42,0.42,0.41,0.41,469800,0.0,0.0
1972-06-06,0.41,0.41,0.41,0.41,140400,0.0,0.0
1972-06-07,0.41,0.41,0.41,0.41,178200,0.0,0.0
1972-06-08,0.41,0.41,0.41,0.41,432000,0.0,0.0
1972-06-09,0.41,0.41,0.41,0.41,199800,0.0,0.0
1972-06-12,0.41,0.41,0.41,0.41,183600,0.0,0.0
1972-06-13,0.41,0.41,0.41,0.41,415800,0.0,0.0
1972-06-14,0.41,0.42,0.41,0.42,216000,0.0,0.0
1972-06-15,0.42,0.42,0.41,0.41,178200,0.0,0.0
1972-06-16,0.41,0.42,0.41,0.41,183600,0.0,0.0
1972-06-19,0.41,0.42,0.41,0.41,324000,0.0,0.0
1972-06-20,0.41,0.41,0.41,0.41,129600,0.0,0.0
1972-06-21,0.41,0.42,0.41,0.41,356400,0.0,0.0
1972-06-22,0.41,0.42,0.41,0.42,324000,0.0,0.0
1972-06-23,0.42,0.42,0.42,0.42,275400,0.0,0.0
1972-06-26,0.42,0.42,0.41,0.41,194400,0.0,0.0
1972-06-27,0.41,0.42,0.41,0.41,669600,0.0,0.0
1972-06-28,0.41,0.41,0.41,0.41,75600,0.0,0.0
1972-06-29,0.41,0.41,0.41,0.41,280800,0.0,0.0
1972-06-30,0.41,0.41,0.41,0.41,135000,0.0,0.0
1972-07-03,0.41,0.41,0.41,0.41,216000,0.0,0.0
1972-07-05,0.41,0.41,0.4,0.41,372600,0.0,0.0
1972-07-06,0.41,0.42,0.41,0.41,793800,0.0,0.0
1972-07-07,0.41,0.41,0.41,0.41,259200,0.0,0.0
1972-07-10,0.41,0.41,0.4,0.41,372600,0.0,0.0
1972-07-11,0.41,0.41,0.4,0.41,1080000,0.0,0.0
1972-07-12,0.41,0.41,0.41,0.41,367200,0.0,0.0
1972-07-13,0.41,0.41,0.41,0.41,302400,0.0,0.0
1972-07-14,0.41,0.43,0.41,0.43,993600,0.0,0.0
1972-07-17,0.43,0.43,0.42,0.42,561600,0.0,0.0
1972-07-18,0.42,0.42,0.42,0.42,302400,0.0,0.0
1972-07-19,0.42,0.42,0.41,0.41,356400,0.0,0.0
1972-07-20,0.41,0.41,0.41,0.41,243000,0.0,0.0
1972-07-21,0.41,0.41,0.41,0.41,275400,0.0,0.0
1972-07-24,0.41,0.41,0.41,0.41,410400,0.0,0.0
1972-07-25,0.41,0.42,0.41,0.41,469800,0.0,0.0
1972-07-26,0.41,0.42,0.41,0.42,145800,0.0,0.0
1972-07-27,0.42,0.43,0.42,0.43,739800,0.0,0.0
1972-07-28,0.43,0.43,0.43,0.43,318600,0.0,0.0
1972-07-31,0.43,0.43,0.42,0.43,167400,0.0,0.0
1972-08-01,0.43,0.43,0.42,0.43,783000,0.0,0.0
1972-08-02,0.43,0.44,0.43,0.43,523800,0.0,0.0
1972-08-03,0.43,0.43,0.43,0.43,410400,0.0,0.0
1972-08-04,0.43,0.43,0.42,0.43,432000,0.0,0.0
1972-08-07,0.43,0.43,0.42,0.43,151200,0.0,0.0
1972-08-08,0.43,0.43,0.42,0.43,329400,0.0,0.0
1972-08-09,0.43,0.43,0.42,0.43,669600,0.0,0.0
1972-08-10,0.43,0.43,0.42,0.43,372600,0.0,0.0
1972-08-11,0.43,0.43,0.42,0.43,480600,0.0,0.0
1972-08-14,0.43,0.44,0.43,0.43,756000,0.0,0.0
1972-08-15,0.43,0.43,0.43,0.43,291600,0.0,0.0
1972-08-16,0.43,0.43,0.43,0.43,194400,0.0,0.0
1972-08-17,0.43,0.43,0.43,0.43,280800,0.0,0.0
1972-08-18,0.43,0.43,0.43,0.43,923400,0.0,0.0
1972-08-21,0.43,0.43,0.43,0.43,378000,0.0,0.0
1972-08-22,0.43,0.43,0.43,0.43,248400,0.0,0.0
1972-08-23,0.43,0.43,0.43,0.43,172800,0.0,0.0
1972-08-24,0.43,0.43,0.42,0.42,691200,0.0,0.0
1972-08-25,0.42,0.43,0.42,0.42,491400,0.0,0.0
1972-08-28,0.42,0.43,0.42,0.42,210600,0.0,0.0
1972-08-29,0.42,0.43,0.42,0.43,286200,0.0,0.0
1972-08-30,0.43,0.43,0.42,0.42,329400,0.0,0.0
1972-08-31,0.42,0.42,0.42,0.42,270000,0.0,0.0
1972-09-01,0.42,0.42,0.42,0.42,507600,0.0,0.0
1972-09-05,0.42,0.42,0.42,0.42,113400,0.0,0.0
1972-09-06,0.42,0.42,0.42,0.42,799200,0.0,0.0
1972-09-07,0.42,0.42,0.42,0.42,156600,0.0,0.0
1972-09-08,0.42,0.42,0.41,0.41,178200,0.0,0.0
1972-09-11,0.41,0.41,0.41,0.41,216000,0.0,0.0
1972-09-12,0.41,0.41,0.41,0.41,426600,0.0,0.0
1972-09-13,0.41,0.41,0.41,0.41,221400,0.0,0.0
1972-09-14,0.41,0.41,0.41,0.41,567000,0.0,0.0
1972-09-15,0.41,0.41,0.4,0.41,750600,0.0,0.0
1972-09-18,0.41,0.41,0.4,0.4,637200,0.0,0.0
1972-09-19,0.4,0.4,0.4,0.4,275400,0.0,0.0
1972-09-20,0.4,0.4,0.39,0.39,324000,0.0,0.0
1972-09-21,0.39,0.4,0.39,0.4,378000,0.0,0.0
1972-09-22,0.4,0.4,0.39,0.39,372600,0.0,0.0
1972-09-25,0.39,0.39,0.38,0.38,2748600,0.0,0.0
1972-09-26,0.38,0.39,0.38,0.38,712800,0.0,0.0
1972-09-27,0.39,0.4,0.39,0.4,696600,0.0,0.0
1972-09-28,0.4,0.41,0.4,0.4,1204200,0.0,0.0
1972-09-29,0.4,0.41,0.4,0.41,189000,0.0,0.0
1972-10-02,0.41,0.41,0.4,0.4,891000,0.0,0.0
1972-10-03,0.4,0.4,0.4,0.4,680400,0.0,0.0
1972-10-04,0.4,0.4,0.4,0.4,1096200,0.0,0.0
1972-10-05,0.4,0.4,0.4,0.4,545400,0.0,0.0
1972-10-06,0.4,0.41,0.4,0.4,993600,0.0,0.0
1972-10-09,0.4,0.4,0.4,0.4,459000,0.0,0.0
1972-10-10,0.4,0.41,0.4,0.4,982800,0.0,0.0
1972-10-11,0.4,0.41,0.4,0.4,1166400,0.0,0.0
