Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.0,0.27,0.27,0.27,192000,0.0,0.0
1962-01-03,0.0,0.27,0.26,0.26,428800,0.0,0.0
1962-01-04,0.0,0.27,0.26,0.26,326400,0.0,0.0
1962-01-05,0.0,0.26,0.26,0.26,544000,0.0,0.0
1962-01-08,0.0,0.26,0.25,0.25,1523200,0.0,0.0
1962-01-09,0.0,0.26,0.25,0.25,499200,0.0,0.0
1962-01-10,0.0,0.25,0.25,0.25,300800,0.0,0.0
1962-01-11,0.0,0.25,0.25,0.25,371200,0.0,0.0
1962-01-12,0.0,0.26,0.25,0.25,390400,0.0,0.0
1962-01-15,0.0,0.25,0.25,0.25,281600,0.0,0.0
1962-01-16,0.0,0.25,0.25,0.25,236800,0.01,0.0
1962-01-17,0.0,0.25,0.24,0.24,377600,0.0,0.0
1962-01-18,0.0,0.24,0.24,0.24,544000,0.0,0.0
1962-01-19,0.0,0.25,0.24,0.24,697600,0.0,0.0
1962-01-22,0.0,0.25,0.24,0.25,646400,0.0,0.0
1962-01-23,0.0,0.25,0.24,0.24,332800,0.0,0.0
1962-01-24,0.0,0.25,0.24,0.24,422400,0.0,0.0
1962-01-25,0.0,0.25,0.24,0.24,294400,0.0,0.0
1962-01-26,0.0,0.24,0.24,0.24,230400,0.0,0.0
1962-01-29,0.0,0.24,0.24,0.24,313600,0.0,0.0
1962-01-30,0.0,0.24,0.24,0.24,294400,0.0,0.0
1962-01-31,0.0,0.25,0.24,0.24,422400,0.0,0.0
1962-02-01,0.0,0.25,0.24,0.24,435200,0.0,0.0
1962-02-02,0.0,0.25,0.24,0.24,595200,0.0,0.0
1962-02-05,0.0,0.24,0.24,0.24,396800,0.0,0.0
1962-02-06,0.0,0.24,0.24,0.24,249600,0.0,0.0
1962-02-07,0.0,0.24,0.24,0.24,268800,0.0,0.0
1962-02-08,0.0,0.24,0.24,0.24,403200,0.0,0.0
1962-02-09,0.0,0.24,0.24,0.24,396800,0.0,0.0
1962-02-12,0.0,0.24,0.24,0.24,134400,0.0,0.0
1962-02-13,0.0,0.24,0.24,0.24,345600,0.0,0.0
1962-02-14,0.0,0.24,0.24,0.24,422400,0.0,0.0
1962-02-15,0.0,0.24,0.24,0.24,281600,0.0,0.0
1962-02-16,0.0,0.24,0.24,0.24,486400,0.0,0.0
1962-02-19,0.0,0.24,0.24,0.24,281600,0.0,0.0
1962-02-20,0.0,0.24,0.24,0.24,460800,0.0,0.0
1962-02-21,0.0,0.24,0.23,0.23,531200,0.0,0.0
1962-02-23,0.0,0.24,0.23,0.23,332800,0.0,0.0
1962-02-26,0.0,0.24,0.23,0.23,326400,0.0,0.0
1962-02-27,0.0,0.23,0.23,0.23,480000,0.0,0.0
1962-02-28,0.0,0.23,0.23,0.23,326400,0.0,0.0
1962-03-01,0.0,0.24,0.23,0.24,268800,0.0,0.0
1962-03-02,0.0,0.24,0.23,0.23,313600,0.0,0.0
1962-03-05,0.0,0.23,0.23,0.23,198400,0.0,0.0
1962-03-06,0.0,0.24,0.23,0.23,294400,0.0,0.0
1962-03-07,0.0,0.24,0.23,0.23,275200,0.0,0.0
1962-03-08,0.0,0.24,0.24,0.24,390400,0.0,0.0
1962-03-09,0.0,0.24,0.24,0.24,358400,0.0,0.0
1962-03-12,0.0,0.24,0.24,0.24,332800,0.0,0.0
1962-03-13,0.0,0.24,0.24,0.24,473600,0.0,0.0
1962-03-14,0.0,0.25,0.24,0.25,480000,0.0,0.0
1962-03-15,0.0,0.25,0.24,0.24,512000,0.0,0.0
1962-03-16,0.0,0.24,0.24,0.24,211200,0.0,0.0
1962-03-19,0.0,0.24,0.24,0.24,262400,0.0,0.0
1962-03-20,0.0,0.24,0.24,0.24,256000,0.0,0.0
1962-03-21,0.0,0.25,0.24,0.25,640000,0.0,0.0
1962-03-22,0.0,0.25,0.25,0.25,390400,0.0,0.0
1962-03-23,0.0,0.25,0.25,0.25,345600,0.0,0.0
1962-03-26,0.0,0.25,0.24,0.24,249600,0.0,0.0
1962-03-27,0.0,0.25,0.24,0.24,185600,0.0,0.0
1962-03-28,0.0,0.25,0.25,0.25,256000,0.0,0.0
1962-03-29,0.0,0.25,0.25,0.25,288000,0.0,0.0
1962-03-30,0.0,0.25,0.25,0.25,876800,0.0,0.0
1962-04-02,0.0,0.25,0.25,0.25,691200,0.0,0.0
1962-04-03,0.0,0.25,0.25,0.25,364800,0.0,0.0
1962-04-04,0.0,0.25,0.25,0.25,281600,0.0,0.0
1962-04-05,0.0,0.25,0.25,0.25,364800,0.0,0.0
1962-04-06,0.0,0.25,0.25,0.25,364800,0.0,0.0
1962-04-09,0.0,0.25,0.25,0.25,320000,0.0,0.0
1962-04-10,0.0,0.25,0.25,0.25,544000,0.0,0.0
1962-04-11,0.0,0.25,0.25,0.25,172800,0.0,0.0
1962-04-12,0.0,0.25,0.25,0.25,307200,0.0,0.0
1962-04-13,0.0,0.25,0.24,0.25,332800,0.0,0.0
1962-04-16,0.0,0.25,0.25,0.25,288000,0.01,0.0
1962-04-17,0.0,0.25,0.25,0.25,224000,0.0,0.0
1962-04-18,0.0,0.25,0.25,0.25,288000,0.0,0.0
1962-04-19,0.0,0.25,0.25,0.25,243200,0.0,0.0
1962-04-23,0.0,0.25,0.25,0.25,409600,0.0,0.0
1962-04-24,0.0,0.25,0.25,0.25,262400,0.0,0.0
1962-04-25,0.0,0.25,0.25,0.25,288000,0.0,0.0
1962-04-26,0.0,0.25,0.24,0.24,384000,0.0,0.0
1962-04-27,0.0,0.25,0.24,0.24,352000,0.0,0.0
1962-04-30,0.0,0.24,0.24,0.24,454400,0.0,0.0
1962-05-01,0.0,0.24,0.23,0.24,665600,0.0,0.0
