Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-05-03,0.55,0.56,0.55,0.55,35736,0.0,0.0
1973-05-04,0.58,0.61,0.58,0.58,59858,0.0,0.0
1973-05-07,0.55,0.58,0.55,0.55,66112,0.0,0.0
1973-05-08,0.55,0.56,0.55,0.55,24122,0.0,0.0
1973-05-09,0.56,0.58,0.56,0.56,32162,0.0,0.0
1973-05-10,0.56,0.58,0.56,0.56,9827,0.0,0.0
1973-05-11,0.56,0.58,0.56,0.56,14294,0.0,0.0
1973-05-14,0.56,0.58,0.56,0.56,24122,0.0,0.0
1973-05-15,0.56,0.58,0.56,0.56,34843,0.0,0.0
1973-05-16,0.55,0.58,0.55,0.55,20548,0.0,0.0
1973-05-17,0.56,0.58,0.56,0.56,33056,0.0,0.0
1973-05-18,0.54,0.56,0.54,0.54,33056,0.0,0.0
1973-05-21,0.49,0.52,0.49,0.49,76832,0.0,0.0
1973-05-22,0.49,0.52,0.49,0.49,10721,0.0,0.0
1973-05-23,0.49,0.5,0.49,0.49,30376,0.0,0.0
1973-05-24,0.46,0.49,0.46,0.46,55391,0.0,0.0
1973-05-25,0.47,0.49,0.47,0.47,43777,0.0,0.0
1973-05-29,0.47,0.49,0.47,0.47,16081,0.0,0.0
1973-05-30,0.46,0.49,0.46,0.46,893,0.0,0.0
1973-05-31,0.46,0.49,0.46,0.46,30376,0.0,0.0
1973-06-01,0.46,0.49,0.46,0.46,6254,0.0,0.0
1973-06-04,0.46,0.49,0.46,0.46,2680,0.0,0.0
1973-06-05,0.46,0.49,0.46,0.46,31269,0.0,0.0
1973-06-06,0.46,0.49,0.46,0.46,16081,0.0,0.0
1973-06-07,0.46,0.49,0.46,0.46,8041,0.0,0.0
1973-06-08,0.47,0.49,0.47,0.47,9827,0.0,0.0
1973-06-11,0.49,0.51,0.49,0.49,22335,0.0,0.0
1973-06-12,0.49,0.52,0.49,0.49,23228,0.0,0.0
1973-06-13,0.49,0.52,0.49,0.49,5360,0.0,0.0
1973-06-14,0.49,0.51,0.49,0.49,16081,0.0,0.0
1973-06-15,0.49,0.51,0.49,0.49,13401,0.0,0.0
1973-06-18,0.46,0.49,0.46,0.46,20548,0.0,0.0
1973-06-19,0.46,0.49,0.46,0.46,8041,0.0,0.0
1973-06-20,0.47,0.49,0.47,0.47,6254,0.0,0.0
1973-06-21,0.46,0.49,0.46,0.46,14294,0.0,0.0
1973-06-22,0.46,0.49,0.46,0.46,28589,0.0,0.0
1973-06-25,0.46,0.49,0.46,0.46,8041,0.0,0.0
1973-06-26,0.46,0.49,0.46,0.46,11614,0.0,0.0
1973-06-27,0.45,0.47,0.45,0.45,16081,0.0,0.0
1973-06-28,0.44,0.46,0.44,0.44,22335,0.0,0.0
1973-06-29,0.44,0.46,0.44,0.44,13401,0.0,0.0
1973-07-02,0.44,0.46,0.44,0.44,5360,0.0,0.0
1973-07-03,0.44,0.46,0.44,0.44,2680,0.0,0.0
1973-07-05,0.44,0.46,0.44,0.44,893,0.0,0.0
