Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.59,0.57,0.57,164800,0.0,0.0
1980-03-18,0.0,0.57,0.55,0.56,188800,0.0,0.0
1980-03-19,0.0,0.57,0.56,0.57,84800,0.0,0.0
1980-03-20,0.0,0.57,0.56,0.57,328000,0.0,0.0
1980-03-21,0.0,0.57,0.56,0.56,249600,0.0,0.0
1980-03-24,0.0,0.57,0.55,0.57,142400,0.0,0.0
1980-03-25,0.0,0.57,0.56,0.56,249600,0.0,0.0
1980-03-26,0.0,0.57,0.56,0.56,228800,0.0,0.0
1980-03-27,0.0,0.56,0.55,0.56,268800,0.0,0.0
1980-03-28,0.0,0.56,0.56,0.56,132800,0.0,0.0
1980-03-31,0.0,0.61,0.56,0.61,363200,0.0,0.0
1980-04-01,0.0,0.61,0.59,0.6,276800,0.0,0.0
1980-04-02,0.0,0.6,0.58,0.58,86400,0.0,0.0
1980-04-03,0.0,0.58,0.57,0.58,156800,0.0,0.0
1980-04-07,0.0,0.58,0.57,0.57,195200,0.0,0.0
1980-04-08,0.0,0.58,0.57,0.58,414400,0.0,0.0
1980-04-09,0.0,0.58,0.57,0.57,432000,0.0,0.0
1980-04-10,0.0,0.57,0.57,0.57,544000,0.0,0.0
1980-04-11,0.0,0.59,0.57,0.59,372800,0.0,0.0
1980-04-14,0.0,0.59,0.58,0.59,107200,0.0,0.0
1980-04-15,0.0,0.59,0.58,0.58,110400,0.0,0.0
1980-04-16,0.0,0.59,0.59,0.59,316800,0.0,0.0
1980-04-17,0.0,0.59,0.59,0.59,108800,0.0,0.0
1980-04-18,0.0,0.59,0.59,0.59,96000,0.0,0.0
1980-04-21,0.0,0.59,0.59,0.59,128000,0.0,0.0
1980-04-22,0.0,0.6,0.58,0.6,99200,0.0,0.0
1980-04-23,0.0,0.61,0.6,0.6,123200,0.0,0.0
1980-04-24,0.0,0.61,0.6,0.6,152000,0.0,0.0
1980-04-25,0.0,0.61,0.6,0.61,67200,0.0,0.0
1980-04-28,0.0,0.61,0.6,0.6,361600,0.0,0.0
1980-04-29,0.0,0.62,0.6,0.61,164800,0.0,0.0
1980-04-30,0.0,0.62,0.61,0.62,152000,0.0,0.0
1980-05-01,0.0,0.63,0.61,0.63,312000,0.0,0.0
1980-05-02,0.0,0.66,0.63,0.66,476800,0.0,0.0
1980-05-05,0.0,0.65,0.64,0.65,828800,0.0,0.0
1980-05-06,0.0,0.64,0.64,0.64,216000,0.0,0.0
1980-05-07,0.0,0.64,0.63,0.64,209600,0.0,0.0
1980-05-08,0.0,0.65,0.64,0.64,158400,0.0,0.0
1980-05-09,0.0,0.64,0.63,0.63,129600,0.0,0.0
1980-05-12,0.0,0.63,0.63,0.63,190400,0.0,0.0
1980-05-13,0.0,0.63,0.63,0.63,70400,0.0,0.0
1980-05-14,0.0,0.63,0.63,0.63,129600,0.0,0.0
1980-05-15,0.0,0.63,0.61,0.63,240000,0.0,0.0
1980-05-16,0.0,0.62,0.6,0.6,120000,0.0,0.0
1980-05-19,0.0,0.6,0.6,0.6,148800,0.0,0.0
1980-05-20,0.0,0.62,0.6,0.62,158400,0.0,0.0
1980-05-21,0.0,0.63,0.61,0.62,532800,0.0,0.0
1980-05-22,0.0,0.62,0.61,0.62,571200,0.0,0.0
1980-05-23,0.0,0.62,0.61,0.62,224000,0.0,0.0
1980-05-27,0.0,0.63,0.61,0.62,316800,0.0,0.0
1980-05-28,0.0,0.63,0.62,0.63,542400,0.0,0.0
1980-05-29,0.0,0.63,0.62,0.62,187200,0.0,0.0
1980-05-30,0.0,0.64,0.62,0.64,227200,0.0,0.0
1980-06-02,0.0,0.64,0.63,0.64,192000,0.0,0.0
1980-06-03,0.0,0.66,0.64,0.65,320000,0.0,0.0
1980-06-04,0.0,0.66,0.65,0.65,123200,0.0,0.0
1980-06-05,0.0,0.67,0.65,0.66,467200,0.0,0.0
1980-06-06,0.0,0.66,0.65,0.65,120000,0.0,0.0
1980-06-09,0.0,0.66,0.65,0.65,83200,0.0,0.0
1980-06-10,0.0,0.67,0.66,0.67,203200,0.0,0.0
1980-06-11,0.0,0.67,0.67,0.67,70400,0.0,0.0
1980-06-12,0.0,0.67,0.66,0.66,128000,0.0,0.0
1980-06-13,0.0,0.67,0.66,0.67,176000,0.0,0.0
1980-06-16,0.0,0.67,0.66,0.67,251200,0.0,0.0
1980-06-17,0.0,0.67,0.66,0.66,155200,0.0,0.0
1980-06-18,0.0,0.66,0.66,0.66,147200,0.0,0.0
1980-06-19,0.0,0.66,0.65,0.65,187200,0.0,0.0
1980-06-20,0.0,0.66,0.65,0.66,300800,0.0,0.0
1980-06-23,0.0,0.66,0.65,0.65,128000,0.0,0.0
1980-06-24,0.0,0.66,0.65,0.65,452800,0.0,0.0
1980-06-25,0.0,0.66,0.65,0.66,142400,0.0,0.0
1980-06-26,0.0,0.66,0.65,0.65,152000,0.0,0.0
1980-06-27,0.0,0.65,0.65,0.65,737600,0.0,0.0
1980-06-30,0.0,0.65,0.62,0.63,265600,0.0,0.0
1980-07-01,0.0,0.64,0.62,0.64,1777600,0.0,0.0
1980-07-02,0.0,0.64,0.63,0.64,489600,0.0,0.0
1980-07-03,0.0,0.65,0.64,0.64,136000,0.0,0.0
1980-07-07,0.0,0.65,0.65,0.65,193600,0.0,0.0
1980-07-08,0.0,0.66,0.65,0.66,206400,0.0,0.0
1980-07-09,0.0,0.67,0.65,0.67,321600,0.0,0.0
