Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-12-13,0.35,0.39,0.34,0.37,143667200,0.0,0.0
1991-12-16,0.37,0.38,0.35,0.36,22585600,0.0,0.0
1991-12-17,0.38,0.38,0.36,0.36,16176000,0.0,0.0
1991-12-18,0.36,0.37,0.36,0.37,10899200,0.0,0.0
1991-12-19,0.37,0.37,0.36,0.36,7299200,0.0,0.0
1991-12-20,0.36,0.37,0.36,0.37,5235200,0.0,0.0
1991-12-23,0.37,0.37,0.36,0.36,7894400,0.0,0.0
1991-12-24,0.36,0.39,0.36,0.39,7129600,0.0,0.0
1991-12-26,0.38,0.45,0.38,0.45,8672000,0.0,0.0
1991-12-27,0.45,0.45,0.42,0.43,6396800,0.0,0.0
1991-12-30,0.43,0.44,0.42,0.44,6627200,0.0,0.0
1991-12-31,0.44,0.51,0.44,0.5,12572800,0.0,0.0
1992-01-02,0.5,0.57,0.5,0.56,22121600,0.0,0.0
1992-01-03,0.57,0.58,0.55,0.57,6092800,0.0,0.0
1992-01-06,0.59,0.59,0.49,0.54,15987200,0.0,0.0
1992-01-07,0.53,0.55,0.52,0.52,4940800,0.0,0.0
1992-01-08,0.53,0.53,0.44,0.46,36828800,0.0,0.0
1992-01-09,0.47,0.5,0.47,0.5,20809600,0.0,0.0
1992-01-10,0.51,0.52,0.47,0.49,7961600,0.0,0.0
1992-01-13,0.5,0.55,0.48,0.53,8499200,0.0,0.0
1992-01-14,0.55,0.55,0.53,0.54,3628800,0.0,0.0
1992-01-15,0.55,0.56,0.53,0.54,5910400,0.0,0.0
1992-01-16,0.55,0.55,0.5,0.53,3654400,0.0,0.0
1992-01-17,0.52,0.53,0.52,0.52,1574400,0.0,0.0
1992-01-20,0.51,0.52,0.48,0.51,3350400,0.0,0.0
1992-01-21,0.52,0.52,0.48,0.49,3724800,0.0,0.0
1992-01-22,0.49,0.51,0.48,0.51,5132800,0.0,0.0
1992-01-23,0.52,0.52,0.48,0.48,3248000,0.0,0.0
1992-01-24,0.48,0.49,0.48,0.48,355200,0.0,0.0
1992-01-27,0.49,0.49,0.46,0.47,2675200,0.0,0.0
1992-01-28,0.47,0.47,0.45,0.46,3673600,0.0,0.0
1992-01-29,0.46,0.48,0.45,0.47,1702400,0.0,0.0
1992-01-30,0.46,0.5,0.46,0.48,2505600,0.0,0.0
1992-01-31,0.48,0.49,0.48,0.49,1702400,0.0,0.0
1992-02-03,0.49,0.53,0.48,0.5,2611200,0.0,0.0
1992-02-04,0.5,0.53,0.49,0.51,4233600,0.0,0.0
1992-02-05,0.5,0.52,0.5,0.5,3280000,0.0,0.0
1992-02-06,0.52,0.52,0.49,0.49,7232000,0.0,0.0
1992-02-07,0.51,0.51,0.44,0.48,8979200,0.0,0.0
1992-02-10,0.46,0.48,0.45,0.46,4940800,0.0,0.0
1992-02-11,0.46,0.48,0.45,0.46,1667200,0.0,0.0
1992-02-12,0.46,0.5,0.45,0.49,3603200,0.0,0.0
1992-02-13,0.5,0.5,0.46,0.46,1398400,0.0,0.0
1992-02-14,0.47,0.47,0.46,0.47,2825600,0.0,0.0
1992-02-18,0.47,0.47,0.45,0.46,1078400,0.0,0.0
1992-02-19,0.45,0.46,0.44,0.45,1408000,0.0,0.0
1992-02-20,0.45,0.47,0.45,0.47,5705600,0.0,0.0
1992-02-21,0.46,0.47,0.43,0.43,3836800,0.0,0.0
1992-02-24,0.43,0.44,0.38,0.4,12384000,0.0,0.0
1992-02-25,0.41,0.42,0.39,0.41,3513600,0.0,0.0
1992-02-26,0.43,0.43,0.41,0.42,3200000,0.0,0.0
1992-02-27,0.42,0.42,0.4,0.41,1209600,0.0,0.0
1992-02-28,0.42,0.42,0.4,0.42,3011200,0.0,0.0
1992-03-02,0.42,0.42,0.4,0.42,1257600,0.0,0.0
1992-03-03,0.42,0.43,0.4,0.4,4022400,0.0,0.0
1992-03-04,0.41,0.41,0.4,0.4,5580800,0.0,0.0
1992-03-05,0.4,0.4,0.38,0.39,1920000,0.0,0.0
1992-03-06,0.4,0.4,0.36,0.38,6329600,0.0,0.0
1992-03-09,0.38,0.38,0.36,0.38,2809600,0.0,0.0
1992-03-10,0.38,0.4,0.38,0.4,1900800,0.0,0.0
1992-03-11,0.4,0.41,0.37,0.38,5577600,0.0,0.0
1992-03-12,0.38,0.4,0.37,0.39,1644800,0.0,0.0
1992-03-13,0.39,0.41,0.38,0.39,4976000,0.0,0.0
1992-03-16,0.39,0.39,0.38,0.38,739200,0.0,0.0
1992-03-17,0.38,0.4,0.38,0.38,1865600,0.0,0.0
1992-03-18,0.4,0.42,0.4,0.42,3753600,0.0,0.0
