Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-03-10,44.07,44.09,43.34,44.01,5232000,0.0,0.0
1999-03-11,44.33,44.59,43.36,44.23,9688600,0.0,0.0
1999-03-12,44.07,44.09,42.8,43.15,8743600,0.0,0.0
1999-03-15,43.47,44.44,43.01,44.39,6369000,0.0,0.0
1999-03-16,44.58,44.95,44.09,44.77,4905800,0.0,0.0
1999-03-17,44.77,44.82,44.31,44.44,3965000,0.0,0.0
1999-03-18,44.39,45.33,44.38,45.3,4848400,0.0,0.0
1999-03-19,45.9,45.9,44.12,44.15,7160400,0.0,0.0
1999-03-22,44.33,44.44,43.53,43.61,5024800,0.0,0.0
1999-03-23,43.36,43.53,41.99,42.07,10962400,0.0,0.0
1999-03-24,42.45,43.53,41.8,43.5,8447000,0.0,0.0
1999-03-25,44.17,45.09,43.88,45.09,8133800,0.0,0.0
1999-03-26,44.71,45.22,44.42,44.6,8256200,0.0,0.0
1999-03-29,45.14,46.25,44.87,46.22,5113800,0.0,0.0
1999-03-30,46.17,46.54,45.71,45.9,4940600,0.0,0.0
1999-03-31,46.65,46.7,45.09,45.22,8256600,0.0,0.0
1999-04-01,46.54,46.6,45.41,46.17,8715800,0.0,0.0
1999-04-05,46.91,47.9,46.62,47.84,5697200,0.0,0.0
1999-04-06,47.78,48.46,47.38,47.93,7522400,0.0,0.0
1999-04-07,48.37,48.48,46.41,47.43,11923600,0.0,0.0
1999-04-08,47.35,48.04,46.38,47.81,7952400,0.0,0.0
1999-04-09,47.73,48.21,47.59,48.11,4946800,0.0,0.0
1999-04-12,46.97,48.11,46.92,47.78,10934000,0.0,0.0
1999-04-13,48.08,48.19,46.76,47.14,9962200,0.0,0.0
1999-04-14,47.73,47.78,45.26,45.52,21253800,0.0,0.0
1999-04-15,45.68,46.21,44.07,46.14,17650600,0.0,0.0
1999-04-16,46.03,46.03,44.55,44.79,17274000,0.0,0.0
1999-04-19,45.09,45.47,42.24,42.69,19460600,0.0,0.0
1999-04-20,42.5,44.01,42.1,43.66,17413600,0.0,0.0
1999-04-21,44.07,45.84,43.47,45.82,10940400,0.0,0.0
1999-04-22,46.25,47.19,45.94,47.05,13630600,0.0,0.0
1999-04-23,46.81,48.02,46.33,47.67,7064400,0.0,0.0
1999-04-26,48.0,49.13,47.84,48.77,5421000,0.0,0.0
1999-04-27,49.13,49.37,47.41,48.02,16482800,0.0,0.0
1999-04-28,47.62,47.78,46.17,46.38,7676800,0.0,0.0
1999-04-29,46.17,46.44,45.03,46.0,19148200,0.0,0.0
1999-04-30,46.65,46.89,44.66,46.3,15295200,0.0,0.0
1999-05-03,46.17,46.35,45.28,46.06,11109800,0.0,0.0
1999-05-04,46.14,46.87,45.06,45.33,15428400,0.0,0.0
1999-05-05,45.36,46.7,43.98,46.7,12642600,0.0,0.0
1999-05-06,46.27,46.68,44.58,45.01,15173400,0.0,0.0
1999-05-07,45.41,45.79,44.44,45.65,16430400,0.0,0.0
1999-05-10,45.95,46.42,45.41,46.11,10604200,0.0,0.0
1999-05-11,46.49,47.08,46.22,46.84,8800800,0.0,0.0
1999-05-12,47.06,47.97,45.68,47.81,12507400,0.0,0.0
1999-05-13,48.19,48.27,46.7,46.92,9864000,0.0,0.0
1999-05-14,46.0,46.54,45.68,46.03,12205400,0.0,0.0
1999-05-17,45.63,47.0,45.18,46.86,9906800,0.0,0.0
1999-05-18,46.81,47.08,46.11,46.65,9267800,0.0,0.0
1999-05-19,46.84,47.32,46.11,47.3,7985600,0.0,0.0
1999-05-20,47.4,47.4,45.92,46.0,5997200,0.0,0.0
1999-05-21,46.14,46.27,45.33,45.57,10958600,0.0,0.0
1999-05-24,45.65,45.74,44.12,44.42,9569800,0.0,0.0
1999-05-25,44.36,45.01,42.77,42.96,17771200,0.0,0.0
1999-05-26,43.53,44.33,42.18,44.16,26772000,0.0,0.0
1999-05-27,43.98,44.76,43.42,44.12,23334800,0.0,0.0
1999-05-28,44.39,45.09,43.82,44.85,12969800,0.0,0.0
1999-06-01,44.77,44.98,43.61,43.85,6960200,0.0,0.0
1999-06-02,43.82,44.82,42.73,44.59,11996600,0.0,0.0
1999-06-03,44.93,44.93,43.69,43.96,11147800,0.0,0.0
1999-06-04,44.28,45.46,44.28,45.3,12987200,0.0,0.0
1999-06-07,45.62,46.54,45.52,46.25,11491800,0.0,0.0
1999-06-08,46.35,46.57,44.85,45.09,8134800,0.0,0.0
1999-06-09,45.25,45.97,45.22,45.84,8384400,0.0,0.0
1999-06-10,45.36,45.63,44.77,45.32,9392400,0.0,0.0
1999-06-11,45.63,45.67,44.23,44.63,16567600,0.0,0.0
1999-06-14,44.79,44.79,43.69,43.79,14136800,0.0,0.0
1999-06-15,43.9,44.7,43.77,44.44,9147800,0.0,0.0
1999-06-16,45.55,46.73,45.49,46.73,15060200,0.0,0.0
1999-06-17,46.11,47.46,46.11,47.24,16278200,0.0,0.0
1999-06-18,46.81,47.59,46.73,47.46,5392800,0.0,0.0
1999-06-21,47.78,48.91,47.7,48.88,10565200,0.0,0.0
1999-06-22,48.59,49.21,47.41,47.41,10862800,0.0,0.0
1999-06-23,47.41,48.27,47.11,48.15,9607000,0.0,0.0
1999-06-24,48.13,48.16,46.97,47.2,14988800,0.0,0.0
1999-06-25,47.51,47.89,46.7,47.14,8635600,0.0,0.0
1999-06-28,47.54,48.32,47.15,48.25,7666200,0.0,0.0
1999-06-29,48.21,49.1,47.97,48.91,9000400,0.0,0.0
1999-06-30,48.96,51.66,48.38,49.67,19467600,0.0,0.0
1999-07-01,49.83,50.29,48.97,50.0,6822600,0.0,0.0
1999-07-02,49.99,50.69,49.99,50.64,3302000,0.0,0.0
1999-07-06,50.91,51.42,50.04,50.31,8794800,0.0,0.0
1999-07-07,50.29,50.61,49.94,50.39,10520000,0.0,0.0
1999-07-08,50.39,51.28,50.15,51.07,11225000,0.0,0.0
1999-07-09,51.26,51.63,50.88,51.58,4206800,0.0,0.0
1999-07-12,51.77,52.04,51.01,51.31,7816200,0.0,0.0
1999-07-13,51.07,51.26,50.66,51.07,6230000,0.0,0.0
1999-07-14,51.58,52.04,50.85,51.94,6909400,0.0,0.0
1999-07-15,52.12,52.41,51.83,52.41,6539800,0.0,0.0
1999-07-16,52.44,53.2,52.42,52.9,4913800,0.0,0.0
1999-07-19,53.12,53.12,52.15,52.36,6833000,0.0,0.0
1999-07-20,51.72,51.8,50.21,50.34,14837400,0.0,0.0
1999-07-21,50.45,51.02,50.04,50.58,10980400,0.0,0.0
1999-07-22,50.58,50.58,49.16,49.3,15148400,0.0,0.0
1999-07-23,49.67,49.88,48.86,49.37,12115000,0.0,0.0
1999-07-26,48.7,49.24,48.08,48.16,10720000,0.0,0.0
1999-07-27,49.13,49.88,48.71,49.13,13732800,0.0,0.0
1999-07-28,49.72,50.37,49.08,50.09,10161800,0.0,0.0
1999-07-29,49.16,49.56,48.54,49.02,13033800,0.0,0.0
1999-07-30,49.24,49.78,48.7,48.78,10947400,0.0,0.0
1999-08-02,48.86,49.83,48.46,48.64,9642400,0.0,0.0
1999-08-03,49.31,49.32,47.62,48.33,13005000,0.0,0.0
1999-08-04,48.33,48.69,47.41,47.45,13227600,0.0,0.0
1999-08-05,47.46,48.21,46.33,48.21,18695200,0.0,0.0
1999-08-06,47.86,48.75,47.35,47.69,12392200,0.0,0.0
1999-08-09,47.86,48.0,46.98,47.08,7983400,0.0,0.0
1999-08-10,46.95,47.29,45.63,46.65,16767200,0.0,0.0
1999-08-11,47.49,48.27,46.77,48.19,13101400,0.0,0.0
1999-08-12,48.37,48.7,47.51,47.62,12715000,0.0,0.0
1999-08-13,48.62,49.75,48.54,49.69,14342600,0.0,0.0
1999-08-16,49.67,50.26,49.34,50.09,11470600,0.0,0.0
1999-08-17,50.53,50.58,49.43,50.34,11408400,0.0,0.0
1999-08-18,50.1,50.72,49.59,49.78,7035200,0.0,0.0
1999-08-19,49.32,49.67,48.87,49.18,10157800,0.0,0.0
1999-08-20,49.24,49.96,48.97,49.96,6920800,0.0,0.0
1999-08-23,50.42,51.55,50.31,51.55,9652000,0.0,0.0
1999-08-24,51.18,52.47,51.07,51.9,13891400,0.0,0.0
1999-08-25,52.23,53.22,51.66,53.01,11352000,0.0,0.0
