Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.16,0.15,0.15,1401600,0.0,0.0
1980-03-18,0.0,0.15,0.14,0.15,1459200,0.0,0.0
1980-03-19,0.0,0.15,0.15,0.15,1296000,0.0,0.0
1980-03-20,0.0,0.15,0.15,0.15,422400,0.0,0.0
1980-03-21,0.0,0.15,0.14,0.15,220800,0.0,0.0
1980-03-24,0.0,0.14,0.14,0.14,518400,0.0,0.0
1980-03-25,0.0,0.14,0.14,0.14,422400,0.0,0.0
1980-03-26,0.0,0.14,0.14,0.14,518400,0.0,0.0
1980-03-27,0.0,0.14,0.13,0.13,892800,0.0,0.0
1980-03-28,0.0,0.14,0.13,0.14,1152000,0.0,0.0
1980-03-31,0.0,0.15,0.15,0.15,1420800,0.0,0.0
1980-04-01,0.0,0.15,0.15,0.15,864000,0.0,0.0
1980-04-02,0.0,0.15,0.15,0.15,345600,0.0,0.0
1980-04-03,0.0,0.15,0.15,0.15,374400,0.0,0.0
1980-04-07,0.0,0.15,0.15,0.15,355200,0.0,0.0
1980-04-08,0.0,0.15,0.15,0.15,28800,0.0,0.0
1980-04-09,0.0,0.15,0.15,0.15,115200,0.0,0.0
1980-04-10,0.0,0.15,0.15,0.15,364800,0.0,0.0
1980-04-11,0.0,0.15,0.15,0.15,124800,0.0,0.0
1980-04-14,0.0,0.15,0.15,0.15,662400,0.0,0.0
1980-04-15,0.0,0.15,0.15,0.15,249600,0.0,0.0
1980-04-16,0.0,0.15,0.14,0.14,412800,0.0,0.0
1980-04-17,0.0,0.14,0.14,0.14,393600,0.0,0.0
1980-04-18,0.0,0.14,0.14,0.14,326400,0.0,0.0
1980-04-21,0.0,0.15,0.14,0.15,374400,0.0,0.0
1980-04-22,0.0,0.15,0.15,0.15,326400,0.0,0.0
1980-04-23,0.0,0.16,0.15,0.16,470400,0.0,0.0
1980-04-24,0.0,0.16,0.16,0.16,480000,0.0,0.0
1980-04-25,0.0,0.16,0.16,0.16,316800,0.0,0.0
1980-04-28,0.0,0.16,0.16,0.16,288000,0.0,0.0
1980-04-29,0.0,0.16,0.16,0.16,643200,0.0,0.0
1980-04-30,0.0,0.16,0.16,0.16,672000,0.0,0.0
1980-05-01,0.0,0.17,0.16,0.16,316800,0.0,0.0
1980-05-02,0.0,0.16,0.16,0.16,115200,0.0,0.0
1980-05-05,0.0,0.16,0.16,0.16,163200,0.0,0.0
1980-05-06,0.0,0.16,0.16,0.16,288000,0.0,0.0
1980-05-07,0.0,0.16,0.16,0.16,192000,0.0,0.0
1980-05-08,0.0,0.16,0.16,0.16,374400,0.0,0.0
1980-05-09,0.0,0.15,0.15,0.15,307200,0.0,0.0
1980-05-12,0.0,0.15,0.15,0.15,355200,0.0,0.0
1980-05-13,0.0,0.15,0.15,0.15,326400,0.0,0.0
1980-05-14,0.0,0.15,0.15,0.15,374400,0.0,0.0
1980-05-15,0.0,0.15,0.15,0.15,192000,0.0,0.0
1980-05-16,0.0,0.15,0.15,0.15,412800,0.0,0.0
1980-05-19,0.0,0.15,0.15,0.15,355200,0.0,0.0
1980-05-20,0.0,0.15,0.15,0.15,230400,0.0,0.0
1980-05-21,0.0,0.15,0.15,0.15,124800,0.0,0.0
1980-05-22,0.0,0.15,0.15,0.15,412800,0.0,0.0
1980-05-23,0.0,0.16,0.15,0.15,1939200,0.0,0.0
1980-05-27,0.0,0.15,0.15,0.15,451200,0.0,0.0
1980-05-28,0.0,0.16,0.15,0.16,998400,0.0,0.0
1980-05-29,0.0,0.16,0.15,0.15,576000,0.0,0.0
1980-05-30,0.0,0.15,0.15,0.15,393600,0.0,0.0
1980-06-02,0.0,0.16,0.15,0.16,355200,0.0,0.0
1980-06-03,0.0,0.15,0.15,0.15,220800,0.0,0.0
1980-06-04,0.0,0.15,0.15,0.15,163200,0.0,0.0
1980-06-05,0.0,0.16,0.15,0.16,1603200,0.0,0.0
1980-06-06,0.0,0.16,0.16,0.16,268800,0.0,0.0
1980-06-09,0.0,0.16,0.16,0.16,249600,0.0,0.0
1980-06-10,0.0,0.16,0.16,0.16,393600,0.0,0.0
1980-06-11,0.0,0.16,0.16,0.16,211200,0.0,0.0
1980-06-12,0.0,0.17,0.16,0.16,1113600,0.0,0.0
1980-06-13,0.0,0.16,0.16,0.16,422400,0.0,0.0
1980-06-16,0.0,0.16,0.16,0.16,153600,0.0,0.0
1980-06-17,0.0,0.16,0.16,0.16,355200,0.0,0.0
1980-06-18,0.0,0.16,0.16,0.16,336000,0.0,0.0
1980-06-19,0.0,0.16,0.16,0.16,403200,0.0,0.0
1980-06-20,0.0,0.16,0.16,0.16,499200,0.0,0.0
1980-06-23,0.0,0.16,0.16,0.16,67200,0.0,0.0
1980-06-24,0.0,0.16,0.16,0.16,873600,0.0,0.0
1980-06-25,0.0,0.16,0.16,0.16,144000,0.0,0.0
1980-06-26,0.0,0.16,0.16,0.16,768000,0.0,0.0
1980-06-27,0.0,0.16,0.16,0.16,393600,0.0,0.0
1980-06-30,0.0,0.16,0.16,0.16,134400,0.0,0.0
1980-07-01,0.0,0.16,0.16,0.16,288000,0.0,0.0
1980-07-02,0.0,0.16,0.16,0.16,134400,0.0,0.0
1980-07-03,0.0,0.16,0.16,0.16,2073600,0.0,0.0
1980-07-07,0.0,0.16,0.16,0.16,518400,0.0,0.0
1980-07-08,0.0,0.16,0.16,0.16,988800,0.0,0.0
1980-07-09,0.0,0.17,0.16,0.16,768000,0.0,0.0
1980-07-10,0.0,0.17,0.16,0.17,547200,0.0,0.0
1980-07-11,0.0,0.17,0.17,0.17,451200,0.0,0.0
1980-07-14,0.0,0.18,0.17,0.18,854400,0.0,0.0
1980-07-15,0.0,0.18,0.17,0.18,643200,0.0,0.0
1980-07-16,0.0,0.18,0.18,0.18,1651200,0.0,0.0
1980-07-17,0.0,0.18,0.18,0.18,566400,0.0,0.0
1980-07-18,0.0,0.19,0.18,0.18,1104000,0.0,0.0
1980-07-21,0.0,0.19,0.19,0.19,3206400,0.0,0.0
1980-07-22,0.0,0.2,0.19,0.19,3724800,0.0,0.0
1980-07-23,0.0,0.19,0.19,0.19,1651200,0.0,0.0
1980-07-24,0.0,0.19,0.19,0.19,720000,0.0,0.0
1980-07-25,0.0,0.19,0.18,0.19,748800,0.0,0.0
1980-07-28,0.0,0.19,0.18,0.18,624000,0.0,0.0
1980-07-29,0.0,0.18,0.18,0.18,326400,0.0,0.0
1980-07-30,0.0,0.18,0.18,0.18,374400,0.0,0.0
1980-07-31,0.0,0.18,0.18,0.18,172800,0.0,0.0
1980-08-01,0.0,0.19,0.18,0.19,1027200,0.0,0.0
1980-08-04,0.0,0.19,0.18,0.19,604800,0.0,0.0
1980-08-05,0.0,0.19,0.19,0.19,1440000,0.0,0.0
1980-08-06,0.0,0.19,0.19,0.19,393600,0.0,0.0
1980-08-07,0.0,0.19,0.19,0.19,1555200,0.0,0.0
1980-08-08,0.0,0.19,0.19,0.19,422400,0.0,0.0
1980-08-11,0.0,0.19,0.19,0.19,873600,0.0,0.0
1980-08-12,0.0,0.2,0.19,0.19,796800,0.0,0.0
1980-08-13,0.0,0.19,0.19,0.19,576000,0.0,0.0
1980-08-14,0.0,0.19,0.19,0.19,1737600,0.0,0.0
1980-08-15,0.0,0.2,0.19,0.2,2150400,0.0,0.0
1980-08-18,0.0,0.2,0.2,0.2,1670400,0.0,0.0
1980-08-19,0.0,0.2,0.2,0.2,1171200,0.0,0.0
1980-08-20,0.0,0.2,0.2,0.2,3484800,0.0,0.0
1980-08-21,0.0,0.22,0.2,0.21,5337600,0.0,0.0
1980-08-22,0.0,0.22,0.21,0.22,2390400,0.0,0.0
1980-08-25,0.0,0.22,0.21,0.21,1180800,0.0,0.0
1980-08-26,0.0,0.21,0.21,0.21,1334400,0.0,0.0
1980-08-27,0.0,0.21,0.2,0.2,432000,0.0,0.0
1980-08-28,0.0,0.2,0.2,0.2,796800,0.0,0.0
1980-08-29,0.0,0.2,0.2,0.2,633600,0.0,0.0
1980-09-02,0.0,0.2,0.2,0.2,921600,0.0,0.0
1980-09-03,0.0,0.21,0.2,0.21,700800,0.0,0.0
1980-09-04,0.0,0.22,0.21,0.22,3360000,0.0,0.0
1980-09-05,0.0,0.22,0.22,0.22,2976000,0.0,0.0
1980-09-08,0.0,0.22,0.22,0.22,873600,0.0,0.0
1980-09-09,0.0,0.22,0.22,0.22,1113600,0.0,0.0
1980-09-10,0.0,0.22,0.22,0.22,1161600,0.0,0.0
1980-09-11,0.0,0.22,0.22,0.22,1372800,0.0,0.0
1980-09-12,0.0,0.22,0.22,0.22,614400,0.0,0.0
1980-09-15,0.0,0.22,0.22,0.22,432000,0.0,0.0
1980-09-16,0.0,0.22,0.22,0.22,604800,0.0,0.0
1980-09-17,0.0,0.22,0.21,0.21,4416000,0.0,0.0
1980-09-18,0.0,0.22,0.21,0.21,249600,0.0,0.0
1980-09-19,0.0,0.22,0.21,0.21,1171200,0.0,0.0
1980-09-22,0.0,0.21,0.21,0.21,2832000,0.0,0.0
1980-09-23,0.0,0.21,0.21,0.21,1593600,0.0,0.0
1980-09-24,0.0,0.21,0.21,0.21,883200,0.0,0.0
1980-09-25,0.0,0.22,0.22,0.22,710400,0.0,0.0
1980-09-26,0.0,0.21,0.21,0.21,844800,0.0,0.0
1980-09-29,0.0,0.21,0.21,0.21,220800,0.0,0.0
1980-09-30,0.0,0.21,0.2,0.21,326400,0.0,0.0
1980-10-01,0.0,0.2,0.2,0.2,192000,0.0,0.0
1980-10-02,0.0,0.2,0.2,0.2,384000,0.0,0.0
1980-10-03,0.0,0.2,0.2,0.2,67200,0.0,0.0
1980-10-06,0.0,0.21,0.2,0.21,1008000,0.0,0.0
1980-10-07,0.0,0.21,0.21,0.21,2092800,0.0,0.0
1980-10-08,0.0,0.21,0.2,0.21,1411200,0.0,0.0
1980-10-09,0.0,0.21,0.21,0.21,729600,0.0,0.0
1980-10-10,0.0,0.21,0.21,0.21,1996800,0.0,0.0
1980-10-13,0.0,0.21,0.21,0.21,259200,0.0,0.0
1980-10-14,0.0,0.21,0.21,0.21,710400,0.0,0.0
1980-10-15,0.0,0.21,0.21,0.21,422400,0.0,0.0
1980-10-16,0.0,0.21,0.21,0.21,451200,0.0,0.0
1980-10-17,0.0,0.21,0.21,0.21,134400,0.0,0.0
1980-10-20,0.0,0.22,0.21,0.22,2457600,0.0,0.0
1980-10-21,0.0,0.22,0.22,0.22,2054400,0.0,0.0
