Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.34,0.34,0.34,0.34,78400,0.0,0.0
1973-02-22,0.33,0.33,0.33,0.33,198400,0.0,0.0
1973-02-23,0.34,0.34,0.34,0.34,56000,0.0,0.0
1973-02-26,0.34,0.34,0.34,0.34,211200,0.0,0.0
1973-02-27,0.34,0.34,0.34,0.34,110400,0.0,0.0
1973-02-28,0.34,0.34,0.34,0.34,40000,0.0,0.0
1973-03-01,0.34,0.34,0.34,0.34,289600,0.0,0.0
1973-03-02,0.33,0.33,0.33,0.33,94400,0.0,0.0
1973-03-05,0.33,0.33,0.33,0.33,593600,0.0,0.0
1973-03-06,0.34,0.34,0.34,0.34,656000,0.0,0.0
1973-03-07,0.35,0.35,0.35,0.35,86400,0.0,0.0
1973-03-08,0.33,0.33,0.33,0.33,433600,0.0,0.0
1973-03-09,0.33,0.33,0.33,0.33,88000,0.0,0.0
1973-03-12,0.33,0.33,0.33,0.33,46400,0.0,0.0
1973-03-13,0.33,0.33,0.33,0.33,97600,0.0,0.0
1973-03-14,0.32,0.32,0.32,0.32,288000,0.0,0.0
1973-03-15,0.32,0.32,0.32,0.32,251200,0.0,0.0
1973-03-16,0.31,0.31,0.31,0.31,291200,0.0,0.0
1973-03-19,0.29,0.29,0.29,0.29,113600,0.0,0.0
1973-03-20,0.29,0.29,0.29,0.29,208000,0.0,0.0
1973-03-21,0.29,0.29,0.29,0.29,147200,0.0,0.0
1973-03-22,0.29,0.29,0.29,0.29,179200,0.0,0.0
1973-03-23,0.3,0.3,0.3,0.3,113600,0.0,0.0
1973-03-26,0.29,0.29,0.29,0.29,108800,0.0,0.0
1973-03-27,0.3,0.3,0.3,0.3,251200,0.0,0.0
1973-03-28,0.31,0.31,0.31,0.31,78400,0.0,0.0
1973-03-29,0.32,0.32,0.32,0.32,169600,0.0,0.0
1973-03-30,0.31,0.31,0.31,0.31,236800,0.0,0.0
1973-04-02,0.31,0.31,0.31,0.31,121600,0.0,0.0
1973-04-03,0.3,0.3,0.3,0.3,372800,0.0,0.0
1973-04-04,0.3,0.3,0.3,0.3,48000,0.0,0.0
1973-04-05,0.31,0.31,0.31,0.31,78400,0.0,0.0
1973-04-06,0.3,0.3,0.3,0.3,1032000,0.0,0.0
1973-04-09,0.3,0.3,0.3,0.3,89600,0.0,0.0
1973-04-10,0.28,0.28,0.28,0.28,689600,0.0,0.0
1973-04-11,0.27,0.27,0.27,0.27,302400,0.0,0.0
1973-04-12,0.28,0.28,0.28,0.28,350400,0.0,0.0
1973-04-13,0.27,0.27,0.27,0.27,228800,0.0,0.0
1973-04-16,0.28,0.28,0.28,0.28,76800,0.0,0.0
1973-04-17,0.28,0.28,0.28,0.28,43200,0.0,0.0
1973-04-18,0.28,0.28,0.28,0.28,196800,0.0,0.0
1973-04-19,0.29,0.29,0.29,0.29,84800,0.0,0.0
1973-04-23,0.28,0.28,0.28,0.28,275200,0.0,0.0
1973-04-24,0.27,0.27,0.27,0.27,89600,0.0,0.0
1973-04-25,0.27,0.27,0.27,0.27,62400,0.0,0.0
1973-04-26,0.26,0.26,0.26,0.26,243200,0.0,0.0
1973-04-27,0.26,0.26,0.26,0.26,89600,0.0,0.0
1973-04-30,0.26,0.26,0.26,0.26,176000,0.0,0.0
1973-05-01,0.24,0.24,0.24,0.24,172800,0.0,0.0
1973-05-02,0.26,0.26,0.26,0.26,432000,0.0,0.0
1973-05-03,0.0,0.27,0.26,0.27,236800,0.0,0.0
1973-05-04,0.0,0.28,0.27,0.27,148800,0.0,0.0
1973-05-07,0.0,0.28,0.27,0.27,92800,0.0,0.0
1973-05-08,0.0,0.27,0.26,0.26,97600,0.0,0.0
1973-05-09,0.0,0.27,0.26,0.26,174400,0.0,0.0
1973-05-10,0.0,0.26,0.24,0.24,193600,0.0,0.0
1973-05-11,0.0,0.25,0.24,0.25,326400,0.0,0.0
1973-05-14,0.0,0.25,0.24,0.25,201600,0.0,0.0
1973-05-15,0.0,0.25,0.24,0.24,251200,0.0,0.0
1973-05-16,0.0,0.25,0.24,0.24,201600,0.0,0.0
1973-05-17,0.0,0.24,0.23,0.23,113600,0.0,0.0
1973-05-18,0.0,0.22,0.21,0.22,153600,0.0,0.0
1973-05-21,0.0,0.22,0.21,0.21,366400,0.0,0.0
1973-05-22,0.0,0.23,0.22,0.23,129600,0.0,0.0
1973-05-23,0.0,0.24,0.23,0.24,211200,0.0,0.0
1973-05-24,0.0,0.26,0.23,0.26,233600,0.0,0.0
1973-05-25,0.0,0.26,0.25,0.26,172800,0.0,0.0
1973-05-29,0.0,0.26,0.25,0.26,73600,0.0,0.0
1973-05-30,0.0,0.26,0.25,0.25,32000,0.0,0.0
1973-05-31,0.0,0.25,0.24,0.24,104000,0.0,0.0
1973-06-01,0.0,0.24,0.23,0.23,28800,0.0,0.0
1973-06-04,0.0,0.23,0.23,0.23,118400,0.0,0.0
1973-06-05,0.0,0.24,0.23,0.24,89600,0.0,0.0
1973-06-06,0.0,0.24,0.23,0.23,64000,0.0,0.0
1973-06-07,0.0,0.23,0.23,0.23,92800,0.0,0.0
1973-06-08,0.0,0.24,0.23,0.24,216000,0.0,0.0
1973-06-11,0.0,0.24,0.22,0.23,102400,0.0,0.0
1973-06-12,0.0,0.23,0.22,0.23,59200,0.0,0.0
1973-06-13,0.0,0.23,0.23,0.23,56000,0.0,0.0
1973-06-14,0.0,0.24,0.23,0.23,49600,0.0,0.0
1973-06-15,0.0,0.23,0.22,0.23,1856000,0.0,0.0
1973-06-18,0.0,0.23,0.22,0.23,652800,0.0,0.0
1973-06-19,0.0,0.23,0.22,0.23,137600,0.0,0.0
1973-06-20,0.0,0.23,0.21,0.21,116800,0.0,0.0
1973-06-21,0.0,0.22,0.21,0.21,80000,0.0,0.0
1973-06-22,0.0,0.22,0.21,0.21,179200,0.0,0.0
1973-06-25,0.0,0.22,0.21,0.21,947200,0.0,0.0
1973-06-26,0.0,0.22,0.21,0.21,156800,0.0,0.0
1973-06-27,0.0,0.21,0.21,0.21,128000,0.0,0.0
1973-06-28,0.0,0.22,0.2,0.21,292800,0.0,0.0
1973-06-29,0.0,0.22,0.2,0.21,124800,0.0,0.0
1973-07-02,0.0,0.23,0.22,0.23,59200,0.0,0.0
1973-07-03,0.0,0.24,0.22,0.23,182400,0.0,0.0
1973-07-05,0.0,0.23,0.22,0.22,113600,0.0,0.0
1973-07-06,0.0,0.23,0.21,0.21,137600,0.0,0.0
1973-07-09,0.0,0.21,0.2,0.21,148800,0.0,0.0
1973-07-10,0.0,0.21,0.21,0.21,83200,0.0,0.0
1973-07-11,0.0,0.22,0.2,0.22,126400,0.0,0.0
1973-07-12,0.0,0.22,0.2,0.2,288000,0.0,0.0
1973-07-13,0.0,0.21,0.21,0.21,70400,0.0,0.0
1973-07-16,0.0,0.21,0.2,0.21,124800,0.0,0.0
1973-07-17,0.0,0.22,0.21,0.21,118400,0.0,0.0
1973-07-18,0.0,0.22,0.21,0.22,204800,0.0,0.0
1973-07-19,0.0,0.24,0.22,0.23,124800,0.0,0.0
1973-07-20,0.0,0.24,0.23,0.23,424000,0.0,0.0
1973-07-23,0.0,0.24,0.23,0.23,291200,0.0,0.0
1973-07-24,0.0,0.24,0.23,0.24,112000,0.0,0.0
1973-07-25,0.0,0.25,0.24,0.25,262400,0.0,0.0
1973-07-26,0.0,0.28,0.25,0.27,480000,0.0,0.0
1973-07-27,0.0,0.27,0.24,0.25,163200,0.0,0.0
1973-07-30,0.0,0.25,0.24,0.25,86400,0.0,0.0
1973-07-31,0.0,0.25,0.25,0.25,80000,0.0,0.0
1973-08-01,0.0,0.25,0.24,0.24,105600,0.0,0.0
1973-08-02,0.0,0.25,0.24,0.25,65600,0.0,0.0
1973-08-03,0.0,0.25,0.24,0.25,62400,0.0,0.0
1973-08-06,0.0,0.25,0.24,0.24,96000,0.0,0.0
1973-08-07,0.0,0.24,0.24,0.24,67200,0.0,0.0
1973-08-08,0.0,0.24,0.24,0.24,41600,0.0,0.0
1973-08-09,0.0,0.25,0.24,0.25,91200,0.0,0.0
1973-08-10,0.0,0.25,0.24,0.24,116800,0.0,0.0
1973-08-13,0.0,0.25,0.24,0.24,65600,0.0,0.0
1973-08-14,0.0,0.25,0.24,0.24,222400,0.0,0.0
1973-08-15,0.0,0.25,0.24,0.24,108800,0.0,0.0
1973-08-16,0.0,0.25,0.24,0.24,121600,0.0,0.0
1973-08-17,0.0,0.25,0.24,0.25,84800,0.0,0.0
1973-08-20,0.0,0.24,0.24,0.24,28800,0.0,0.0
1973-08-21,0.0,0.25,0.24,0.25,212800,0.0,0.0
1973-08-22,0.0,0.25,0.24,0.24,62400,0.0,0.0
1973-08-23,0.0,0.24,0.23,0.24,712000,0.0,0.0
1973-08-24,0.0,0.24,0.23,0.24,129600,0.0,0.0
1973-08-27,0.0,0.24,0.23,0.24,67200,0.0,0.0
1973-08-28,0.0,0.24,0.23,0.23,30400,0.0,0.0
1973-08-29,0.0,0.23,0.22,0.23,713600,0.0,0.0
1973-08-30,0.0,0.23,0.22,0.23,96000,0.0,0.0
1973-08-31,0.0,0.23,0.22,0.23,57600,0.0,0.0
1973-09-04,0.0,0.24,0.24,0.24,1032000,0.0,0.0
1973-09-05,0.0,0.25,0.24,0.24,136000,0.0,0.0
1973-09-06,0.0,0.24,0.24,0.24,73600,0.0,0.0
1973-09-07,0.0,0.24,0.24,0.24,211200,0.0,0.0
1973-09-10,0.0,0.24,0.24,0.24,70400,0.0,0.0
1973-09-11,0.0,0.24,0.23,0.23,219200,0.0,0.0
1973-09-12,0.0,0.24,0.24,0.24,110400,0.0,0.0
1973-09-13,0.0,0.24,0.24,0.24,36800,0.0,0.0
1973-09-14,0.0,0.25,0.24,0.24,1420800,0.0,0.0
1973-09-17,0.0,0.24,0.24,0.24,433600,0.0,0.0
1973-09-18,0.0,0.24,0.23,0.24,128000,0.0,0.0
1973-09-19,0.0,0.24,0.23,0.24,492800,0.0,0.0
1973-09-20,0.0,0.24,0.23,0.23,179200,0.0,0.0
1973-09-21,0.0,0.24,0.23,0.24,96000,0.0,0.0
1973-09-24,0.0,0.24,0.22,0.23,3627200,0.0,0.0
1973-09-25,0.0,0.24,0.23,0.23,440000,0.0,0.0
1973-09-26,0.0,0.24,0.23,0.24,68800,0.0,0.0
1973-09-27,0.0,0.24,0.23,0.24,696000,0.0,0.0
1973-09-28,0.0,0.24,0.23,0.23,201600,0.0,0.0
1973-10-01,0.0,0.25,0.24,0.25,780800,0.0,0.0
1973-10-02,0.0,0.26,0.25,0.26,185600,0.0,0.0
1973-10-03,0.0,0.26,0.26,0.26,504000,0.0,0.0
1973-10-04,0.0,0.26,0.26,0.26,649600,0.0,0.0
1973-10-05,0.0,0.28,0.26,0.28,1171200,0.0,0.0
1973-10-08,0.0,0.28,0.27,0.27,150400,0.0,0.0
1973-10-09,0.0,0.29,0.27,0.29,1136000,0.0,0.0
1973-10-10,0.0,0.29,0.28,0.29,384000,0.0,0.0
1973-10-11,0.0,0.29,0.28,0.28,544000,0.0,0.0
1973-10-12,0.0,0.28,0.27,0.27,216000,0.0,0.0
1973-10-15,0.0,0.27,0.26,0.26,284800,0.0,0.0
1973-10-16,0.0,0.26,0.25,0.26,416000,0.0,0.0
1973-10-17,0.0,0.26,0.25,0.25,118400,0.0,0.0
1973-10-18,0.0,0.25,0.24,0.25,148800,0.0,0.0
1973-10-19,0.0,0.26,0.24,0.25,169600,0.0,0.0
1973-10-22,0.0,0.25,0.24,0.24,112000,0.0,0.0
1973-10-23,0.0,0.25,0.24,0.25,172800,0.0,0.0
1973-10-24,0.0,0.25,0.24,0.24,56000,0.0,0.0
1973-10-25,0.0,0.24,0.24,0.24,494400,0.0,0.0
1973-10-26,0.0,0.24,0.24,0.24,86400,0.0,0.0
1973-10-29,0.0,0.24,0.23,0.23,217600,0.0,0.0
1973-10-30,0.0,0.24,0.23,0.23,132800,0.0,0.0
1973-10-31,0.0,0.23,0.23,0.23,166400,0.0,0.0
1973-11-01,0.0,0.23,0.22,0.22,148800,0.0,0.0
1973-11-02,0.0,0.22,0.22,0.22,222400,0.0,0.0
1973-11-05,0.0,0.22,0.22,0.22,216000,0.0,0.0
1973-11-06,0.0,0.22,0.22,0.22,124800,0.0,0.0
