Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.94,1.87,1.87,70800,0.0,0.0
1980-03-18,0.0,1.86,1.81,1.86,100200,0.0,0.0
1980-03-19,0.0,1.89,1.87,1.87,45000,0.0,0.0
1980-03-20,0.0,1.89,1.87,1.87,79800,0.0,0.0
1980-03-21,0.0,1.89,1.86,1.89,288000,0.0,0.0
1980-03-24,0.0,1.88,1.83,1.83,72600,0.0,0.0
1980-03-25,0.0,1.84,1.81,1.81,82200,0.0,0.0
1980-03-26,0.0,1.83,1.79,1.79,62400,0.0,0.0
1980-03-27,0.0,1.78,1.6,1.63,517200,0.0,0.0
1980-03-28,0.0,1.75,1.66,1.66,299400,0.0,0.0
1980-03-31,0.0,1.72,1.67,1.72,85800,0.0,0.0
1980-04-01,0.0,1.77,1.72,1.77,36600,0.0,0.0
1980-04-02,0.0,1.86,1.77,1.86,133200,0.0,0.0
1980-04-03,0.0,1.9,1.87,1.89,60000,0.0,0.0
1980-04-07,0.0,1.84,1.81,1.81,239400,0.0,0.0
1980-04-08,0.0,1.83,1.8,1.8,29400,0.0,0.0
1980-04-09,0.0,1.8,1.72,1.78,423600,0.0,0.0
1980-04-10,0.0,1.81,1.8,1.8,49800,0.0,0.0
1980-04-11,0.0,1.81,1.73,1.77,122400,0.0,0.0
1980-04-14,0.0,1.78,1.75,1.77,176400,0.0,0.0
1980-04-15,0.0,1.77,1.72,1.72,141600,0.0,0.0
1980-04-16,0.0,1.75,1.72,1.74,105000,0.0,0.0
1980-04-17,0.0,1.74,1.71,1.74,97800,0.0,0.0
1980-04-18,0.0,1.77,1.74,1.75,45000,0.0,0.0
1980-04-21,0.0,1.74,1.69,1.69,55800,0.0,0.0
1980-04-22,0.0,1.77,1.72,1.75,36600,0.0,0.0
1980-04-23,0.0,1.8,1.74,1.74,38400,0.0,0.0
1980-04-24,0.0,1.75,1.71,1.73,28200,0.0,0.0
1980-04-25,0.0,1.73,1.71,1.73,49800,0.0,0.0
1980-04-28,0.0,1.74,1.72,1.74,20400,0.0,0.0
1980-04-29,0.0,1.74,1.71,1.73,95400,0.0,0.0
1980-04-30,0.0,1.72,1.68,1.68,36000,0.0,0.0
1980-05-01,0.0,1.71,1.69,1.71,79800,0.0,0.0
1980-05-02,0.0,1.72,1.69,1.72,205800,0.0,0.0
1980-05-05,0.0,1.72,1.69,1.71,46800,0.0,0.0
1980-05-06,0.0,1.71,1.68,1.7,62400,0.0,0.0
1980-05-07,0.0,1.72,1.68,1.72,64800,0.0,0.0
1980-05-08,0.0,1.8,1.72,1.8,176400,0.0,0.0
1980-05-09,0.0,1.81,1.79,1.8,19800,0.0,0.0
