Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.08,0.08,0.08,372600,0.0,0.0
1980-03-18,0.0,0.08,0.08,0.08,113400,0.0,0.0
1980-03-19,0.0,0.08,0.08,0.08,291600,0.0,0.0
1980-03-20,0.0,0.08,0.08,0.08,48600,0.0,0.0
1980-03-21,0.0,0.08,0.08,0.08,16200,0.0,0.0
1980-03-24,0.0,0.08,0.08,0.08,469800,0.0,0.0
1980-03-25,0.0,0.08,0.07,0.07,874800,0.0,0.0
1980-03-26,0.0,0.08,0.07,0.07,469800,0.0,0.0
1980-03-27,0.0,0.07,0.07,0.07,1733400,0.0,0.0
1980-03-28,0.0,0.07,0.07,0.07,761400,0.0,0.0
1980-03-31,0.0,0.08,0.07,0.07,1166400,0.0,0.0
1980-04-01,0.0,0.08,0.08,0.08,226800,0.0,0.0
1980-04-02,0.0,0.08,0.08,0.08,437400,0.0,0.0
1980-04-03,0.0,0.08,0.08,0.08,891000,0.0,0.0
1980-04-07,0.0,0.08,0.08,0.08,194400,0.0,0.0
1980-04-08,0.0,0.08,0.08,0.08,162000,0.0,0.0
1980-04-09,0.0,0.09,0.09,0.09,2025000,0.0,0.0
1980-04-10,0.0,0.09,0.09,0.09,988200,0.0,0.0
1980-04-11,0.0,0.09,0.09,0.09,259200,0.0,0.0
1980-04-14,0.0,0.09,0.09,0.09,210600,0.0,0.0
1980-04-15,0.0,0.09,0.09,0.09,1684800,0.0,0.0
1980-04-16,0.0,0.09,0.09,0.09,793800,0.0,0.0
1980-04-17,0.0,0.09,0.09,0.09,1409400,0.0,0.0
1980-04-18,0.0,0.09,0.09,0.09,437400,0.0,0.0
1980-04-21,0.0,0.09,0.08,0.08,874800,0.0,0.0
1980-04-22,0.0,0.09,0.09,0.09,858600,0.0,0.0
1980-04-23,0.0,0.09,0.09,0.09,113400,0.0,0.0
1980-04-24,0.0,0.09,0.09,0.09,259200,0.0,0.0
1980-04-25,0.0,0.09,0.09,0.09,259200,0.0,0.0
1980-04-28,0.0,0.09,0.09,0.09,48600,0.0,0.0
1980-04-29,0.0,0.09,0.09,0.09,453600,0.0,0.0
1980-04-30,0.0,0.09,0.09,0.09,340200,0.0,0.0
1980-05-01,0.0,0.09,0.09,0.09,469800,0.0,0.0
1980-05-02,0.0,0.09,0.09,0.09,1117800,0.0,0.0
1980-05-05,0.0,0.09,0.09,0.09,372600,0.0,0.0
1980-05-06,0.0,0.09,0.09,0.09,583200,0.0,0.0
1980-05-07,0.0,0.09,0.09,0.09,2008800,0.0,0.0
1980-05-08,0.0,0.09,0.09,0.09,307800,0.0,0.0
1980-05-09,0.0,0.09,0.09,0.09,437400,0.0,0.0
1980-05-12,0.0,0.09,0.09,0.09,210600,0.0,0.0
1980-05-13,0.0,0.09,0.09,0.09,226800,0.0,0.0
1980-05-14,0.0,0.09,0.09,0.09,324000,0.0,0.0
1980-05-15,0.0,0.09,0.09,0.09,437400,0.0,0.0
1980-05-16,0.0,0.09,0.09,0.09,567000,0.0,0.0
1980-05-19,0.0,0.09,0.09,0.09,64800,0.0,0.0
1980-05-20,0.0,0.09,0.09,0.09,858600,0.0,0.0
1980-05-21,0.0,0.09,0.09,0.09,599400,0.0,0.0
1980-05-22,0.0,0.09,0.09,0.09,1296000,0.0,0.0
1980-05-23,0.0,0.09,0.09,0.09,631800,0.0,0.0
1980-05-27,0.0,0.09,0.09,0.09,988200,0.0,0.0
1980-05-28,0.0,0.09,0.09,0.09,226800,0.0,0.0
1980-05-29,0.0,0.09,0.09,0.09,275400,0.0,0.0
1980-05-30,0.0,0.09,0.09,0.09,437400,0.0,0.0
1980-06-02,0.0,0.09,0.09,0.09,226800,0.0,0.0
1980-06-03,0.0,0.09,0.09,0.09,1652400,0.0,0.0
1980-06-04,0.0,0.09,0.09,0.09,1636200,0.0,0.0
1980-06-05,0.0,0.09,0.09,0.09,1247400,0.0,0.0
1980-06-06,0.0,0.09,0.09,0.09,615600,0.0,0.0
1980-06-09,0.0,0.09,0.09,0.09,1684800,0.0,0.0
1980-06-10,0.0,0.09,0.09,0.09,1911600,0.0,0.0
1980-06-11,0.0,0.09,0.09,0.09,696600,0.0,0.0
1980-06-12,0.0,0.09,0.09,0.09,1895400,0.0,0.0
1980-06-13,0.0,0.09,0.09,0.09,243000,0.0,0.0
1980-06-16,0.0,0.09,0.09,0.09,405000,0.0,0.0
1980-06-17,0.0,0.09,0.09,0.09,664200,0.0,0.0
1980-06-18,0.0,0.09,0.09,0.09,842400,0.0,0.0
1980-06-19,0.0,0.09,0.09,0.09,1117800,0.0,0.0
1980-06-20,0.0,0.09,0.09,0.09,550800,0.0,0.0
1980-06-23,0.0,0.09,0.09,0.09,129600,0.0,0.0
1980-06-24,0.0,0.09,0.09,0.09,356400,0.0,0.0
1980-06-25,0.0,0.09,0.09,0.09,437400,0.0,0.0
1980-06-26,0.0,0.09,0.09,0.09,356400,0.0,0.0
1980-06-27,0.0,0.09,0.09,0.09,405000,0.0,0.0
1980-06-30,0.0,0.09,0.09,0.09,567000,0.0,0.0
1980-07-01,0.0,0.09,0.09,0.09,469800,0.0,0.0
1980-07-02,0.0,0.09,0.09,0.09,534600,0.0,0.0
1980-07-03,0.0,0.09,0.09,0.09,518400,0.0,0.0
1980-07-07,0.0,0.09,0.09,0.09,145800,0.0,0.0
1980-07-08,0.0,0.09,0.09,0.09,324000,0.0,0.0
1980-07-09,0.0,0.1,0.09,0.09,3871800,0.0,0.0
1980-07-10,0.0,0.09,0.09,0.09,1441800,0.0,0.0
1980-07-11,0.0,0.09,0.09,0.09,226800,0.0,0.0
1980-07-14,0.0,0.1,0.1,0.1,3936600,0.0,0.0
1980-07-15,0.0,0.1,0.1,0.1,4147200,0.0,0.0
1980-07-16,0.0,0.1,0.1,0.1,1425600,0.0,0.0
1980-07-17,0.0,0.1,0.1,0.1,1782000,0.0,0.0
1980-07-18,0.0,0.1,0.1,0.1,1004400,0.0,0.0
1980-07-21,0.0,0.1,0.1,0.1,648000,0.0,0.0
1980-07-22,0.0,0.1,0.1,0.1,2980800,0.0,0.0
1980-07-23,0.0,0.11,0.11,0.11,1944000,0.0,0.0
1980-07-24,0.0,0.11,0.11,0.11,1085400,0.0,0.0
1980-07-25,0.0,0.11,0.11,0.11,777600,0.0,0.0
1980-07-28,0.0,0.11,0.11,0.11,599400,0.0,0.0
1980-07-29,0.0,0.11,0.11,0.11,324000,0.0,0.0
1980-07-30,0.0,0.11,0.11,0.11,1198800,0.0,0.0
1980-07-31,0.0,0.11,0.11,0.11,275400,0.0,0.0
1980-08-01,0.0,0.11,0.11,0.11,826200,0.0,0.0
1980-08-04,0.0,0.11,0.11,0.11,486000,0.0,0.0
1980-08-05,0.0,0.11,0.11,0.11,631800,0.0,0.0
1980-08-06,0.0,0.11,0.11,0.11,307800,0.0,0.0
1980-08-07,0.0,0.11,0.11,0.11,1425600,0.0,0.0
1980-08-08,0.0,0.12,0.11,0.11,1522800,0.0,0.0
1980-08-11,0.0,0.12,0.12,0.12,2203200,0.0,0.0
1980-08-12,0.0,0.12,0.12,0.12,1474200,0.0,0.0
1980-08-13,0.0,0.12,0.12,0.12,1539000,0.0,0.0
1980-08-14,0.0,0.12,0.11,0.11,453600,0.0,0.0
1980-08-15,0.0,0.12,0.11,0.11,1004400,0.0,0.0
1980-08-18,0.0,0.12,0.11,0.11,534600,0.0,0.0
1980-08-19,0.0,0.12,0.11,0.11,567000,0.0,0.0
1980-08-20,0.0,0.12,0.11,0.11,745200,0.0,0.0
1980-08-21,0.0,0.12,0.12,0.12,534600,0.0,0.0
1980-08-22,0.0,0.12,0.11,0.11,243000,0.0,0.0
1980-08-25,0.0,0.12,0.12,0.12,550800,0.0,0.0
1980-08-26,0.0,0.12,0.12,0.12,307800,0.0,0.0
1980-08-27,0.0,0.11,0.11,0.11,2316600,0.0,0.0
1980-08-28,0.0,0.11,0.11,0.11,2705400,0.0,0.0
1980-08-29,0.0,0.11,0.11,0.11,891000,0.0,0.0
1980-09-02,0.0,0.11,0.11,0.11,162000,0.0,0.0
1980-09-03,0.0,0.11,0.11,0.11,210600,0.0,0.0
1980-09-04,0.0,0.11,0.11,0.11,1652400,0.0,0.0
1980-09-05,0.0,0.11,0.11,0.11,1134000,0.0,0.0
1980-09-08,0.0,0.11,0.11,0.11,307800,0.0,0.0
1980-09-09,0.0,0.11,0.11,0.11,194400,0.0,0.0
1980-09-10,0.0,0.11,0.11,0.11,113400,0.0,0.0
1980-09-11,0.0,0.11,0.11,0.11,1506600,0.0,0.0
1980-09-12,0.0,0.11,0.11,0.11,988200,0.0,0.0
1980-09-15,0.0,0.11,0.11,0.11,486000,0.0,0.0
1980-09-16,0.0,0.11,0.11,0.11,405000,0.0,0.0
1980-09-17,0.0,0.12,0.12,0.12,1911600,0.0,0.0
1980-09-18,0.0,0.12,0.12,0.12,453600,0.0,0.0
1980-09-19,0.0,0.12,0.12,0.12,1198800,0.0,0.0
1980-09-22,0.0,0.13,0.13,0.13,1830600,0.0,0.0
1980-09-23,0.0,0.13,0.13,0.13,1717200,0.0,0.0
1980-09-24,0.0,0.14,0.13,0.13,1636200,0.0,0.0
1980-09-25,0.0,0.13,0.13,0.13,2251800,0.0,0.0
1980-09-26,0.0,0.13,0.13,0.13,1636200,0.0,0.0
1980-09-29,0.0,0.13,0.13,0.13,388800,0.0,0.0
1980-09-30,0.0,0.13,0.13,0.13,1555200,0.0,0.0
1980-10-01,0.0,0.13,0.13,0.13,777600,0.0,0.0
1980-10-02,0.0,0.13,0.13,0.13,372600,0.0,0.0
1980-10-03,0.0,0.13,0.13,0.13,1328400,0.0,0.0
1980-10-06,0.0,0.14,0.13,0.13,1409400,0.0,0.0
1980-10-07,0.0,0.15,0.14,0.14,2770200,0.0,0.0
1980-10-08,0.0,0.15,0.15,0.15,2073600,0.0,0.0
1980-10-09,0.0,0.15,0.15,0.15,1441800,0.0,0.0
1980-10-10,0.0,0.15,0.15,0.15,680400,0.0,0.0
1980-10-13,0.0,0.15,0.15,0.15,891000,0.0,0.0
1980-10-14,0.0,0.15,0.15,0.15,372600,0.0,0.0
1980-10-15,0.0,0.14,0.14,0.14,696600,0.0,0.0
1980-10-16,0.0,0.15,0.15,0.15,1506600,0.0,0.0
1980-10-17,0.0,0.14,0.14,0.14,1458000,0.0,0.0
1980-10-20,0.0,0.14,0.13,0.13,1944000,0.0,0.0
1980-10-21,0.0,0.14,0.13,0.13,3142800,0.0,0.0
1980-10-22,0.0,0.13,0.13,0.13,712800,0.0,0.0
1980-10-23,0.0,0.13,0.13,0.13,1069200,0.0,0.0
1980-10-24,0.0,0.13,0.13,0.13,243000,0.0,0.0
1980-10-27,0.0,0.13,0.13,0.13,1863000,0.0,0.0
1980-10-28,0.0,0.13,0.12,0.12,518400,0.0,0.0
1980-10-29,0.0,0.13,0.13,0.13,1312200,0.0,0.0
1980-10-30,0.0,0.13,0.12,0.12,1134000,0.0,0.0
1980-10-31,0.0,0.13,0.13,0.13,3013200,0.0,0.0
1980-11-03,0.0,0.13,0.13,0.13,291600,0.0,0.0
1980-11-05,0.0,0.13,0.13,0.13,1036800,0.0,0.0
1980-11-06,0.0,0.13,0.13,0.13,1944000,0.0,0.0
1980-11-07,0.0,0.14,0.13,0.13,1377000,0.0,0.0
1980-11-10,0.0,0.14,0.14,0.14,1441800,0.0,0.0
1980-11-11,0.0,0.15,0.15,0.15,2948400,0.0,0.0
1980-11-12,0.0,0.16,0.16,0.16,3121200,0.0,1.5
1980-11-13,0.0,0.17,0.16,0.16,2030400,0.0,0.0
1980-11-14,0.0,0.17,0.16,0.16,140400,0.0,0.0
1980-11-17,0.0,0.16,0.16,0.16,896400,0.0,0.0
1980-11-18,0.0,0.16,0.16,0.16,259200,0.0,0.0
1980-11-19,0.0,0.16,0.16,0.16,183600,0.0,0.0
1980-11-20,0.0,0.16,0.16,0.16,388800,0.0,0.0
1980-11-21,0.0,0.16,0.16,0.16,399600,0.0,0.0
1980-11-24,0.0,0.16,0.16,0.16,745200,0.0,0.0
1980-11-25,0.0,0.17,0.16,0.16,367200,0.0,0.0
1980-11-26,0.0,0.17,0.17,0.17,691200,0.0,0.0
1980-11-28,0.0,0.17,0.17,0.17,432000,0.0,0.0
1980-12-01,0.0,0.17,0.17,0.17,1857600,0.0,0.0
1980-12-02,0.0,0.17,0.16,0.16,669600,0.0,0.0
1980-12-03,0.0,0.17,0.16,0.16,205200,0.0,0.0
1980-12-04,0.0,0.17,0.16,0.16,129600,0.0,0.0
1980-12-05,0.0,0.16,0.16,0.16,540000,0.0,0.0
1980-12-08,0.0,0.15,0.14,0.14,1447200,0.0,0.0
1980-12-09,0.0,0.14,0.14,0.14,907200,0.0,0.0
1980-12-10,0.0,0.14,0.14,0.14,280800,0.0,0.0
1980-12-11,0.0,0.14,0.13,0.13,1425600,0.0,0.0
1980-12-12,0.0,0.14,0.14,0.14,108000,0.0,0.0
1980-12-15,0.0,0.14,0.14,0.14,550800,0.0,0.0
1980-12-16,0.0,0.14,0.14,0.14,475200,0.0,0.0
1980-12-17,0.0,0.15,0.15,0.15,1436400,0.0,0.0
1980-12-18,0.0,0.16,0.16,0.16,1123200,0.0,0.0
1980-12-19,0.0,0.17,0.17,0.17,637200,0.0,0.0
1980-12-22,0.0,0.17,0.17,0.17,658800,0.0,0.0
1980-12-23,0.0,0.18,0.17,0.17,939600,0.0,0.0
1980-12-24,0.0,0.18,0.17,0.17,540000,0.0,0.0
1980-12-26,0.0,0.18,0.17,0.17,248400,0.0,0.0
1980-12-29,0.0,0.18,0.18,0.18,626400,0.0,0.0
1980-12-30,0.0,0.18,0.18,0.18,993600,0.0,0.0
1980-12-31,0.0,0.18,0.18,0.18,64800,0.0,0.0
1981-01-02,0.0,0.18,0.18,0.18,86400,0.0,0.0
1981-01-05,0.0,0.19,0.19,0.19,1976400,0.0,0.0
1981-01-06,0.0,0.19,0.19,0.19,4114800,0.0,0.0
1981-01-07,0.0,0.18,0.18,0.18,1522800,0.0,0.0
1981-01-08,0.0,0.17,0.17,0.17,2030400,0.0,0.0
1981-01-09,0.0,0.17,0.17,0.17,1144800,0.0,0.0
1981-01-12,0.0,0.17,0.17,0.17,756000,0.0,0.0
1981-01-13,0.0,0.17,0.16,0.16,734400,0.0,0.0
1981-01-14,0.0,0.17,0.17,0.17,712800,0.0,0.0
1981-01-15,0.0,0.17,0.17,0.17,594000,0.0,0.0
1981-01-16,0.0,0.16,0.16,0.16,432000,0.0,0.0
1981-01-19,0.0,0.16,0.15,0.15,9342000,0.0,0.0
1981-01-20,0.0,0.16,0.16,0.16,8348400,0.0,0.0
1981-01-21,0.0,0.16,0.16,0.16,1533600,0.0,0.0
1981-01-22,0.0,0.17,0.16,0.16,637200,0.0,0.0
1981-01-23,0.0,0.16,0.16,0.16,162000,0.0,0.0
1981-01-26,0.0,0.16,0.16,0.16,550800,0.0,0.0
1981-01-27,0.0,0.16,0.16,0.16,345600,0.0,0.0
1981-01-28,0.0,0.16,0.16,0.16,183600,0.0,0.0
1981-01-29,0.0,0.16,0.16,0.16,151200,0.0,0.0
1981-01-30,0.0,0.16,0.16,0.16,421200,0.0,0.0
1981-02-02,0.0,0.16,0.16,0.16,928800,0.0,0.0
1981-02-03,0.0,0.15,0.15,0.15,1188000,0.0,0.0
1981-02-04,0.0,0.15,0.15,0.15,259200,0.0,0.0
1981-02-05,0.0,0.15,0.15,0.15,226800,0.0,0.0
1981-02-06,0.0,0.15,0.15,0.15,561600,0.0,0.0
1981-02-09,0.0,0.15,0.15,0.15,680400,0.0,0.0
1981-02-10,0.0,0.15,0.15,0.15,54000,0.0,0.0
1981-02-11,0.0,0.15,0.15,0.15,313200,0.0,0.0
1981-02-12,0.0,0.15,0.15,0.15,32400,0.0,0.0
