Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-05-08,0.08,0.08,0.08,0.08,28800,0.0,0.0
1973-05-09,0.08,0.08,0.08,0.08,28800,0.0,0.0
1973-05-10,0.08,0.09,0.08,0.09,172800,0.0,0.0
1973-05-11,0.09,0.09,0.09,0.09,331200,0.0,0.0
1973-05-14,0.09,0.09,0.09,0.09,0,0.0,0.0
1973-05-15,0.09,0.09,0.09,0.09,316800,0.0,0.0
1973-05-16,0.09,0.09,0.08,0.08,57600,0.0,0.0
1973-05-17,0.08,0.08,0.08,0.08,86400,0.0,0.0
1973-05-18,0.08,0.08,0.08,0.08,201600,0.0,0.0
1973-05-21,0.08,0.08,0.07,0.07,100800,0.0,0.0
1973-05-22,0.07,0.07,0.07,0.07,0,0.0,0.0
1973-05-23,0.07,0.07,0.07,0.07,0,0.0,0.0
1973-05-24,0.07,0.07,0.07,0.07,0,0.0,0.0
1973-05-25,0.07,0.07,0.07,0.07,0,0.0,0.0
1973-05-29,0.08,0.08,0.08,0.08,28800,0.0,0.0
1973-05-30,0.07,0.07,0.07,0.07,115200,0.0,0.0
1973-05-31,0.07,0.07,0.07,0.07,28800,0.0,0.0
1973-06-01,0.07,0.07,0.07,0.07,216000,0.0,0.0
1973-06-04,0.07,0.07,0.07,0.07,331200,0.0,0.0
1973-06-05,0.06,0.06,0.06,0.06,403200,0.0,0.0
1973-06-06,0.06,0.06,0.05,0.06,662400,0.0,0.0
1973-06-07,0.06,0.06,0.06,0.06,57600,0.0,0.0
1973-06-08,0.06,0.07,0.06,0.06,43200,0.0,0.0
1973-06-11,0.06,0.06,0.06,0.06,0,0.0,0.0
1973-06-12,0.07,0.07,0.07,0.07,0,0.0,0.0
1973-06-13,0.07,0.07,0.07,0.07,0,0.0,0.0
1973-06-14,0.07,0.07,0.06,0.06,115200,0.0,0.0
1973-06-15,0.06,0.06,0.06,0.06,172800,0.0,0.0
1973-06-18,0.06,0.06,0.06,0.06,331200,0.0,0.0
1973-06-19,0.06,0.06,0.06,0.06,0,0.0,0.0
1973-06-20,0.06,0.06,0.06,0.06,172800,0.0,0.0
1973-06-21,0.06,0.06,0.06,0.06,0,0.0,0.0
1973-06-22,0.06,0.06,0.06,0.06,0,0.0,0.0
1973-06-25,0.06,0.06,0.06,0.06,0,0.0,0.0
1973-06-26,0.06,0.06,0.06,0.06,0,0.0,0.0
1973-06-27,0.06,0.06,0.06,0.06,0,0.0,0.0
1973-06-28,0.06,0.06,0.06,0.06,0,0.0,0.0
1973-06-29,0.06,0.06,0.06,0.06,0,0.0,0.0
1973-07-02,0.06,0.06,0.06,0.06,288000,0.0,0.0
1973-07-03,0.06,0.06,0.06,0.06,432000,0.0,0.0
1973-07-05,0.06,0.06,0.06,0.06,0,0.0,0.0
1973-07-06,0.06,0.06,0.06,0.06,0,0.0,0.0
1973-07-09,0.06,0.06,0.06,0.06,0,0.0,0.0
1973-07-10,0.06,0.06,0.06,0.06,0,0.0,0.0
1973-07-11,0.06,0.06,0.06,0.06,0,0.0,0.0
1973-07-12,0.06,0.06,0.06,0.06,115200,0.0,0.0
1973-07-13,0.06,0.06,0.06,0.06,0,0.0,0.0
1973-07-16,0.06,0.06,0.06,0.06,0,0.0,0.0
1973-07-17,0.07,0.07,0.07,0.07,172800,0.0,0.0
1973-07-18,0.07,0.07,0.07,0.07,0,0.0,0.0
1973-07-19,0.07,0.07,0.07,0.07,144000,0.0,0.0
1973-07-20,0.07,0.07,0.07,0.07,0,0.0,0.0
1973-07-23,0.07,0.07,0.07,0.07,0,0.0,0.0
1973-07-24,0.07,0.07,0.07,0.07,0,0.0,0.0
1973-07-25,0.07,0.07,0.07,0.07,100800,0.0,0.0
1973-07-26,0.08,0.08,0.08,0.08,172800,0.0,0.0
1973-07-27,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-07-30,0.08,0.08,0.08,0.08,57600,0.0,0.0
1973-07-31,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-08-01,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-08-02,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-08-03,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-08-06,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-08-07,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-08-08,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-08-09,0.08,0.08,0.08,0.08,28800,0.0,0.0
1973-08-10,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-08-13,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-08-14,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-08-15,0.08,0.08,0.08,0.08,345600,0.0,0.0
1973-08-16,0.08,0.08,0.08,0.08,446400,0.0,0.0
1973-08-17,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-08-20,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-08-21,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-08-22,0.08,0.08,0.08,0.08,86400,0.0,0.0
1973-08-23,0.08,0.08,0.08,0.08,288000,0.0,0.0
1973-08-24,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-08-27,0.08,0.08,0.08,0.08,230400,0.0,0.0
1973-08-28,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-08-29,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-08-30,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-08-31,0.08,0.08,0.08,0.08,518400,0.0,0.0
1973-09-04,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-09-05,0.08,0.08,0.08,0.08,57600,0.0,0.0
1973-09-06,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-09-07,0.08,0.08,0.08,0.08,1382400,0.0,0.0
1973-09-10,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-09-11,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-09-12,0.08,0.08,0.08,0.08,172800,0.0,0.0
1973-09-13,0.08,0.08,0.08,0.08,864000,0.0,0.0
1973-09-14,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-09-17,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-09-18,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-09-19,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-09-20,0.08,0.08,0.08,0.08,460800,0.0,0.0
1973-09-21,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-09-24,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-09-25,0.08,0.08,0.08,0.08,43200,0.0,0.0
1973-09-26,0.08,0.08,0.08,0.08,28800,0.0,0.0
1973-09-27,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-09-28,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-10-01,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-10-02,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-10-03,0.08,0.08,0.08,0.08,849600,0.0,0.0
1973-10-04,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-10-05,0.08,0.08,0.08,0.08,518400,0.0,0.0
1973-10-08,0.08,0.08,0.08,0.08,3643200,0.0,0.0
1973-10-09,0.08,0.08,0.08,0.08,28800,0.0,0.0
1973-10-10,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-10-11,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-10-12,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-10-15,0.09,0.09,0.09,0.09,720000,0.0,0.0
1973-10-16,0.09,0.09,0.09,0.09,144000,0.0,0.0
1973-10-17,0.09,0.09,0.09,0.09,216000,0.0,0.0
1973-10-18,0.09,0.1,0.09,0.1,43200,0.0,0.0
1973-10-19,0.1,0.1,0.1,0.1,1540800,0.0,0.0
1973-10-22,0.1,0.1,0.1,0.1,43200,0.0,0.0
1973-10-23,0.1,0.1,0.09,0.09,57600,0.0,0.0
1973-10-24,0.09,0.09,0.09,0.09,0,0.0,0.0
1973-10-25,0.09,0.09,0.09,0.09,691200,0.0,0.0
1973-10-26,0.09,0.09,0.09,0.09,432000,0.0,0.0
1973-10-29,0.09,0.1,0.09,0.1,403200,0.0,0.0
1973-10-30,0.1,0.1,0.1,0.1,230400,0.0,0.0
1973-10-31,0.1,0.1,0.1,0.1,0,0.0,0.0
1973-11-01,0.1,0.1,0.1,0.1,0,0.0,0.0
1973-11-02,0.1,0.1,0.1,0.1,0,0.0,0.0
1973-11-05,0.1,0.1,0.1,0.1,0,0.0,0.0
1973-11-06,0.1,0.1,0.1,0.1,0,0.0,0.0
1973-11-07,0.09,0.09,0.09,0.09,144000,0.0,0.0
1973-11-08,0.09,0.09,0.09,0.09,0,0.0,0.0
1973-11-09,0.09,0.09,0.09,0.09,158400,0.0,0.0
1973-11-12,0.09,0.09,0.09,0.09,43200,0.0,0.0
1973-11-13,0.09,0.09,0.09,0.09,0,0.0,0.0
1973-11-14,0.09,0.09,0.09,0.09,172800,0.0,0.0
1973-11-15,0.09,0.09,0.09,0.09,86400,0.0,0.0
1973-11-16,0.09,0.09,0.09,0.09,0,0.0,0.0
1973-11-19,0.09,0.09,0.09,0.09,172800,0.0,0.0
1973-11-20,0.09,0.09,0.09,0.09,86400,0.0,0.0
1973-11-21,0.09,0.09,0.09,0.09,115200,0.0,0.0
1973-11-23,0.09,0.09,0.09,0.09,86400,0.0,0.0
1973-11-26,0.09,0.09,0.09,0.09,0,0.0,0.0
1973-11-27,0.09,0.09,0.09,0.09,201600,0.0,0.0
1973-11-28,0.09,0.09,0.09,0.09,0,0.0,0.0
1973-11-29,0.09,0.09,0.08,0.08,288000,0.0,0.0
1973-11-30,0.08,0.08,0.08,0.08,489600,0.0,0.0
1973-12-03,0.08,0.08,0.08,0.08,144000,0.0,0.0
1973-12-04,0.08,0.08,0.08,0.08,331200,0.0,0.0
1973-12-05,0.08,0.08,0.08,0.08,576000,0.0,0.0
1973-12-06,0.08,0.08,0.08,0.08,86400,0.0,0.0
1973-12-07,0.08,0.08,0.08,0.08,100800,0.0,0.0
1973-12-10,0.08,0.08,0.08,0.08,0,0.0,0.0
1973-12-11,0.08,0.08,0.08,0.08,57600,0.0,0.0
1973-12-12,0.08,0.08,0.07,0.07,878400,0.0,0.0
1973-12-13,0.07,0.07,0.07,0.07,172800,0.0,0.0
1973-12-14,0.07,0.07,0.07,0.07,0,0.0,0.0
1973-12-17,0.07,0.07,0.07,0.07,432000,0.0,0.0
1973-12-18,0.07,0.07,0.07,0.07,748800,0.0,0.0
1973-12-19,0.07,0.07,0.07,0.07,57600,0.0,0.0
1973-12-20,0.07,0.07,0.07,0.07,158400,0.0,0.0
1973-12-21,0.07,0.07,0.07,0.07,0,0.0,0.0
1973-12-24,0.07,0.07,0.07,0.07,0,0.0,0.0
1973-12-26,0.07,0.07,0.07,0.07,0,0.0,0.0
1973-12-27,0.07,0.07,0.07,0.07,0,0.0,0.0
1973-12-28,0.07,0.07,0.07,0.07,57600,0.0,0.0
1973-12-31,0.07,0.07,0.07,0.07,331200,0.0,0.0
1974-01-02,0.07,0.07,0.07,0.07,0,0.0,0.0
1974-01-03,0.07,0.07,0.07,0.07,316800,0.0,0.0
1974-01-04,0.07,0.07,0.07,0.07,1584000,0.0,0.0
1974-01-07,0.07,0.07,0.07,0.07,144000,0.0,0.0
1974-01-08,0.07,0.07,0.07,0.07,0,0.0,0.0
1974-01-09,0.07,0.07,0.07,0.07,288000,0.0,0.0
1974-01-10,0.07,0.07,0.07,0.07,144000,0.0,0.0
1974-01-11,0.07,0.07,0.07,0.07,0,0.0,0.0
1974-01-14,0.07,0.07,0.07,0.07,0,0.0,0.0
1974-01-15,0.07,0.07,0.07,0.07,0,0.0,0.0
1974-01-16,0.07,0.07,0.07,0.07,0,0.0,0.0
1974-01-17,0.07,0.07,0.07,0.07,0,0.0,0.0
1974-01-18,0.07,0.07,0.07,0.07,43200,0.0,0.0
1974-01-21,0.07,0.07,0.07,0.07,0,0.0,0.0
1974-01-22,0.07,0.07,0.07,0.07,0,0.0,0.0
1974-01-23,0.07,0.07,0.07,0.07,0,0.0,0.0
1974-01-24,0.07,0.07,0.07,0.07,0,0.0,0.0
1974-01-25,0.07,0.07,0.07,0.07,0,0.0,0.0
1974-01-28,0.07,0.07,0.07,0.07,0,0.0,0.0
1974-01-29,0.07,0.07,0.07,0.07,0,0.0,0.0
1974-01-30,0.07,0.07,0.07,0.07,0,0.0,0.0
1974-01-31,0.07,0.07,0.07,0.07,0,0.0,0.0
1974-02-01,0.07,0.07,0.07,0.07,0,0.0,0.0
