Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-04-02,0.0,0.38,0.37,0.37,40921600,0.0,0.0
1986-04-03,0.0,0.43,0.37,0.42,20761600,0.0,0.0
1986-04-04,0.0,0.43,0.41,0.42,10419200,0.0,0.0
1986-04-07,0.0,0.42,0.4,0.41,6387200,0.0,0.0
1986-04-08,0.0,0.42,0.4,0.42,2768000,0.0,0.0
1986-04-09,0.0,0.43,0.42,0.42,2454400,0.0,0.0
1986-04-10,0.0,0.45,0.42,0.44,5267200,0.0,0.0
1986-04-11,0.0,0.46,0.45,0.46,2464000,0.0,0.0
1986-04-14,0.0,0.48,0.45,0.48,2601600,0.0,0.0
1986-04-15,0.0,0.48,0.47,0.48,1648000,0.0,0.0
1986-04-16,0.0,0.51,0.48,0.51,1993600,0.0,0.0
1986-04-17,0.0,0.52,0.51,0.52,1296000,0.0,0.0
1986-04-18,0.0,0.54,0.52,0.53,3625600,0.0,0.0
1986-04-21,0.0,0.59,0.53,0.58,4800000,0.0,0.0
1986-04-22,0.0,0.64,0.58,0.61,6912000,0.0,0.0
1986-04-23,0.0,0.61,0.59,0.61,3430400,0.0,0.0
1986-04-24,0.0,0.62,0.61,0.61,1353600,0.0,0.0
1986-04-25,0.0,0.62,0.6,0.61,1228800,0.0,0.0
1986-04-28,0.0,0.62,0.61,0.61,454400,0.0,0.0
1986-04-29,0.0,0.61,0.6,0.61,3337600,0.0,0.0
1986-04-30,0.0,0.61,0.55,0.55,4256000,0.0,0.0
1986-05-01,0.0,0.55,0.53,0.53,2880000,0.0,0.0
1986-05-02,0.0,0.54,0.53,0.54,838400,0.0,0.0
1986-05-05,0.0,0.54,0.53,0.54,886400,0.0,0.0
1986-05-06,0.0,0.54,0.53,0.54,1043200,0.0,0.0
1986-05-07,0.0,0.54,0.49,0.5,3372800,0.0,0.0
1986-05-08,0.0,0.51,0.48,0.5,3769600,0.0,0.0
1986-05-09,0.0,0.52,0.5,0.51,2182400,0.0,0.0
1986-05-12,0.0,0.51,0.49,0.5,889600,0.0,0.0
1986-05-13,0.0,0.5,0.46,0.47,1440000,0.0,0.0
1986-05-14,0.0,0.48,0.47,0.48,1078400,0.0,0.0
1986-05-15,0.0,0.48,0.48,0.48,304000,0.0,0.0
1986-05-16,0.0,0.48,0.47,0.47,1712000,0.0,0.0
1986-05-19,0.0,0.47,0.46,0.46,707200,0.0,0.0
1986-05-20,0.0,0.47,0.46,0.46,118400,0.0,0.0
1986-05-21,0.0,0.48,0.46,0.47,419200,0.0,0.0
1986-05-22,0.0,0.48,0.47,0.48,188800,0.0,0.0
1986-05-23,0.0,0.52,0.48,0.51,1968000,0.0,0.0
1986-05-27,0.0,0.55,0.51,0.55,1472000,0.0,0.0
1986-05-28,0.0,0.57,0.56,0.56,1164800,0.0,0.0
1986-05-29,0.0,0.56,0.53,0.55,1625600,0.0,0.0
1986-05-30,0.0,0.54,0.53,0.53,614400,0.0,0.0
1986-06-02,0.0,0.54,0.52,0.52,886400,0.0,0.0
1986-06-03,0.0,0.52,0.52,0.52,320000,0.0,0.0
1986-06-04,0.0,0.53,0.52,0.52,905600,0.0,0.0
1986-06-05,0.0,0.54,0.52,0.54,1014400,0.0,0.0
1986-06-06,0.0,0.54,0.54,0.54,19200,0.0,0.0
1986-06-09,0.0,0.54,0.52,0.52,944000,0.0,0.0
1986-06-10,0.0,0.52,0.5,0.52,998400,0.0,0.0
1986-06-11,0.0,0.53,0.52,0.53,720000,0.0,0.0
1986-06-12,0.0,0.53,0.53,0.53,214400,0.0,0.0
1986-06-13,0.0,0.53,0.53,0.53,147200,0.0,0.0
1986-06-16,0.0,0.54,0.53,0.53,336000,0.0,0.0
1986-06-17,0.0,0.54,0.53,0.53,121600,0.0,0.0
1986-06-18,0.0,0.53,0.53,0.53,403200,0.0,0.0
1986-06-19,0.0,0.53,0.52,0.53,115200,0.0,0.0
1986-06-20,0.0,0.53,0.52,0.52,28800,0.0,0.0
1986-06-23,0.0,0.53,0.52,0.53,268800,0.0,0.0
