Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.12,0.12,0.12,3527539,0.0,0.0
1980-03-18,0.0,0.12,0.11,0.12,285466,0.0,0.0
1980-03-19,0.0,0.11,0.11,0.11,149530,0.0,0.0
1980-03-20,0.0,0.11,0.11,0.11,305856,0.0,0.0
1980-03-21,0.0,0.12,0.11,0.12,190310,0.0,0.0
1980-03-24,0.0,0.12,0.11,0.11,183514,0.0,0.0
1980-03-25,0.0,0.11,0.11,0.11,163123,0.0,0.0
1980-03-26,0.0,0.11,0.11,0.11,33984,0.0,0.0
1980-03-27,0.0,0.11,0.11,0.11,618509,0.0,0.0
1980-03-28,0.0,0.11,0.11,0.11,47578,0.0,0.0
1980-03-31,0.0,0.11,0.11,0.11,768038,0.0,0.0
1980-04-01,0.0,0.11,0.11,0.11,95155,0.0,0.0
1980-04-02,0.0,0.11,0.11,0.11,122342,0.0,0.0
1980-04-03,0.0,0.11,0.11,0.11,203904,0.0,0.0
1980-04-07,0.0,0.11,0.11,0.11,183514,0.0,0.0
1980-04-08,0.0,0.11,0.11,0.11,190310,0.0,0.0
1980-04-09,0.0,0.11,0.11,0.11,149530,0.0,0.0
1980-04-10,0.0,0.11,0.11,0.11,421402,0.0,0.0
1980-04-11,0.0,0.12,0.11,0.12,360230,0.0,0.0
1980-04-14,0.0,0.12,0.11,0.11,1175846,0.0,0.0
1980-04-15,0.0,0.11,0.11,0.11,6797,0.0,0.0
1980-04-16,0.0,0.11,0.11,0.11,183514,0.0,0.0
1980-04-17,0.0,0.11,0.11,0.11,20390,0.0,0.0
1980-04-18,0.0,0.11,0.11,0.11,27187,0.0,0.0
1980-04-21,0.0,0.11,0.11,0.11,135936,0.0,0.0
1980-04-22,0.0,0.11,0.11,0.11,428198,0.0,0.0
1980-04-23,0.0,0.11,0.11,0.11,448589,0.0,0.0
1980-04-24,0.0,0.11,0.11,0.11,278669,0.0,0.0
1980-04-25,0.0,0.11,0.11,0.11,13594,0.0,0.0
1980-04-28,0.0,0.11,0.11,0.11,441792,0.0,0.0
1980-04-29,0.0,0.11,0.11,0.11,54374,0.0,0.0
1980-04-30,0.0,0.11,0.11,0.11,74765,0.0,0.0
1980-05-01,0.0,0.11,0.11,0.11,67968,0.0,0.0
1980-05-02,0.0,0.11,0.11,0.11,217498,0.0,0.0
1980-05-05,0.0,0.12,0.11,0.12,367027,0.0,0.0
1980-05-06,0.0,0.12,0.12,0.12,1243814,0.0,0.0
1980-05-07,0.0,0.12,0.12,0.12,299059,0.0,0.0
1980-05-08,0.0,0.12,0.12,0.12,863194,0.0,0.0
1980-05-09,0.0,0.12,0.12,0.12,346637,0.0,0.0
1980-05-12,0.0,0.12,0.12,0.12,27187,0.0,0.0
1980-05-13,0.0,0.12,0.12,0.12,3228480,0.0,0.0
1980-05-14,0.0,0.12,0.12,0.12,190310,0.0,0.0
1980-05-15,0.0,0.12,0.12,0.12,135936,0.0,0.0
1980-05-16,0.0,0.12,0.12,0.12,2575987,0.0,0.0
1980-05-19,0.0,0.12,0.12,0.12,74765,0.0,0.0
1980-05-20,0.0,0.12,0.12,0.12,54374,0.0,0.0
1980-05-21,0.0,0.13,0.12,0.13,4587840,0.0,0.0
1980-05-22,0.0,0.15,0.13,0.14,7360934,0.0,0.0
1980-05-23,0.0,0.15,0.14,0.14,611712,0.0,0.0
1980-05-27,0.0,0.14,0.14,0.14,251482,0.0,0.0
1980-05-28,0.0,0.14,0.13,0.13,3310042,0.0,0.0
1980-05-29,0.0,0.13,0.13,0.13,971942,0.0,0.0
1980-05-30,0.0,0.13,0.13,0.13,686477,0.0,0.0
1980-06-02,0.0,0.13,0.13,0.13,95155,0.0,0.0
1980-06-03,0.0,0.13,0.13,0.13,129139,0.0,0.0
1980-06-04,0.0,0.13,0.13,0.13,67968,0.0,0.0
1980-06-05,0.0,0.13,0.13,0.13,645696,0.0,0.0
1980-06-06,0.0,0.13,0.13,0.13,312653,0.0,0.0
1980-06-09,0.0,0.13,0.13,0.13,129139,0.0,0.0
1980-06-10,0.0,0.13,0.13,0.13,339840,0.0,0.0
1980-06-11,0.0,0.13,0.13,0.13,203904,0.0,0.0
1980-06-12,0.0,0.13,0.13,0.13,333043,0.0,0.0
1980-06-13,0.0,0.13,0.13,0.13,360230,0.0,0.0
1980-06-16,0.0,0.13,0.13,0.13,319450,0.0,0.0
1980-06-17,0.0,0.13,0.13,0.13,638899,0.0,0.0
1980-06-18,0.0,0.13,0.13,0.13,244685,0.0,0.0
1980-06-19,0.0,0.14,0.13,0.13,897178,0.0,0.0
1980-06-20,0.0,0.13,0.13,0.13,299059,0.0,0.0
1980-06-23,0.0,0.13,0.13,0.13,1169050,0.0,0.0
1980-06-24,0.0,0.13,0.13,0.13,285466,0.0,0.0
1980-06-25,0.0,0.13,0.13,0.13,360230,0.0,0.0
1980-06-26,0.0,0.13,0.13,0.13,910771,0.0,0.0
1980-06-27,0.0,0.13,0.13,0.13,135936,0.0,0.0
1980-06-30,0.13,0.13,0.13,0.13,0,0.0,0.0
1980-07-01,0.0,0.13,0.13,0.13,108749,0.0,0.0
1980-07-02,0.0,0.13,0.13,0.13,944755,0.0,0.0
1980-07-03,0.0,0.14,0.13,0.14,2508019,0.0,0.0
1980-07-07,0.0,0.15,0.14,0.14,346637,0.0,0.0
1980-07-08,0.0,0.14,0.14,0.14,142733,0.0,0.0
1980-07-09,0.0,0.14,0.14,0.14,924365,0.0,0.0
1980-07-10,0.0,0.14,0.14,0.14,224294,0.0,0.0
1980-07-11,0.0,0.14,0.14,0.14,373824,0.0,0.0
1980-07-14,0.0,0.14,0.14,0.14,271872,0.0,0.0
1980-07-15,0.0,0.15,0.14,0.14,1692403,0.0,0.0
1980-07-16,0.0,0.15,0.14,0.15,401011,0.0,0.0
1980-07-17,0.0,0.16,0.15,0.16,815616,0.0,0.0
1980-07-18,0.0,0.16,0.15,0.15,1583654,0.0,0.0
1980-07-21,0.0,0.16,0.15,0.16,1502093,0.0,0.0
1980-07-22,0.0,0.16,0.15,0.15,1209830,0.0,0.0
1980-07-23,0.0,0.15,0.15,0.15,992333,0.0,0.0
1980-07-24,0.0,0.15,0.15,0.15,421402,0.0,0.0
1980-07-25,0.0,0.15,0.15,0.15,849600,0.0,0.0
1980-07-28,0.0,0.15,0.15,0.15,1801152,0.0,0.0
1980-07-29,0.0,0.16,0.15,0.15,1427328,0.0,0.0
1980-07-30,0.0,0.16,0.15,0.16,2786688,0.0,0.0
1980-07-31,0.0,0.16,0.15,0.16,468979,0.0,0.0
1980-08-01,0.0,0.16,0.16,0.16,1203034,0.0,0.0
1980-08-04,0.0,0.16,0.16,0.16,808819,0.0,0.0
1980-08-05,0.0,0.16,0.16,0.16,224294,0.0,0.0
1980-08-06,0.0,0.16,0.15,0.16,618509,0.0,0.0
1980-08-07,0.0,0.16,0.16,0.16,1869120,0.0,0.0
1980-08-08,0.0,0.16,0.16,0.16,502963,0.0,0.0
1980-08-11,0.0,0.16,0.16,0.16,373824,0.0,0.0
1980-08-12,0.0,0.16,0.16,0.16,339840,0.0,0.0
1980-08-13,0.0,0.16,0.16,0.16,299059,0.0,0.0
1980-08-14,0.0,0.16,0.15,0.16,1019520,0.0,0.0
1980-08-15,0.0,0.16,0.16,0.16,319450,0.0,0.0
1980-08-18,0.0,0.16,0.16,0.16,217498,0.0,0.0
1980-08-19,0.0,0.16,0.16,0.16,462182,0.0,0.0
1980-08-20,0.0,0.16,0.16,0.16,197107,0.0,0.0
1980-08-21,0.0,0.16,0.16,0.16,129139,0.0,0.0
1980-08-22,0.0,0.16,0.16,0.16,373824,0.0,0.0
1980-08-25,0.0,0.16,0.16,0.16,373824,0.0,0.0
1980-08-26,0.0,0.16,0.16,0.16,210701,0.0,0.0
1980-08-27,0.0,0.17,0.16,0.17,373824,0.0,0.0
1980-08-28,0.0,0.16,0.16,0.16,142733,0.0,0.0
1980-08-29,0.0,0.16,0.16,0.16,61171,0.0,0.0
1980-09-02,0.0,0.17,0.16,0.17,679680,0.0,0.0
1980-09-03,0.0,0.17,0.16,0.16,1916698,0.0,0.0
1980-09-04,0.0,0.16,0.16,0.16,387418,0.0,0.0
1980-09-05,0.0,0.16,0.16,0.16,258278,0.0,0.0
1980-09-08,0.0,0.16,0.16,0.16,842803,0.0,0.0
1980-09-09,0.0,0.16,0.16,0.16,142733,0.0,0.0
1980-09-10,0.0,0.16,0.16,0.16,2052634,0.0,0.0
1980-09-11,0.0,0.16,0.16,0.16,360230,0.0,0.0
1980-09-12,0.0,0.16,0.16,0.16,434995,0.0,0.0
1980-09-15,0.0,0.17,0.16,0.16,883584,0.0,0.0
1980-09-16,0.0,0.17,0.16,0.17,1909901,0.0,0.0
1980-09-17,0.0,0.17,0.16,0.17,2086618,0.0,0.0
1980-09-18,0.0,0.17,0.16,0.17,4343155,0.0,0.0
1980-09-19,0.0,0.17,0.16,0.16,598118,0.0,0.0
1980-09-22,0.0,0.16,0.16,0.16,312653,0.0,0.0
1980-09-23,0.0,0.18,0.16,0.18,3276058,0.0,0.0
1980-09-24,0.0,0.18,0.18,0.18,6783206,0.0,0.0
1980-09-25,0.0,0.18,0.18,0.18,3180902,0.0,0.0
1980-09-26,0.0,0.18,0.18,0.18,666086,0.0,0.0
1980-09-29,0.0,0.18,0.18,0.18,2773094,0.0,0.0
1980-09-30,0.0,0.18,0.18,0.18,224294,0.0,0.0
1980-10-01,0.0,0.18,0.18,0.18,26276429,0.0,0.0
1980-10-02,0.0,0.18,0.18,0.18,156326,0.0,0.0
1980-10-03,0.0,0.18,0.18,0.18,22857638,0.0,0.0
1980-10-06,0.0,0.18,0.18,0.18,326246,0.0,0.0
1980-10-07,0.0,0.18,0.18,0.18,135936,0.0,0.0
1980-10-08,0.0,0.18,0.18,0.18,550541,0.0,0.0
1980-10-09,0.0,0.18,0.18,0.18,217498,0.0,0.0
1980-10-10,0.0,0.18,0.18,0.18,47578,0.0,0.0
1980-10-13,0.0,0.18,0.18,0.18,244685,0.0,0.0
1980-10-14,0.0,0.18,0.18,0.18,203904,0.0,0.0
1980-10-15,0.0,0.18,0.18,0.18,401011,0.0,0.0
1980-10-16,0.0,0.18,0.18,0.18,2759501,0.0,0.0
1980-10-17,0.0,0.18,0.18,0.18,333043,0.0,0.0
1980-10-20,0.0,0.18,0.18,0.18,6626880,0.0,0.0
1980-10-21,0.0,0.18,0.17,0.18,3119731,0.0,0.0
1980-10-22,0.0,0.16,0.16,0.16,713664,0.0,0.0
1980-10-23,0.0,0.16,0.16,0.16,584525,0.0,0.0
1980-10-24,0.0,0.16,0.15,0.15,1705997,0.0,0.0
1980-10-27,0.0,0.15,0.15,0.15,530150,0.0,0.0
1980-10-28,0.0,0.15,0.15,0.15,951552,0.0,0.0
1980-10-29,0.0,0.16,0.16,0.16,346637,0.0,0.0
1980-10-30,0.0,0.16,0.16,0.16,1196237,0.0,0.0
1980-10-31,0.0,0.16,0.15,0.15,360230,0.0,0.0
1980-11-03,0.0,0.16,0.15,0.16,1135066,0.0,0.0
1980-11-05,0.0,0.16,0.16,0.16,944755,0.0,0.0
1980-11-06,0.0,0.16,0.16,0.16,618509,0.0,0.0
1980-11-07,0.0,0.16,0.15,0.16,3058560,0.0,0.0
1980-11-10,0.0,0.16,0.16,0.16,407808,0.0,0.0
1980-11-11,0.0,0.15,0.15,0.15,448589,0.0,0.0
1980-11-12,0.0,0.15,0.15,0.15,2657549,0.0,0.0
1980-11-13,0.0,0.15,0.15,0.15,2304115,0.0,0.0
1980-11-14,0.0,0.16,0.15,0.16,1508890,0.0,0.0
1980-11-17,0.0,0.16,0.16,0.16,734054,0.0,0.0
1980-11-18,0.0,0.16,0.16,0.16,2052634,0.0,0.0
1980-11-19,0.0,0.16,0.16,0.16,1644826,0.0,0.0
1980-11-20,0.0,0.17,0.16,0.17,672883,0.0,0.0
1980-11-21,0.0,0.17,0.17,0.17,978739,0.0,0.0
1980-11-24,0.0,0.17,0.17,0.17,842803,0.0,0.0
1980-11-25,0.0,0.17,0.17,0.17,1271002,0.0,0.0
1980-11-26,0.0,0.17,0.16,0.17,346637,0.0,0.0
1980-11-28,0.0,0.17,0.16,0.17,441792,0.0,0.0
1980-12-01,0.0,0.17,0.16,0.16,468979,0.0,0.0
1980-12-02,0.0,0.17,0.16,0.16,387418,0.0,0.0
1980-12-03,0.0,0.16,0.16,0.16,237888,0.0,0.0
1980-12-04,0.0,0.16,0.16,0.16,434995,0.0,0.0
1980-12-05,0.0,0.16,0.15,0.15,74765,0.0,0.0
1980-12-08,0.0,0.16,0.15,0.16,706867,0.0,0.0
1980-12-09,0.0,0.16,0.15,0.16,40781,0.0,0.0
1980-12-10,0.0,0.16,0.16,0.16,292262,0.0,0.0
1980-12-11,0.0,0.16,0.16,0.16,176717,0.0,0.0
1980-12-12,0.0,0.15,0.15,0.15,305856,0.0,0.0
1980-12-15,0.0,0.15,0.15,0.15,251482,0.0,0.0
1980-12-16,0.0,0.15,0.15,0.15,13594,0.0,0.0
1980-12-17,0.0,0.15,0.15,0.15,197107,0.0,0.0
1980-12-18,0.0,0.15,0.15,0.15,305856,0.0,0.0
1980-12-19,0.0,0.15,0.15,0.15,203904,0.0,0.0
1980-12-22,0.0,0.15,0.15,0.15,2242944,0.0,0.0
1980-12-23,0.0,0.15,0.15,0.15,1678810,0.0,0.0
