Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-11-21,1.3,1.3,1.2,1.29,5020667,0.0,0.0
1983-11-22,1.29,1.31,1.28,1.28,2666896,0.0,0.0
1983-11-23,1.28,1.29,1.27,1.28,1151978,0.0,0.0
1983-11-25,1.28,1.28,1.26,1.26,1772000,0.0,0.0
1983-11-28,1.26,1.26,1.22,1.23,2368004,0.0,0.0
1983-11-29,1.23,1.23,1.21,1.22,1630560,0.0,0.0
1983-11-30,1.22,1.22,1.21,1.22,2423157,0.0,0.0
1983-12-01,1.22,1.22,1.21,1.22,6249147,0.0,0.0
1983-12-02,1.22,1.23,1.21,1.21,1763994,0.0,0.0
1983-12-05,1.21,1.22,1.2,1.2,1084372,0.0,0.0
1983-12-06,1.2,1.21,1.2,1.2,2176749,0.0,0.0
1983-12-07,1.2,1.22,1.2,1.22,4856099,0.0,0.0
1983-12-08,1.22,1.22,1.21,1.22,7360205,0.0,0.0
1983-12-09,1.22,1.23,1.22,1.22,5222597,0.0,0.0
1983-12-12,1.22,1.23,1.22,1.22,2835022,0.0,0.0
1983-12-13,1.22,1.25,1.22,1.24,6693036,0.0,0.0
1983-12-14,1.24,1.25,1.24,1.25,2521008,0.0,0.0
1983-12-15,1.25,1.25,1.24,1.24,2323526,0.0,0.0
1983-12-16,1.24,1.25,1.24,1.24,2452512,0.0,0.0
1983-12-19,1.24,1.24,1.24,1.24,1610990,0.0,0.0
1983-12-20,1.24,1.24,1.23,1.23,1937458,0.0,0.0
1983-12-21,1.23,1.24,1.22,1.22,1935679,0.0,0.0
1983-12-22,1.22,1.22,1.21,1.21,4871221,0.0,0.0
1983-12-23,1.21,1.21,1.2,1.2,2338649,0.0,0.0
1983-12-27,1.2,1.2,1.19,1.19,3004928,0.0,0.0
1983-12-28,1.19,1.21,1.19,1.2,4580336,0.0,0.0
1983-12-29,1.2,1.21,1.2,1.2,2998701,0.0,0.0
1983-12-30,1.2,1.2,1.19,1.2,1745313,0.0,0.0
1984-01-03,1.2,1.23,1.2,1.23,1973930,0.0,0.0
1984-01-04,1.24,1.29,1.24,1.27,3632956,0.0,0.0
1984-01-05,1.28,1.3,1.28,1.28,3759273,0.0,0.0
1984-01-06,1.27,1.31,1.27,1.3,4508281,0.0,0.0
1984-01-09,1.3,1.3,1.29,1.29,1791570,0.0,0.0
1984-01-10,1.29,1.29,1.28,1.29,1571849,0.0,0.0
1984-01-11,1.29,1.3,1.29,1.29,1258725,0.0,0.0
1984-01-12,1.29,1.3,1.29,1.3,1421514,0.0,0.0
1984-01-13,1.31,1.33,1.31,1.31,3148147,0.0,0.0
1984-01-16,1.32,1.35,1.32,1.32,2448954,0.0,0.0
1984-01-17,1.33,1.34,1.33,1.33,2151841,0.0,0.0
1984-01-18,1.33,1.34,1.33,1.34,2929315,0.0,0.0
1984-01-19,1.34,1.35,1.33,1.34,1812920,0.0,0.0
1984-01-20,1.34,1.35,1.34,1.35,2088683,0.0,0.0
1984-01-23,1.35,1.35,1.34,1.34,1159984,0.0,0.0
1984-01-24,1.34,1.34,1.34,1.34,1173327,0.0,0.0
1984-01-25,1.34,1.35,1.34,1.34,1711510,0.0,0.0
1984-01-26,1.34,1.35,1.33,1.33,2941769,0.0,0.0
