Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-06-01,0.0,0.15,0.15,0.15,249600,0.0,0.0
1972-06-02,0.15,0.15,0.15,0.15,172800,0.0,0.0
1972-06-05,0.15,0.15,0.15,0.15,302400,0.0,0.0
1972-06-06,0.15,0.15,0.15,0.15,196800,0.0,0.0
1972-06-07,0.15,0.15,0.15,0.15,48000,0.0,0.0
1972-06-08,0.15,0.15,0.15,0.15,144000,0.0,0.0
1972-06-09,0.15,0.15,0.15,0.15,43200,0.0,0.0
1972-06-12,0.15,0.15,0.15,0.15,24000,0.0,0.0
1972-06-13,0.15,0.15,0.15,0.15,76800,0.0,0.0
1972-06-14,0.15,0.15,0.15,0.15,244800,0.0,0.0
1972-06-15,0.15,0.15,0.15,0.15,206400,0.0,0.0
1972-06-16,0.15,0.15,0.15,0.15,48000,0.0,0.0
1972-06-19,0.15,0.15,0.15,0.15,91200,0.0,0.0
1972-06-20,0.15,0.15,0.15,0.15,14400,0.0,0.0
1972-06-21,0.15,0.15,0.15,0.15,48000,0.0,0.0
1972-06-22,0.15,0.15,0.15,0.15,86400,0.0,0.0
1972-06-23,0.15,0.16,0.15,0.16,96000,0.0,0.0
1972-06-26,0.16,0.16,0.15,0.16,62400,0.0,0.0
1972-06-27,0.16,0.16,0.16,0.16,67200,0.0,0.0
1972-06-28,0.16,0.16,0.16,0.16,144000,0.0,0.0
1972-06-29,0.16,0.16,0.16,0.16,28800,0.0,0.0
1972-06-30,0.16,0.16,0.16,0.16,72000,0.0,0.0
1972-07-03,0.16,0.17,0.16,0.17,57600,0.0,0.0
1972-07-05,0.17,0.17,0.16,0.16,211200,0.0,0.0
1972-07-06,0.16,0.17,0.16,0.17,254400,0.0,0.0
1972-07-07,0.17,0.17,0.17,0.17,412800,0.0,0.0
1972-07-10,0.17,0.17,0.17,0.17,0,0.0,0.0
1972-07-11,0.17,0.17,0.17,0.17,2904000,0.0,0.0
1972-07-12,0.17,0.17,0.17,0.17,259200,0.0,0.0
1972-07-13,0.17,0.18,0.17,0.18,225600,0.0,0.0
1972-07-14,0.18,0.18,0.17,0.18,172800,0.0,0.0
1972-07-17,0.18,0.18,0.17,0.18,62400,0.0,0.0
1972-07-18,0.18,0.18,0.17,0.18,220800,0.0,0.0
1972-07-19,0.18,0.18,0.18,0.18,24000,0.0,0.0
1972-07-20,0.18,0.18,0.18,0.18,76800,0.0,0.0
1972-07-21,0.18,0.18,0.18,0.18,273600,0.0,0.0
1972-07-24,0.18,0.18,0.18,0.18,225600,0.0,0.0
1972-07-25,0.18,0.18,0.18,0.18,278400,0.0,0.0
1972-07-26,0.18,0.18,0.18,0.18,86400,0.0,0.0
1972-07-27,0.18,0.18,0.18,0.18,518400,0.0,0.0
1972-07-28,0.18,0.18,0.18,0.18,67200,0.0,0.0
1972-07-31,0.18,0.18,0.18,0.18,86400,0.01,0.0
1972-08-01,0.18,0.18,0.18,0.18,264000,0.0,0.0
1972-08-02,0.18,0.18,0.18,0.18,211200,0.0,0.0
1972-08-03,0.18,0.18,0.18,0.18,264000,0.0,0.0
1972-08-04,0.19,0.19,0.19,0.19,681600,0.0,0.0
1972-08-07,0.19,0.19,0.19,0.19,206400,0.0,0.0
1972-08-08,0.19,0.19,0.19,0.19,547200,0.0,0.0
1972-08-09,0.19,0.19,0.19,0.19,244800,0.0,0.0
1972-08-10,0.19,0.19,0.19,0.19,153600,0.0,0.0
1972-08-11,0.19,0.19,0.19,0.19,86400,0.0,0.0
1972-08-14,0.19,0.19,0.19,0.19,124800,0.0,0.0
1972-08-15,0.19,0.19,0.19,0.19,120000,0.0,0.0
1972-08-16,0.19,0.19,0.19,0.19,81600,0.0,0.0
1972-08-17,0.19,0.19,0.19,0.19,67200,0.0,0.0
1972-08-18,0.2,0.2,0.2,0.2,321600,0.0,0.0
1972-08-21,0.2,0.2,0.2,0.2,19200,0.0,0.0
1972-08-22,0.2,0.2,0.2,0.2,350400,0.0,0.0
1972-08-23,0.2,0.2,0.2,0.2,177600,0.0,0.0
1972-08-24,0.2,0.2,0.2,0.2,72000,0.0,0.0
1972-08-25,0.2,0.2,0.2,0.2,244800,0.0,0.0
1972-08-28,0.2,0.2,0.2,0.2,81600,0.0,0.0
1972-08-29,0.2,0.2,0.2,0.2,52800,0.0,0.0
1972-08-30,0.2,0.2,0.2,0.2,91200,0.0,0.0
1972-08-31,0.2,0.2,0.2,0.2,33600,0.0,0.0
1972-09-01,0.2,0.2,0.2,0.2,48000,0.0,0.0
1972-09-05,0.2,0.2,0.2,0.2,172800,0.0,0.0
1972-09-06,0.2,0.2,0.2,0.2,100800,0.0,0.0
1972-09-07,0.2,0.2,0.2,0.2,33600,0.0,0.0
1972-09-08,0.2,0.2,0.19,0.2,211200,0.0,0.0
1972-09-11,0.2,0.2,0.2,0.2,33600,0.0,0.0
1972-09-12,0.2,0.2,0.2,0.2,139200,0.0,0.0
1972-09-13,0.2,0.2,0.2,0.2,134400,0.0,0.0
1972-09-14,0.2,0.2,0.2,0.2,230400,0.0,0.0
1972-09-15,0.2,0.2,0.2,0.2,0,0.0,0.0
1972-09-18,0.2,0.2,0.2,0.2,91200,0.0,0.0
1972-09-19,0.2,0.2,0.2,0.2,52800,0.0,0.0
1972-09-20,0.2,0.2,0.2,0.2,187200,0.0,0.0
1972-09-21,0.2,0.2,0.2,0.2,72000,0.0,0.0
1972-09-22,0.2,0.2,0.2,0.2,67200,0.0,0.0
1972-09-25,0.2,0.2,0.2,0.2,144000,0.0,0.0
1972-09-26,0.2,0.2,0.19,0.2,134400,0.0,0.0
1972-09-27,0.2,0.2,0.19,0.19,192000,0.0,0.0
1972-09-28,0.19,0.19,0.19,0.19,129600,0.0,0.0
1972-09-29,0.19,0.19,0.19,0.19,148800,0.0,0.0
1972-10-02,0.19,0.19,0.19,0.19,72000,0.0,0.0
1972-10-03,0.19,0.2,0.19,0.2,124800,0.0,0.0
1972-10-04,0.2,0.2,0.2,0.2,67200,0.0,0.0
1972-10-05,0.2,0.2,0.2,0.2,432000,0.0,0.0
1972-10-06,0.2,0.2,0.2,0.2,787200,0.0,0.0
1972-10-09,0.2,0.2,0.2,0.2,57600,0.0,0.0
1972-10-10,0.2,0.2,0.2,0.2,115200,0.0,0.0
1972-10-11,0.2,0.2,0.2,0.2,163200,0.0,0.0
1972-10-12,0.2,0.2,0.2,0.2,33600,0.0,0.0
1972-10-13,0.2,0.2,0.2,0.2,86400,0.0,0.0
1972-10-16,0.19,0.19,0.19,0.19,67200,0.0,0.0
1972-10-17,0.19,0.19,0.19,0.19,96000,0.0,0.0
1972-10-18,0.19,0.19,0.19,0.19,139200,0.0,0.0
1972-10-19,0.19,0.19,0.19,0.19,57600,0.0,0.0
1972-10-20,0.19,0.19,0.19,0.19,96000,0.0,0.0
1972-10-23,0.2,0.2,0.2,0.2,192000,0.0,0.0
1972-10-24,0.2,0.2,0.2,0.2,124800,0.0,0.0
1972-10-25,0.2,0.2,0.2,0.2,38400,0.0,0.0
1972-10-26,0.2,0.2,0.2,0.2,172800,0.0,0.0
1972-10-27,0.2,0.2,0.2,0.2,76800,0.0,0.0
1972-10-30,0.2,0.2,0.2,0.2,72000,0.01,0.0
1972-10-31,0.2,0.2,0.2,0.2,148800,0.0,0.0
1972-11-01,0.2,0.2,0.2,0.2,96000,0.0,0.0
1972-11-02,0.2,0.21,0.2,0.2,230400,0.0,0.0
1972-11-03,0.21,0.21,0.21,0.21,110400,0.0,0.0
1972-11-06,0.21,0.21,0.2,0.2,105600,0.0,0.0
1972-11-08,0.2,0.21,0.2,0.21,96000,0.0,0.0
1972-11-09,0.21,0.21,0.21,0.21,124800,0.0,0.0
1972-11-10,0.21,0.21,0.21,0.21,201600,0.0,0.0
1972-11-13,0.21,0.21,0.21,0.21,57600,0.0,0.0
1972-11-14,0.21,0.21,0.21,0.21,52800,0.0,0.0
1972-11-15,0.21,0.21,0.21,0.21,86400,0.0,0.0
1972-11-16,0.21,0.21,0.21,0.21,33600,0.0,0.0
1972-11-17,0.21,0.21,0.21,0.21,177600,0.0,0.0
1972-11-20,0.21,0.21,0.21,0.21,33600,0.0,0.0
1972-11-21,0.21,0.21,0.21,0.21,158400,0.0,0.0
1972-11-22,0.21,0.21,0.21,0.21,163200,0.0,0.0
1972-11-24,0.21,0.21,0.21,0.21,76800,0.0,0.0
1972-11-27,0.21,0.21,0.21,0.21,144000,0.0,0.0
1972-11-28,0.21,0.21,0.21,0.21,182400,0.0,0.0
1972-11-29,0.21,0.21,0.21,0.21,4800,0.0,0.0
1972-11-30,0.21,0.21,0.21,0.21,316800,0.0,0.0
1972-12-01,0.21,0.21,0.21,0.21,172800,0.0,0.0
1972-12-04,0.21,0.21,0.21,0.21,67200,0.0,0.0
1972-12-05,0.21,0.21,0.21,0.21,72000,0.0,0.0
1972-12-06,0.21,0.21,0.21,0.21,153600,0.0,0.0
1972-12-07,0.21,0.21,0.21,0.21,144000,0.0,0.0
1972-12-08,0.21,0.21,0.21,0.21,62400,0.0,0.0
1972-12-11,0.21,0.21,0.21,0.21,86400,0.0,0.0
1972-12-12,0.21,0.21,0.21,0.21,216000,0.0,0.0
1972-12-13,0.21,0.21,0.21,0.21,86400,0.0,0.0
1972-12-14,0.21,0.21,0.21,0.21,172800,0.0,0.0
1972-12-15,0.21,0.21,0.21,0.21,110400,0.0,0.0
1972-12-18,0.21,0.21,0.21,0.21,52800,0.0,0.0
1972-12-19,0.21,0.21,0.21,0.21,124800,0.0,0.0
1972-12-20,0.21,0.21,0.21,0.21,81600,0.0,0.0
1972-12-21,0.21,0.21,0.21,0.21,96000,0.0,0.0
1972-12-22,0.21,0.21,0.21,0.21,76800,0.0,0.0
1972-12-26,0.21,0.21,0.21,0.21,14400,0.0,0.0
1972-12-27,0.21,0.21,0.21,0.21,168000,0.0,0.0
1972-12-29,0.21,0.22,0.21,0.22,182400,0.0,0.0
1973-01-02,0.22,0.23,0.22,0.23,96000,0.0,0.0
1973-01-03,0.23,0.23,0.22,0.22,76800,0.0,0.0
1973-01-04,0.22,0.23,0.22,0.23,48000,0.0,0.0
1973-01-05,0.23,0.23,0.22,0.22,72000,0.0,0.0
1973-01-08,0.22,0.22,0.22,0.22,86400,0.0,0.0
1973-01-09,0.22,0.22,0.22,0.22,139200,0.0,0.0
1973-01-10,0.22,0.23,0.22,0.23,86400,0.0,0.0
1973-01-11,0.23,0.23,0.22,0.23,225600,0.0,0.0
1973-01-12,0.23,0.23,0.23,0.23,91200,0.0,0.0
1973-01-15,0.23,0.23,0.23,0.23,67200,0.0,0.0
1973-01-16,0.23,0.23,0.23,0.23,100800,0.0,0.0
1973-01-17,0.23,0.23,0.23,0.23,350400,0.0,0.0
1973-01-18,0.23,0.23,0.23,0.23,67200,0.0,0.0
1973-01-19,0.23,0.23,0.23,0.23,48000,0.0,0.0
1973-01-22,0.23,0.23,0.23,0.23,43200,0.0,0.0
1973-01-23,0.23,0.23,0.23,0.23,216000,0.0,0.0
1973-01-24,0.23,0.23,0.23,0.23,81600,0.0,0.0
1973-01-26,0.23,0.23,0.22,0.22,235200,0.0,0.0
1973-01-29,0.22,0.22,0.22,0.22,139200,0.01,0.0
1973-01-30,0.22,0.22,0.22,0.22,331200,0.0,0.0
1973-01-31,0.22,0.22,0.22,0.22,48000,0.0,0.0
1973-02-01,0.22,0.22,0.22,0.22,206400,0.0,0.0
1973-02-02,0.22,0.22,0.21,0.21,48000,0.0,0.0
1973-02-05,0.21,0.21,0.21,0.21,115200,0.0,0.0
1973-02-06,0.21,0.21,0.21,0.21,273600,0.0,0.0
1973-02-07,0.2,0.2,0.2,0.2,158400,0.0,0.0
1973-02-08,0.2,0.2,0.2,0.2,398400,0.0,0.0
1973-02-09,0.2,0.2,0.2,0.2,91200,0.0,0.0
1973-02-12,0.2,0.21,0.2,0.2,427200,0.0,0.0
1973-02-13,0.2,0.2,0.2,0.2,115200,0.0,0.0
1973-02-14,0.2,0.2,0.2,0.2,105600,0.0,0.0
1973-02-15,0.2,0.2,0.2,0.2,76800,0.0,0.0
1973-02-16,0.2,0.2,0.2,0.2,81600,0.0,0.0
1973-02-20,0.2,0.2,0.19,0.19,72000,0.0,0.0
1973-02-21,0.19,0.2,0.19,0.2,52800,0.0,0.0
1973-02-22,0.2,0.2,0.19,0.19,62400,0.0,0.0
1973-02-23,0.19,0.19,0.19,0.19,105600,0.0,0.0
1973-02-26,0.19,0.19,0.19,0.19,120000,0.0,0.0
1973-02-27,0.19,0.19,0.19,0.19,206400,0.0,0.0
1973-02-28,0.19,0.19,0.19,0.19,24000,0.0,0.0
1973-03-01,0.19,0.19,0.19,0.19,100800,0.0,0.0
1973-03-02,0.19,0.19,0.19,0.19,52800,0.0,0.0
1973-03-05,0.2,0.2,0.2,0.2,96000,0.0,0.0
1973-03-06,0.2,0.2,0.2,0.2,57600,0.0,0.0
1973-03-07,0.2,0.2,0.2,0.2,81600,0.0,0.0
1973-03-08,0.2,0.2,0.2,0.2,148800,0.0,0.0
1973-03-09,0.2,0.2,0.2,0.2,62400,0.0,0.0
1973-03-12,0.2,0.2,0.2,0.2,76800,0.0,0.0
1973-03-13,0.2,0.2,0.2,0.2,48000,0.0,0.0
1973-03-14,0.2,0.2,0.2,0.2,38400,0.0,0.0
1973-03-15,0.2,0.2,0.2,0.2,72000,0.0,0.0
1973-03-16,0.2,0.21,0.2,0.2,100800,0.0,0.0
1973-03-19,0.2,0.21,0.2,0.2,38400,0.0,0.0
1973-03-20,0.2,0.2,0.2,0.2,264000,0.0,0.0
1973-03-21,0.2,0.2,0.2,0.2,105600,0.0,0.0
1973-03-22,0.2,0.2,0.2,0.2,153600,0.0,0.0
1973-03-23,0.2,0.2,0.2,0.2,52800,0.0,0.0
1973-03-26,0.2,0.2,0.2,0.2,76800,0.0,0.0
1973-03-27,0.2,0.2,0.2,0.2,4800,0.0,0.0
1973-03-28,0.2,0.2,0.2,0.2,28800,0.0,0.0
1973-03-29,0.2,0.21,0.2,0.21,57600,0.0,0.0
1973-03-30,0.21,0.21,0.2,0.2,96000,0.0,0.0
1973-04-02,0.2,0.2,0.2,0.2,153600,0.0,0.0
1973-04-03,0.2,0.2,0.2,0.2,96000,0.0,0.0
1973-04-04,0.2,0.2,0.2,0.2,28800,0.0,0.0
1973-04-05,0.2,0.2,0.2,0.2,72000,0.0,0.0
1973-04-06,0.2,0.2,0.2,0.2,48000,0.0,0.0
