Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-06-22,0.0,2.78,2.71,2.71,18200,0.0,0
1988-06-23,0.0,2.64,2.49,2.49,51100,0.0,0
1988-06-24,0.0,2.56,2.56,2.56,11800,0.0,0
1988-06-27,0.0,2.56,2.49,2.49,13200,0.0,0
1988-06-28,0.0,2.49,2.34,2.34,16200,0.0,0
1988-06-29,0.0,2.49,2.42,2.42,8900,0.0,0
1988-06-30,0.0,2.64,2.56,2.56,47300,0.0,0
1988-07-01,0.0,2.86,2.78,2.78,29100,0.0,0
1988-07-05,0.0,2.86,2.71,2.71,14000,0.0,0
1988-07-06,0.0,2.71,2.64,2.64,20000,0.0,0
1988-07-07,0.0,2.71,2.64,2.64,6900,0.0,0
1988-07-08,0.0,2.64,2.56,2.56,9300,0.0,0
1988-07-11,0.0,2.64,2.56,2.56,31400,0.0,0
1988-07-12,0.0,2.71,2.56,2.56,3600,0.0,0
1988-07-13,0.0,2.71,2.64,2.64,2800,0.0,0
1988-07-14,0.0,2.71,2.56,2.56,26400,0.0,0
1988-07-15,0.0,2.71,2.56,2.56,13000,0.0,0
1988-07-18,0.0,2.64,2.49,2.49,10500,0.0,0
1988-07-19,0.0,2.56,2.42,2.42,7500,0.0,0
1988-07-20,0.0,2.42,2.27,2.27,31400,0.0,0
1988-07-21,0.0,2.42,2.34,2.34,13200,0.0,0
1988-07-22,0.0,2.42,2.27,2.27,21100,0.0,0
1988-07-25,0.0,2.42,2.27,2.27,2000,0.0,0
1988-07-26,0.0,2.34,2.27,2.27,26900,0.0,0
1988-07-27,0.0,2.34,2.27,2.27,1900,0.0,0
1988-07-28,0.0,2.34,2.27,2.27,10300,0.0,0
1988-07-29,0.0,2.34,2.27,2.27,14200,0.0,0
1988-08-01,0.0,2.42,2.34,2.34,19700,0.0,0
1988-08-02,0.0,2.42,2.27,2.27,17500,0.0,0
1988-08-03,0.0,2.34,2.2,2.2,33600,0.0,0
1988-08-04,0.0,2.27,2.12,2.12,1300,0.0,0
1988-08-05,0.0,2.27,2.2,2.2,2900,0.0,0
1988-08-08,0.0,2.27,2.2,2.2,9400,0.0,0
1988-08-09,0.0,2.12,2.05,2.05,26000,0.0,0
1988-08-10,0.0,1.98,1.9,1.9,41100,0.0,0
1988-08-11,0.0,2.05,1.98,1.98,8900,0.0,0
1988-08-12,0.0,2.05,1.98,1.98,2000,0.0,0
1988-08-15,0.0,1.98,1.9,1.9,12500,0.0,0
1988-08-16,0.0,1.98,1.83,1.83,13700,0.0,0
1988-08-17,0.0,1.68,1.61,1.61,43200,0.0,0
1988-08-18,0.0,1.68,1.61,1.61,15500,0.0,0
1988-08-19,0.0,1.68,1.61,1.61,13400,0.0,0
1988-08-22,0.0,1.61,1.54,1.54,12400,0.0,0
1988-08-23,0.0,1.68,1.61,1.61,21500,0.0,0
1988-08-24,0.0,1.61,1.54,1.54,5500,0.0,0
1988-08-25,0.0,1.61,1.54,1.54,800,0.0,0
1988-08-26,0.0,1.68,1.68,1.68,14500,0.0,0
1988-08-29,0.0,1.68,1.61,1.61,3900,0.0,0
1988-08-30,0.0,1.68,1.61,1.61,1000,0.0,0
1988-08-31,0.0,1.68,1.61,1.61,6200,0.0,0
1988-09-01,1.61,1.61,1.61,1.61,0,0.0,0
1988-09-02,0.0,1.68,1.61,1.61,400,0.0,0
1988-09-06,0.0,1.68,1.61,1.61,7300,0.0,0
1988-09-07,0.0,1.46,1.39,1.39,16400,0.0,0
1988-09-08,0.0,1.76,1.68,1.68,102000,0.0,0
1988-09-09,0.0,1.9,1.9,1.9,143900,0.0,0
1988-09-12,0.0,1.9,1.83,1.83,10300,0.0,0
1988-09-13,0.0,1.76,1.68,1.68,15500,0.0,0
1988-09-14,0.0,1.83,1.76,1.76,18700,0.0,0
1988-09-15,0.0,1.76,1.76,1.76,11100,0.0,0
1988-09-16,0.0,1.83,1.83,1.83,11500,0.0,0
1988-09-19,0.0,1.83,1.76,1.76,13100,0.0,0
1988-09-20,0.0,1.83,1.76,1.76,7000,0.0,0
1988-09-21,0.0,1.83,1.76,1.76,6700,0.0,0
1988-09-22,0.0,1.76,1.68,1.68,9900,0.0,0
1988-09-23,0.0,1.76,1.68,1.68,5900,0.0,0
1988-09-26,0.0,1.76,1.68,1.68,2300,0.0,0
1988-09-27,0.0,1.76,1.61,1.61,12400,0.0,0
1988-09-28,0.0,1.76,1.61,1.61,2500,0.0,0
1988-09-29,0.0,1.68,1.61,1.61,5600,0.0,0
1988-09-30,0.0,1.61,1.54,1.54,17600,0.0,0
1988-10-03,0.0,1.61,1.46,1.46,15500,0.0,0
1988-10-04,0.0,1.61,1.54,1.54,2900,0.0,0
1988-10-05,0.0,1.61,1.46,1.46,8600,0.0,0
1988-10-06,0.0,1.54,1.54,1.54,19800,0.0,0
1988-10-07,0.0,1.54,1.46,1.46,19100,0.0,0
1988-10-10,0.0,1.46,1.39,1.39,25600,0.0,0
1988-10-11,0.0,1.46,1.39,1.39,69700,0.0,0
1988-10-12,0.0,1.46,1.39,1.39,7100,0.0,0
1988-10-13,0.0,1.39,1.32,1.32,22500,0.0,0
1988-10-14,0.0,1.46,1.39,1.39,12700,0.0,0
1988-10-17,0.0,1.39,1.32,1.32,17200,0.0,0
1988-10-18,0.0,1.39,1.32,1.32,7100,0.0,0
1988-10-19,0.0,1.32,1.32,1.32,11100,0.0,0
1988-10-20,0.0,1.46,1.39,1.39,13000,0.0,0
1988-10-21,0.0,1.39,1.39,1.39,11400,0.0,0
1988-10-24,0.0,1.39,1.32,1.32,18300,0.0,0
1988-10-25,0.0,1.39,1.32,1.32,28700,0.0,0
1988-10-26,0.0,1.39,1.32,1.32,5800,0.0,0
1988-10-27,0.0,1.39,1.32,1.32,11200,0.0,0
1988-10-28,0.0,1.39,1.39,1.39,26800,0.0,0
1988-10-31,0.0,1.61,1.54,1.54,50000,0.0,0
1988-11-01,0.0,1.83,1.76,1.76,69000,0.0,0
1988-11-02,0.0,1.83,1.76,1.76,47500,0.0,0
