Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-07-07,0.0,0.7,0.7,0.7,16101788,0.0,0.0
1983-07-08,0.0,0.71,0.7,0.7,4462088,0.0,0.0
1983-07-11,0.0,0.73,0.71,0.71,1336500,0.0,0.0
1983-07-12,0.0,0.74,0.72,0.72,2433038,0.0,0.0
1983-07-13,0.0,0.75,0.74,0.74,1327388,0.0,0.0
1983-07-14,0.0,0.75,0.73,0.73,838350,0.0,0.0
1983-07-15,0.0,0.73,0.71,0.71,2320650,0.0,0.0
1983-07-18,0.0,0.72,0.7,0.7,1810350,0.0,0.0
1983-07-19,0.0,0.73,0.71,0.71,1078313,0.0,0.0
1983-07-20,0.0,0.73,0.72,0.72,437400,0.0,0.0
1983-07-21,0.0,0.74,0.72,0.72,252113,0.0,0.0
1983-07-22,0.0,0.74,0.72,0.72,246038,0.0,0.0
1983-07-25,0.0,0.76,0.73,0.73,206550,0.0,0.0
1983-07-26,0.0,0.76,0.74,0.74,115425,0.0,0.0
1983-07-27,0.0,0.76,0.74,0.74,361463,0.0,0.0
1983-07-28,0.74,0.74,0.74,0.74,0,0.0,0.0
1983-07-29,0.0,0.75,0.72,0.72,185288,0.0,0.0
1983-08-01,0.0,0.73,0.71,0.71,400950,0.0,0.0
1983-08-02,0.0,0.73,0.72,0.72,634838,0.0,0.0
1983-08-03,0.0,0.73,0.72,0.72,1139063,0.0,0.0
1983-08-04,0.0,0.73,0.71,0.71,294638,0.0,0.0
1983-08-05,0.0,0.72,0.71,0.71,452588,0.0,0.0
1983-08-08,0.0,0.72,0.7,0.7,534600,0.0,0.0
1983-08-09,0.0,0.73,0.7,0.7,218700,0.0,0.0
1983-08-10,0.0,0.73,0.7,0.7,230850,0.0,0.0
1983-08-11,0.0,0.73,0.71,0.71,91125,0.0,0.0
1983-08-12,0.0,0.73,0.71,0.71,78975,0.0,0.0
1983-08-15,0.0,0.73,0.71,0.71,176175,0.0,0.0
1983-08-16,0.0,0.73,0.71,0.71,407025,0.0,0.0
1983-08-17,0.0,0.74,0.71,0.71,246038,0.0,0.0
1983-08-18,0.0,0.74,0.71,0.71,151875,0.0,0.0
1983-08-19,0.0,0.74,0.71,0.71,78975,0.0,0.0
1983-08-22,0.0,0.73,0.71,0.71,631800,0.0,0.0
1983-08-23,0.0,0.73,0.71,0.71,39488,0.0,0.0
1983-08-24,0.0,0.73,0.7,0.7,1114763,0.0,0.0
1983-08-25,0.0,0.71,0.69,0.69,255150,0.0,0.0
1983-08-26,0.0,0.7,0.67,0.67,258188,0.0,0.0
1983-08-29,0.0,0.7,0.67,0.67,15188,0.0,0.0
1983-08-30,0.0,0.69,0.67,0.67,200475,0.0,0.0
1983-08-31,0.0,0.69,0.67,0.67,94163,0.0,0.0
1983-09-01,0.0,0.69,0.67,0.67,206550,0.0,0.0
1983-09-02,0.0,0.69,0.67,0.67,571050,0.0,0.0
1983-09-06,0.0,0.69,0.67,0.67,88088,0.0,0.0
1983-09-07,0.0,0.67,0.65,0.65,142763,0.0,0.0
1983-09-08,0.0,0.67,0.64,0.64,334125,0.0,0.0
1983-09-09,0.0,0.67,0.64,0.64,21263,0.0,0.0
1983-09-12,0.0,0.67,0.63,0.63,82013,0.0,0.0
1983-09-13,0.0,0.65,0.63,0.63,370575,0.0,0.0
1983-09-14,0.0,0.68,0.65,0.65,115425,0.0,0.0
1983-09-15,0.0,0.68,0.65,0.65,24300,0.0,0.0
1983-09-16,0.0,0.68,0.65,0.65,45563,0.0,0.0
1983-09-19,0.0,0.69,0.66,0.66,57713,0.0,0.0
1983-09-20,0.0,0.73,0.7,0.7,236925,0.0,0.0
1983-09-21,0.0,0.74,0.71,0.71,33413,0.0,0.0
1983-09-22,0.0,0.77,0.75,0.75,352350,0.0,0.0
1983-09-23,0.0,0.76,0.74,0.74,85050,0.0,0.0
1983-09-26,0.0,0.78,0.74,0.74,27338,0.0,0.0
1983-09-27,0.0,0.75,0.73,0.73,160988,0.0,0.0
1983-09-28,0.0,0.75,0.73,0.73,39488,0.0,0.0
1983-09-29,0.0,0.75,0.73,0.73,224775,0.0,0.0
1983-09-30,0.0,0.75,0.73,0.73,36450,0.0,0.0
1983-10-03,0.0,0.74,0.73,0.73,18225,0.0,0.0
1983-10-04,0.0,0.74,0.73,0.73,18225,0.0,0.0
1983-10-05,0.0,0.74,0.73,0.73,54675,0.0,0.0
1983-10-06,0.0,0.75,0.73,0.73,142763,0.0,0.0
1983-10-07,0.0,0.75,0.73,0.73,69863,0.0,0.0
1983-10-10,0.0,0.75,0.73,0.73,39488,0.0,0.0
1983-10-11,0.0,0.75,0.73,0.73,36450,0.0,0.0
1983-10-12,0.0,0.75,0.73,0.73,18225,0.0,0.0
1983-10-13,0.0,0.75,0.73,0.73,63788,0.0,0.0
1983-10-14,0.0,0.75,0.73,0.73,24300,0.0,0.0
1983-10-17,0.0,0.75,0.73,0.73,24300,0.0,0.0
1983-10-18,0.73,0.73,0.73,0.73,0,0.0,0.0
1983-10-19,0.0,0.74,0.72,0.74,75938,0.0,0.0
1983-10-20,0.0,0.74,0.73,0.74,273375,0.0,0.0
1983-10-21,0.0,0.76,0.75,0.76,45563,0.0,0.0
